"OAU State","OAU State__URI","Official Language","Official Language__URI","IMF SDRs","Date of Independence","Head of Central Bank","Capital","Capital__URI","IMF #Votes","Name of Currency","Name of Currency__URI"
"Kanya","http://dbpedia.org/resource/Kenya","Swahili","http://dbpedia.org/resource/Swahili_language","199.4","Dec 1963","Musalia Mudavadi","Nairobi","http://dbpedia.org/resource/Nairobi","2,224","Kenya shilling","http://dbpedia.org/resource/Kenya_shilling"
"Kanya","http://dbpedia.org/resource/Kenya","English","http://dbpedia.org/resource/English_language","199.4","Dec 1963","Musalia Mudavadi","Nairobi","http://dbpedia.org/resource/Nairobi","2,224","Kenya shilling","http://dbpedia.org/resource/Kenya_shilling"
"Lesotho","http://dbpedia.org/resource/Lesotho","Sotho","http://dbpedia.org/resource/Sotho_language","23.9","Oct 1966","C.T Thamae","Maseru","http://dbpedia.org/resource/Maseru","489","Malito (Loti)","http://dbpedia.org/resource/Lesotho_loti"
"Lesotho","http://dbpedia.org/resource/Lesotho","English","http://dbpedia.org/resource/English_language","23.9","Oct 1966","C.T Thamae","Maseru","http://dbpedia.org/resource/Maseru","489","Malito (Loti)","http://dbpedia.org/resource/Lesotho_loti"
"Liberia","http://dbpedia.org/resource/Liberia","English","http://dbpedia.org/resource/English_language","71.3","July 1847","Elio E. Saleeby","Monrovia","http://dbpedia.org/resource/Monrovia","963","Liberian dollar","http://dbpedia.org/resource/Liberian_dollar"
"Libya","http://dbpedia.org/resource/Libya","Arabic","http://dbpedia.org/resource/Arabic","817.6","Dec 1951","Taher E. Jehaimi","Tripoli","http://dbpedia.org/resource/Tripoli","8,426","Libyan dinar","http://dbpedia.org/resource/Libyan_dinar"
"Madagascar","http://dbpedia.org/resource/Madagascar","Malagasy","http://dbpedia.org/resource/Malagasy_language","90.4","Jul 1960","Andrianarivo Tantely","Antananarivo","http://dbpedia.org/resource/Antananarivo","1,154","Madagasy franc","http://dbpedia.org/resource/Malagasy_franc"
"Madagascar","http://dbpedia.org/resource/Madagascar","French","http://dbpedia.org/resource/French_language","90.4","Jul 1960","Andrianarivo Tantely","Antananarivo","http://dbpedia.org/resource/Antananarivo","1,154","Madagasy franc","http://dbpedia.org/resource/Malagasy_franc"
"Malawi","http://dbpedia.org/resource/Malawi","English","http://dbpedia.org/resource/English_language","50.9","Jul 1964","M.A.P. Chikaonda","Lilongwe","http://dbpedia.org/resource/Lilongwe","759","Malawi Kwacha","http://dbpedia.org/resource/Malawi_kwacha"
"Mali","http://dbpedia.org/resource/Mali","French","http://dbpedia.org/resource/French_language","68.9","Jul 1965","Soumaila Cisse","Bama Ko","http://dbpedia.org/resource/Bamako","939","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Mauritania","http://dbpedia.org/resource/Mauritania","Arabic","http://dbpedia.org/resource/Arabic","47.5","Nov 1960","Mohamedou Ould Michel","Nouakchott","http://dbpedia.org/resource/Nouakchott","725","Ouguiya","http://dbpedia.org/resource/Mauritanian_ouguiya"
"Mauritius","http://dbpedia.org/resource/Mauritius","English","http://dbpedia.org/resource/English_language","73.3","Mar 1968","Vasant Kumar Bunwaree","Porto Louis","http://dbpedia.org/resource/Port_Louis","893","Mouritian rupee","http://dbpedia.org/resource/Mauritian_rupee"
"Morocco","http://dbpedia.org/resource/Morocco","Arabic","http://dbpedia.org/resource/Arabic","427.7","Mar 1956","Mohamed Seqat","Rabat","http://dbpedia.org/resource/Rabat","4,527","Morrocan dirham","http://dbpedia.org/resource/Moroccan_dirham"
"Mozambique","http://dbpedia.org/resource/Mozambique","Portuguese","http://dbpedia.org/resource/Portuguese_language","84.0","Jun 1975","Tomaz Augusto Salomao","Maputo","http://dbpedia.org/resource/Maputo","1090","Metical","http://dbpedia.org/resource/Mozambican_metical"
"Namibia","http://dbpedia.org/resource/Namibia","English","http://dbpedia.org/resource/English_language","99.6","Mar 1990","Nangolo Mbumba","Windhoek","http://dbpedia.org/resource/Windhoek","1,246","Nambian dollar","http://dbpedia.org/resource/Namibian_dollar"
"Niger","http://dbpedia.org/resource/Niger","French","http://dbpedia.org/resource/French_language","48.3","Aug 1960","Ahmadou Mayaki","Niamey","http://dbpedia.org/resource/Niamey","733","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Nigeria","http://dbpedia.org/resource/Nigeria","English","http://dbpedia.org/resource/English_language","1,281.6","Oct 1960","Anthony A. Ani","Lagos","http://dbpedia.org/resource/Lagos","13.006","Nigerian Naira","http://dbpedia.org/resource/Nigerian_naira"
"Rwanda","http://dbpedia.org/resource/Rwanda","Rwanda","http://dbpedia.org/resource/Kinyarwanda","59.5","Jul 1962","Donat Kaberuka","Kagali","http://dbpedia.org/resource/Kigali","845","Rwandan franc","http://dbpedia.org/resource/Rwandan_franc"
"Rwanda","http://dbpedia.org/resource/Rwanda","French","http://dbpedia.org/resource/French_language","59.5","Jul 1962","Donat Kaberuka","Kagali","http://dbpedia.org/resource/Kigali","845","Rwandan franc","http://dbpedia.org/resource/Rwandan_franc"
"Sao Tome and Principe","http://dbpedia.org/resource/Sao_Tome_and_Principe","Portuguese","http://dbpedia.org/resource/Portuguese_language","5.5","Jul 1975","Carlos Quaresma Batista","Sao Tome","http://dbpedia.org/resource/São_Tomé","305","Dobra","http://dbpedia.org/resource/São_Tomé_and_Príncipe_dobra"
"Senegal","http://dbpedia.org/resource/Senegal","French","http://dbpedia.org/resource/French_language","118.9","Aug 1960","Papa Ousmane Sakho","Dakar","http://dbpedia.org/resource/Dakar","1,439","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Seychelles","http://dbpedia.org/resource/Seychelles","","","6.0","Jun 1976","James Michel","Victoria","http://dbpedia.org/resource/Victoria,_Seychelles","310","Seychelles rupee","http://dbpedia.org/resource/Seychellois_rupee"
"Sierra Leone","http://dbpedia.org/resource/Sierra_Leone","English","http://dbpedia.org/resource/English_language","77.2","Aug 1960","Thaimu Bangura","Freetown","http://dbpedia.org/resource/Freetown","1022","Leon","http://dbpedia.org/resource/Sierra_Leonean_leone"
"Somalia","http://dbpedia.org/resource/Somalia","Somali","http://dbpedia.org/resource/Somali_language","44.2","Jul 1961","Vacant","Mogadishu","http://dbpedia.org/resource/Mogadishu","692","Someli Shilling","http://dbpedia.org/resource/Somali_shilling"
"Somalia","http://dbpedia.org/resource/Somalia","Arabic","http://dbpedia.org/resource/Arabic","44.2","Jul 1961","Vacant","Mogadishu","http://dbpedia.org/resource/Mogadishu","692","Someli Shilling","http://dbpedia.org/resource/Somali_shilling"
"South Africa","http://dbpedia.org/resource/South_Africa","English...","http://dbpedia.org/resource/English_language","1,365.4","May 1910","Christian Lodewyk Stals","Pretoria","http://dbpedia.org/resource/Pretoria","13,904","Rand","http://dbpedia.org/resource/South_African_rand"
"Sudan","http://dbpedia.org/resource/Sudan","Arabic","http://dbpedia.org/resource/Arabic","169.7","Jan 1956","Vacant","Khartoum","http://dbpedia.org/resource/Khartoum","000","Sudanese dinar","http://dbpedia.org/resource/Sudanese_dinar"
"Swaziland","http://dbpedia.org/resource/Swaziland","Swazi","http://dbpedia.org/resource/Swazi_language","36.5","Sep 1968","Themba N. Mashuka","Mbabane","http://dbpedia.org/resource/Mbabane","615","Lulangeni","http://dbpedia.org/resource/Swazi_lilangeni"
"Swaziland","http://dbpedia.org/resource/Swaziland","English","http://dbpedia.org/resource/English_language","36.5","Sep 1968","Themba N. Mashuka","Mbabane","http://dbpedia.org/resource/Mbabane","615","Lulangeni","http://dbpedia.org/resource/Swazi_lilangeni"
"Tanzania","http://dbpedia.org/resource/Tanzania","Swahili","http://dbpedia.org/resource/Swahili_language","146.9","Dec 1961","Daniel N. Yona","Dar es Salaam","http://dbpedia.org/resource/Dar_es_Salaam","1,719","Tansanian shilling","http://dbpedia.org/resource/Tanzanian_shilling"
"Tanzania","http://dbpedia.org/resource/Tanzania","English","http://dbpedia.org/resource/English_language","146.9","Dec 1961","Daniel N. Yona","Dar es Salaam","http://dbpedia.org/resource/Dar_es_Salaam","1,719","Tansanian shilling","http://dbpedia.org/resource/Tanzanian_shilling"
"Togo","http://dbpedia.org/resource/Togo","French","http://dbpedia.org/resource/French_language","54.3","Apr 1960","Barry Moussa Barque","Lome","http://dbpedia.org/resource/Lomé","793","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Tunisia","http://dbpedia.org/resource/Tunisia","Arabic","http://dbpedia.org/resource/Arabic","206.0","Mar 1956","Mohamed El Beji Hamda","Tunis","http://dbpedia.org/resource/Tunis","2,310","Dinar","http://dbpedia.org/resource/Tunisian_dinar"
"Uganda","http://dbpedia.org/resource/Uganda","Swahili","http://dbpedia.org/resource/Swahili_language","133.9","Oct 1962","Jehoash Mayanja-Nkangi","Kampela","http://dbpedia.org/resource/Kampala","1,589","Uganda shilling","http://dbpedia.org/resource/Ugandan_shilling"
"Uganda","http://dbpedia.org/resource/Uganda","English","http://dbpedia.org/resource/English_language","133.9","Oct 1962","Jehoash Mayanja-Nkangi","Kampela","http://dbpedia.org/resource/Kampala","1,589","Uganda shilling","http://dbpedia.org/resource/Ugandan_shilling"
"Zambia","http://dbpedia.org/resource/Zambia","English","http://dbpedia.org/resource/English_language","363.5","Oct 1964","Ronald Damson Siame Penza","Lusaka","http://dbpedia.org/resource/Lusaka","3,885","Zambian Kwacha","http://dbpedia.org/resource/Zambian_kwacha"
"Zambabwe","http://dbpedia.org/resource/Zimbabwe","English","http://dbpedia.org/resource/English_language","261.3","Sep 1980","Herbert Murerwa","Harare","http://dbpedia.org/resource/Harare","2,863","Zambabe dollar","http://dbpedia.org/resource/Zimbabwean_dollar"
