"Medicine_misspelled","Medicine_misspelled__URI","Medicine","Medicine__URI","Trade","Trade__URI","ATC Code","Route of administration","Route of administration__URI"
"ibprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibruprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB17","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofin","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB18","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprophen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB19","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB20","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofin","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB21","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofien","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB22","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeuprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB23","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeuprofens","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB24","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibproufen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB25","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB26","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"iboprufen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB27","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibubrofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB28","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofren","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB29","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibp","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB30","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofins","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB31","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofene","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB32","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophens","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB33","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofuens","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB34","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeeprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB35","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibrophen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB36","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofuen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB37","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeprophen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB38","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibrufen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB39","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibrupofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB40","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibreprophen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB41","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibroprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB42","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"iboprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB43","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofens","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB44","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibruprofin","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB45","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprufen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB46","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprophin","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB47","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprouphen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB48","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibueprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB49","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibupropen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB50","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophene","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB51","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprohen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB52","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"niproxin","http://dbpedia.org/resource/Naproxen","naproxen","http://dbpedia.org/resource/Naproxen","Anaprox","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
"neproxen","http://dbpedia.org/resource/Naproxen","naproxen","http://dbpedia.org/resource/Naproxen","Apronax","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
"naproxin","http://dbpedia.org/resource/Naproxen","naproxen","http://dbpedia.org/resource/Naproxen","Apronax","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
"neproxin","http://dbpedia.org/resource/Naproxen","naproxen","http://dbpedia.org/resource/Naproxen","Apronax","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
"sertaline","http://dbpedia.org/resource/Sertraline","sertraline","http://dbpedia.org/resource/Sertraline","Zoloft","http://dbpedia.org/resource/Zoloft","N06AB06","By mouth","http://dbpedia.org/resource/Oral_administration"
