"driver","driver__URI","team","team__URI","gp","gp__URI","year"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2001 Monaco Grand Prix","http://dbpedia.org/resource/2001_Monaco_Grand_Prix","2001"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2001 Spanish Grand Prix","http://dbpedia.org/resource/2001_Spanish_Grand_Prix","2001"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2002 Australian Grand Prix","http://dbpedia.org/resource/2002_Australian_Grand_Prix","2002"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2002 Austrian Grand Prix","http://dbpedia.org/resource/2002_Austrian_Grand_Prix","2002"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2002 Brazilian Grand Prix","http://dbpedia.org/resource/2002_Brazilian_Grand_Prix","2002"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2002 Japanese Grand Prix","http://dbpedia.org/resource/2002_Japanese_Grand_Prix","2002"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2002 San Marino Grand Prix","http://dbpedia.org/resource/2002_San_Marino_Grand_Prix","2002"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2002 Spanish Grand Prix","http://dbpedia.org/resource/2002_Spanish_Grand_Prix","2002"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2003 Austrian Grand Prix","http://dbpedia.org/resource/2003_Austrian_Grand_Prix","2003"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2003 Canadian Grand Prix","http://dbpedia.org/resource/2003_Canadian_Grand_Prix","2003"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2003 Italian Grand Prix","http://dbpedia.org/resource/2003_Italian_Grand_Prix","2003"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2003 San Marino Grand Prix","http://dbpedia.org/resource/2003_San_Marino_Grand_Prix","2003"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2003 Spanish Grand Prix","http://dbpedia.org/resource/2003_Spanish_Grand_Prix","2003"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2003 United States Grand Prix","http://dbpedia.org/resource/2003_United_States_Grand_Prix","2003"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 Australian Grand Prix","http://dbpedia.org/resource/2004_Australian_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 Bahrain Grand Prix","http://dbpedia.org/resource/2004_Bahrain_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 British Grand Prix","http://dbpedia.org/resource/2004_British_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 Canadian Grand Prix","http://dbpedia.org/resource/2004_Canadian_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 European Grand Prix","http://dbpedia.org/resource/2004_European_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 French Grand Prix","http://dbpedia.org/resource/2004_French_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 German Grand Prix","http://dbpedia.org/resource/2004_German_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 Hungarian Grand Prix","http://dbpedia.org/resource/2004_Hungarian_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 Japanese Grand Prix","http://dbpedia.org/resource/2004_Japanese_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 Malaysian Grand Prix","http://dbpedia.org/resource/2004_Malaysian_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 San Marino Grand Prix","http://dbpedia.org/resource/2004_San_Marino_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 Spanish Grand Prix","http://dbpedia.org/resource/2004_Spanish_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2004 United States Grand Prix","http://dbpedia.org/resource/2004_United_States_Grand_Prix","2004"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2006 French Grand Prix","http://dbpedia.org/resource/2006_French_Grand_Prix","2006"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2006 United States Grand Prix","http://dbpedia.org/resource/2006_United_States_Grand_Prix","2006"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2006 European Grand Prix","http://dbpedia.org/resource/2006_European_Grand_Prix","2006"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2006 San Marino Grand Prix","http://dbpedia.org/resource/2006_San_Marino_Grand_Prix","2006"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2006 Chinese Grand Prix","http://dbpedia.org/resource/2006_Chinese_Grand_Prix","2006"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2006 German Grand Prix","http://dbpedia.org/resource/2006_German_Grand_Prix","2006"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2006 Italian Grand Prix","http://dbpedia.org/resource/2006_Italian_Grand_Prix","2006"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1996 Belgian Grand Prix","http://dbpedia.org/resource/1996_Belgian_Grand_Prix","1996"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1996 Italian Grand Prix","http://dbpedia.org/resource/1996_Italian_Grand_Prix","1996"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1996 Spanish Grand Prix","http://dbpedia.org/resource/1996_Spanish_Grand_Prix","1996"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1997 Belgian Grand Prix","http://dbpedia.org/resource/1997_Belgian_Grand_Prix","1997"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1997 Canadian Grand Prix","http://dbpedia.org/resource/1997_Canadian_Grand_Prix","1997"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1997 French Grand Prix","http://dbpedia.org/resource/1997_French_Grand_Prix","1997"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1997 Japanese Grand Prix","http://dbpedia.org/resource/1997_Japanese_Grand_Prix","1997"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1998 Argentine Grand Prix","http://dbpedia.org/resource/1998_Argentine_Grand_Prix","1998"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1998 British Grand Prix","http://dbpedia.org/resource/1998_British_Grand_Prix","1998"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1998 Canadian Grand Prix","http://dbpedia.org/resource/1998_Canadian_Grand_Prix","1998"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1998 French Grand Prix","http://dbpedia.org/resource/1998_French_Grand_Prix","1998"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1998 Hungarian Grand Prix","http://dbpedia.org/resource/1998_Hungarian_Grand_Prix","1998"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1998 Italian Grand Prix","http://dbpedia.org/resource/1998_Italian_Grand_Prix","1998"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1999 San Marino Grand Prix","http://dbpedia.org/resource/1999_San_Marino_Grand_Prix","1999"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2000 European Grand Prix","http://dbpedia.org/resource/2000_European_Grand_Prix","2000"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2001 Belgian Grand Prix","http://dbpedia.org/resource/2001_Belgian_Grand_Prix","2001"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2001 European Grand Prix","http://dbpedia.org/resource/2001_European_Grand_Prix","2001"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2001 French Grand Prix","http://dbpedia.org/resource/2001_French_Grand_Prix","2001"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2001 Hungarian Grand Prix","http://dbpedia.org/resource/2001_Hungarian_Grand_Prix","2001"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2002 Belgian Grand Prix","http://dbpedia.org/resource/2002_Belgian_Grand_Prix","2002"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2002 British Grand Prix","http://dbpedia.org/resource/2002_British_Grand_Prix","2002"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2002 Canadian Grand Prix","http://dbpedia.org/resource/2002_Canadian_Grand_Prix","2002"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2002 French Grand Prix","http://dbpedia.org/resource/2002_French_Grand_Prix","2002"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2002 German Grand Prix","http://dbpedia.org/resource/2002_German_Grand_Prix","2002"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1984 Monaco Grand Prix","http://dbpedia.org/resource/1984_Monaco_Grand_Prix","1984"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1986 Monaco Grand Prix","http://dbpedia.org/resource/1986_Monaco_Grand_Prix","1986"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1988 Monaco Grand Prix","http://dbpedia.org/resource/1988_Monaco_Grand_Prix","1988"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1984 Dutch Grand Prix","http://dbpedia.org/resource/1984_Dutch_Grand_Prix","1984"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1984 German Grand Prix","http://dbpedia.org/resource/1984_German_Grand_Prix","1984"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1985 Austrian Grand Prix","http://dbpedia.org/resource/1985_Austrian_Grand_Prix","1985"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1985 British Grand Prix","http://dbpedia.org/resource/1985_British_Grand_Prix","1985"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1985 Italian Grand Prix","http://dbpedia.org/resource/1985_Italian_Grand_Prix","1985"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1986 Austrian Grand Prix","http://dbpedia.org/resource/1986_Austrian_Grand_Prix","1986"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1987 Belgian Grand Prix","http://dbpedia.org/resource/1987_Belgian_Grand_Prix","1987"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1987 Brazilian Grand Prix","http://dbpedia.org/resource/1987_Brazilian_Grand_Prix","1987"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1987 Portuguese Grand Prix","http://dbpedia.org/resource/1987_Portuguese_Grand_Prix","1987"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1988 Australian Grand Prix","http://dbpedia.org/resource/1988_Australian_Grand_Prix","1988"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1988 French Grand Prix","http://dbpedia.org/resource/1988_French_Grand_Prix","1988"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1988 Mexican Grand Prix","http://dbpedia.org/resource/1988_Mexican_Grand_Prix","1988"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1988 Portuguese Grand Prix","http://dbpedia.org/resource/1988_Portuguese_Grand_Prix","1988"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","McLaren","http://dbpedia.org/resource/McLaren","1989 British Grand Prix","http://dbpedia.org/resource/1989_British_Grand_Prix","1989"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","Williams Grand Prix Engineering","http://dbpedia.org/resource/Williams_Grand_Prix_Engineering","1993 German Grand Prix","http://dbpedia.org/resource/1993_German_Grand_Prix","1993"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","Williams Grand Prix Engineering","http://dbpedia.org/resource/Williams_Grand_Prix_Engineering","1993 San Marino Grand Prix","http://dbpedia.org/resource/1993_San_Marino_Grand_Prix","1993"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1990 Brazilian Grand Prix","http://dbpedia.org/resource/1990_Brazilian_Grand_Prix","1990"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1990 British Grand Prix","http://dbpedia.org/resource/1990_British_Grand_Prix","1990"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1990 French Grand Prix","http://dbpedia.org/resource/1990_French_Grand_Prix","1990"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1990 Mexican Grand Prix","http://dbpedia.org/resource/1990_Mexican_Grand_Prix","1990"
"Alain Prost","http://dbpedia.org/resource/Alain_Prost","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1990 Spanish Grand Prix","http://dbpedia.org/resource/1990_Spanish_Grand_Prix","1990"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2009 Singapore Grand Prix","http://dbpedia.org/resource/2009_Singapore_Grand_Prix","2009"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2010 Turkish Grand Prix","http://dbpedia.org/resource/2010_Turkish_Grand_Prix","2010"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2011 Chinese Grand Prix","http://dbpedia.org/resource/2011_Chinese_Grand_Prix","2011"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2011 German Grand Prix","http://dbpedia.org/resource/2011_German_Grand_Prix","2011"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2012 Hungarian Grand Prix","http://dbpedia.org/resource/2012_Hungarian_Grand_Prix","2012"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2012 Italian Grand Prix","http://dbpedia.org/resource/2012_Italian_Grand_Prix","2012"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2008 German Grand Prix","http://dbpedia.org/resource/2008_German_Grand_Prix","2008"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2011 Abu Dhabi Grand Prix","http://dbpedia.org/resource/2011_Abu_Dhabi_Grand_Prix","2011"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2008 Australian Grand Prix","http://dbpedia.org/resource/2008_Australian_Grand_Prix","2008"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2010 Belgian Grand Prix","http://dbpedia.org/resource/2010_Belgian_Grand_Prix","2010"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2010 Canadian Grand Prix","http://dbpedia.org/resource/2010_Canadian_Grand_Prix","2010"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2009 Hungarian Grand Prix","http://dbpedia.org/resource/2009_Hungarian_Grand_Prix","2009"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","McLaren","http://dbpedia.org/resource/McLaren","2012 United States Grand Prix","http://dbpedia.org/resource/2012_United_States_Grand_Prix","2012"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2013 Hungarian Grand Prix","http://dbpedia.org/resource/2013_Hungarian_Grand_Prix","2013"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2014 Abu Dhabi Grand Prix","http://dbpedia.org/resource/2014_Abu_Dhabi_Grand_Prix","2014"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2014 Bahrain Grand Prix","http://dbpedia.org/resource/2014_Bahrain_Grand_Prix","2014"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2014 Italian Grand Prix","http://dbpedia.org/resource/2014_Italian_Grand_Prix","2014"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2014 Japanese Grand Prix","http://dbpedia.org/resource/2014_Japanese_Grand_Prix","2014"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2014 Malaysian Grand Prix","http://dbpedia.org/resource/2014_Malaysian_Grand_Prix","2014"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2014 Russian Grand Prix","http://dbpedia.org/resource/2014_Russian_Grand_Prix","2014"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2014 Singapore Grand Prix","http://dbpedia.org/resource/2014_Singapore_Grand_Prix","2014"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2014 Spanish Grand Prix","http://dbpedia.org/resource/2014_Spanish_Grand_Prix","2014"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2014 United States Grand Prix","http://dbpedia.org/resource/2014_United_States_Grand_Prix","2014"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2015 Bahrain Grand Prix","http://dbpedia.org/resource/2015_Bahrain_Grand_Prix","2015"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2015 Belgian Grand Prix","http://dbpedia.org/resource/2015_Belgian_Grand_Prix","2015"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2015 Chinese Grand Prix","http://dbpedia.org/resource/2015_Chinese_Grand_Prix","2015"
"Lewis Hamilton","http://dbpedia.org/resource/Lewis_Hamilton","Mercedes-Benz in Formula One","http://dbpedia.org/resource/Mercedes-Benz_in_Formula_One","2015 Italian Grand Prix","http://dbpedia.org/resource/2015_Italian_Grand_Prix","2015"
