"Country","Country__URI","Capital","Capital__URI","Population","Largest city","Largest city__URI","Population.1","Ratio"
"Palau","http://dbpedia.org/resource/Palau","Ngerulmud","http://dbpedia.org/resource/Ngerulmud","271","Koror","http://dbpedia.org/resource/Koror","11,200","41.32"
"Philippines","http://dbpedia.org/resource/Philippines","Manila","http://dbpedia.org/resource/Manila","1,780,148","Quezon City","http://dbpedia.org/resource/Quezon_City","2,936,116","1.67"
"San Marino","http://dbpedia.org/resource/San_Marino","San Marino","http://dbpedia.org/resource/City_of_San_Marino","4,211","Serravalle","http://dbpedia.org/resource/Serravalle_(San_Marino)","10,601","2.52"
"South Africa","http://dbpedia.org/resource/South_Africa","Pretoria","http://dbpedia.org/resource/Pretoria","2,345,908","Johannesburg","http://dbpedia.org/resource/Johannesburg","3,888,180","1.66"
"Sudan","http://dbpedia.org/resource/Sudan","Khartoum","http://dbpedia.org/resource/Khartoum","2,207,794","Omdurman","http://dbpedia.org/resource/Omdurman","2,395,159","1.08"
"Sri Lanka","http://dbpedia.org/resource/Sri_Lanka","Sri Jayawardenepura Kotte","http://dbpedia.org/resource/Sri_Jayawardenepura_Kotte","115,826","Colombo","http://dbpedia.org/resource/Colombo","642,163","5.54"
"Switzerland","http://dbpedia.org/resource/Switzerland","Bern","http://dbpedia.org/resource/Bern","138,041","Zürich","http://dbpedia.org/resource/Zürich","397,698","2.88"
"Tanzania","http://dbpedia.org/resource/Tanzania","Dodoma","http://dbpedia.org/resource/Dodoma","324,347","Dar es Salaam","http://dbpedia.org/resource/Dar_es_Salaam","2,497,940","7.70"
"Trinidad and Tobago","http://dbpedia.org/resource/Trinidad_and_Tobago","Port of Spain","http://dbpedia.org/resource/Port_of_Spain","49,000","Chaguanas","http://dbpedia.org/resource/Chaguanas","67,400","1.37"
"Turkey","http://dbpedia.org/resource/Turkey","Ankara","http://dbpedia.org/resource/Ankara","5,150,072","Istanbul","http://dbpedia.org/resource/Istanbul","14,377,018","3.4"
"United Arab Emirates","http://dbpedia.org/resource/United_Arab_Emirates","Abu Dhabi","http://dbpedia.org/resource/Abu_Dhabi","896,751","Dubai","http://dbpedia.org/resource/Dubai","2,262,000","2.52"
"United States","http://dbpedia.org/resource/United_States","Washington, D.C.","http://dbpedia.org/resource/Washington,_D.C.","672,228","New York City","http://dbpedia.org/resource/New_York_City","8,550,405","12.72"
"Vietnam","http://dbpedia.org/resource/Vietnam","Hanoi","http://dbpedia.org/resource/Hanoi","6,500,000","Ho Chi Minh City","http://dbpedia.org/resource/Ho_Chi_Minh_City","7,123,340","1.1"
