"OAU State","OAU State__URI","Official Language","Official Language__URI","IMF SDRs","Date of Independence","Head of Central Bank","Capital","Capital__URI","IMF #Votes","Name of Currency","Name of Currency__URI"
"Dijiboutii","http://dbpedia.org/resource/Djibouti","Arabicc","http://dbpedia.org/resource/Arabic","11.5","Jun 1977","Djama Mahamoud Haid","Djibouti","http://dbpedia.org/resource/Djibouti_(city)","365","Djib francc","http://dbpedia.org/resource/Djiboutian_franc"
"Dijiboutii","http://dbpedia.org/resource/Djibouti","Frenchh","http://dbpedia.org/resource/French_language","11.5","Jun 1977","Djama Mahamoud Haid","Djibouti","http://dbpedia.org/resource/Djibouti_(city)","365","Djib francc","http://dbpedia.org/resource/Djiboutian_franc"
"Egyptt","http://dbpedia.org/resource/Egypt","Arabicc","http://dbpedia.org/resource/Arabic","678.4","Feb 1922","Moheiddin El-Gharib","Cairo","http://dbpedia.org/resource/Cairo","7,034","Egyptian, Pound","http://dbpedia.org/resource/Egyptian_pound"
"Equatorial Guineaa","http://dbpedia.org/resource/Equatorial_Guinea","Spanishh","http://dbpedia.org/resource/Spanish_language","24.3","Oct 1968","Marceli Oyono Ntutumu","Malabo","http://dbpedia.org/resource/Malabo","493","CFA francc","http://dbpedia.org/resource/CFA_franc"
"Eritrea","http://dbpedia.org/resource/Eritrea","","","11.5","May 1993","Tekie Beyene","Asmara","http://dbpedia.org/resource/Asmara","365","Nakffa","http://dbpedia.org/resource/Eritrean_nakfa"
"Ethiopiaa","http://dbpedia.org/resource/Ethiopia","Amharicc","http://dbpedia.org/resource/Amharic","98.3","1,000BC","Dubale Jale","Addis Ababa","http://dbpedia.org/resource/Addis_Ababa","1,233","Birr","http://dbpedia.org/resource/Ethiopian_birr"
"Gabon","http://dbpedia.org/resource/Gabon","Frenchh","http://dbpedia.org/resource/French_language","110.3","Aug 1960","Marcel Doupamby Matoka","Libreville","http://dbpedia.org/resource/Libreville","1,242","CFAA franc","http://dbpedia.org/resource/CFA_franc"
"Gambia, Thee","http://dbpedia.org/resource/The_Gambia","Engllish","http://dbpedia.org/resource/English_language","22.9","Feb 1965","Dominic Mendy","Benjul","http://dbpedia.org/resource/Banjul","479","Dalasi","http://dbpedia.org/resource/Gambian_dalasi"
"Ghana","http://dbpedia.org/resource/Ghana","English","http://dbpedia.org/resource/English_language","274.0","Mar 1957","Kwabena Duffour","Accra","http://dbpedia.org/resource/Accra","2,990","Cedi","http://dbpedia.org/resource/Cedi"
"Guinea","http://dbpedia.org/resource/Guinea","French","http://dbpedia.org/resource/French_language","78.7","Oct 1958","Ibrahima Kassory Fofana","Conakry","http://dbpedia.org/resource/Conakry","1,037","Guinean franc","http://dbpedia.org/resource/Guinean_franc"
"Guinea-Bissauu","http://dbpedia.org/resource/Guinea-Bissau","Portuguesee","http://dbpedia.org/resource/Portuguese_language","10.5","Sep 1974","Issufo Sanha","Bissau","http://dbpedia.org/resource/Bissau","355","Guinea-Bissau pesoo","http://dbpedia.org/resource/Guinea-Bissau_peso"
"Kanya","http://dbpedia.org/resource/Kenya","Swahilii","http://dbpedia.org/resource/Swahili_language","199.4","Dec 1963","Musalia Mudavadi","Nairobi","http://dbpedia.org/resource/Nairobi","2,224","Kenya shillingg","http://dbpedia.org/resource/Kenya_shilling"
"Kanyaa","http://dbpedia.org/resource/Kenya","Engliish","http://dbpedia.org/resource/English_language","199.4","Dec 1963","Musalia Mudavadi","Nairobi","http://dbpedia.org/resource/Nairobi","2,224","Kenya shillingg","http://dbpedia.org/resource/Kenya_shilling"
"Lesotho","http://dbpedia.org/resource/Lesotho","Sothoo","http://dbpedia.org/resource/Sotho_language","23.9","Oct 1966","C.T Thamae","Maseru","http://dbpedia.org/resource/Maseru","489","Maalito (Loti)","http://dbpedia.org/resource/Lesotho_loti"
"Lesotho","http://dbpedia.org/resource/Lesotho","Englishh","http://dbpedia.org/resource/English_language","23.9","Oct 1966","C.T Thamae","Maseru","http://dbpedia.org/resource/Maseru","489","Malito (Loti)","http://dbpedia.org/resource/Lesotho_loti"
"Liberiaa","http://dbpedia.org/resource/Liberia","English","http://dbpedia.org/resource/English_language","71.3","July 1847","Elio E. Saleeby","Monrovia","http://dbpedia.org/resource/Monrovia","963","Liberian dollaar","http://dbpedia.org/resource/Liberian_dollar"
"Libyaa","http://dbpedia.org/resource/Libya","Arabicc","http://dbpedia.org/resource/Arabic","817.6","Dec 1951","Taher E. Jehaimi","Tripoli","http://dbpedia.org/resource/Tripoli","8,426","Libyan dinarr","http://dbpedia.org/resource/Libyan_dinar"
"Maddagascar","http://dbpedia.org/resource/Madagascar","Malagasy","http://dbpedia.org/resource/Malagasy_language","90.4","Jul 1960","Andrianarivo Tantely","Antananarivo","http://dbpedia.org/resource/Antananarivo","1,154","Madagasy francc","http://dbpedia.org/resource/Malagasy_franc"
"Madagascarr","http://dbpedia.org/resource/Madagascar","Frencch","http://dbpedia.org/resource/French_language","90.4","Jul 1960","Andrianarivo Tantely","Antananarivo","http://dbpedia.org/resource/Antananarivo","1,154","Madagasy francc","http://dbpedia.org/resource/Malagasy_franc"
"Malawii","http://dbpedia.org/resource/Malawi","EEnglish","http://dbpedia.org/resource/English_language","50.9","Jul 1964","M.A.P. Chikaonda","Lilongwe","http://dbpedia.org/resource/Lilongwe","759","Malawi Kwachaa","http://dbpedia.org/resource/Malawian_kwacha"
"Mali","http://dbpedia.org/resource/Mali","Frenchh","http://dbpedia.org/resource/French_language","68.9","Jul 1965","Soumaila Cisse","Bama Ko","http://dbpedia.org/resource/Bamako","939","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Mauritaniaa","http://dbpedia.org/resource/Mauritania","Arabicc","http://dbpedia.org/resource/Arabic","47.5","Nov 1960","Mohamedou Ould Michel","Nouakchott","http://dbpedia.org/resource/Nouakchott","725","Ouguiyaa","http://dbpedia.org/resource/Mauritanian_ouguiya"
"Mauritius","http://dbpedia.org/resource/Mauritius","Englishh","http://dbpedia.org/resource/English_language","73.3","Mar 1968","Vasant Kumar Bunwaree","Porto Louis","http://dbpedia.org/resource/Port_Louis","893","Mouritian rupeee","http://dbpedia.org/resource/Mauritian_rupee"
"Morocco","http://dbpedia.org/resource/Morocco","Arrabic","http://dbpedia.org/resource/Arabic","427.7","Mar 1956","Mohamed Seqat","Rabat","http://dbpedia.org/resource/Rabat","4,527","Morrocan dirhamm","http://dbpedia.org/resource/Moroccan_dirham"
"Mozambiquee","http://dbpedia.org/resource/Mozambique","Portuguesee","http://dbpedia.org/resource/Portuguese_language","84.0","Jun 1975","Tomaz Augusto Salomao","Maputo","http://dbpedia.org/resource/Maputo","1090","Meticall","http://dbpedia.org/resource/Mozambican_metical"
"Namibia","http://dbpedia.org/resource/Namibia","Englishh","http://dbpedia.org/resource/English_language","99.6","Mar 1990","Nangolo Mbumba","Windhoek","http://dbpedia.org/resource/Windhoek","1,246","Nambian dollar","http://dbpedia.org/resource/Namibian_dollar"
"Niiger","http://dbpedia.org/resource/Niger","Frenchh","http://dbpedia.org/resource/French_language","48.3","Aug 1960","Ahmadou Mayaki","Niamey","http://dbpedia.org/resource/Niamey","733","CFA francc","http://dbpedia.org/resource/CFA_franc"
"Nigeriaa","http://dbpedia.org/resource/Nigeria","Englishh","http://dbpedia.org/resource/English_language","1,281.6","Oct 1960","Anthony A. Ani","Lagos","http://dbpedia.org/resource/Lagos","13.006","Nigerian Nairaa","http://dbpedia.org/resource/Nigerian_naira"
"Rwannda","http://dbpedia.org/resource/Rwanda","Rwandaa","http://dbpedia.org/resource/Kinyarwanda","59.5","Jul 1962","Donat Kaberuka","Kagali","http://dbpedia.org/resource/Kigali","845","Rwanndan franc","http://dbpedia.org/resource/Rwandan_franc"
"Rwandaa","http://dbpedia.org/resource/Rwanda","Freench","http://dbpedia.org/resource/French_language","59.5","Jul 1962","Donat Kaberuka","Kagali","http://dbpedia.org/resource/Kigali","845","Rwandan francc","http://dbpedia.org/resource/Rwandan_franc"
"Sao Tome and Principee","http://dbpedia.org/resource/Sao_Tome_and_Principe","Portuguesee","http://dbpedia.org/resource/Portuguese_language","5.5","Jul 1975","Carlos Quaresma Batista","Sao Tome","http://dbpedia.org/resource/São_Tomé","305","Dobra","http://dbpedia.org/resource/São_Tomé_and_Príncipe_dobra"
"Senegall","http://dbpedia.org/resource/Senegal","Frenchh","http://dbpedia.org/resource/French_language","118.9","Aug 1960","Papa Ousmane Sakho","Dakar","http://dbpedia.org/resource/Dakar","1,439","CFA frranc","http://dbpedia.org/resource/CFA_franc"
"Seychelless","http://dbpedia.org/resource/Seychelles","","","6.0","Jun 1976","James Michel","Victoria","http://dbpedia.org/resource/Victoria,_Seychelles","310","Seychelles rupee","http://dbpedia.org/resource/Seychellois_rupee"
"Sierra Leonee","http://dbpedia.org/resource/Sierra_Leone","English","http://dbpedia.org/resource/English_language","77.2","Aug 1960","Thaimu Bangura","Freetown","http://dbpedia.org/resource/Freetown","1022","Leon","http://dbpedia.org/resource/Sierra_Leonean_leone"
"Somalia","http://dbpedia.org/resource/Somalia","Somalli","http://dbpedia.org/resource/Somali_language","44.2","Jul 1961","Vacant","Mogadishu","http://dbpedia.org/resource/Mogadishu","692","Someli Shillingg","http://dbpedia.org/resource/Somali_shilling"
"Somaliaa","http://dbpedia.org/resource/Somalia","AArabic","http://dbpedia.org/resource/Arabic","44.2","Jul 1961","Vacant","Mogadishu","http://dbpedia.org/resource/Mogadishu","692","Someli Shillingg","http://dbpedia.org/resource/Somali_shilling"
"SSouth Africa","http://dbpedia.org/resource/South_Africa","English....","http://dbpedia.org/resource/English_language","1,365.4","May 1910","Christian Lodewyk Stals","Pretoria","http://dbpedia.org/resource/Pretoria","13,904","Randd","http://dbpedia.org/resource/South_African_rand"
"Sudann","http://dbpedia.org/resource/Sudan","Arabicc","http://dbpedia.org/resource/Arabic","169.7","Jan 1956","Vacant","Khartoum","http://dbpedia.org/resource/Khartoum","000","Suudanese dinar","http://dbpedia.org/resource/Sudanese_dinar"
"Swazilandd","http://dbpedia.org/resource/Swaziland","Swazii","http://dbpedia.org/resource/Swazi_language","36.5","Sep 1968","Themba N. Mashuka","Mbabane","http://dbpedia.org/resource/Mbabane","615","Lulangeni","http://dbpedia.org/resource/Swazi_lilangeni"
"Swaziland","http://dbpedia.org/resource/Swaziland","English","http://dbpedia.org/resource/English_language","36.5","Sep 1968","Themba N. Mashuka","Mbabane","http://dbpedia.org/resource/Mbabane","615","Lulangenii","http://dbpedia.org/resource/Swazi_lilangeni"
"Tanzania","http://dbpedia.org/resource/Tanzania","Swahilii","http://dbpedia.org/resource/Swahili_language","146.9","Dec 1961","Daniel N. Yona","Dar es Salaam","http://dbpedia.org/resource/Dar_es_Salaam","1,719","Tansaniann shilling","http://dbpedia.org/resource/Tanzanian_shilling"
"Tanzaniaa","http://dbpedia.org/resource/Tanzania","Englishh","http://dbpedia.org/resource/English_language","146.9","Dec 1961","Daniel N. Yona","Dar es Salaam","http://dbpedia.org/resource/Dar_es_Salaam","1,719","Tansanian shillingg","http://dbpedia.org/resource/Tanzanian_shilling"
"Togoo","http://dbpedia.org/resource/Togo","French","http://dbpedia.org/resource/French_language","54.3","Apr 1960","Barry Moussa Barque","Lome","http://dbpedia.org/resource/Lomé","793","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Tunisiaa","http://dbpedia.org/resource/Tunisia","Araabic","http://dbpedia.org/resource/Arabic","206.0","Mar 1956","Mohamed El Beji Hamda","Tunis","http://dbpedia.org/resource/Tunis","2,310","DDinar","http://dbpedia.org/resource/Tunisian_dinar"
"Ugandaa","http://dbpedia.org/resource/Uganda","Swahilii","http://dbpedia.org/resource/Swahili_language","133.9","Oct 1962","Jehoash Mayanja-Nkangi","Kampela","http://dbpedia.org/resource/Kampala","1,589","Uganda shilling","http://dbpedia.org/resource/Ugandan_shilling"
"Ugandaa","http://dbpedia.org/resource/Uganda","Engglish","http://dbpedia.org/resource/English_language","133.9","Oct 1962","Jehoash Mayanja-Nkangi","Kampela","http://dbpedia.org/resource/Kampala","1,589","Uganda shillingg","http://dbpedia.org/resource/Ugandan_shilling"
"Zambiaa","http://dbpedia.org/resource/Zambia","Engllish","http://dbpedia.org/resource/English_language","363.5","Oct 1964","Ronald Damson Siame Penza","Lusaka","http://dbpedia.org/resource/Lusaka","3,885","Zambian Kwachaa","http://dbpedia.org/resource/Zambian_kwacha"
"Zambabwee","http://dbpedia.org/resource/Zimbabwe","Englishh","http://dbpedia.org/resource/English_language","261.3","Sep 1980","Herbert Murerwa","Harare","http://dbpedia.org/resource/Harare","2,863","Zambabe dollarr","http://dbpedia.org/resource/Zimbabwean_dollar"
