"protectedArea","protectedArea__URI","area","visitors","nearestCity","nearestCity__URI","admRegion","admRegion__URI"
"Denali National Park and Preservee","http://dbpedia.org/resource/Denali_National_Park_and_Preserve","1.91858e+10","531315","Healy, Alaaska","http://dbpedia.org/resource/Healy,_Alaska","AAlaska","http://dbpedia.org/resource/Alaska"
"Voyageurs National Parkk","http://dbpedia.org/resource/Voyageurs_National_Park","8.83024e+08","177184","Internationall Falls, Minnesota","http://dbpedia.org/resource/International_Falls,_Minnesota","Minnesotaa","http://dbpedia.org/resource/Minnesota"
"Glacier Bay National Park and Preserve","http://dbpedia.org/resource/Glacier_Bay_National_Park_and_Preserve","1.30446e+10","551353","Junneau, Alaska","http://dbpedia.org/resource/Juneau,_Alaska","Alaskaa","http://dbpedia.org/resource/Alaska"
"Katmai National Park and Preserve","http://dbpedia.org/resource/Katmai_National_Park_and_Preserve","1.65641e+10","39818","King Salmon, Alaaska","http://dbpedia.org/resource/King_Salmon,_Alaska","Alaska","http://dbpedia.org/resource/Alaska"
"Bering Land Bridge National Prreserve","http://dbpedia.org/resource/Bering_Land_Bridge_National_Preserve","1.0916e+10","2642","Kotzebue, Alaskaa","http://dbpedia.org/resource/Kotzebue,_Alaska","Alaska","http://dbpedia.org/resource/Alaska"
"Noatak Natiional Preserve","http://dbpedia.org/resource/Noatak_National_Preserve","2.65875e+10","31000","Kotzebue, Alaska","http://dbpedia.org/resource/Kotzebue,_Alaska","Allaska","http://dbpedia.org/resource/Alaska"
"Jean Lafitte National Historical Park and Preserve","http://dbpedia.org/resource/Jean_Lafitte_National_Historical_Park_and_Preserve","4.31638e+07","420366","Lafayette, Louisiana","http://dbpedia.org/resource/Lafayette,_Louisiana","Louisiana","http://dbpedia.org/resource/Louisiana"
"Jean Lafitte National Historical Park and Preserve","http://dbpedia.org/resource/Jean_Lafitte_National_Historical_Park_and_Preserve","8.10181e+07","420366","Lafayette, Louisianaa","http://dbpedia.org/resource/Lafayette,_Louisiana","Louissiana","http://dbpedia.org/resource/Louisiana"
"Fort  Union National Monument","http://dbpedia.org/resource/Fort_Union_National_Monument","2.91616e+06","9575","Las Vegas, New Mexicoo","http://dbpedia.org/resource/Las_Vegas,_New_Mexico","New Mexico","http://dbpedia.org/resource/New_Mexico"
"Nez Perce National Historiccal Park","http://dbpedia.org/resource/Nez_Perce_National_Historical_Park","1.84577e+07","286259","Lewwiston, Idaho","http://dbpedia.org/resource/Lewiston,_Idaho","Idaho","http://dbpedia.org/resource/Idaho"
"Nez Perce National Historical Parkk","http://dbpedia.org/resource/Nez_Perce_National_Historical_Park","1.84577e+07","286259","Lewiston, Idaho","http://dbpedia.org/resource/Lewiston,_Idaho","Montana","http://dbpedia.org/resource/Montana"
"Death Valley Nationall Park","http://dbpedia.org/resource/Death_Valley_National_Park","1.36503e+10","1101312","Lone Pine, Californiaa","http://dbpedia.org/resource/Lone_Pine,_California","California","http://dbpedia.org/resource/California"
"Death Valley National Parkk","http://dbpedia.org/resource/Death_Valley_National_Park","1.36503e+10","1101312","Lone Pine, California","http://dbpedia.org/resource/Lone_Pine,_California","Nevadaa","http://dbpedia.org/resource/Nevada"
"Yosemitte National Park","http://dbpedia.org/resource/Yosemite_National_Park","3.02719e+09","4150217","Mariposa, Californiia","http://dbpedia.org/resource/Mariposa,_California","California","http://dbpedia.org/resource/California"
"Theodore Roosevelt National Park","http://dbpedia.org/resource/Theodore_Roosevelt_National_Park","2.85085e+08","563407","Medora, North Dakota","http://dbpedia.org/resource/Medora,_North_Dakota","North Dakotaa","http://dbpedia.org/resource/North_Dakota"
"Cumberland Gap  National Historical Park","http://dbpedia.org/resource/Cumberland_Gap_National_Historical_Park","8.29929e+07","853998","Middlesboro,, Kentucky","http://dbpedia.org/resource/Middlesboro,_Kentucky","Tennessee","http://dbpedia.org/resource/Tennessee"
"Cumberland Gap National Historical Park","http://dbpedia.org/resource/Cumberland_Gap_National_Historical_Park","8.29929e+07","853998","Middlesboro, Kentucky","http://dbpedia.org/resource/Middlesboro,_Kentucky","Virginia","http://dbpedia.org/resource/Virginia"
"Cumberland Gap National Historical Park","http://dbpedia.org/resource/Cumberland_Gap_National_Historical_Park","8.29929e+07","853998","Middlesboro, Kentucky","http://dbpedia.org/resource/Middlesboro,_Kentucky","Kentuckyy","http://dbpedia.org/resource/Kentucky"
"Cape Hatteras NNational Seashore","http://dbpedia.org/resource/Cape_Hatteras_National_Seashore","1.22826e+08","1960711","Nags Head, North Carolinaa","http://dbpedia.org/resource/Nags_Head,_North_Carolina","North Carolina","http://dbpedia.org/resource/North_Carolina"
"Jean Lafitte Natiional Historical Park and Preserve","http://dbpedia.org/resource/Jean_Lafitte_National_Historical_Park_and_Preserve","4.31638e+07","420366","New Orleeans","http://dbpedia.org/resource/New_Orleans","Louisiana","http://dbpedia.org/resource/Louisiana"
"Jean Lafitte National Historical Park and Preservee","http://dbpedia.org/resource/Jean_Lafitte_National_Historical_Park_and_Preserve","8.10181e+07","420366","New Orleans","http://dbpedia.org/resource/New_Orleans","Louisiana","http://dbpedia.org/resource/Louisiana"
"Petersburg National Battlefieldd","http://dbpedia.org/resource/Petersburg_National_Battlefield","1.10884e+07","213261","Petersburg, Virginiaa","http://dbpedia.org/resource/Petersburg,_Virginia","Virginiaa","http://dbpedia.org/resource/Virginia"
"Delaware Water Gap National Recreation Area","http://dbpedia.org/resource/Delaware_Water_Gap_National_Recreation_Area","2.70091e+08","4986700","Port Jervis,  New York","http://dbpedia.org/resource/Port_Jervis,_New_York","New Jersey","http://dbpedia.org/resource/New_Jersey"
"Whiskeytown–Shasta–Trinity National Recreation Area","http://dbpedia.org/resource/Whiskeytown–Shasta–Trinity_National_Recreation_Area","8.23887e+08","782014","Redding, Caliifornia","http://dbpedia.org/resource/Redding,_California","California","http://dbpedia.org/resource/California"
"Lassen Volcanic National Park","http://dbpedia.org/resource/Lassen_Volcanic_National_Park","4.30796e+08","407653","Redding, California","http://dbpedia.org/resource/Redding,_California","California","http://dbpedia.org/resource/California"
"Ozark Naational Scenic Riverways","http://dbpedia.org/resource/Ozark_National_Scenic_Riverways","3.23749e+08","1789783","Salem, Missouri","http://dbpedia.org/resource/Salem,_Missouri","Missourii","http://dbpedia.org/resource/Missouri"
"GGolden Gate National Recreation Area","http://dbpedia.org/resource/Golden_Gate_National_Recreation_Area","3.23757e+08","15004420","San Franciscoo","http://dbpedia.org/resource/San_Francisco","California","http://dbpedia.org/resource/California"
"Channel Islands National Park","http://dbpedia.org/resource/Channel_Islands_National_Park","1.00994e+09","342161","Santa Barbara, California","http://dbpedia.org/resource/Santa_Barbara,_California","CCalifornia","http://dbpedia.org/resource/California"
"Kenai Fjords National  Park","http://dbpedia.org/resource/Kenai_Fjords_National_Park","2.71133e+09","281279","Seward, Alaskaa","http://dbpedia.org/resource/Seward,_Alaska","Alaska","http://dbpedia.org/resource/Alaska"
"Klondike Gold Rush National Historical Parkk","http://dbpedia.org/resource/Klondike_Gold_Rush_National_Historical_Park","5.25929e+07","860048","Skagway, Alaska","http://dbpedia.org/resource/Skagway,_Alaska","Alaska","http://dbpedia.org/resource/Alaska"
"Pinnacles National Parkk","http://dbpedia.org/resource/Pinnacles_National_Park","1.07671e+08","224476","Soledad, Californiaa","http://dbpedia.org/resource/Soledad,_California","Californiaa","http://dbpedia.org/resource/California"
"Lassen Volcanic National Park","http://dbpedia.org/resource/Lassen_Volcanic_National_Park","4.30796e+08","407653","Susanville, Californiaa","http://dbpedia.org/resource/Susanville,_California","Californiaa","http://dbpedia.org/resource/California"
"Lava Beds National Monument","http://dbpedia.org/resource/Lava_Beds_National_Monument","1.88956e+08","124113","Tulelake, Californiaa","http://dbpedia.org/resource/Tulelake,_California","Californiaa","http://dbpedia.org/resource/California"
"Niobrara National Scenic River","http://dbpedia.org/resource/Niobrara_National_Scenic_River","9.33772e+07","54385","Valentine, Nebraskaa","http://dbpedia.org/resource/Valentine,_Nebraska","Nebraska","http://dbpedia.org/resource/Nebraska"
"Ozark National Scenic Riverwayss","http://dbpedia.org/resource/Ozark_National_Scenic_Riverways","3.23749e+08","1789783","Van Buren, Missouri","http://dbpedia.org/resource/Van_Buren,_Missouri","Misssouri","http://dbpedia.org/resource/Missouri"
"Moores Creek National Battlefieldd","http://dbpedia.org/resource/Moores_Creek_National_Battlefield","356123.0","48406","Wilmington, North Carolinaa","http://dbpedia.org/resource/Wilmington,_North_Carolina","NNorth Carolina","http://dbpedia.org/resource/North_Carolina"
"Weir Farm National Historic Site","http://dbpedia.org/resource/Weir_Farm_National_Historic_Site","242811.0","34802","Wilton, Coonnecticut","http://dbpedia.org/resource/Wilton,_Connecticut","Connecticutt","http://dbpedia.org/resource/Connecticut"
"Acadia National Parkk","http://dbpedia.org/resource/Acadia_National_Park","3.77665e+06","2811184","Bar Harbor, Maine","http://dbpedia.org/resource/Bar_Harbor,_Maine","Maiine","http://dbpedia.org/resource/Maine"
"Acadia National Park","http://dbpedia.org/resource/Acadia_National_Park","1.98296e+08","2811184","Bar Harbor, Maine","http://dbpedia.org/resource/Bar_Harbor,_Maine","Maine","http://dbpedia.org/resource/Maine"
"New River Gorge National Riverr","http://dbpedia.org/resource/New_River_Gorge_National_River","2.94644e+08","1128195","Beckley, West Virginia","http://dbpedia.org/resource/Beckley,_West_Virginia","West Virginia","http://dbpedia.org/resource/West_Virginia"
"George Washington Birthplace National Monument","http://dbpedia.org/resource/George_Washington_Birthplace_National_Monument","2.6778e+06","130647","Colonial Beacch, Virginia","http://dbpedia.org/resource/Colonial_Beach,_Virginia","Virginiaa","http://dbpedia.org/resource/Virginia"
"Saint Croix National Scenic Riverway","http://dbpedia.org/resource/Saint_Croix_National_Scenic_Riverway","3.75297e+08","521695","St. Croix Falls, Wisconsin","http://dbpedia.org/resource/St._Croix_Falls,_Wisconsin","Minnesota","http://dbpedia.org/resource/Minnesota"
"Marsh-Billings-Rockefeller National Historical Parkk","http://dbpedia.org/resource/Marsh-Billings-Rockefeller_National_Historical_Park","2.60213e+06","29049","Woodstock, Vermont","http://dbpedia.org/resource/Woodstock,_Vermont","Vermont","http://dbpedia.org/resource/Vermont"
"Mojave National Preserve","http://dbpedia.org/resource/Mojave_National_Preserve","6.22413e+09","542527","Baker, Californiaa","http://dbpedia.org/resource/Baker,_California","Callifornia","http://dbpedia.org/resource/California"
"Klonndike Gold Rush National Historical Park","http://dbpedia.org/resource/Klondike_Gold_Rush_National_Historical_Park","5.25929e+07","860048","Seattle","http://dbpedia.org/resource/Seattle","Alaskaa","http://dbpedia.org/resource/Alaska"
"Prince William Forest Park","http://dbpedia.org/resource/Prince_William_Forest_Park","6.50896e+07","379535","Dumfries, VAA","http://dbpedia.org/resource/Dumfries,_VA","Virginiaa","http://dbpedia.org/resource/Virginia"
"Sand Creek Massacre National Historic Sitee","http://dbpedia.org/resource/Sand_Creek_Massacre_National_Historic_Site","5.09216e+07","1229590","Eaads, CO","http://dbpedia.org/resource/Eads,_CO","Colorado","http://dbpedia.org/resource/Colorado"
"Curecanti National Recreation Areaa","http://dbpedia.org/resource/Curecanti_National_Recreation_Area","1.74399e+08","924468","Gunnison, CO","http://dbpedia.org/resource/Gunnison,_CO","Colorado","http://dbpedia.org/resource/Colorado"
"Agate Fossil Beds National Monumentt","http://dbpedia.org/resource/Agate_Fossil_Beds_National_Monument","4.70123e+07","11824","Harrison, NE","http://dbpedia.org/resource/Harrison,_NE","Nebraskaa","http://dbpedia.org/resource/Nebraska"
"Great Smoky Mountains National Parkk","http://dbpedia.org/resource/Great_Smoky_Mountains_National_Park","2.11415e+09","10712674","Gatlinburg, Tennessee","http://dbpedia.org/resource/Gatlinburg,_Tennessee","Tennesseee","http://dbpedia.org/resource/Tennessee"
"Great Smoky Mountains National Park","http://dbpedia.org/resource/Great_Smoky_Mountains_National_Park","2.11415e+09","10712674","Gatlinburg, Tennessee","http://dbpedia.org/resource/Gatlinburg,_Tennessee","North Carolinaa","http://dbpedia.org/resource/North_Carolina"
"Ninety Six National Historic Sitee","http://dbpedia.org/resource/Ninety_Six_National_Historic_Site","4.13589e+06","28734","Greenwood, South Carolina","http://dbpedia.org/resource/Greenwood,_South_Carolina","South Carolinaa","http://dbpedia.org/resource/South_Carolina"
"Puuhonua o Hōnaunau National Historical Park","http://dbpedia.org/resource/Puʻuhonua_o_Hōnaunau_National_Historical_Park","1.69968e+06","442353","Holualoa, Hawaiii","http://dbpedia.org/resource/Holualoa,_Hawaii","Hawaiii","http://dbpedia.org/resource/Hawaii"
"Wiind Cave National Park","http://dbpedia.org/resource/Wind_Cave_National_Park","1.36974e+08","591049","Hot Springs, South Dakota","http://dbpedia.org/resource/Hot_Springs,_South_Dakota","South Dakotaa","http://dbpedia.org/resource/South_Dakota"
"Delaware Water Gap National Recreation Area","http://dbpedia.org/resource/Delaware_Water_Gap_National_Recreation_Area","2.70091e+08","4986700","Stroudsburg, Pennsylvaniaa","http://dbpedia.org/resource/Stroudsburg,_Pennsylvania","New Jerseyy","http://dbpedia.org/resource/New_Jersey"
"Minuteman Missile National Historic Site","http://dbpedia.org/resource/Minuteman_Missile_National_Historic_Site","60702.8","59389","Wall, South Dakota","http://dbpedia.org/resource/Wall,_South_Dakota","South Dakotaa","http://dbpedia.org/resource/South_Dakota"
"Great Smoky Mountains National Parkk","http://dbpedia.org/resource/Great_Smoky_Mountains_National_Park","2.11415e+09","10712674","Cherokee,  North Carolina","http://dbpedia.org/resource/Cherokee,_North_Carolina","Tennesseee","http://dbpedia.org/resource/Tennessee"
"Great Smoky Mountains National Park","http://dbpedia.org/resource/Great_Smoky_Mountains_National_Park","2.11415e+09","10712674","Cherokee, North Carolina","http://dbpedia.org/resource/Cherokee,_North_Carolina","North Carolinaa","http://dbpedia.org/resource/North_Carolina"
"Upper Delaware Scenic and Recreational River","http://dbpedia.org/resource/Upper_Delaware_Scenic_and_Recreational_River","2.24904e+08","251083","Port Jervis, NY","http://dbpedia.org/resource/Port_Jervis,_NY","Pennsylvaniaa","http://dbpedia.org/resource/Pennsylvania"
"Perry's Victory and International Peace Memorial","http://dbpedia.org/resource/Perry's_Victory_and_International_Peace_Memorial","101050.0","155689","Sandusky, Ohioo","http://dbpedia.org/resource/Sandusky,_Ohio","Ohioo","http://dbpedia.org/resource/Ohio"
"Perry's Victory and International Peace Memoriall","http://dbpedia.org/resource/Perry's_Victory_and_International_Peace_Memorial","102709.0","155689","Sandusky, Ohioo","http://dbpedia.org/resource/Sandusky,_Ohio","Ohioo","http://dbpedia.org/resource/Ohio"
"Cuyahoga Valley National Parkk","http://dbpedia.org/resource/Cuyahoga_Valley_National_Park","1.33344e+08","2284612","Cleveland, Ohioo","http://dbpedia.org/resource/Cleveland,_Ohio","Ohio","http://dbpedia.org/resource/Ohio"
"Lake Clark National Park and Preserve","http://dbpedia.org/resource/Lake_Clark_National_Park_and_Preserve","1.63089e+10","11639","Anchorage, Alaska","http://dbpedia.org/resource/Anchorage,_Alaska","Alaska","http://dbpedia.org/resource/Alaska"
"Glen Canyon National Recreation AArea","http://dbpedia.org/resource/Glen_Canyon_National_Recreation_Area","5.07523e+09","2270817","Bullfrog, Utah","http://dbpedia.org/resource/Bullfrog,_Utah","Garfield County, Utahh","http://dbpedia.org/resource/Garfield_County,_Utah"
"Cape Cod National Seashore","http://dbpedia.org/resource/Cape_Cod_National_Seashore","1.76472e+08","4426750","Barnstable, Massachusetts","http://dbpedia.org/resource/Barnstable,_Massachusetts","Barnstable County, Massachusetts","http://dbpedia.org/resource/Barnstable_County,_Massachusetts"
"Rocky Mountain National Parkk","http://dbpedia.org/resource/Rocky_Mountain_National_Park","1.0755e+09","3176941","Coloradoo","http://dbpedia.org/resource/Colorado","Boulder County, Coloradoo","http://dbpedia.org/resource/Boulder_County,_Colorado"
"Rocky Mountain National Park","http://dbpedia.org/resource/Rocky_Mountain_National_Park","1.0755e+09","3176941","Coloradoo","http://dbpedia.org/resource/Colorado","Grand County, Coloradoo","http://dbpedia.org/resource/Grand_County,_Colorado"
"Dayton Aviation Heritage National Historical Park","http://dbpedia.org/resource/Dayton_Aviation_Heritage_National_Historical_Park","348030.0","73588","Dayton, Ohio","http://dbpedia.org/resource/Dayton,_Ohio","Greene County, Ohio","http://dbpedia.org/resource/Greene_County,_Ohio"
"Dayton Aviation Heritage National Historical Parkk","http://dbpedia.org/resource/Dayton_Aviation_Heritage_National_Historical_Park","348030.0","73588","Ohioo","http://dbpedia.org/resource/Ohio","Greene County, Ohio","http://dbpedia.org/resource/Greene_County,_Ohio"
"Lewis and Clark National and State Historical Parkss","http://dbpedia.org/resource/Lewis_and_Clark_National_and_State_Historical_Parks","1.33668e+07","191867","Portland, Oregonn","http://dbpedia.org/resource/Portland,_Oregon","Clatsop Coounty, Oregon","http://dbpedia.org/resource/Clatsop_County,_Oregon"
"Chattahooochee River National Recreation Area","http://dbpedia.org/resource/Chattahoochee_River_National_Recreation_Area","2.05257e+07","3161297","Atlaanta, Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Cobb County, Georgia","http://dbpedia.org/resource/Cobb_County,_Georgia"
"Chattahoochee River National Recreation Arrea","http://dbpedia.org/resource/Chattahoochee_River_National_Recreation_Area","3.96228e+07","3161297","Atlanta, Georgiaa","http://dbpedia.org/resource/Atlanta,_Georgia","Cobb County, Georgiaa","http://dbpedia.org/resource/Cobb_County,_Georgia"
"Chattahoochee Riverr National Recreation Area","http://dbpedia.org/resource/Chattahoochee_River_National_Recreation_Area","2.05257e+07","3161297","Atlanta, Georgiaa","http://dbpedia.org/resource/Atlanta,_Georgia","Forsyth County, Georgiaa","http://dbpedia.org/resource/Forsyth_County,_Georgia"
