"manufacturer","manufacturer__URI","manufacturerCountry","manufacturerCountry__URI","automobile","automobile__URI","assemblyPlace","assemblyPlace__URI","year","sold"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","6th of October City","http://dbpedia.org/resource/6th_of_October_City","2006","50195"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Johor Bahru","http://dbpedia.org/resource/Johor_Bahru","2006","50195"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Bogor","http://dbpedia.org/resource/Bogor","2006","50195"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Santiago Tianguistenco","http://dbpedia.org/resource/Santiago_Tianguistenco","2006","50195"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Kuala Lumpur","http://dbpedia.org/resource/Kuala_Lumpur","2007","308200"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Jakarta","http://dbpedia.org/resource/Jakarta","2007","308200"
"Peugeot","http://dbpedia.org/resource/Peugeot","France","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Tehran","http://dbpedia.org/resource/Tehran","2007","308200"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francce","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Buenos Aires","http://dbpedia.org/resource/Buenos_Aires","2007","308200"
"Mercedes-Benz","http://dbpedia.org/resource/Mercedes-Benz","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz R-Class","http://dbpedia.org/resource/Mercedes-Benz_R-Class","Vance, Alabama","http://dbpedia.org/resource/Vance,_Alabama","2007","13031"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 107","http://dbpedia.org/resource/Peugeot_107","Kolín","http://dbpedia.org/resource/Kolín","2007","104400"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Ryton-on-Dunsmore","http://dbpedia.org/resource/Ryton-on-Dunsmore","2007","308200"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Los Andes, Chile","http://dbpedia.org/resource/Los_Andes,_Chile","2007","308200"
"Peugeot","http://dbpedia.org/resource/Peugeot","France","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Barra de Carrasco","http://dbpedia.org/resource/Barra_de_Carrasco","2007","308200"
"Ford Motor Company","http://dbpedia.org/resource/Ford_Motor_Company","United States","http://dbpedia.org/resource/United_States","Ford Five Hundred","http://dbpedia.org/resource/Ford_Five_Hundred","Chicago","http://dbpedia.org/resource/Chicago","2007","35146"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 307","http://dbpedia.org/resource/Peugeot_307","Villa Bosch","http://dbpedia.org/resource/Villa_Bosch","2007","369100"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 307","http://dbpedia.org/resource/Peugeot_307","El Palomar, Buenos Aires","http://dbpedia.org/resource/El_Palomar,_Buenos_Aires","2007","369100"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Buick Rendezvous","http://dbpedia.org/resource/Buick_Rendezvous","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2007","15295"
"General Motors","http://dbpedia.org/resource/General_Motors","United Statess","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2007","69"
"Cadillac","http://dbpedia.org/resource/Cadillac","United Statess","http://dbpedia.org/resource/United_States","Cadillac STS","http://dbpedia.org/resource/Cadillac_STS","Kaliningrad Oblast","http://dbpedia.org/resource/Kaliningrad_Oblast","2007","20873"
"Cadillac","http://dbpedia.org/resource/Cadillac","United Statess","http://dbpedia.org/resource/United_States","Cadillac STS","http://dbpedia.org/resource/Cadillac_STS","Kaliningrad","http://dbpedia.org/resource/Kaliningrad","2007","20873"
"Lincoln Motor Company","http://dbpedia.org/resource/Lincoln_Motor_Company","United Sttates","http://dbpedia.org/resource/United_States","Lincoln Mark LT","http://dbpedia.org/resource/Lincoln_Mark_LT","Cuautitlán","http://dbpedia.org/resource/Cuautitlán","2007","8382"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Pekan District","http://dbpedia.org/resource/Pekan_District","2007","48950"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germaany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Graz","http://dbpedia.org/resource/Graz","2007","48950"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Johor Bahru","http://dbpedia.org/resource/Johor_Bahru","2007","48950"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","GGermany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Bogor","http://dbpedia.org/resource/Bogor","2007","48950"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","6th of October City","http://dbpedia.org/resource/6th_of_October_City","2007","48950"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Gerrmany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Tehran","http://dbpedia.org/resource/Tehran","2007","48950"
