"band","band__URI","startYear","label__URI","label","labelFounder","labelFounder__URI","occupation","occupation__URI"
"MC5","http://dbpedia.org/resource/MC5","1964","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"MC5","http://dbpedia.org/resource/MC5","1964","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Copperpenny","http://dbpedia.org/resource/Copperpenny","1965","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Move","http://dbpedia.org/resource/The_Move","1965","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"Stone Poneys","http://dbpedia.org/resource/Stone_Poneys","1965","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"Terry Knight and the Pack","http://dbpedia.org/resource/Terry_Knight_and_the_Pack","1965","http://dbpedia.org/resource/Cameo-Parkway_Records","Cameo-Parkway Records","Kal Mann","http://dbpedia.org/resource/Kal_Mann","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Rascals","http://dbpedia.org/resource/The_Rascals","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Small Faces","http://dbpedia.org/resource/Small_Faces","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Rascals","http://dbpedia.org/resource/The_Rascals","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Small Faces","http://dbpedia.org/resource/Small_Faces","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Daryl Hall","http://dbpedia.org/resource/Daryl_Hall","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Daryl Hall","http://dbpedia.org/resource/Daryl_Hall","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Copperpenny","http://dbpedia.org/resource/Copperpenny","1965","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Move","http://dbpedia.org/resource/The_Move","1965","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"Stone Poneys","http://dbpedia.org/resource/Stone_Poneys","1965","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"Small Faces","http://dbpedia.org/resource/Small_Faces","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"The Rascals","http://dbpedia.org/resource/The_Rascals","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"The Rascals","http://dbpedia.org/resource/The_Rascals","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Small Faces","http://dbpedia.org/resource/Small_Faces","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Daryl Hall","http://dbpedia.org/resource/Daryl_Hall","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Daryl Hall","http://dbpedia.org/resource/Daryl_Hall","1965","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Genesis","http://dbpedia.org/resource/List_of_Genesis_band_members","1967","http://dbpedia.org/resource/Virgin_Records","Virgin Records","Tom Newman","http://dbpedia.org/resource/Tom_Newman_(musician)","Musician","http://dbpedia.org/resource/Musician"
"Dr. Hook & the Medicine Show","http://dbpedia.org/resource/Dr._Hook_&_the_Medicine_Show","1967","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"The J. Geils Band","http://dbpedia.org/resource/The_J._Geils_Band","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"The J. Geils Band","http://dbpedia.org/resource/The_J._Geils_Band","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Cartoone","http://dbpedia.org/resource/Cartoone","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Cartoone","http://dbpedia.org/resource/Cartoone","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Genesis","http://dbpedia.org/resource/List_of_Genesis_band_members","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Genesis","http://dbpedia.org/resource/List_of_Genesis_band_members","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Dr. Hook & the Medicine Show","http://dbpedia.org/resource/Dr._Hook_&_the_Medicine_Show","1967","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"The J. Geils Band","http://dbpedia.org/resource/The_J._Geils_Band","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"The J. Geils Band","http://dbpedia.org/resource/The_J._Geils_Band","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Genesis","http://dbpedia.org/resource/List_of_Genesis_band_members","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Genesis","http://dbpedia.org/resource/List_of_Genesis_band_members","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Cartoone","http://dbpedia.org/resource/Cartoone","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Cartoone","http://dbpedia.org/resource/Cartoone","1967","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Ashton, Gardner and Dyke","http://dbpedia.org/resource/Ashton,_Gardner_and_Dyke","1968","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"Goose Creek Symphony","http://dbpedia.org/resource/Goose_Creek_Symphony","1968","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"Crosby, Stills, Nash & Young","http://dbpedia.org/resource/Crosby,_Stills,_Nash_&_Young","1968","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Crosby, Stills, Nash & Young","http://dbpedia.org/resource/Crosby,_Stills,_Nash_&_Young","1968","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Ashton, Gardner and Dyke","http://dbpedia.org/resource/Ashton,_Gardner_and_Dyke","1968","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"Goose Creek Symphony","http://dbpedia.org/resource/Goose_Creek_Symphony","1968","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"Crosby, Stills, Nash & Young","http://dbpedia.org/resource/Crosby,_Stills,_Nash_&_Young","1968","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Crosby, Stills, Nash & Young","http://dbpedia.org/resource/Crosby,_Stills,_Nash_&_Young","1968","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Brinsley Schwarz","http://dbpedia.org/resource/Brinsley_Schwarz","1969","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"Lydia Pense and Cold Blood","http://dbpedia.org/resource/Cold_Blood_(band)","1969","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Lydia Pense and Cold Blood","http://dbpedia.org/resource/Cold_Blood_(band)","1969","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Brownsville Station","http://dbpedia.org/resource/Brownsville_Station_(band)","1969","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Brownsville Station","http://dbpedia.org/resource/Brownsville_Station_(band)","1969","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Brinsley Schwarz","http://dbpedia.org/resource/Brinsley_Schwarz","1969","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"Brownsville Station","http://dbpedia.org/resource/Brownsville_Station_(band)","1969","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Lydia Pense and Cold Blood","http://dbpedia.org/resource/Cold_Blood_(band)","1969","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Brownsville Station","http://dbpedia.org/resource/Brownsville_Station_(band)","1969","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Lydia Pense and Cold Blood","http://dbpedia.org/resource/Cold_Blood_(band)","1969","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Eela Craig","http://dbpedia.org/resource/Eela_Craig","1970","http://dbpedia.org/resource/Virgin_Records","Virgin Records","Tom Newman","http://dbpedia.org/resource/Tom_Newman_(musician)","Musician","http://dbpedia.org/resource/Musician"
"The Bloomfields","http://dbpedia.org/resource/The_Bloomfields","1970","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"America","http://dbpedia.org/resource/America_(band)","1970","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"Queen","http://dbpedia.org/resource/Queen_(band)","1970","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Doobie Brothers","http://dbpedia.org/resource/The_Doobie_Brothers","1970","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"Crosby & Nash","http://dbpedia.org/resource/Crosby_&_Nash","1970","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Crosby & Nash","http://dbpedia.org/resource/Crosby_&_Nash","1970","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Bloomfields","http://dbpedia.org/resource/The_Bloomfields","1970","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"America","http://dbpedia.org/resource/America_(band)","1970","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"Queen","http://dbpedia.org/resource/Queen_(band)","1970","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Doobie Brothers","http://dbpedia.org/resource/The_Doobie_Brothers","1970","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"Crosby & Nash","http://dbpedia.org/resource/Crosby_&_Nash","1970","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Crosby & Nash","http://dbpedia.org/resource/Crosby_&_Nash","1970","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Wings","http://dbpedia.org/resource/Wings_(band)","1971","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"Wings","http://dbpedia.org/resource/Wings_(band)","1971","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"Heavy Metal Kids","http://dbpedia.org/resource/Heavy_Metal_Kids","1972","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Tubes","http://dbpedia.org/resource/The_Tubes","1972","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Rockets","http://dbpedia.org/resource/The_Rockets_(band)","1972","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"Mama's Pride","http://dbpedia.org/resource/Mama's_Pride","1972","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Mama's Pride","http://dbpedia.org/resource/Mama's_Pride","1972","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Average White Band","http://dbpedia.org/resource/Average_White_Band","1972","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
