"primeMinister","primeMinister__URI","party","party__URI","country","country__URI"
"Ivan Yordanov Kostov","http://dbpedia.org/resource/Ivan_Kostov","Democrats for a Strong Bulgaria","http://dbpedia.org/resource/Democrats_for_a_Strong_Bulgaria","Bulgariia","http://dbpedia.org/resource/Bulgaria"
"Ivan Kostov","http://dbpedia.org/resource/Ivan_Kostov","Democrats for a Strong Bulgaria","http://dbpedia.org/resource/Democrats_for_a_Strong_Bulgaria","Bulgaria","http://dbpedia.org/resource/Bulgaria"
"(Иван Йорданов Костов)","http://dbpedia.org/resource/Ivan_Kostov","Democrats for a Strong Bulgaria","http://dbpedia.org/resource/Democrats_for_a_Strong_Bulgaria","Bulgaria","http://dbpedia.org/resource/Bulgaria"
"Stefan Sofiyanski","http://dbpedia.org/resource/Stefan_Sofiyanski","Union of Democratic Forces (Bulgaria)","http://dbpedia.org/resource/Union_of_Democratic_Forces_(Bulgaria)","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Stefan Antonov Sofiyanski","http://dbpedia.org/resource/Stefan_Sofiyanski","Union of Democratic Forces (Bulgaria)","http://dbpedia.org/resource/Union_of_Democratic_Forces_(Bulgaria)","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Стефан Антонов Софиянски","http://dbpedia.org/resource/Stefan_Sofiyanski","Union of Democratic Forces (Bulgaria)","http://dbpedia.org/resource/Union_of_Democratic_Forces_(Bulgaria)","Bulgaria","http://dbpedia.org/resource/Bulgaria"
"Stefan Sofiyanski","http://dbpedia.org/resource/Stefan_Sofiyanski","Union of Free Democrats","http://dbpedia.org/resource/Union_of_Free_Democrats","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Stefan Antonov Sofiyanski","http://dbpedia.org/resource/Stefan_Sofiyanski","Union of Free Democrats","http://dbpedia.org/resource/Union_of_Free_Democrats","Bulgaaria","http://dbpedia.org/resource/Bulgaria"
"Стефан Антонов Софиянски","http://dbpedia.org/resource/Stefan_Sofiyanski","Union of Free Democrats","http://dbpedia.org/resource/Union_of_Free_Democrats","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Teodor Teodorov","http://dbpedia.org/resource/Teodor_Teodorov","People's Party (Bulgaria)","http://dbpedia.org/resource/People's_Party_(Bulgaria)","Buulgaria","http://dbpedia.org/resource/Bulgaria"
"Теодор Теодоров","http://dbpedia.org/resource/Teodor_Teodorov","People's Party (Bulgaria)","http://dbpedia.org/resource/People's_Party_(Bulgaria)","Bulgariia","http://dbpedia.org/resource/Bulgaria"
"Ivan Evstratiev Geshov","http://dbpedia.org/resource/Ivan_Evstratiev_Geshov","People's Party (Bulgaria)","http://dbpedia.org/resource/People's_Party_(Bulgaria)","Bulggaria","http://dbpedia.org/resource/Bulgaria"
"Иван Евстратиев Гешов","http://dbpedia.org/resource/Ivan_Evstratiev_Geshov","People's Party (Bulgaria)","http://dbpedia.org/resource/People's_Party_(Bulgaria)","Bulgaria","http://dbpedia.org/resource/Bulgaria"
"Grisha Filipov","http://dbpedia.org/resource/Grisha_Filipov","Communist Party of Bulgaria","http://dbpedia.org/resource/Communist_Party_of_Bulgaria","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Georgi Filipov","http://dbpedia.org/resource/Grisha_Filipov","Communist Party of Bulgaria","http://dbpedia.org/resource/Communist_Party_of_Bulgaria","Bulgaria","http://dbpedia.org/resource/Bulgaria"
"Георги Филипов","http://dbpedia.org/resource/Grisha_Filipov","Communist Party of Bulgaria","http://dbpedia.org/resource/Communist_Party_of_Bulgaria","Bulgariia","http://dbpedia.org/resource/Bulgaria"
"Kimon Georgiev","http://dbpedia.org/resource/Kimon_Georgiev","Zveno","http://dbpedia.org/resource/Zveno","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Kimon Georgiev Stoyanov","http://dbpedia.org/resource/Kimon_Georgiev","Zveno","http://dbpedia.org/resource/Zveno","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"(Кимон Георгиев Стоянов)","http://dbpedia.org/resource/Kimon_Georgiev","Zveno","http://dbpedia.org/resource/Zveno","Bulgaria","http://dbpedia.org/resource/Bulgaria"
"Konstantin Muraviev","http://dbpedia.org/resource/Konstantin_Muraviev","Bulgarian Agrarian National Union","http://dbpedia.org/resource/Bulgarian_Agrarian_National_Union","Bulgaria","http://dbpedia.org/resource/Bulgaria"
"Константин Муравиев","http://dbpedia.org/resource/Konstantin_Muraviev","Bulgarian Agrarian National Union","http://dbpedia.org/resource/Bulgarian_Agrarian_National_Union","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Milan Babić","http://dbpedia.org/resource/Milan_Babić","Serb Democratic Party (Croatia)","http://dbpedia.org/resource/Serb_Democratic_Party_(Croatia)","Croatia","http://dbpedia.org/resource/Croatia"
"Franjo Gregurić","http://dbpedia.org/resource/Franjo_Gregurić","Croatian Democratic Union","http://dbpedia.org/resource/Croatian_Democratic_Union","Croatia","http://dbpedia.org/resource/Croatia"
"Zoran Milanović","http://dbpedia.org/resource/Zoran_Milanović","Social Democratic Party of Croatia","http://dbpedia.org/resource/Social_Democratic_Party_of_Croatia","Croatiaa","http://dbpedia.org/resource/Croatia"
"Jadranka Kosor","http://dbpedia.org/resource/Jadranka_Kosor","Croatian Democratic Union","http://dbpedia.org/resource/Croatian_Democratic_Union","Croatia","http://dbpedia.org/resource/Croatia"
"Andrej Plenković","http://dbpedia.org/resource/Andrej_Plenković","Croatian Democratic Union","http://dbpedia.org/resource/Croatian_Democratic_Union","Crooatia","http://dbpedia.org/resource/Croatia"
"Ivan Šubašić","http://dbpedia.org/resource/Ivan_Šubašić","Croatian Peasant Party","http://dbpedia.org/resource/Croatian_Peasant_Party","Croatia","http://dbpedia.org/resource/Croatia"
"Hrvoje Šarinić","http://dbpedia.org/resource/Hrvoje_Šarinić","Croatian Democratic Union","http://dbpedia.org/resource/Croatian_Democratic_Union","Croatiaa","http://dbpedia.org/resource/Croatia"
"Nikica Valentić","http://dbpedia.org/resource/Nikica_Valentić","Croatian Democratic Union","http://dbpedia.org/resource/Croatian_Democratic_Union","Croatia","http://dbpedia.org/resource/Croatia"
"Hrvoje Šarinić","http://dbpedia.org/resource/Hrvoje_Šarinić","Democratic Centre (Croatia)","http://dbpedia.org/resource/Democratic_Centre_(Croatia)","Croatia","http://dbpedia.org/resource/Croatia"
"Ivica Račan","http://dbpedia.org/resource/Ivica_Račan","Social Democratic Party of Croatia","http://dbpedia.org/resource/Social_Democratic_Party_of_Croatia","Croatia","http://dbpedia.org/resource/Croatia"
"Zlatko Mateša","http://dbpedia.org/resource/Zlatko_Mateša","Croatian Democratic Union","http://dbpedia.org/resource/Croatian_Democratic_Union","Croatia","http://dbpedia.org/resource/Croatia"
"Hans Hedtoft","http://dbpedia.org/resource/Hans_Hedtoft","Social Democrats (Denmark)","http://dbpedia.org/resource/Social_Democrats_(Denmark)","Dennmark","http://dbpedia.org/resource/Denmark"
"Anker Jørgensen","http://dbpedia.org/resource/Anker_Jørgensen","Social Democrats (Denmark)","http://dbpedia.org/resource/Social_Democrats_(Denmark)","Denmark","http://dbpedia.org/resource/Denmark"
"Poul Nyrup Rasmussen","http://dbpedia.org/resource/Poul_Nyrup_Rasmussen","Social Democrats (Denmark)","http://dbpedia.org/resource/Social_Democrats_(Denmark)","Denmarkk","http://dbpedia.org/resource/Denmark"
"Helle Thorning-Schmidt","http://dbpedia.org/resource/Helle_Thorning-Schmidt","Social Democrats (Denmark)","http://dbpedia.org/resource/Social_Democrats_(Denmark)","Denmarkk","http://dbpedia.org/resource/Denmark"
"Vilhelm Buhl","http://dbpedia.org/resource/Vilhelm_Buhl","Social Democrats (Denmark)","http://dbpedia.org/resource/Social_Democrats_(Denmark)","Dennmark","http://dbpedia.org/resource/Denmark"
"Jens Otto Krag","http://dbpedia.org/resource/Jens_Otto_Krag","Social Democrats (Denmark)","http://dbpedia.org/resource/Social_Democrats_(Denmark)","DDenmark","http://dbpedia.org/resource/Denmark"
"Erik Scavenius","http://dbpedia.org/resource/Erik_Scavenius","Danish Social Liberal Party","http://dbpedia.org/resource/Danish_Social_Liberal_Party","Dennmark","http://dbpedia.org/resource/Denmark"
"Hans Christian Hansen","http://dbpedia.org/resource/H._C._Hansen","Social Democrats (Denmark)","http://dbpedia.org/resource/Social_Democrats_(Denmark)","Denmark","http://dbpedia.org/resource/Denmark"
"H. C. Hansen","http://dbpedia.org/resource/H._C._Hansen","Social Democrats (Denmark)","http://dbpedia.org/resource/Social_Democrats_(Denmark)","Dennmark","http://dbpedia.org/resource/Denmark"
"Thorvald Stauning","http://dbpedia.org/resource/Thorvald_Stauning","Social Democrats (Denmark)","http://dbpedia.org/resource/Social_Democrats_(Denmark)","Denmark","http://dbpedia.org/resource/Denmark"
"Johan Henrik Deuntzer","http://dbpedia.org/resource/Johan_Henrik_Deuntzer","Danish Social Liberal Party","http://dbpedia.org/resource/Danish_Social_Liberal_Party","Denmarkk","http://dbpedia.org/resource/Denmark"
"Viggo Kampmann","http://dbpedia.org/resource/Viggo_Kampmann","Social Democrats (Denmark)","http://dbpedia.org/resource/Social_Democrats_(Denmark)","Denmark","http://dbpedia.org/resource/Denmark"
"Mogens Lykketoft","http://dbpedia.org/resource/Mogens_Lykketoft","Social Democrats (Denmark)","http://dbpedia.org/resource/Social_Democrats_(Denmark)","Denmarkk","http://dbpedia.org/resource/Denmark"
"Siim Kallas","http://dbpedia.org/resource/Siim_Kallas","Estonian Reform Party","http://dbpedia.org/resource/Estonian_Reform_Party","Estoniaa","http://dbpedia.org/resource/Estonia"
"Mart Laar","http://dbpedia.org/resource/Mart_Laar","Pro Patria and Res Publica Union","http://dbpedia.org/resource/Pro_Patria_and_Res_Publica_Union","EEstonia","http://dbpedia.org/resource/Estonia"
"Juhan Parts","http://dbpedia.org/resource/Juhan_Parts","Pro Patria and Res Publica Union","http://dbpedia.org/resource/Pro_Patria_and_Res_Publica_Union","Estonia","http://dbpedia.org/resource/Estonia"
"Andrus Ansip","http://dbpedia.org/resource/Andrus_Ansip","Estonian Reform Party","http://dbpedia.org/resource/Estonian_Reform_Party","Estoniaa","http://dbpedia.org/resource/Estonia"
"Taavi Rõivas","http://dbpedia.org/resource/Taavi_Rõivas","Estonian Reform Party","http://dbpedia.org/resource/Estonian_Reform_Party","Estonia","http://dbpedia.org/resource/Estonia"
"Urho Kekkonen","http://dbpedia.org/resource/Urho_Kekkonen","Centre Party (Finland)","http://dbpedia.org/resource/Centre_Party_(Finland)","Finlandd","http://dbpedia.org/resource/Finland"
"Kyösti Kallio","http://dbpedia.org/resource/Kyösti_Kallio","Centre Party (Finland)","http://dbpedia.org/resource/Centre_Party_(Finland)","Finland","http://dbpedia.org/resource/Finland"
"Ahti Karjalainen","http://dbpedia.org/resource/Ahti_Karjalainen","Centre Party (Finland)","http://dbpedia.org/resource/Centre_Party_(Finland)","Finlaand","http://dbpedia.org/resource/Finland"
"Mari Kiviniemi","http://dbpedia.org/resource/Mari_Kiviniemi","Centre Party (Finland)","http://dbpedia.org/resource/Centre_Party_(Finland)","Finlandd","http://dbpedia.org/resource/Finland"
"Reino Kuuskoski","http://dbpedia.org/resource/Reino_Kuuskoski","Centre Party (Finland)","http://dbpedia.org/resource/Centre_Party_(Finland)","Finlannd","http://dbpedia.org/resource/Finland"
"Esko Aho","http://dbpedia.org/resource/Esko_Aho","Centre Party (Finland)","http://dbpedia.org/resource/Centre_Party_(Finland)","Finlandd","http://dbpedia.org/resource/Finland"
"Johannes Virolainen","http://dbpedia.org/resource/Johannes_Virolainen","Centre Party (Finland)","http://dbpedia.org/resource/Centre_Party_(Finland)","Finland","http://dbpedia.org/resource/Finland"
"Matti Vanhanen","http://dbpedia.org/resource/Matti_Vanhanen","Centre Party (Finland)","http://dbpedia.org/resource/Centre_Party_(Finland)","Finland","http://dbpedia.org/resource/Finland"
"Juha Sipilä","http://dbpedia.org/resource/Juha_Sipilä","Centre Party (Finland)","http://dbpedia.org/resource/Centre_Party_(Finland)","Finlandd","http://dbpedia.org/resource/Finland"
"Anneli Jäätteenmäki","http://dbpedia.org/resource/Anneli_Jäätteenmäki","Centre Party (Finland)","http://dbpedia.org/resource/Centre_Party_(Finland)","Finland","http://dbpedia.org/resource/Finland"
"Martti Miettunen","http://dbpedia.org/resource/Martti_Miettunen","Centre Party (Finland)","http://dbpedia.org/resource/Centre_Party_(Finland)","Finland","http://dbpedia.org/resource/Finland"
"Jacques Chirac","http://dbpedia.org/resource/Jacques_Chirac","The Republicans (France)","http://dbpedia.org/resource/The_Republicans_(France)","Fraance","http://dbpedia.org/resource/France"
"Raymond Barre","http://dbpedia.org/resource/Raymond_Barre","Union for French Democracy","http://dbpedia.org/resource/Union_for_French_Democracy","Francee","http://dbpedia.org/resource/France"
"Joseph Laniel","http://dbpedia.org/resource/Joseph_Laniel","National Centre of Independents and Peasants","http://dbpedia.org/resource/National_Centre_of_Independents_and_Peasants","Francee","http://dbpedia.org/resource/France"
"Paul Reynaud","http://dbpedia.org/resource/Paul_Reynaud","National Centre of Independents and Peasants","http://dbpedia.org/resource/National_Centre_of_Independents_and_Peasants","France","http://dbpedia.org/resource/France"
"Charles de Gaulle","http://dbpedia.org/resource/Charles_de_Gaulle","National Centre of Social Republicans","http://dbpedia.org/resource/National_Centre_of_Social_Republicans","Francee","http://dbpedia.org/resource/France"
"Jean-Pierre Raffarin","http://dbpedia.org/resource/Jean-Pierre_Raffarin","The Republicans (France)","http://dbpedia.org/resource/The_Republicans_(France)","Francee","http://dbpedia.org/resource/France"
"Jacques Chaban-Delmas","http://dbpedia.org/resource/Jacques_Chaban-Delmas","National Centre of Social Republicans","http://dbpedia.org/resource/National_Centre_of_Social_Republicans","France","http://dbpedia.org/resource/France"
"François Fillon","http://dbpedia.org/resource/François_Fillon","The Republicans (France)","http://dbpedia.org/resource/The_Republicans_(France)","Francee","http://dbpedia.org/resource/France"
"Antoine Pinay","http://dbpedia.org/resource/Antoine_Pinay","National Centre of Independents and Peasants","http://dbpedia.org/resource/National_Centre_of_Independents_and_Peasants","France","http://dbpedia.org/resource/France"
"Bidzina Ivanishvili","http://dbpedia.org/resource/Bidzina_Ivanishvili","Georgian Dream","http://dbpedia.org/resource/Georgian_Dream","Georgia (country))","http://dbpedia.org/resource/Georgia_(country)"
"Irakli Garibashvili","http://dbpedia.org/resource/Irakli_Garibashvili","Georgian Dream","http://dbpedia.org/resource/Georgian_Dream","Georgia (country)","http://dbpedia.org/resource/Georgia_(country)"
"Irakli Gharibashvili","http://dbpedia.org/resource/Irakli_Garibashvili","Georgian Dream","http://dbpedia.org/resource/Georgian_Dream","Georgia (country))","http://dbpedia.org/resource/Georgia_(country)"
"Vano Merabishvili","http://dbpedia.org/resource/Vano_Merabishvili","United National Movement (Georgia)","http://dbpedia.org/resource/United_National_Movement_(Georgia)","Georgia (country))","http://dbpedia.org/resource/Georgia_(country)"
"Vano Merabishvili","http://dbpedia.org/resource/Vano_Merabishvili","Union of Citizens of Georgia","http://dbpedia.org/resource/Union_of_Citizens_of_Georgia","Georgia (ccountry)","http://dbpedia.org/resource/Georgia_(country)"
"Giorgi Kvirikashvili","http://dbpedia.org/resource/Giorgi_Kvirikashvili","Georgian Dream","http://dbpedia.org/resource/Georgian_Dream","Georgia (country)","http://dbpedia.org/resource/Georgia_(country)"
"Helmut Kohl","http://dbpedia.org/resource/Helmut_Kohl","Christian Democratic Union of Germany","http://dbpedia.org/resource/Christian_Democratic_Union_of_Germany","Germanyy","http://dbpedia.org/resource/Germany"
"Otto Grotewohl","http://dbpedia.org/resource/Otto_Grotewohl","Independent Social Democratic Party of Germany","http://dbpedia.org/resource/Independent_Social_Democratic_Party_of_Germany","Germanyy","http://dbpedia.org/resource/Germany"
"Konrad Adenauer","http://dbpedia.org/resource/Konrad_Adenauer","Christian Democratic Union of Germany","http://dbpedia.org/resource/Christian_Democratic_Union_of_Germany","Germanyy","http://dbpedia.org/resource/Germany"
"Horst Sindermann","http://dbpedia.org/resource/Horst_Sindermann","Communist Party of Germany","http://dbpedia.org/resource/Communist_Party_of_Germany","Germanyy","http://dbpedia.org/resource/Germany"
"Willi Stoph","http://dbpedia.org/resource/Willi_Stoph","Communist Party of Germany","http://dbpedia.org/resource/Communist_Party_of_Germany","Germanyy","http://dbpedia.org/resource/Germany"
"Georgios Rallis","http://dbpedia.org/resource/Georgios_Rallis","New Democracy (Greece)","http://dbpedia.org/resource/New_Democracy_(Greece)","Greece","http://dbpedia.org/resource/Greece"
"Antonis Samaras","http://dbpedia.org/resource/Antonis_Samaras","New Democracy (Greece)","http://dbpedia.org/resource/New_Democracy_(Greece)","Greecee","http://dbpedia.org/resource/Greece"
"George Papandreou","http://dbpedia.org/resource/George_Papandreou","Movement of Democratic Socialists","http://dbpedia.org/resource/Movement_of_Democratic_Socialists","Grreece","http://dbpedia.org/resource/Greece"
"Alexis Tsipras","http://dbpedia.org/resource/Alexis_Tsipras","Communist Party of Greece","http://dbpedia.org/resource/Communist_Party_of_Greece","Greecee","http://dbpedia.org/resource/Greece"
"Alexis Tsipras","http://dbpedia.org/resource/Alexis_Tsipras","Syriza","http://dbpedia.org/resource/Syriza","Greece","http://dbpedia.org/resource/Greece"
"Konstantinos Mitsotakis","http://dbpedia.org/resource/Konstantinos_Mitsotakis","Party of New Liberals","http://dbpedia.org/resource/Party_of_New_Liberals","Greecee","http://dbpedia.org/resource/Greece"
"Konstantinos Mitsotakis","http://dbpedia.org/resource/Konstantinos_Mitsotakis","New Democracy (Greece)","http://dbpedia.org/resource/New_Democracy_(Greece)","Greecee","http://dbpedia.org/resource/Greece"
"Konstantinos Karamanlis","http://dbpedia.org/resource/Konstantinos_Karamanlis","New Democracy (Greece)","http://dbpedia.org/resource/New_Democracy_(Greece)","Greece","http://dbpedia.org/resource/Greece"
"Konstantinos Karamanlis","http://dbpedia.org/resource/Konstantinos_Karamanlis","Greek Rally","http://dbpedia.org/resource/Greek_Rally","Grreece","http://dbpedia.org/resource/Greece"
"Kostas Karamanlis","http://dbpedia.org/resource/Kostas_Karamanlis","New Democracy (Greece)","http://dbpedia.org/resource/New_Democracy_(Greece)","Greecee","http://dbpedia.org/resource/Greece"
"Tzannis Tzannetakis","http://dbpedia.org/resource/Tzannis_Tzannetakis","New Democracy (Greece)","http://dbpedia.org/resource/New_Democracy_(Greece)","Greece","http://dbpedia.org/resource/Greece"
"Markos Vafiadis","http://dbpedia.org/resource/Markos_Vafiadis","Communist Party of Greece","http://dbpedia.org/resource/Communist_Party_of_Greece","Greece","http://dbpedia.org/resource/Greece"
"Gyula Gömbös","http://dbpedia.org/resource/Gyula_Gömbös","Unity Party (Hungary)","http://dbpedia.org/resource/Unity_Party_(Hungary)","Hungary","http://dbpedia.org/resource/Hungary"
"József Antall","http://dbpedia.org/resource/József_Antall","Hungarian Democratic Forum","http://dbpedia.org/resource/Hungarian_Democratic_Forum","Hungary","http://dbpedia.org/resource/Hungary"
"Gyula Gömbös","http://dbpedia.org/resource/Gyula_Gömbös","Independent Smallholders, Agrarian Workers and Civic Party","http://dbpedia.org/resource/Independent_Smallholders,_Agrarian_Workers_and_Civic_Party","Hungaryy","http://dbpedia.org/resource/Hungary"
"László Bárdossy","http://dbpedia.org/resource/László_Bárdossy","Party of Hungarian Life","http://dbpedia.org/resource/Party_of_Hungarian_Life","HHungary","http://dbpedia.org/resource/Hungary"
