"Presidency","Presidency__URI","Presidency (period)","President","President__URI","Prior office","Prior office__URI","Party","Party__URI","Election","Election__URI","Vice President","Vice President__URI"
"5","http://dbpedia.org/resource/Presidency_of_James_Monroe","March 4, 1817 – March 4, 1825","James Monroe","http://dbpedia.org/resource/James_Monroe","7th United States secretary of state","http://dbpedia.org/resource/United_States_Secretary_of_State","Democratic-Republican","http://dbpedia.org/resource/Democratic-Republican_Party","1820","http://dbpedia.org/resource/United_States_presidential_election,_1820","Daniel D. Tompkins","http://dbpedia.org/resource/Daniel_D._Tompkins"
"6","http://dbpedia.org/resource/Presidency_of_John_Quincy_Adams","March 4, 1825 – March 4, 1829","John Quincy Adams","http://dbpedia.org/resource/John_Quincy_Adams","8th United States secretary of state","http://dbpedia.org/resource/United_States_Secretary_of_State","Democratic-Republican","http://dbpedia.org/resource/Democratic-Republican_Party","1824","http://dbpedia.org/resource/United_States_presidential_election,_1824","John C. Calhoun","http://dbpedia.org/resource/John_C._Calhoun"
"7","http://dbpedia.org/resource/Presidency_of_Andrew_Jackson","March 4, 1829 – March 4, 1837","Andrew Jackson","http://dbpedia.org/resource/Andrew_Jackson","U.S. senator from Tennessee","http://dbpedia.org/resource/U.S._senator","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1828","http://dbpedia.org/resource/United_States_presidential_election,_1828","John C. Calhoun","http://dbpedia.org/resource/John_C._Calhoun"
"7","http://dbpedia.org/resource/Presidency_of_Andrew_Jackson","March 4, 1829 – March 4, 1837","Andrew Jackson","http://dbpedia.org/resource/Andrew_Jackson","U.S. senator from Tennessee","http://dbpedia.org/resource/U.S._senator","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1828","http://dbpedia.org/resource/United_States_presidential_election,_1828","",""
"7","http://dbpedia.org/resource/Presidency_of_Andrew_Jackson","March 4, 1829 – March 4, 1837","Andrew Jackson","http://dbpedia.org/resource/Andrew_Jackson","U.S. senator from Tennessee","http://dbpedia.org/resource/U.S._senator","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1832","http://dbpedia.org/resource/United_States_presidential_election,_1832","Martin Van Buren","http://dbpedia.org/resource/Martin_Van_Buren"
"8","http://dbpedia.org/resource/Presidency_of_Martin_Van_Buren","March 4, 1837 – March 4, 1841","Martin Van Buren","http://dbpedia.org/resource/Martin_Van_Buren","8th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1836","http://dbpedia.org/resource/United_States_presidential_election,_1836","Richard M. Johnson","http://dbpedia.org/resource/Richard_Mentor_Johnson"
"9","","March 4, 1841 – April 4, 1841","William Henry Harrison","http://dbpedia.org/resource/William_Henry_Harrison","United States minister to Colombia","http://dbpedia.org/resource/United_States_Ambassador_to_Colombia","Whig","http://dbpedia.org/resource/Whig_Party_(United_States)","1840","http://dbpedia.org/resource/United_States_presidential_election,_1840","John Tyler","http://dbpedia.org/resource/John_Tyler"
"10","http://dbpedia.org/resource/Presidency_of_John_Tyler","April 4, 1841 – March 4, 1845","John Tyler","http://dbpedia.org/resource/John_Tyler","10th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Whig","http://dbpedia.org/resource/Whig_Party_(United_States)","1840","http://dbpedia.org/resource/United_States_presidential_election,_1840","",""
"10","http://dbpedia.org/resource/Presidency_of_John_Tyler","April 4, 1841 – March 4, 1845","John Tyler","http://dbpedia.org/resource/John_Tyler","10th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","","","1840","http://dbpedia.org/resource/United_States_presidential_election,_1840","",""
"11","http://dbpedia.org/resource/Presidency_of_James_K._Polk","March 4, 1845 – March 4, 1849","James K. Polk","http://dbpedia.org/resource/James_K._Polk","9th governor of Tennessee","http://dbpedia.org/resource/Governor_of_Tennessee","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1844","http://dbpedia.org/resource/United_States_presidential_election,_1844","George M. Dallas","http://dbpedia.org/resource/George_M._Dallas"
"12","http://dbpedia.org/resource/Presidency_of_Zachary_Taylor","March 4, 1849 – July 9, 1850","Zachary Taylor","http://dbpedia.org/resource/Zachary_Taylor","Major general of the 1st Infantry Regiment United States Army","http://dbpedia.org/resource/Major_general_(United_States)","Whig","http://dbpedia.org/resource/Whig_Party_(United_States)","1848","http://dbpedia.org/resource/United_States_presidential_election,_1848","Millard Fillmore","http://dbpedia.org/resource/Millard_Fillmore"
"13","http://dbpedia.org/resource/Presidency_of_Millard_Fillmore","July 9, 1850 – March 4, 1853","Millard Fillmore","http://dbpedia.org/resource/Millard_Fillmore","12th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Whig","http://dbpedia.org/resource/Whig_Party_(United_States)","1848","http://dbpedia.org/resource/United_States_presidential_election,_1848","",""
"14","http://dbpedia.org/resource/Presidency_of_Franklin_Pierce","March 4, 1853 – March 4, 1857","Franklin Pierce","http://dbpedia.org/resource/Franklin_Pierce","Brigadier general of the 9th Infantry United States Army","http://dbpedia.org/resource/Brigadier_general_(United_States)","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1852","http://dbpedia.org/resource/United_States_presidential_election,_1852","William R. King","http://dbpedia.org/resource/William_R._King"
"14","http://dbpedia.org/resource/Presidency_of_Franklin_Pierce","March 4, 1853 – March 4, 1857","Franklin Pierce","http://dbpedia.org/resource/Franklin_Pierce","Brigadier general of the 9th Infantry United States Army","http://dbpedia.org/resource/Brigadier_general_(United_States)","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1852","http://dbpedia.org/resource/United_States_presidential_election,_1852","",""
"15","http://dbpedia.org/resource/Presidency_of_James_Buchanan","March 4, 1857 – March 4, 1861","James Buchanan","http://dbpedia.org/resource/James_Buchanan","United States minister to the Court of St James's","http://dbpedia.org/resource/United_States_Ambassador_to_the_United_Kingdom","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1856","http://dbpedia.org/resource/United_States_presidential_election,_1856","John C. Breckinridge","http://dbpedia.org/resource/John_C._Breckinridge"
"16","http://dbpedia.org/resource/Presidency_of_Abraham_Lincoln","March 4, 1861 – April 15, 1865","Abraham Lincoln","http://dbpedia.org/resource/Abraham_Lincoln","U.S. representative for Illinois's 7th District","http://dbpedia.org/resource/U.S._representative","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1860","http://dbpedia.org/resource/United_States_presidential_election,_1860","Hannibal Hamlin","http://dbpedia.org/resource/Hannibal_Hamlin"
"16","http://dbpedia.org/resource/Presidency_of_Abraham_Lincoln","March 4, 1861 – April 15, 1865","Abraham Lincoln","http://dbpedia.org/resource/Abraham_Lincoln","U.S. representative for Illinois's 7th District","http://dbpedia.org/resource/U.S._representative","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1864","http://dbpedia.org/resource/United_States_presidential_election,_1864","Andrew Johnson","http://dbpedia.org/resource/Andrew_Johnson"
"17","http://dbpedia.org/resource/Presidency_of_Andrew_Johnson","April 15, 1865 – March 4, 1869","Andrew Johnson","http://dbpedia.org/resource/Andrew_Johnson","16th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","National Union","http://dbpedia.org/resource/National_Union_Party_(United_States)","1864","http://dbpedia.org/resource/United_States_presidential_election,_1864","",""
"17","http://dbpedia.org/resource/Presidency_of_Andrew_Johnson","April 15, 1865 – March 4, 1869","Andrew Johnson","http://dbpedia.org/resource/Andrew_Johnson","16th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1864","http://dbpedia.org/resource/United_States_presidential_election,_1864","",""
"18","http://dbpedia.org/resource/Presidency_of_Ulysses_S._Grant","March 4, 1869 – March 4, 1877","Ulysses S. Grant","http://dbpedia.org/resource/Ulysses_S._Grant","Commanding general of the U.S. Army","http://dbpedia.org/resource/Commanding_General_of_the_United_States_Army","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1868","http://dbpedia.org/resource/United_States_presidential_election,_1868","Schuyler Colfax","http://dbpedia.org/resource/Schuyler_Colfax"
"18","http://dbpedia.org/resource/Presidency_of_Ulysses_S._Grant","March 4, 1869 – March 4, 1877","Ulysses S. Grant","http://dbpedia.org/resource/Ulysses_S._Grant","Commanding general of the U.S. Army","http://dbpedia.org/resource/Commanding_General_of_the_United_States_Army","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1872","http://dbpedia.org/resource/United_States_presidential_election,_1872","Henry Wilson","http://dbpedia.org/resource/Henry_Wilson"
"18","http://dbpedia.org/resource/Presidency_of_Ulysses_S._Grant","March 4, 1869 – March 4, 1877","Ulysses S. Grant","http://dbpedia.org/resource/Ulysses_S._Grant","Commanding general of the U.S. Army","http://dbpedia.org/resource/Commanding_General_of_the_United_States_Army","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1872","http://dbpedia.org/resource/United_States_presidential_election,_1872","",""
"19","http://dbpedia.org/resource/Presidency_of_Rutherford_B._Hayes","March 4, 1877 – March 4, 1881","Rutherford B. Hayes","http://dbpedia.org/resource/Rutherford_B._Hayes","29th & 32nd governor of Ohio","http://dbpedia.org/resource/Governor_of_Ohio","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1876","http://dbpedia.org/resource/United_States_presidential_election,_1876","William A. Wheeler","http://dbpedia.org/resource/William_A._Wheeler"
"20","","March 4, 1881 – September 19, 1881","James A. Garfield","http://dbpedia.org/resource/James_A._Garfield","U.S. representative for Ohio's 19th District","http://dbpedia.org/resource/U.S._representative","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1880","http://dbpedia.org/resource/United_States_presidential_election,_1880","Chester A. Arthur","http://dbpedia.org/resource/Chester_A._Arthur"
"21","http://dbpedia.org/resource/Presidency_of_Chester_A._Arthur","September 19, 1881 – March 4, 1885","Chester A. Arthur","http://dbpedia.org/resource/Chester_A._Arthur","20th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1880","http://dbpedia.org/resource/United_States_presidential_election,_1880","",""
"22","http://dbpedia.org/resource/Presidencies_of_Grover_Cleveland","March 4, 1885 – March 4, 1889","Grover Cleveland","http://dbpedia.org/resource/Grover_Cleveland","28th governor of New York","http://dbpedia.org/resource/Governor_of_New_York","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1884","http://dbpedia.org/resource/United_States_presidential_election,_1884","Thomas A. Hendricks","http://dbpedia.org/resource/Thomas_A._Hendricks"
"22","http://dbpedia.org/resource/Presidencies_of_Grover_Cleveland","March 4, 1885 – March 4, 1889","Grover Cleveland","http://dbpedia.org/resource/Grover_Cleveland","28th governor of New York","http://dbpedia.org/resource/Governor_of_New_York","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1884","http://dbpedia.org/resource/United_States_presidential_election,_1884","",""
"23","http://dbpedia.org/resource/Presidency_of_Benjamin_Harrison","March 4, 1889 – March 4, 1893","Benjamin Harrison","http://dbpedia.org/resource/Benjamin_Harrison","U.S. senator from Indiana","http://dbpedia.org/resource/U.S._senator","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1888","http://dbpedia.org/resource/United_States_presidential_election,_1888","Levi P. Morton","http://dbpedia.org/resource/Levi_P._Morton"
"24","http://dbpedia.org/resource/Presidencies_of_Grover_Cleveland","March 4, 1893 – March 4, 1897","Grover Cleveland","http://dbpedia.org/resource/Grover_Cleveland","22nd president of the United States","http://dbpedia.org/resource/President_of_the_United_States","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1892","http://dbpedia.org/resource/United_States_presidential_election,_1892","Adlai Stevenson","http://dbpedia.org/resource/Adlai_Stevenson_I"
"25","http://dbpedia.org/resource/Presidency_of_William_McKinley","March 4, 1897 – September 14, 1901","William McKinley","http://dbpedia.org/resource/William_McKinley","39th governor of Ohio","http://dbpedia.org/resource/Governor_of_Ohio","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1896","http://dbpedia.org/resource/United_States_presidential_election,_1896","Garret Hobart","http://dbpedia.org/resource/Garret_Hobart"
"25","http://dbpedia.org/resource/Presidency_of_William_McKinley","March 4, 1897 – September 14, 1902","William McKinley","http://dbpedia.org/resource/William_McKinley","39th governor of Ohio","http://dbpedia.org/resource/Governor_of_Ohio","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1896","http://dbpedia.org/resource/United_States_presidential_election,_1896","",""
"25","http://dbpedia.org/resource/Presidency_of_William_McKinley","March 4, 1897 – September 14, 1903","William McKinley","http://dbpedia.org/resource/William_McKinley","39th governor of Ohio","http://dbpedia.org/resource/Governor_of_Ohio","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1900","http://dbpedia.org/resource/United_States_presidential_election,_1900","Theodore Roosevelt","http://dbpedia.org/resource/Theodore_Roosevelt"
"26","http://dbpedia.org/resource/Presidency_of_Theodore_Roosevelt","September 14, 1901 – March 4, 1909","Theodore Roosevelt","http://dbpedia.org/resource/Theodore_Roosevelt","25th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1900","http://dbpedia.org/resource/United_States_presidential_election,_1900","",""
"26","http://dbpedia.org/resource/Presidency_of_Theodore_Roosevelt","September 14, 1901 – March 4, 1909","Theodore Roosevelt","http://dbpedia.org/resource/Theodore_Roosevelt","25th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1904","http://dbpedia.org/resource/United_States_presidential_election,_1904","Charles W. Fairbanks","http://dbpedia.org/resource/Charles_W._Fairbanks"
"27","http://dbpedia.org/resource/Presidency_of_William_Howard_Taft","March 4, 1909 – March 4, 1913","William H. Taft","http://dbpedia.org/resource/William_Howard_Taft","42nd United States secretary of war","http://dbpedia.org/resource/United_States_Secretary_of_War","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1908","http://dbpedia.org/resource/United_States_presidential_election,_1908","James S. Sherman","http://dbpedia.org/resource/James_S._Sherman"
"27","http://dbpedia.org/resource/Presidency_of_William_Howard_Taft","March 4, 1909 – March 4, 1914","William H. Taft","http://dbpedia.org/resource/William_Howard_Taft","42nd United States secretary of war","http://dbpedia.org/resource/United_States_Secretary_of_War","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1908","http://dbpedia.org/resource/United_States_presidential_election,_1908","",""
"28","http://dbpedia.org/resource/Presidency_of_Woodrow_Wilson","March 4, 1913 – March 4, 1921","Woodrow Wilson","http://dbpedia.org/resource/Woodrow_Wilson","34th governor of New Jersey","http://dbpedia.org/resource/Governor_of_New_Jersey","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1912","http://dbpedia.org/resource/United_States_presidential_election,_1912","Thomas R. Marshall","http://dbpedia.org/resource/Thomas_R._Marshall"
"28","http://dbpedia.org/resource/Presidency_of_Woodrow_Wilson","March 4, 1913 – March 4, 1921","","http://dbpedia.org/resource/Woodrow_Wilson","34th governor of New Jersey","http://dbpedia.org/resource/Governor_of_New_Jersey","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1916","http://dbpedia.org/resource/United_States_presidential_election,_1916","Thomas R. Marshall","http://dbpedia.org/resource/Thomas_R._Marshall"
"29","http://dbpedia.org/resource/Presidency_of_Warren_G._Harding","March 4, 1921– August 2, 1923","Warren Harding","http://dbpedia.org/resource/Warren_G._Harding","U.S. senator from Ohio","http://dbpedia.org/resource/U.S._senator","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1920","http://dbpedia.org/resource/United_States_presidential_election,_1920","Calvin Coolidge","http://dbpedia.org/resource/Calvin_Coolidge"
"30","http://dbpedia.org/resource/Presidency_of_Calvin_Coolidge","August 2, 1923 – March 4, 1929","Calvin Coolidge","http://dbpedia.org/resource/Calvin_Coolidge","29th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1920","http://dbpedia.org/resource/United_States_presidential_election,_1920","",""
"30","http://dbpedia.org/resource/Presidency_of_Calvin_Coolidge","August 2, 1923 – March 4, 1929","Calvin Coolidge","http://dbpedia.org/resource/Calvin_Coolidge","29th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1924","http://dbpedia.org/resource/United_States_presidential_election,_1924","Charles G. Dawes","http://dbpedia.org/resource/Charles_G._Dawes"
"31","http://dbpedia.org/resource/Presidency_of_Herbert_Hoover","March 4, 1929 – March 4, 1933","Herbert Hoover","http://dbpedia.org/resource/Herbert_Hoover","3rd United States secretary of commerce","http://dbpedia.org/resource/United_States_Secretary_of_Commerce","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1928","http://dbpedia.org/resource/United_States_presidential_election,_1928","Charles Curtis","http://dbpedia.org/resource/Charles_Curtis"
"32","http://dbpedia.org/resource/Presidency_of_Franklin_D._Roosevelt","March 4, 1933 – April 12, 1945","Franklin Delano Roosevelt","http://dbpedia.org/resource/Franklin_D._Roosevelt","44th governor of New York","http://dbpedia.org/resource/Governor_of_New_York","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1932","http://dbpedia.org/resource/United_States_presidential_election,_1932","John N. Garner","http://dbpedia.org/resource/John_Nance_Garner"
"32","http://dbpedia.org/resource/Presidency_of_Franklin_D._Roosevelt","March 4, 1933 – April 12, 1946","Franklin Delano Roosevelt","http://dbpedia.org/resource/Franklin_D._Roosevelt","44th governor of New York","http://dbpedia.org/resource/Governor_of_New_York","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1936","http://dbpedia.org/resource/United_States_presidential_election,_1936","John N. Garner","http://dbpedia.org/resource/John_Nance_Garner"
"32","http://dbpedia.org/resource/Presidency_of_Franklin_D._Roosevelt","March 4, 1933 – April 12, 1947","Franklin Delano Roosevelt","http://dbpedia.org/resource/Franklin_D._Roosevelt","44th governor of New York","http://dbpedia.org/resource/Governor_of_New_York","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1940","http://dbpedia.org/resource/United_States_presidential_election,_1940","Henry A. Wallace","http://dbpedia.org/resource/Henry_A._Wallace"
"32","http://dbpedia.org/resource/Presidency_of_Franklin_D._Roosevelt","March 4, 1933 – April 12, 1948","Franklin Delano Roosevelt","http://dbpedia.org/resource/Franklin_D._Roosevelt","44th governor of New York","http://dbpedia.org/resource/Governor_of_New_York","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1944","http://dbpedia.org/resource/United_States_presidential_election,_1944","Harry S. Truman","http://dbpedia.org/resource/Harry_S._Truman"
"33","http://dbpedia.org/resource/Presidency_of_Harry_S._Truman","April 12, 1945 – January 20, 1953","Harry S. Truman","http://dbpedia.org/resource/Harry_S._Truman","34th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1944","http://dbpedia.org/resource/United_States_presidential_election,_1944","",""
"33","http://dbpedia.org/resource/Presidency_of_Harry_S._Truman","April 12, 1945 – January 20, 1953","Harry S. Truman","http://dbpedia.org/resource/Harry_S._Truman","34th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1948","http://dbpedia.org/resource/United_States_presidential_election,_1948","Alben W. Barkley","http://dbpedia.org/resource/Alben_W._Barkley"
"34","http://dbpedia.org/resource/Presidency_of_Dwight_D._Eisenhower","January 20, 1953 – January 20, 1961","Dwight D. Eisenhower","http://dbpedia.org/resource/Dwight_D._Eisenhower","Supreme Allied Commander Europe","http://dbpedia.org/resource/Supreme_Headquarters_Allied_Expeditionary_Force","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1952","http://dbpedia.org/resource/United_States_presidential_election,_1952","Richard Nixon","http://dbpedia.org/resource/Richard_Nixon"
"34","http://dbpedia.org/resource/Presidency_of_Dwight_D._Eisenhower","January 20, 1953 – January 20, 1961","Dwight D. Eisenhower","http://dbpedia.org/resource/Dwight_D._Eisenhower","Supreme Allied Commander Europe","http://dbpedia.org/resource/Supreme_Headquarters_Allied_Expeditionary_Force","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1956","http://dbpedia.org/resource/United_States_presidential_election,_1956","Richard Nixon","http://dbpedia.org/resource/Richard_Nixon"
"35","http://dbpedia.org/resource/Presidency_of_John_F._Kennedy","January 20, 1961 – November 22, 1963","John F. Kennedy","http://dbpedia.org/resource/John_F._Kennedy","U.S. senator from Massachusetts","http://dbpedia.org/resource/U.S._senator","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1960","http://dbpedia.org/resource/United_States_presidential_election,_1960","Lyndon B. Johnson","http://dbpedia.org/resource/Lyndon_B._Johnson"
"36","http://dbpedia.org/resource/Presidency_of_Lyndon_B._Johnson","November 22, 1963 – January 20, 1969","Lyndon B. Johnson","http://dbpedia.org/resource/Lyndon_B._Johnson","37th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1960","http://dbpedia.org/resource/United_States_presidential_election,_1960","",""
"36","http://dbpedia.org/resource/Presidency_of_Lyndon_B._Johnson","November 22, 1963 – January 20, 1969","Lyndon B. Johnson","http://dbpedia.org/resource/Lyndon_B._Johnson","37th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1964","http://dbpedia.org/resource/United_States_presidential_election,_1964","Hubert Humphrey","http://dbpedia.org/resource/Hubert_Humphrey"
"37","http://dbpedia.org/resource/Presidency_of_Richard_Nixon","January 20, 1969 – August 9, 1974","Richard Nixon","http://dbpedia.org/resource/Richard_Nixon","36th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1968","http://dbpedia.org/resource/United_States_presidential_election,_1968","Spiro Agnew","http://dbpedia.org/resource/Spiro_Agnew"
"37","http://dbpedia.org/resource/Presidency_of_Richard_Nixon","January 20, 1969 – August 9, 1975","Richard Nixon","http://dbpedia.org/resource/Richard_Nixon","36th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1972","http://dbpedia.org/resource/United_States_presidential_election,_1972","Spiro Agnew","http://dbpedia.org/resource/Spiro_Agnew"
"37","http://dbpedia.org/resource/Presidency_of_Richard_Nixon","January 20, 1969 – August 9, 1976","Richard Nixon","http://dbpedia.org/resource/Richard_Nixon","36th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1972","http://dbpedia.org/resource/United_States_presidential_election,_1972","",""
"37","http://dbpedia.org/resource/Presidency_of_Richard_Nixon","January 20, 1969 – August 9, 1977","Richard Nixon","http://dbpedia.org/resource/Richard_Nixon","36th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1972","http://dbpedia.org/resource/United_States_presidential_election,_1972","Gerald Ford","http://dbpedia.org/resource/Gerald_Ford"
"38","http://dbpedia.org/resource/Presidency_of_Gerald_Ford","August 9, 1974 – January 20, 1977","Gerald Ford","http://dbpedia.org/resource/Gerald_Ford","40th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1972","http://dbpedia.org/resource/United_States_presidential_election,_1972","",""
