"Artist","Artist__URI","Country / Market","Country / Market__URI","Period active","Release year of first charted record","Genre","Genre__URI","Total certified units (from available markets)","Claimed sales (replaced with mean)"
"Led Zeppelin","http://dbpedia.org/resource/Led_Zeppelin","Uniited Kingdom","http://dbpedia.org/resource/United_Kingdom","1968–1980","1969","Hard rock","http://dbpedia.org/resource/Hard_rock","Total available certified units: 140.2 million","250 million"
"Led Zeppelin","http://dbpedia.org/resource/Led_Zeppelin","United Kingdomm","http://dbpedia.org/resource/United_Kingdom","1968–1980","1969","Blues rock","http://dbpedia.org/resource/Blues_rock","Total available certified units: 140.2 million","250 million"
"Led Zeppelin","http://dbpedia.org/resource/Led_Zeppelin","United Kingdomm","http://dbpedia.org/resource/United_Kingdom","1968–1980","1969","Folk rock","http://dbpedia.org/resource/Folk_rock","Total available certified units: 140.2 million","250 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","Barbadoss","http://dbpedia.org/resource/Barbados","2005–present","2005","R&B","http://dbpedia.org/resource/Rhythm_and_blues","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","Barbados","http://dbpedia.org/resource/Barbados","2005–present","2005","Pop","http://dbpedia.org/resource/Pop_music","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","Barbadoss","http://dbpedia.org/resource/Barbados","2005–present","2005","Dance","http://dbpedia.org/resource/Dance_music","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","Barbados","http://dbpedia.org/resource/Barbados","2005–present","2005","Hip-hop","http://dbpedia.org/resource/Hip_hop_music","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","United Statess","http://dbpedia.org/resource/United_States","2005–present","2005","R&B","http://dbpedia.org/resource/Rhythm_and_blues","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","United States","http://dbpedia.org/resource/United_States","2005–present","2005","Pop","http://dbpedia.org/resource/Pop_music","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","United States","http://dbpedia.org/resource/United_States","2005–present","2005","Dance","http://dbpedia.org/resource/Dance_music","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","Unitedd States","http://dbpedia.org/resource/United_States","2005–present","2005","Hip-hop","http://dbpedia.org/resource/Hip_hop_music","Total available certified units: 272.2 million","240 million"
"Pink Floyd","http://dbpedia.org/resource/Pink_Floyd","United Kingdomm","http://dbpedia.org/resource/United_Kingdom","1965–1996, 2014","1967","Progressive rock","http://dbpedia.org/resource/Progressive_rock","Total available certified units: 120.9 million","225 million"
"Pink Floyd","http://dbpedia.org/resource/Pink_Floyd","UUnited Kingdom","http://dbpedia.org/resource/United_Kingdom","1965–1996, 2014","1967","Psychedelic rock","http://dbpedia.org/resource/Psychedelic_music","Total available certified units: 120.9 million","225 million"
