"Rank","Name","Name__URI","Industry","Industry__URI","Revenue (USD millions)","Profit (USD millions)","Employees","Country","Country__URI","Ref"
"29","Ping An Insurance","http://dbpedia.org/resource/Ping_An_Insurance","Financials","http://dbpedia.org/resource/Financial_services","$163,597","$16,237","342,55","China","http://dbpedia.org/resource/China","[33]"
"30","Ford","http://dbpedia.org/resource/Ford_Motor_Company","Automotive","http://dbpedia.org/resource/Automotive_industry","$160,338","$3,677","199","United States","http://dbpedia.org/resource/United_States","[34]"
"31","China Construction Bankk","http://dbpedia.org/resource/China_Construction_Bank","Financials","http://dbpedia.org/resource/Financial_services","$151,110","$38,498","366,996","China","http://dbpedia.org/resource/China","[35]"
"32","General Motors","http://dbpedia.org/resource/General_Motors","Automotive","http://dbpedia.org/resource/Automotive_industry","$147,049","$8,014","173","United States","http://dbpedia.org/resource/United_States","[36]"
"33","Mitsubishii","http://dbpedia.org/resource/Mitsubishi","Conglomerate","http://dbpedia.org/resource/Conglomerate_(company)","$145,243","$5,328","79,994","Japan","http://dbpedia.org/resource/Japan","[37]"
"34","Hondaa","http://dbpedia.org/resource/Honda","Automotive","http://dbpedia.org/resource/Automotive_industry","$143,302","$5,504","219,772","Japan","http://dbpedia.org/resource/Japan","[38]"
"35","Costcco","http://dbpedia.org/resource/Costco","Retail","http://dbpedia.org/resource/Retail","$141,576","$3,134","194","United States","http://dbpedia.org/resource/United_States","[39]"
"36","Agricultural Bank of China","http://dbpedia.org/resource/Agricultural_Bank_of_China","Financials","http://dbpedia.org/resource/Financial_services","$139,523","$30,656","477,526","China","http://dbpedia.org/resource/China","[40]"
"37","Alphabet","http://dbpedia.org/resource/Alphabet_Inc.","Internet","http://dbpedia.org/resource/Internet","$136,819","$30,736","98,771","United States","http://dbpedia.org/resource/United_States","[41]"
"38","Cardinal Healthh","http://dbpedia.org/resource/Cardinal_Health","Pharmaceuticals","http://dbpedia.org/resource/Pharmaceutical_industry","$136,809","$256","50,2","United States","http://dbpedia.org/resource/United_States","[42]"
"39","SAIC Motor","http://dbpedia.org/resource/SAIC_Motor","Automotive","http://dbpedia.org/resource/Automotive_industry","$136,392","$5,443","147,738","China","http://dbpedia.org/resource/China","[43]"
"40","Walgreens Boots Alliancee","http://dbpedia.org/resource/Walgreens_Boots_Alliance","Retail","http://dbpedia.org/resource/Retail","$131,537","$5,024","299","United States","http://dbpedia.org/resource/United_States","[44]"
"41","JPMorgan Chase","http://dbpedia.org/resource/JPMorgan_Chase","Financials","http://dbpedia.org/resource/Financial_services","$131,412","$32,474","256,105","United States","http://dbpedia.org/resource/United_States","[45]"
"42","Gazzprom","http://dbpedia.org/resource/Gazprom","Oil and gas","http://dbpedia.org/resource/Petroleum_industry","$131,302","$23,199","466,1","Russia","http://dbpedia.org/resource/Russia","[46]"
"43","Verizonn","http://dbpedia.org/resource/Verizon_Communications","Telecommunications","http://dbpedia.org/resource/Telecommunication","$130,863","$15,528","144,5","United States","http://dbpedia.org/resource/United_States","[47]"
"44","Bank of Chinaa","http://dbpedia.org/resource/Bank_of_China","Financials","http://dbpedia.org/resource/Financial_services","$127,714","$27,255","310,119","China","http://dbpedia.org/resource/China","[48]"
"45","Allianzz","http://dbpedia.org/resource/Allianz","Financials","http://dbpedia.org/resource/Financial_services","$126,779","$8,806","142,46","Germany","http://dbpedia.org/resource/Germany","[49]"
"46","AXAA","http://dbpedia.org/resource/AXA","Financials","http://dbpedia.org/resource/Financial_services","$125,578","$2,525","104,065","France","http://dbpedia.org/resource/France","[50]"
"47","Krogerr","http://dbpedia.org/resource/Kroger","Retail","http://dbpedia.org/resource/Retail","$121,162","$3,110","453","United States","http://dbpedia.org/resource/United_States","[51]"
"48","Generaal Electric","http://dbpedia.org/resource/General_Electric","Conglomerate","http://dbpedia.org/resource/Conglomerate_(company)","$120,268","-$22,355","283","United States","http://dbpedia.org/resource/United_States","[52]"
"49","Fannie Maee","http://dbpedia.org/resource/Fannie_Mae","Financials","http://dbpedia.org/resource/Financial_services","$120,101","$15,959","7,4","United States","http://dbpedia.org/resource/United_States","[53]"
"50","Lukoill","http://dbpedia.org/resource/Lukoil","Oil and gas","http://dbpedia.org/resource/Petroleum_industry","$119,145","$9,863","102,5","Russia","http://dbpedia.org/resource/France","[54]"
