"Realm / Kingdom","Realm / Kingdom__URI","Monarch","Monarch__URI","Since","Length","House","House__URI","Type","Type__URI","Heir apparent","Heir apparent__URI","Ref(s)"
"Saint Lucia","http://dbpedia.org/resource/Saint_Lucia","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","22 February 1979[fn 3]","40 years, 285 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Saint_Lucia","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][26]"
"Saint Vincent and the Grenadiness","http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","27 October 1979[fn 3]","40 years, 285 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Saint_Vincent_and_the_Grenadines","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][27]"
"Solomon Islandss","http://dbpedia.org/resource/Solomon_Islands","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","7 July 1978[fn 3]","41 years, 150 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_the_Solomon_Islands","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][28]"
"Tuvalu","http://dbpedia.org/resource/Tuvalu","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","1 October 1978[fn 3]","41 years, 64 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Tuvalu","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][29]"
"United Kingdom of Great BBritain and Northern Ireland","http://dbpedia.org/resource/United_Kingdom","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","6 February 1952[fn 6]","67 years, 301 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_the_United_Kingdom","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15]"
"Kingdom of Bahrain","http://dbpedia.org/resource/Bahrain","King Hamad bin Isa (b. 1950)","http://dbpedia.org/resource/Hamad_bin_Isa_Al_Khalifa","6 March 1999[fn 8]","20 years, 273 days","Al Khalifa[fn 9]","http://dbpedia.org/resource/House_of_Khalifa","Mixed","http://dbpedia.org/resource/Mixed_government","Salman, Crown Prince of Bahrain","http://dbpedia.org/resource/Salman,_Crown_Prince_of_Bahrain","[31]"
"Kingdom of Beelgium","http://dbpedia.org/resource/Belgium","King Philippe (b. 1960)","http://dbpedia.org/resource/Philippe_of_Belgium","21 July 2013","6 years, 136 days","Saxe-Coburg and Gotha[fn 4]","http://dbpedia.org/resource/House_of_Saxe-Coburg_and_Gotha","Constitutional","http://dbpedia.org/resource/Monarchy_of_Belgium","Princess Elisabeth, Duchess of Brabant[fn 10]","http://dbpedia.org/resource/Princess_Elisabeth,_Duchess_of_Brabant","[36]"
"Kingdom of Bhutan","http://dbpedia.org/resource/Bhutan","King Jigme Khesar Namgyel (b. 1980)","http://dbpedia.org/resource/Jigme_Khesar_Namgyel_Wangchuck","14 December 2006[fn 11]","12 years, 354 days","Wangchuck","http://dbpedia.org/resource/House_of_Wangchuck","Constitutional","http://dbpedia.org/resource/Monarchy_of_Bhutan","Jigme Namgyel","http://dbpedia.org/resource/Jigme_Namgyel_Wangchuck","[38]"
"Brunei Darusssalam","http://dbpedia.org/resource/Brunei","Sultan Hassanal Bolkiah (b. 1946)","http://dbpedia.org/resource/Hassanal_Bolkiah","5 October 1967[fn 12]","52 years, 61 days","Bolkiah","http://dbpedia.org/resource/House_of_Bolkiah","Absolute","http://dbpedia.org/resource/Absolute_monarchy","Al-Muhtadee Billah","http://dbpedia.org/resource/Al-Muhtadee_Billah","[39]"
"Kingdom of Cambodiaa","http://dbpedia.org/resource/Cambodia","King Norodom Sihamoni (b. 1953)","http://dbpedia.org/resource/Norodom_Sihamoni","14 October 2004[fn 13]","15 years, 51 days","Norodom[fn 14]","http://dbpedia.org/resource/House_of_Norodom","Constitutional","http://dbpedia.org/resource/Monarchy_of_Cambodia","Hereditary and elective[fn 15]","http://dbpedia.org/resource/Line_of_succession_to_the_Cambodian_throne","[41]"
"Kiingdom of Denmark","http://dbpedia.org/resource/Denmark","Queen Margrethe II (b. 1940)","http://dbpedia.org/resource/Margrethe_II_of_Denmark","14 January 1972","47 years, 324 days","Glücksburg[fn 16]","http://dbpedia.org/resource/House_of_Glücksburg","Constitutional","http://dbpedia.org/resource/Monarchy_of_Denmark","Frederik, Crown Prince of Denmark","http://dbpedia.org/resource/Frederik,_Crown_Prince_of_Denmark","[45]"
"Kingdom of Eswatini","http://dbpedia.org/resource/Swaziland","King Mswati III (b. 1968)","http://dbpedia.org/resource/Mswati_III","25 April 1986","33 years, 223 days","Dlamini","http://dbpedia.org/resource/House_of_Dlamini","Absolute","http://dbpedia.org/resource/Absolute_monarchy","Hereditary and elective[fn 17]","http://dbpedia.org/resource/Succession_to_the_Swazi_throne","[48]"
"Japann","http://dbpedia.org/resource/Japan","Emperor Naruhito[fn 18] (b. 1960)","http://dbpedia.org/resource/Naruhito,_Crown_Prince_of_Japan","1 May 2019[fn 19]","217 days","Yamato[fn 20]","http://dbpedia.org/resource/Imperial_House_of_Japan","Constitutional","http://dbpedia.org/resource/Emperor_of_Japan","Fumihito, Prince Akishino","http://dbpedia.org/resource/Fumihito,_Prince_Akishino","[54]"
"Hashemite Kingdom of Jordann","http://dbpedia.org/resource/Jordan","King Abdullah II (b. 1962)","http://dbpedia.org/resource/Abdullah_II_of_Jordan","7 February 1999[fn 21]","20 years, 300 days","Hāshim","http://dbpedia.org/resource/Hashemites","Constitutional","","Hereditary and elective (presumably Hussein, Crown Prince of Jordan)[fn 22]","http://dbpedia.org/resource/Line_of_succession_to_the_Jordanian_throne","[57][58]"
"State of Kuwaitt","http://dbpedia.org/resource/Kuwait","Emir Sabah al-Ahmad (b. 1929)","http://dbpedia.org/resource/Sabah_Al-Ahmad_Al-Jaber_Al-Sabah","29 January 2006","13 years, 309 days","Al Sabah[fn 9]","http://dbpedia.org/resource/House_of_Sabah","Constitutional","http://dbpedia.org/resource/Emir_of_Kuwait","Hereditary and elective[fn 23]","","[62]"
"Kingdom of Lesothoo","http://dbpedia.org/resource/Lesotho","King Letsie III (b. 1963)","http://dbpedia.org/resource/Letsie_III_of_Lesotho","7 February 1996[fn 24]","29 years, 22 days","Moshesh","http://dbpedia.org/resource/Moshoeshoe_I","Constitutional","","Lerotholi Seeiso","http://dbpedia.org/resource/Lerotholi_Seeiso","[63][64]"
"Principality of Liechtenstein","http://dbpedia.org/resource/Liechtenstein","Prince Regnant Hans-Adam II (b. 1945) (Regent: The Hereditary Prince Alois)","http://dbpedia.org/resource/Hans-Adam_II,_Prince_of_Liechtenstein","13 November 1989[fn 25]","30 years, 21 days","Liechtenstein","http://dbpedia.org/resource/Princely_Family_of_Liechtenstein","Constitutional","http://dbpedia.org/resource/Monarchy_of_Liechtenstein","The Hereditary Prince Alois (currently Prince Regent)","http://dbpedia.org/resource/Alois,_Hereditary_Prince_of_Liechtenstein","[66]"
"Grand Duchy of Luxembourg","http://dbpedia.org/resource/Luxembourg","Grand Duke Henri (b. 1955)","http://dbpedia.org/resource/Henri,_Grand_Duke_of_Luxembourg","7 October 2000[fn 26]","19 years, 58 days","Luxembourg-Nassau[fn 27]","http://dbpedia.org/resource/Grand_Ducal_Family_of_Luxembourg","Constitutional","http://dbpedia.org/resource/Monarchy_of_Luxembourg","Guillaume, Hereditary Grand Duke of Luxembourg","http://dbpedia.org/resource/Guillaume,_Hereditary_Grand_Duke_of_Luxembourg","[68]"
"Malayssia","http://dbpedia.org/resource/Malaysia","King Abdullah Ri'ayatuddin[fn 28] (b. 1959)","http://dbpedia.org/resource/Abdullah_of_Pahang","31 January 2019[fn 29]","307 days","Pahang","http://dbpedia.org/resource/Pahang","Constitutional","http://dbpedia.org/resource/Constitution_of_Malaysia","Elective (presumably the Deputy King, Sultan Nazrin Muizzuddin Shah)[fn 30]","http://dbpedia.org/resource/Monarchies_of_Malaysia","[74]"
"Principality of Monaco","http://dbpedia.org/resource/Monaco","Sovereign Prince Albert II (b. 1958)","http://dbpedia.org/resource/Albert_II,_Prince_of_Monaco","6 April 2005[fn 31]","14 years, 242 days","Grimaldi","http://dbpedia.org/resource/House_of_Grimaldi","Constitutional","http://dbpedia.org/resource/Monarchy_of_Monaco","Jacques, Hereditary Prince of Monaco","http://dbpedia.org/resource/Jacques,_Hereditary_Prince_of_Monaco","[78]"
"Kingdom of Morocco","http://dbpedia.org/resource/Morocco","King Mohammed VI (b. 1963)","http://dbpedia.org/resource/Mohammed_VI_of_Morocco","23 July 1999[fn 32]","20 years, 134 days","Alawi","http://dbpedia.org/resource/Alaouite_dynasty","Constitutional","","Moulay Hassan, Crown Prince of Morocco","http://dbpedia.org/resource/Moulay_Hassan,_Crown_Prince_of_Morocco","[80]"
"Kingdom of the Netherlandss","http://dbpedia.org/resource/Kingdom_of_the_Netherlands","King Willem-Alexander (b. 1967)","http://dbpedia.org/resource/Willem-Alexander_of_the_Netherlands","30 April 2013","6 years, 218 days","Orange-Nassau[fn 33]","http://dbpedia.org/resource/House_of_Orange-Nassau","Constitutional","http://dbpedia.org/resource/Monarchy_of_the_Netherlands","Catharina-Amalia, Princess of Orange","http://dbpedia.org/resource/Catharina-Amalia,_Princess_of_Orange","[83]"
"Kingdom of Norwayy","http://dbpedia.org/resource/Norway","King Harald V (b. 1937)","http://dbpedia.org/resource/Harald_V_of_Norway","17 January 1991[fn 34]","28 years, 321 days","Glücksburg[fn 16]","http://dbpedia.org/resource/House_of_Glücksburg","Constitutional","http://dbpedia.org/resource/Monarchy_of_Norway","Haakon, Crown Prince of Norway","http://dbpedia.org/resource/Haakon,_Crown_Prince_of_Norway","[84]"
"Sultanate of Oman","http://dbpedia.org/resource/Oman","Sultan Haitham bin Tariq (b. 1954)","http://dbpedia.org/resource/Qaboos_bin_Said_al_Said","11 January 2020","49 years, 134 days","Al Said","http://dbpedia.org/resource/Al_Said","Absolute","http://dbpedia.org/resource/Absolute_monarchy","Hereditary (presumably Theyazin bin Haitham)","","[85]"
"State of Qatar","http://dbpedia.org/resource/Qatar","Emir Tamim bin Hamad (b. 1980)","http://dbpedia.org/resource/Tamim_bin_Hamad_Al_Thani","25 June 2013","6 years, 162 days","Al Thani","http://dbpedia.org/resource/House_of_Thani","Mixed","http://dbpedia.org/resource/Mixed_government","Abdullah bin Hamad","http://dbpedia.org/resource/Abdullah_bin_Hamad_bin_Khalifa_Al_Thani","[87]"
"Kingdom of Saudi Arabiaa","http://dbpedia.org/resource/Saudi_Arabia","King Salman bin Abdulaziz (b. 1935)","http://dbpedia.org/resource/Salman_of_Saudi_Arabia","23 January 2015","4 years, 315 days","Al Saud","http://dbpedia.org/resource/House_of_Saud","Absolute theocracy","","Mohammad bin Salman[fn 36]","http://dbpedia.org/resource/Mohammad_bin_Salman","[89]"
"Kingdom oof Spain","http://dbpedia.org/resource/Spain","King Felipe VI (b. 1968)","http://dbpedia.org/resource/Felipe_VI_of_Spain","19 June 2014","5 years, 168 days","Bourbon","http://dbpedia.org/resource/House_of_Bourbon","Constitutional","http://dbpedia.org/resource/Monarchy_of_Spain","Leonor, Princess of Asturias","http://dbpedia.org/resource/Leonor,_Princess_of_Asturias","[90]"
"KKingdom of Sweden","http://dbpedia.org/resource/Sweden","King Carl XVI Gustaf (b. 1946)","http://dbpedia.org/resource/Carl_XVI_Gustaf_of_Sweden","15 September 1973[fn 37]","46 years, 80 days","Bernadotte","http://dbpedia.org/resource/House_of_Bernadotte","Constitutional","http://dbpedia.org/resource/Monarchy_of_Sweden","Victoria, Crown Princess of Sweden","http://dbpedia.org/resource/Victoria,_Crown_Princess_of_Sweden","[92]"
"Kingdom of Thailandd","http://dbpedia.org/resource/Thailand","King Vajiralongkorn[fn 38] (b. 1952)","http://dbpedia.org/resource/Vajiralongkorn","13 October 2016[fn 39]","3 years, 52 days","Chakri","http://dbpedia.org/resource/Chakri_Dynasty","Constitutional","http://dbpedia.org/resource/Monarchy_of_Thailand","Dipangkorn Rasmijoti","http://dbpedia.org/resource/Dipangkorn_Rasmijoti","[97]"
"Kingdom of Tongaa","http://dbpedia.org/resource/Tonga","King Tupou VI (b. 1959)","http://dbpedia.org/resource/Tupou_VI","18 March 2012","7 years, 261 days","Tupou[fn 40]","http://dbpedia.org/resource/List_of_monarchs_of_Tonga","Constitutional","","Tupoutoʻa ʻUlukalala","http://dbpedia.org/resource/Tupoutoʻa_ʻUlukalala","[99]"
"United Arab Emiratess","http://dbpedia.org/resource/United_Arab_Emirates","President Khalifa bin Zayed (b. 1948)","http://dbpedia.org/resource/Khalifa_bin_Zayed_Al_Nahyan","3 November 2004","15 years, 31 days","Al Nahyan[fn 41]","http://dbpedia.org/resource/Al_Nahyan_family","Mixed","http://dbpedia.org/resource/Mixed_government","Elective and hereditary[fn 43]","http://dbpedia.org/resource/Federal_Supreme_Council_(United_Arab_Emirates)","[103]"
"Vatican City Statee","http://dbpedia.org/resource/Vatican_City","Pope Francis[fn 44] (b. 1936)","http://dbpedia.org/resource/Pope_Francis","13 March 2013","6 years, 266 days","","","Absolute theocracy","http://dbpedia.org/resource/Papacy","Elective","http://dbpedia.org/resource/Papal_conclave","[104]"
