"musician","musician__URI","genre","genre__URI","instrument","instrument__URI"
"""Snuffy"" Jenkins","http://dbpedia.org/resource/Snuffy_Jenkins","Bluegrass musicc","http://dbpedia.org/resource/Bluegrass_music","Fiddlee","http://dbpedia.org/resource/Fiddle"
"""Snuffy"" Jenkins","http://dbpedia.org/resource/Snuffy_Jenkins","Bluegrass musicc","http://dbpedia.org/resource/Bluegrass_music","Guitar","http://dbpedia.org/resource/Guitar"
"""Snuffy"" Jenkins","http://dbpedia.org/resource/Snuffy_Jenkins","Old time mussic","http://dbpedia.org/resource/Old_time_music","Banjjo","http://dbpedia.org/resource/Banjo"
"""Snuffy"" Jenkins","http://dbpedia.org/resource/Snuffy_Jenkins","OOld time music","http://dbpedia.org/resource/Old_time_music","Fiddle","http://dbpedia.org/resource/Fiddle"
"""Snuffy"" Jenkins","http://dbpedia.org/resource/Snuffy_Jenkins","Old time musicc","http://dbpedia.org/resource/Old_time_music","Guitar","http://dbpedia.org/resource/Guitar"
"""Sooty"" Jones","http://dbpedia.org/resource/Anthony_%22Sooty%22_Jones","Hard rockk","http://dbpedia.org/resource/Hard_rock","Bass guitarr","http://dbpedia.org/resource/Bass_guitar"
"""Sooty"" Jones","http://dbpedia.org/resource/Anthony_%22Sooty%22_Jones","Blues-rock","http://dbpedia.org/resource/Blues-rock","Basss guitar","http://dbpedia.org/resource/Bass_guitar"
"""Spider"" John Koerner","http://dbpedia.org/resource/John_Koerner","Bluues","http://dbpedia.org/resource/Blues","Human voice","http://dbpedia.org/resource/Human_voice"
"""Spider"" John Koerner","http://dbpedia.org/resource/John_Koerner","Bluess","http://dbpedia.org/resource/Blues","Harmonica","http://dbpedia.org/resource/Harmonica"
"""Spider"" John Koerner","http://dbpedia.org/resource/John_Koerner","Bluues","http://dbpedia.org/resource/Blues","Guitaar","http://dbpedia.org/resource/Guitar"
"""The Stork""","http://dbpedia.org/resource/Paul_Desmond","Cool jjazz","http://dbpedia.org/resource/Cool_jazz","Alto saxophone","http://dbpedia.org/resource/Alto_saxophone"
"""The Stork""","http://dbpedia.org/resource/Paul_Desmond","Cool jazz","http://dbpedia.org/resource/Cool_jazz","Clarinett","http://dbpedia.org/resource/Clarinet"
"""The Stork""","http://dbpedia.org/resource/Paul_Desmond","Mainstreaam jazz","http://dbpedia.org/resource/Mainstream_jazz","Alto saxophonee","http://dbpedia.org/resource/Alto_saxophone"
"""The Stork""","http://dbpedia.org/resource/Paul_Desmond","Mainstreeam jazz","http://dbpedia.org/resource/Mainstream_jazz","Clarinett","http://dbpedia.org/resource/Clarinet"
"""The Stork""","http://dbpedia.org/resource/Paul_Desmond","West Coast jazzz","http://dbpedia.org/resource/West_Coast_jazz","Alto saxophone","http://dbpedia.org/resource/Alto_saxophone"
"""The Stork""","http://dbpedia.org/resource/Paul_Desmond","West Coast jazz","http://dbpedia.org/resource/West_Coast_jazz","Clarinett","http://dbpedia.org/resource/Clarinet"
"""Uncle"" Lionel Batiste","http://dbpedia.org/resource/Lionel_Batiste","Blues","http://dbpedia.org/resource/Blues","Bass drumm","http://dbpedia.org/resource/Bass_drum"
"""Uncle"" Lionel Batiste","http://dbpedia.org/resource/Lionel_Batiste","Blues","http://dbpedia.org/resource/Blues","Singingg","http://dbpedia.org/resource/Singing"
"""Uncle"" Lionel Batiste","http://dbpedia.org/resource/Lionel_Batiste","Jazzz","http://dbpedia.org/resource/Jazz","Bass drumm","http://dbpedia.org/resource/Bass_drum"
"""Uncle"" Lionel Batiste","http://dbpedia.org/resource/Lionel_Batiste","Jazzz","http://dbpedia.org/resource/Jazz","Singing","http://dbpedia.org/resource/Singing"
"* ChaseNDough","http://dbpedia.org/resource/Chase_N_Dough","R&B","http://dbpedia.org/resource/R&B","FL Studio","http://dbpedia.org/resource/FL_Studio"
"* ChaseNDough","http://dbpedia.org/resource/Chase_N_Dough","R&BB","http://dbpedia.org/resource/R&B","Pro Toolss","http://dbpedia.org/resource/Pro_Tools"
"* ChaseNDough","http://dbpedia.org/resource/Chase_N_Dough","Drill (mussic genre)","http://dbpedia.org/resource/Drill_(music_genre)","FL Studio","http://dbpedia.org/resource/FL_Studio"
"* ChaseNDough","http://dbpedia.org/resource/Chase_N_Dough","Drill (music gennre)","http://dbpedia.org/resource/Drill_(music_genre)","Pro Toolss","http://dbpedia.org/resource/Pro_Tools"
"* ChaseNDough","http://dbpedia.org/resource/Chase_N_Dough","Trap music","http://dbpedia.org/resource/Trap_music","FL Studioo","http://dbpedia.org/resource/FL_Studio"
"* ChaseNDough","http://dbpedia.org/resource/Chase_N_Dough","Trap music","http://dbpedia.org/resource/Trap_music","Pro Tools","http://dbpedia.org/resource/Pro_Tools"
"* ChaseNDough","http://dbpedia.org/resource/Chase_N_Dough","Hip hop musicc","http://dbpedia.org/resource/Hip_hop_music","FL Studio","http://dbpedia.org/resource/FL_Studio"
"* ChaseNDough","http://dbpedia.org/resource/Chase_N_Dough","Hip hop musicc","http://dbpedia.org/resource/Hip_hop_music","Pro Toolss","http://dbpedia.org/resource/Pro_Tools"
"* G-Eazy","http://dbpedia.org/resource/G-Eazy","Hip hop musicc","http://dbpedia.org/resource/Hip_hop_music","Vocalss","http://dbpedia.org/resource/Vocals"
"* Jamaal Davis","http://dbpedia.org/resource/MadeinTYO","Rhythm and bluess","http://dbpedia.org/resource/Rhythm_and_blues","Vocalss","http://dbpedia.org/resource/Vocals"
"* Jamaal Davis","http://dbpedia.org/resource/MadeinTYO","Trap musicc","http://dbpedia.org/resource/Trap_music","Vocalss","http://dbpedia.org/resource/Vocals"
"* Jamaal Davis","http://dbpedia.org/resource/MadeinTYO","Hip hop musicc","http://dbpedia.org/resource/Hip_hop_music","Vocalss","http://dbpedia.org/resource/Vocals"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Country bluess","http://dbpedia.org/resource/Country_blues","Stella (guitar))","http://dbpedia.org/resource/Stella_(guitar)"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Country blues","http://dbpedia.org/resource/Country_blues","Accordion","http://dbpedia.org/resource/Accordion"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Counntry blues","http://dbpedia.org/resource/Country_blues","Guitar","http://dbpedia.org/resource/Guitar"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Country blues","http://dbpedia.org/resource/Country_blues","Pianoo","http://dbpedia.org/resource/Piano"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Country bluess","http://dbpedia.org/resource/Country_blues","Vocalss","http://dbpedia.org/resource/Vocals"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Country bluess","http://dbpedia.org/resource/Country_blues","Lap stteel guitar","http://dbpedia.org/resource/Lap_steel_guitar"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Folk musicc","http://dbpedia.org/resource/Folk_music","Stella (guitar))","http://dbpedia.org/resource/Stella_(guitar)"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Folk music","http://dbpedia.org/resource/Folk_music","Accordionn","http://dbpedia.org/resource/Accordion"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Folk musicc","http://dbpedia.org/resource/Folk_music","Guiitar","http://dbpedia.org/resource/Guitar"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Folk musicc","http://dbpedia.org/resource/Folk_music","PPiano","http://dbpedia.org/resource/Piano"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Folk musicc","http://dbpedia.org/resource/Folk_music","Vocalss","http://dbpedia.org/resource/Vocals"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Folk music","http://dbpedia.org/resource/Folk_music","Lap steel guitarr","http://dbpedia.org/resource/Lap_steel_guitar"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Songsterr","http://dbpedia.org/resource/Songster","Stella (guitar))","http://dbpedia.org/resource/Stella_(guitar)"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Songsterr","http://dbpedia.org/resource/Songster","Accordionn","http://dbpedia.org/resource/Accordion"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Songster","http://dbpedia.org/resource/Songster","Guitarr","http://dbpedia.org/resource/Guitar"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Songsterr","http://dbpedia.org/resource/Songster","Piano","http://dbpedia.org/resource/Piano"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Songsterr","http://dbpedia.org/resource/Songster","Vocalss","http://dbpedia.org/resource/Vocals"
"* Lead Belly","http://dbpedia.org/resource/Lead_Belly","Songsterr","http://dbpedia.org/resource/Songster","Lap steel guitar","http://dbpedia.org/resource/Lap_steel_guitar"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Country bluess","http://dbpedia.org/resource/Country_blues","Stella (guitar))","http://dbpedia.org/resource/Stella_(guitar)"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Country bluess","http://dbpedia.org/resource/Country_blues","Accordionn","http://dbpedia.org/resource/Accordion"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Country bluess","http://dbpedia.org/resource/Country_blues","Guitarr","http://dbpedia.org/resource/Guitar"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Country bluess","http://dbpedia.org/resource/Country_blues","Pianoo","http://dbpedia.org/resource/Piano"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Country blues","http://dbpedia.org/resource/Country_blues","VVocals","http://dbpedia.org/resource/Vocals"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Country bluess","http://dbpedia.org/resource/Country_blues","Lap steel guiitar","http://dbpedia.org/resource/Lap_steel_guitar"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Folk  music","http://dbpedia.org/resource/Folk_music","Stella (guitar)","http://dbpedia.org/resource/Stella_(guitar)"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Folk musicc","http://dbpedia.org/resource/Folk_music","Accordionn","http://dbpedia.org/resource/Accordion"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Folk musicc","http://dbpedia.org/resource/Folk_music","Guitarr","http://dbpedia.org/resource/Guitar"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Folk musicc","http://dbpedia.org/resource/Folk_music","Piano","http://dbpedia.org/resource/Piano"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Folk musicc","http://dbpedia.org/resource/Folk_music","Vocaals","http://dbpedia.org/resource/Vocals"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Folk musicc","http://dbpedia.org/resource/Folk_music","Lap steel guitar","http://dbpedia.org/resource/Lap_steel_guitar"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Songsterr","http://dbpedia.org/resource/Songster","Stella (guitar))","http://dbpedia.org/resource/Stella_(guitar)"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Songsterr","http://dbpedia.org/resource/Songster","Accordionn","http://dbpedia.org/resource/Accordion"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","SSongster","http://dbpedia.org/resource/Songster","Guitar","http://dbpedia.org/resource/Guitar"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Songster","http://dbpedia.org/resource/Songster","Pianoo","http://dbpedia.org/resource/Piano"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Songsterr","http://dbpedia.org/resource/Songster","Vocaals","http://dbpedia.org/resource/Vocals"
"* Leadbelly","http://dbpedia.org/resource/Lead_Belly","Songster","http://dbpedia.org/resource/Songster","Lap steel guitarr","http://dbpedia.org/resource/Lap_steel_guitar"
"* Made In Tokyo","http://dbpedia.org/resource/MadeinTYO","Rhythm and blues","http://dbpedia.org/resource/Rhythm_and_blues","Vocalss","http://dbpedia.org/resource/Vocals"
"* Made In Tokyo","http://dbpedia.org/resource/MadeinTYO","Trap musicc","http://dbpedia.org/resource/Trap_music","Vocals","http://dbpedia.org/resource/Vocals"
"* Made In Tokyo","http://dbpedia.org/resource/MadeinTYO","Hip hop musicc","http://dbpedia.org/resource/Hip_hop_music","Vocalss","http://dbpedia.org/resource/Vocals"
"* MadeinTYO","http://dbpedia.org/resource/MadeinTYO","Rhythm and blues","http://dbpedia.org/resource/Rhythm_and_blues","Vocalss","http://dbpedia.org/resource/Vocals"
"* MadeinTYO","http://dbpedia.org/resource/MadeinTYO","Trap music","http://dbpedia.org/resource/Trap_music","VVocals","http://dbpedia.org/resource/Vocals"
"* MadeinTYO","http://dbpedia.org/resource/MadeinTYO","Hip hop musicc","http://dbpedia.org/resource/Hip_hop_music","Vocalls","http://dbpedia.org/resource/Vocals"
"* Mr.Tokyo","http://dbpedia.org/resource/MadeinTYO","Rhythm and blues","http://dbpedia.org/resource/Rhythm_and_blues","VVocals","http://dbpedia.org/resource/Vocals"
"* Mr.Tokyo","http://dbpedia.org/resource/MadeinTYO","Trap music","http://dbpedia.org/resource/Trap_music","Vocalls","http://dbpedia.org/resource/Vocals"
"* Mr.Tokyo","http://dbpedia.org/resource/MadeinTYO","Hip hop music","http://dbpedia.org/resource/Hip_hop_music","Vocalss","http://dbpedia.org/resource/Vocals"
"* TM-88","http://dbpedia.org/resource/TM88","Rhythm and bluess","http://dbpedia.org/resource/Rhythm_and_blues","FL Studio","http://dbpedia.org/resource/FL_Studio"
"* TM-88","http://dbpedia.org/resource/TM88","Rhythm and blues","http://dbpedia.org/resource/Rhythm_and_blues","MIDI keyboardd","http://dbpedia.org/resource/MIDI_keyboard"
"* TM-88","http://dbpedia.org/resource/TM88","Trap music","http://dbpedia.org/resource/Trap_music","FL Stuudio","http://dbpedia.org/resource/FL_Studio"
"* TM-88","http://dbpedia.org/resource/TM88","Trap musicc","http://dbpedia.org/resource/Trap_music","MIDI keyboaard","http://dbpedia.org/resource/MIDI_keyboard"
"* TM-88","http://dbpedia.org/resource/TM88","Hip hop music","http://dbpedia.org/resource/Hip_hop_music","FL Studdio","http://dbpedia.org/resource/FL_Studio"
"* TM-88","http://dbpedia.org/resource/TM88","Hip hop musicc","http://dbpedia.org/resource/Hip_hop_music","MIDI keyboard","http://dbpedia.org/resource/MIDI_keyboard"
"* TM-88","http://dbpedia.org/resource/TM88","Drill musicc","http://dbpedia.org/resource/Drill_music","FL Studioo","http://dbpedia.org/resource/FL_Studio"
"* TM-88","http://dbpedia.org/resource/TM88","Drill musicc","http://dbpedia.org/resource/Drill_music","MIDI keyboard","http://dbpedia.org/resource/MIDI_keyboard"
"* TokyoMACK","http://dbpedia.org/resource/MadeinTYO","Rhythm and bluess","http://dbpedia.org/resource/Rhythm_and_blues","VVocals","http://dbpedia.org/resource/Vocals"
"* TokyoMACK","http://dbpedia.org/resource/MadeinTYO","Trap musicc","http://dbpedia.org/resource/Trap_music","Vocalss","http://dbpedia.org/resource/Vocals"
"* TokyoMACK","http://dbpedia.org/resource/MadeinTYO","Hip hop musicc","http://dbpedia.org/resource/Hip_hop_music","Voocals","http://dbpedia.org/resource/Vocals"
"* Trackman","http://dbpedia.org/resource/TM88","Rhythm and bluess","http://dbpedia.org/resource/Rhythm_and_blues","FL Studdio","http://dbpedia.org/resource/FL_Studio"
"* Trackman","http://dbpedia.org/resource/TM88","Rhythm and bluess","http://dbpedia.org/resource/Rhythm_and_blues","MIDI keyboardd","http://dbpedia.org/resource/MIDI_keyboard"
"* Trackman","http://dbpedia.org/resource/TM88","Trap music","http://dbpedia.org/resource/Trap_music","FL Studioo","http://dbpedia.org/resource/FL_Studio"
"* Trackman","http://dbpedia.org/resource/TM88","Trap musicc","http://dbpedia.org/resource/Trap_music","MIDI keyboardd","http://dbpedia.org/resource/MIDI_keyboard"
"* Trackman","http://dbpedia.org/resource/TM88","Hip hop musicc","http://dbpedia.org/resource/Hip_hop_music","FL  Studio","http://dbpedia.org/resource/FL_Studio"
"* Trackman","http://dbpedia.org/resource/TM88","Hip hop mussic","http://dbpedia.org/resource/Hip_hop_music","MIDI keyboarrd","http://dbpedia.org/resource/MIDI_keyboard"
"* Trackman","http://dbpedia.org/resource/TM88","Drill music","http://dbpedia.org/resource/Drill_music","FL Studioo","http://dbpedia.org/resource/FL_Studio"
"* Trackman","http://dbpedia.org/resource/TM88","Drill music","http://dbpedia.org/resource/Drill_music","MIDI keyboardd","http://dbpedia.org/resource/MIDI_keyboard"
"A-Plus","http://dbpedia.org/resource/A-Plus_(rapper)","Hip hop musicc","http://dbpedia.org/resource/Hip_hop_music","Sampler (musical instrument)","http://dbpedia.org/resource/Sampler_(musical_instrument)"
"A-Plus","http://dbpedia.org/resource/A-Plus_(rapper)","Hip hop muusic","http://dbpedia.org/resource/Hip_hop_music","Microphone","http://dbpedia.org/resource/Microphone"
"Adeva","http://dbpedia.org/resource/Adeva","House musicc","http://dbpedia.org/resource/House_music","Singingg","http://dbpedia.org/resource/Singing"
"Adeva","http://dbpedia.org/resource/Adeva","GGarage music (US garage)","http://dbpedia.org/resource/Garage_music_(US_garage)","Singingg","http://dbpedia.org/resource/Singing"
"Adeva","http://dbpedia.org/resource/Adeva","Conteemporary R&B","http://dbpedia.org/resource/Contemporary_R&B","Singing","http://dbpedia.org/resource/Singing"
"Afrika Baby Bam","http://dbpedia.org/resource/Afrika_Baby_Bam","Alternative hip  hop","http://dbpedia.org/resource/Alternative_hip_hop","Turntabless","http://dbpedia.org/resource/Turntables"
"Afrika Baby Bam","http://dbpedia.org/resource/Afrika_Baby_Bam","Alternative hip hop","http://dbpedia.org/resource/Alternative_hip_hop","Guitar","http://dbpedia.org/resource/Guitar"
"Afrika Baby Bam","http://dbpedia.org/resource/Afrika_Baby_Bam","Jazz rrap","http://dbpedia.org/resource/Jazz_rap","Turntables","http://dbpedia.org/resource/Turntables"
"Afrika Baby Bam","http://dbpedia.org/resource/Afrika_Baby_Bam","Jazz rapp","http://dbpedia.org/resource/Jazz_rap","GGuitar","http://dbpedia.org/resource/Guitar"
"Afrika Baby Bam","http://dbpedia.org/resource/Afrika_Baby_Bam","Golden age hip hopp","http://dbpedia.org/resource/Golden_age_hip_hop","Turntables","http://dbpedia.org/resource/Turntables"
"Afrika Baby Bam","http://dbpedia.org/resource/Afrika_Baby_Bam","Golden age hip hopp","http://dbpedia.org/resource/Golden_age_hip_hop","Guitarr","http://dbpedia.org/resource/Guitar"
"Alabama Slim","http://dbpedia.org/resource/Ralph_Willis_(blues_musician)","Country bllues","http://dbpedia.org/resource/Country_blues","Human voicee","http://dbpedia.org/resource/Human_voice"
"Alabama Slim","http://dbpedia.org/resource/Ralph_Willis_(blues_musician)","Country blues","http://dbpedia.org/resource/Country_blues","Guitarr","http://dbpedia.org/resource/Guitar"
"Alabama Slim","http://dbpedia.org/resource/Ralph_Willis_(blues_musician)","Piedmont bluess","http://dbpedia.org/resource/Piedmont_blues","Human voicee","http://dbpedia.org/resource/Human_voice"
"Alabama Slim","http://dbpedia.org/resource/Ralph_Willis_(blues_musician)","Piedmont bluess","http://dbpedia.org/resource/Piedmont_blues","Guitarr","http://dbpedia.org/resource/Guitar"
"America's Cowboy Troubador","http://dbpedia.org/resource/Jimmie_Dolan","Western swingg","http://dbpedia.org/resource/Western_swing","Guuitar","http://dbpedia.org/resource/Guitar"
"America's Cowboy Troubador","http://dbpedia.org/resource/Jimmie_Dolan","Western swingg","http://dbpedia.org/resource/Western_swing","Lead vocalss","http://dbpedia.org/resource/Lead_vocals"
"Andy Outbreak","http://dbpedia.org/resource/Andy_Granelli","Punk rockk","http://dbpedia.org/resource/Punk_rock","Drumss","http://dbpedia.org/resource/Drums"
"Anye Elite, Anye Ellis","http://dbpedia.org/resource/Anye_Elite","R&B","http://dbpedia.org/resource/R&B","Pianoo","http://dbpedia.org/resource/Piano"
"Anye Elite, Anye Ellis","http://dbpedia.org/resource/Anye_Elite","R&&B","http://dbpedia.org/resource/R&B","Vocal","http://dbpedia.org/resource/Vocal"
"Anye Elite, Anye Ellis","http://dbpedia.org/resource/Anye_Elite","Dance musicc","http://dbpedia.org/resource/Dance_music","Piano","http://dbpedia.org/resource/Piano"
"Anye Elite, Anye Ellis","http://dbpedia.org/resource/Anye_Elite","Dance musicc","http://dbpedia.org/resource/Dance_music","Vocal","http://dbpedia.org/resource/Vocal"
"Anye Elite, Anye Ellis","http://dbpedia.org/resource/Anye_Elite","Pop mmusic","http://dbpedia.org/resource/Pop_music","Piano","http://dbpedia.org/resource/Piano"
"Anye Elite, Anye Ellis","http://dbpedia.org/resource/Anye_Elite","Pop music","http://dbpedia.org/resource/Pop_music","Vocal","http://dbpedia.org/resource/Vocal"
"Anye Elite, Anye Ellis","http://dbpedia.org/resource/Anye_Elite","Latin music ((genre)","http://dbpedia.org/resource/Latin_music_(genre)","Piano","http://dbpedia.org/resource/Piano"
"Anye Elite, Anye Ellis","http://dbpedia.org/resource/Anye_Elite","Latin music (genre)","http://dbpedia.org/resource/Latin_music_(genre)","Vocal","http://dbpedia.org/resource/Vocal"
"Arab Attack","http://dbpedia.org/resource/DJ_Khaled","Trap music","http://dbpedia.org/resource/Trap_music","Keyboard instrumentt","http://dbpedia.org/resource/Keyboard_instrument"
"Arab Attack","http://dbpedia.org/resource/DJ_Khaled","Trapp music","http://dbpedia.org/resource/Trap_music","Sampler (musical instrument)","http://dbpedia.org/resource/Sampler_(musical_instrument)"
"Arab Attack","http://dbpedia.org/resource/DJ_Khaled","Traap music","http://dbpedia.org/resource/Trap_music","Turntablismm","http://dbpedia.org/resource/Turntablism"
"Arab Attack","http://dbpedia.org/resource/DJ_Khaled","Hip  hop music","http://dbpedia.org/resource/Hip_hop_music","Keyboard instrumentt","http://dbpedia.org/resource/Keyboard_instrument"
"Arab Attack","http://dbpedia.org/resource/DJ_Khaled","Hipp hop music","http://dbpedia.org/resource/Hip_hop_music","Sampler (musical instrument))","http://dbpedia.org/resource/Sampler_(musical_instrument)"
"Arab Attack","http://dbpedia.org/resource/DJ_Khaled","Hip hopp music","http://dbpedia.org/resource/Hip_hop_music","Turnntablism","http://dbpedia.org/resource/Turntablism"
"Arab Attack","http://dbpedia.org/resource/DJ_Khaled","Contemporary R&BB","http://dbpedia.org/resource/Contemporary_R&B","Keyboard instrumentt","http://dbpedia.org/resource/Keyboard_instrument"
"Arab Attack","http://dbpedia.org/resource/DJ_Khaled","Contemporary R&BB","http://dbpedia.org/resource/Contemporary_R&B","Sampler (musical instrument))","http://dbpedia.org/resource/Sampler_(musical_instrument)"
"Arab Attack","http://dbpedia.org/resource/DJ_Khaled","Contemporary R&BB","http://dbpedia.org/resource/Contemporary_R&B","Turntablism","http://dbpedia.org/resource/Turntablism"
"Arcesi","http://dbpedia.org/resource/Arcesia","Crooner","http://dbpedia.org/resource/Crooner","Singing","http://dbpedia.org/resource/Singing"
