"Party","Party__URI","Ideology","Ideology__URI","Founded","Presidential vote (2016)","State Legislators"
"Independence Party of New York","http://dbpedia.org/resource/Independence_Party_of_New_York","Populism","http://dbpedia.org/resource/Populism","1991","0","1 (0.01%)"
"Liberal Party of New York","http://dbpedia.org/resource/Liberal_Party_of_New_York","Liberalism[citation needed]","http://dbpedia.org/resource/Liberalism_in_the_United_States","1944","0","0"
"New York State Right to Life Party","http://dbpedia.org/resource/New_York_State_Right_to_Life_Party","Pro-Life[citation needed]","http://dbpedia.org/resource/Anti-abortion_movement","1970","0","0"
"Rent Is Too Damn High Party","http://dbpedia.org/resource/Rent_Is_Too_Damn_High_Party","Social welfare[citation needed]","http://dbpedia.org/resource/Social_welfare","2005","0","0"
"Serve America Movement","","Big tent[citation needed]","http://dbpedia.org/resource/Big_tent","2017","0","0"
"Tax Revolt Party","http://dbpedia.org/resource/Tax_Revolt_Party","Conservativism[citation needed]","http://dbpedia.org/resource/Conservatism_in_the_United_States","2009","0","0"
"Women's Equality Party","http://dbpedia.org/resource/Women's_Equality_Party_(New_York)","Liberalism[citation needed]","http://dbpedia.org/resource/Liberalism","2014","0","0"
"Working Families Party","http://dbpedia.org/resource/Working_Families_Party","Progressivism[25]","http://dbpedia.org/resource/Progressivism","1998","0","0"
"Covenant Party","http://dbpedia.org/resource/Covenant_Party_(Northern_Mariana_Islands)","Populism[citation needed]","http://dbpedia.org/resource/Populism","2001","0","0"
"Charter Party","http://dbpedia.org/resource/Charter_Party","Progressivism[citation needed]","http://dbpedia.org/resource/Progressivism","1924","0","0"
"Independent Party of Connecticut","http://dbpedia.org/resource/Independent_Party_of_Connecticut","Centrism[citation needed]","http://dbpedia.org/resource/Centrism","1966","0","0"
"Independent Party of Oregon","http://dbpedia.org/resource/Independent_Party_of_Oregon","Populism[citation needed]","http://dbpedia.org/resource/Populism","2007","0","0"
"Oregon Progressive Party","http://dbpedia.org/resource/Oregon_Progressive_Party","Progressivism[citation needed]","http://dbpedia.org/resource/Progressivism","2007","0","0"
"Socialist Party of Oregon","http://dbpedia.org/resource/Socialist_Party_of_Oregon","Democratic socialism[citation needed]","http://dbpedia.org/resource/Democratic_socialism","1897","0","0"
"Sovereign Union Movement","http://dbpedia.org/resource/Movimiento_Unión_Soberanista","Puerto Rico independence[citation needed]","http://dbpedia.org/resource/Independence_movement_in_Puerto_Rico","2010","0","0"
"New Progressive Party of Puerto Rico","http://dbpedia.org/resource/New_Progressive_Party_of_Puerto_Rico","Puerto Rico Statehood","http://dbpedia.org/resource/Statehood_movement_in_Puerto_Rico","1967","0","0"
"Popular Democratic Party of Puerto Rico","http://dbpedia.org/resource/Popular_Democratic_Party_of_Puerto_Rico","Centrism","http://dbpedia.org/resource/Centrism","1938","0","0"
"Puerto Ricans for Puerto Rico Party","http://dbpedia.org/resource/Puerto_Ricans_for_Puerto_Rico_Party","Green Politics[citation needed]","http://dbpedia.org/resource/Green_politics","2003","0","0"
"Puerto Rican Independence Party","http://dbpedia.org/resource/Puerto_Rican_Independence_Party","Puerto Rico independence","http://dbpedia.org/resource/Independence_movement_in_Puerto_Rico","1946","0","0"
"Working People's Party of Puerto Rico","http://dbpedia.org/resource/Working_People's_Party_of_Puerto_Rico","Democratic Socialism","http://dbpedia.org/resource/Democratic_socialism","2010","0","0"
"Moderate Party of Rhode Island","http://dbpedia.org/resource/Moderate_Party_of_Rhode_Island","Democratic Socialism[citation needed]","http://dbpedia.org/resource/Centrism","2007","0","0"
"Alliance Party of South Carolina","http://dbpedia.org/resource/American_Party_of_South_Carolina","Centrism[citation needed]","http://dbpedia.org/resource/Centrism","2014","0","0"
"United Citizens Party","http://dbpedia.org/resource/United_Citizens_Party","Progressivism[citation needed]","http://dbpedia.org/resource/Progressivism","1969","0","0"
"United Utah Party","","Centrism[citation needed]","http://dbpedia.org/resource/Centrism","2017","0","0"
"Independent Citizens Movement","http://dbpedia.org/resource/Independent_Citizens_Movement","Grassroots Democracy[citation needed]","http://dbpedia.org/resource/Grassroots_democracy","1968","0","0"
"Vermont Progressive Party","http://dbpedia.org/resource/Vermont_Progressive_Party","Progressivism","http://dbpedia.org/resource/Progressivism","1981","0","9 (0.12%)"
"Liberty Union Party","http://dbpedia.org/resource/Liberty_Union_Party","Democratic socialism[citation needed]","http://dbpedia.org/resource/Democratic_socialism","1970","0","0"
"Independent Greens of Virginia","http://dbpedia.org/resource/Independent_Greens_of_Virginia","Green Politics[citation needed]","http://dbpedia.org/resource/Green_politics","2005","0","0"
"Progressive Dane","http://dbpedia.org/resource/Progressive_Dane","Progressivism[citation needed]","http://dbpedia.org/resource/Progressivism","1992","0","0"
"Working Class Party","http://dbpedia.org/resource/Working_Class_Party","Progressivism[citation needed]","http://dbpedia.org/resource/Progressivism","2016","0","0"
