"musician","musician__URI","genre","genre__URI","instrument","instrument__URI","band","band__URI"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Neoclassical metall","http://dbpedia.org/resource/Neoclassical_metal","DDrums","http://dbpedia.org/resource/Drums","Blind Guardian","http://dbpedia.org/resource/Blind_Guardian"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Neocclassical metal","http://dbpedia.org/resource/Neoclassical_metal","Drums","http://dbpedia.org/resource/Drums","Avalon (Finnish band)","http://dbpedia.org/resource/Avalon_(Finnish_band)"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Progressive metall","http://dbpedia.org/resource/Progressive_metal","Drums","http://dbpedia.org/resource/Drums","Blind Guardiann","http://dbpedia.org/resource/Blind_Guardian"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Progressive metal","http://dbpedia.org/resource/Progressive_metal","Drumss","http://dbpedia.org/resource/Drums","Avalon (Finnish band))","http://dbpedia.org/resource/Avalon_(Finnish_band)"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Progressive metal","http://dbpedia.org/resource/Progressive_metal","Drumss","http://dbpedia.org/resource/Drums","SSieges Even","http://dbpedia.org/resource/Sieges_Even"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Progressive metal","http://dbpedia.org/resource/Progressive_metal","Drums","http://dbpedia.org/resource/Drums","Avantasiaa","http://dbpedia.org/resource/Avantasia"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Progressive metall","http://dbpedia.org/resource/Progressive_metal","Drumss","http://dbpedia.org/resource/Drums","Rhapsody of Fire","http://dbpedia.org/resource/Rhapsody_of_Fire"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Symphonic metall","http://dbpedia.org/resource/Symphonic_metal","Drumss","http://dbpedia.org/resource/Drums","Avalon (Finnish band)","http://dbpedia.org/resource/Avalon_(Finnish_band)"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Symphonic metall","http://dbpedia.org/resource/Symphonic_metal","Drumms","http://dbpedia.org/resource/Drums","Blind Guardian","http://dbpedia.org/resource/Blind_Guardian"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Symphonic metall","http://dbpedia.org/resource/Symphonic_metal","Drumss","http://dbpedia.org/resource/Drums","Avvantasia","http://dbpedia.org/resource/Avantasia"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Symphonic metal","http://dbpedia.org/resource/Symphonic_metal","Drumss","http://dbpedia.org/resource/Drums","Sieges Even","http://dbpedia.org/resource/Sieges_Even"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Symphonic metal","http://dbpedia.org/resource/Symphonic_metal","Drums","http://dbpedia.org/resource/Drums","Rhapsoddy of Fire","http://dbpedia.org/resource/Rhapsody_of_Fire"
"Alexander Hacke","http://dbpedia.org/resource/Alexander_Hacke","Ellectronic music","http://dbpedia.org/resource/Electronic_music","Guitarr","http://dbpedia.org/resource/Guitar","Einstürzende Neubautenn","http://dbpedia.org/resource/Einstürzende_Neubauten"
"Alexander Hacke","http://dbpedia.org/resource/Alexander_Hacke","EElectronic music","http://dbpedia.org/resource/Electronic_music","Bass guitarr","http://dbpedia.org/resource/Bass_guitar","Einstürzende  Neubauten","http://dbpedia.org/resource/Einstürzende_Neubauten"
"Alexander Hacke","http://dbpedia.org/resource/Alexander_Hacke","Electronic  music","http://dbpedia.org/resource/Electronic_music","Singingg","http://dbpedia.org/resource/Singing","Einstürzende Neubautenn","http://dbpedia.org/resource/Einstürzende_Neubauten"
"Alexander Hacke","http://dbpedia.org/resource/Alexander_Hacke","Industrial mussic","http://dbpedia.org/resource/Industrial_music","Bass guitarr","http://dbpedia.org/resource/Bass_guitar","Einstürzende Neubauten","http://dbpedia.org/resource/Einstürzende_Neubauten"
"Alexander Hacke","http://dbpedia.org/resource/Alexander_Hacke","Industrial music","http://dbpedia.org/resource/Industrial_music","Sinnging","http://dbpedia.org/resource/Singing","Einstürzende Neubauten","http://dbpedia.org/resource/Einstürzende_Neubauten"
"Alexander Hacke","http://dbpedia.org/resource/Alexander_Hacke","Industrial music","http://dbpedia.org/resource/Industrial_music","Guitar","http://dbpedia.org/resource/Guitar","Einstürzende Neubautenn","http://dbpedia.org/resource/Einstürzende_Neubauten"
"Alexander Hacke","http://dbpedia.org/resource/Alexander_Hacke","Experimental music","http://dbpedia.org/resource/Experimental_music","Bass guitar","http://dbpedia.org/resource/Bass_guitar","Einstürzende Neubautenn","http://dbpedia.org/resource/Einstürzende_Neubauten"
"Alexander Hacke","http://dbpedia.org/resource/Alexander_Hacke","Experimental music","http://dbpedia.org/resource/Experimental_music","Guiitar","http://dbpedia.org/resource/Guitar","Einstürzende Neubautenn","http://dbpedia.org/resource/Einstürzende_Neubauten"
"Alexander Hacke","http://dbpedia.org/resource/Alexander_Hacke","Experimental  music","http://dbpedia.org/resource/Experimental_music","Singingg","http://dbpedia.org/resource/Singing","Einstürzende Neubauten","http://dbpedia.org/resource/Einstürzende_Neubauten"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electronica","http://dbpedia.org/resource/Electronica","Guitar","http://dbpedia.org/resource/Guitar","Ryuichi Sakamotoo","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electronica","http://dbpedia.org/resource/Electronica","Guitar","http://dbpedia.org/resource/Guitar","Blixa Barggeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electronica","http://dbpedia.org/resource/Electronica","Guitaar","http://dbpedia.org/resource/Guitar","Ryoji Ikedaa","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electronicaa","http://dbpedia.org/resource/Electronica","Synthesizerr","http://dbpedia.org/resource/Synthesizer","Ryuichi Sakamoto","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electroonica","http://dbpedia.org/resource/Electronica","Synthesizerr","http://dbpedia.org/resource/Synthesizer","Blixaa Bargeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electronicaa","http://dbpedia.org/resource/Electronica","Synthesizer","http://dbpedia.org/resource/Synthesizer","Ryoji Ikedda","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electronicaa","http://dbpedia.org/resource/Electronica","Percussionn","http://dbpedia.org/resource/Percussion","Ryuichi Sakamoto","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electtronica","http://dbpedia.org/resource/Electronica","Percussionn","http://dbpedia.org/resource/Percussion","Blixa Bargeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electronica","http://dbpedia.org/resource/Electronica","Percussion","http://dbpedia.org/resource/Percussion","Ryoji Ikedaa","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electtronica","http://dbpedia.org/resource/Electronica","Electronicc keyboard","http://dbpedia.org/resource/Electronic_keyboard","Ryuichi Sakamotoo","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electronicaa","http://dbpedia.org/resource/Electronica","Electronic keyboardd","http://dbpedia.org/resource/Electronic_keyboard","Blixa Bargelld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electronica","http://dbpedia.org/resource/Electronica","Electronic keyboardd","http://dbpedia.org/resource/Electronic_keyboard","RRyoji Ikeda","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electroonica","http://dbpedia.org/resource/Electronica","Laptop","http://dbpedia.org/resource/Laptop","Ryuichi SSakamoto","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electronica","http://dbpedia.org/resource/Electronica","Laptopp","http://dbpedia.org/resource/Laptop","Blixa Bargeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Electronnica","http://dbpedia.org/resource/Electronica","Laptopp","http://dbpedia.org/resource/Laptop","Ryoji Ikedaa","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music)","http://dbpedia.org/resource/Glitch_(music)","Guitarr","http://dbpedia.org/resource/Guitar","Ryuichi Sakamotoo","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music)","http://dbpedia.org/resource/Glitch_(music)","Guitar","http://dbpedia.org/resource/Guitar","Blixa Barrgeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music))","http://dbpedia.org/resource/Glitch_(music)","Guitar","http://dbpedia.org/resource/Guitar","Ryoji Ikedaa","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music)","http://dbpedia.org/resource/Glitch_(music)","Synthesizerr","http://dbpedia.org/resource/Synthesizer","Ryuichi Sakamotoo","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music))","http://dbpedia.org/resource/Glitch_(music)","Synthessizer","http://dbpedia.org/resource/Synthesizer","Blixa Bargeldd","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music)","http://dbpedia.org/resource/Glitch_(music)","Synthesizer","http://dbpedia.org/resource/Synthesizer","Ryoji Ikedaa","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music))","http://dbpedia.org/resource/Glitch_(music)","Percussion","http://dbpedia.org/resource/Percussion","Ryuichi Sakamoto","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music)","http://dbpedia.org/resource/Glitch_(music)","Percussion","http://dbpedia.org/resource/Percussion","Blixa Bargeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music)","http://dbpedia.org/resource/Glitch_(music)","Percussionn","http://dbpedia.org/resource/Percussion","Ryoji Ikedaa","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music)","http://dbpedia.org/resource/Glitch_(music)","Electronic keyboardd","http://dbpedia.org/resource/Electronic_keyboard","Ryuuichi Sakamoto","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music))","http://dbpedia.org/resource/Glitch_(music)","Electronic keyboardd","http://dbpedia.org/resource/Electronic_keyboard","Blixaa Bargeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music)","http://dbpedia.org/resource/Glitch_(music)","Electronic keyboardd","http://dbpedia.org/resource/Electronic_keyboard","Ryoji Ikedaa","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music))","http://dbpedia.org/resource/Glitch_(music)","Laptop","http://dbpedia.org/resource/Laptop","Ryyuichi Sakamoto","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music)","http://dbpedia.org/resource/Glitch_(music)","Laptop","http://dbpedia.org/resource/Laptop","Blixa Barrgeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Glitch (music))","http://dbpedia.org/resource/Glitch_(music)","Laptop","http://dbpedia.org/resource/Laptop","Ryoji Ikeda","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsoound","http://dbpedia.org/resource/Microsound","Guitar","http://dbpedia.org/resource/Guitar","Ryuichi Sakamotoo","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsound","http://dbpedia.org/resource/Microsound","Guitar","http://dbpedia.org/resource/Guitar","Blixa Bargeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsound","http://dbpedia.org/resource/Microsound","Guitarr","http://dbpedia.org/resource/Guitar","Ryoji Ikeda","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microosound","http://dbpedia.org/resource/Microsound","Synthesizer","http://dbpedia.org/resource/Synthesizer","Ryuichi Sakamoto","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsound","http://dbpedia.org/resource/Microsound","Synthesizeer","http://dbpedia.org/resource/Synthesizer","Blixa Bargeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsound","http://dbpedia.org/resource/Microsound","Synthesizer","http://dbpedia.org/resource/Synthesizer","Ryoji Ikedaa","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Micrrosound","http://dbpedia.org/resource/Microsound","Percussion","http://dbpedia.org/resource/Percussion","Ryuichi Sakamotoo","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsounnd","http://dbpedia.org/resource/Microsound","Percussionn","http://dbpedia.org/resource/Percussion","Blixa Bargeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Micrrosound","http://dbpedia.org/resource/Microsound","Percussionn","http://dbpedia.org/resource/Percussion","Ryoji Ikeda","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsound","http://dbpedia.org/resource/Microsound","Electronic keyboard","http://dbpedia.org/resource/Electronic_keyboard","Ryuichi Sakamotoo","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsouund","http://dbpedia.org/resource/Microsound","Electronic keyboard","http://dbpedia.org/resource/Electronic_keyboard","Bliixa Bargeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsoundd","http://dbpedia.org/resource/Microsound","Electronic keyboardd","http://dbpedia.org/resource/Electronic_keyboard","Ryoji Ikedaa","http://dbpedia.org/resource/Ryoji_Ikeda"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsound","http://dbpedia.org/resource/Microsound","Laptoop","http://dbpedia.org/resource/Laptop","Ryuichi Sakamoto","http://dbpedia.org/resource/Ryuichi_Sakamoto"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsound","http://dbpedia.org/resource/Microsound","Laptopp","http://dbpedia.org/resource/Laptop","Blixa Bargeld","http://dbpedia.org/resource/Blixa_Bargeld"
"Alva Noto","http://dbpedia.org/resource/Alva_Noto","Microsound","http://dbpedia.org/resource/Microsound","Laptop","http://dbpedia.org/resource/Laptop","Ryoji Ikeda","http://dbpedia.org/resource/Ryoji_Ikeda"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Speed metal","http://dbpedia.org/resource/Speed_metal","Guitaar","http://dbpedia.org/resource/Guitar","Helloween","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Speed metall","http://dbpedia.org/resource/Speed_metal","Keyboard instrumentt","http://dbpedia.org/resource/Keyboard_instrument","Helloweenn","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Speed metal","http://dbpedia.org/resource/Speed_metal","Bass (guiitar)","http://dbpedia.org/resource/Bass_(guitar)","Pink Cream 699","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Speed metall","http://dbpedia.org/resource/Speed_metal","Singing","http://dbpedia.org/resource/Singing","Helloweenn","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Speed metal","http://dbpedia.org/resource/Speed_metal","Bass (guitar)","http://dbpedia.org/resource/Bass_(guitar)","Helloweenn","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Speed metall","http://dbpedia.org/resource/Speed_metal","Keyboard instrument","http://dbpedia.org/resource/Keyboard_instrument","Pink Cream 69","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Speed metall","http://dbpedia.org/resource/Speed_metal","Guitar","http://dbpedia.org/resource/Guitar","Pink Creaam 69","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Speed metall","http://dbpedia.org/resource/Speed_metal","Singing","http://dbpedia.org/resource/Singing","Pink Cream 69","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Power metall","http://dbpedia.org/resource/Power_metal","Singing","http://dbpedia.org/resource/Singing","Helloween","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Power metall","http://dbpedia.org/resource/Power_metal","Keybboard instrument","http://dbpedia.org/resource/Keyboard_instrument","Pink Cream 69","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Poweer metal","http://dbpedia.org/resource/Power_metal","Bass (guiitar)","http://dbpedia.org/resource/Bass_(guitar)","Pink Cream 699","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Power metall","http://dbpedia.org/resource/Power_metal","Guitarr","http://dbpedia.org/resource/Guitar","Helloween","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Power metal","http://dbpedia.org/resource/Power_metal","Keyboard instrument","http://dbpedia.org/resource/Keyboard_instrument","Hellloween","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Power metal","http://dbpedia.org/resource/Power_metal","Guitarr","http://dbpedia.org/resource/Guitar","Pink Cream 69","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Power metal","http://dbpedia.org/resource/Power_metal","Bass (guitaar)","http://dbpedia.org/resource/Bass_(guitar)","Helloween","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Powerr metal","http://dbpedia.org/resource/Power_metal","Singing","http://dbpedia.org/resource/Singing","Pink Cream  69","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Hard rrock","http://dbpedia.org/resource/Hard_rock","Guittar","http://dbpedia.org/resource/Guitar","Pink Cream 69","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Hard rockk","http://dbpedia.org/resource/Hard_rock","Siinging","http://dbpedia.org/resource/Singing","Helloween","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","HHard rock","http://dbpedia.org/resource/Hard_rock","Bass (guitar))","http://dbpedia.org/resource/Bass_(guitar)","Helloween","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Hard rock","http://dbpedia.org/resource/Hard_rock","Keyboard instrument","http://dbpedia.org/resource/Keyboard_instrument","Helloweenn","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Hard rock","http://dbpedia.org/resource/Hard_rock","Guitarr","http://dbpedia.org/resource/Guitar","Hellowween","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Hard rock","http://dbpedia.org/resource/Hard_rock","Keyboard instrumentt","http://dbpedia.org/resource/Keyboard_instrument","Pink Cream 69","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Hard rock","http://dbpedia.org/resource/Hard_rock","Bass (guitar)","http://dbpedia.org/resource/Bass_(guitar)","Pink Cream 699","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Hard rock","http://dbpedia.org/resource/Hard_rock","Singing","http://dbpedia.org/resource/Singing","Pink Cream 69","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Heavy metal music","http://dbpedia.org/resource/Heavy_metal_music","Singing","http://dbpedia.org/resource/Singing","Pink Cream 699","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Heavy metal musicc","http://dbpedia.org/resource/Heavy_metal_music","Guitar","http://dbpedia.org/resource/Guitar","Pink Cream 69","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Heavy metal musicc","http://dbpedia.org/resource/Heavy_metal_music","Keyboard instrumentt","http://dbpedia.org/resource/Keyboard_instrument","Pink Cream 69","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Heaavy metal music","http://dbpedia.org/resource/Heavy_metal_music","Bass (guitar))","http://dbpedia.org/resource/Bass_(guitar)","Pink Cream 699","http://dbpedia.org/resource/Pink_Cream_69"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Heavy metaal music","http://dbpedia.org/resource/Heavy_metal_music","Singing","http://dbpedia.org/resource/Singing","Hellowween","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Heavy metal musicc","http://dbpedia.org/resource/Heavy_metal_music","Bass (guitar)","http://dbpedia.org/resource/Bass_(guitar)","Helloweenn","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Heavy metal music","http://dbpedia.org/resource/Heavy_metal_music","Keyboard instrumentt","http://dbpedia.org/resource/Keyboard_instrument","Helloween","http://dbpedia.org/resource/Helloween"
"Andi Deris","http://dbpedia.org/resource/Andi_Deris","Heeavy metal music","http://dbpedia.org/resource/Heavy_metal_music","Guitarr","http://dbpedia.org/resource/Guitar","Helloween","http://dbpedia.org/resource/Helloween"
"André Olbrich","http://dbpedia.org/resource/André_Olbrich","Power metal","http://dbpedia.org/resource/Power_metal","Guitarr","http://dbpedia.org/resource/Guitar","Blind Guardian","http://dbpedia.org/resource/Blind_Guardian"
"André Olbrich","http://dbpedia.org/resource/André_Olbrich","Thrash metal","http://dbpedia.org/resource/Thrash_metal","Guitarr","http://dbpedia.org/resource/Guitar","Blind Guardiann","http://dbpedia.org/resource/Blind_Guardian"
"André Olbrich","http://dbpedia.org/resource/André_Olbrich","Heavy metal musicc","http://dbpedia.org/resource/Heavy_metal_music","Guitar","http://dbpedia.org/resource/Guitar","Blind Guardian","http://dbpedia.org/resource/Blind_Guardian"
"Andy Kuntz","http://dbpedia.org/resource/Andy_Kuntz","Progressive rock","http://dbpedia.org/resource/Progressive_rock","Vocals","http://dbpedia.org/resource/Vocals","Missa Mercuria","http://dbpedia.org/resource/Missa_Mercuria"
"Andy Kuntz","http://dbpedia.org/resource/Andy_Kuntz","Progressive rockk","http://dbpedia.org/resource/Progressive_rock","Vocalss","http://dbpedia.org/resource/Vocals","Abydos (band)","http://dbpedia.org/resource/Abydos_(band)"
"Andy Kuntz","http://dbpedia.org/resource/Andy_Kuntz","Progressive rockk","http://dbpedia.org/resource/Progressive_rock","Vocalss","http://dbpedia.org/resource/Vocals","Jesus Christ Superstarr","http://dbpedia.org/resource/Jesus_Christ_Superstar"
