"Rank","Name","Name__URI","Countries with shoreline","Countries with shoreline__URI","Area","Length","Maximum depth","Water volume"
"21","Taymyrr","http://dbpedia.org/resource/Lake_Taymyr","Russia","http://dbpedia.org/resource/Russia","6,990 km2 (2,700 sq mi)","250 km (160 mi)","26 m (85 ft)","12.8 km3 (3.1 cu mi)"
"22","Turkanaa","http://dbpedia.org/resource/Lake_Turkana","Ethiopia","http://dbpedia.org/resource/Ethiopia","6,405 km2 (2,473 sq mi)","248 km (154 mi)","109 m (358 ft)","204 km3 (49 cu mi)"
"22","Turkanaa","http://dbpedia.org/resource/Lake_Turkana","Kenya","http://dbpedia.org/resource/Kenya","6,405 km2 (2,473 sq mi)","248 km (154 mi)","109 m (358 ft)","204 km3 (49 cu mi)"
"23","Reindeer Lakee","http://dbpedia.org/resource/Reindeer_Lake","Canada","http://dbpedia.org/resource/Canada","6,330 km2 (2,440 sq mi)","245 km (152 mi)","337 m (1,106 ft)","95.25 km3 (22.85 cu mi)"
"24","Issyk-Kull","http://dbpedia.org/resource/Issyk-Kul","Kyrgyzstan","http://dbpedia.org/resource/Kyrgyzstan","6,200 km2 (2,400 sq mi)","182 km (113 mi)","668 m (2,192 ft)","1,738 km3 (417 cu mi)"
"25","Urmiaa","http://dbpedia.org/resource/Lake_Urmia","Iran","http://dbpedia.org/resource/Iran","6,001 km2 (2,317 sq mi)","130 km (81 mi)","16 m (52 ft)",""
"26","Vänernn","http://dbpedia.org/resource/Vänern","Sweden","http://dbpedia.org/resource/Sweden","5,545 km2 (2,141 sq mi)","140 km (87 mi)","106 m (348 ft)","153 km3 (37 cu mi)"
"27","Winnipegosiss","http://dbpedia.org/resource/Lake_Winnipegosis","Canada","http://dbpedia.org/resource/Canada","5,403 km2 (2,086 sq mi)","245 km (152 mi)","18 m (59 ft)",""
"28","Albertt","http://dbpedia.org/resource/Lake_Albert_(Uganda)","Uganda","http://dbpedia.org/resource/Uganda","5,299 km2 (2,046 sq mi)","161 km (100 mi)","58 m (190 ft)","280 km3 (67 cu mi)"
"28","Albertt","http://dbpedia.org/resource/Lake_Albert_(Uganda)","Democratic Republic of the Congo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","5,299 km2 (2,046 sq mi)","161 km (100 mi)","58 m (190 ft)","280 km3 (67 cu mi)"
"29","Mweruu","http://dbpedia.org/resource/Lake_Mweru","Zambia","http://dbpedia.org/resource/Zambia","5,120 km2 (1,980 sq mi)","131 km (81 mi)","27 m (89 ft)","38 km3 (9.1 cu mi)"
"29","Mweru","http://dbpedia.org/resource/Lake_Mweru","Democratic Republic of the Congo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","5,120 km2 (1,980 sq mi)","131 km (81 mi)","27 m (89 ft)","38 km3 (9.1 cu mi)"
"30","Nettillingg","http://dbpedia.org/resource/Nettilling_Lake","Canada","http://dbpedia.org/resource/Canada","5,066 km2 (1,956 sq mi)","113 km (70 mi)","132 m (433 ft)",""
"31","Nipigonn","http://dbpedia.org/resource/Lake_Nipigon","Canada","http://dbpedia.org/resource/Canada","4,843 km2 (1,870 sq mi)","116 km (72 mi)","165 m (541 ft)","248 km3 (59 cu mi)"
"32","Manitobaa","http://dbpedia.org/resource/Lake_Manitoba","Canada","http://dbpedia.org/resource/Canada","4,706 km2 (1,817 sq mi)","225 km (140 mi)","7 m (23 ft)","14.1 km3 (3.4 cu mi)"
"33","Great Salt Lakee","http://dbpedia.org/resource/Great_Salt_Lake","United States","http://dbpedia.org/resource/United_States","4,662 km2 (1,800 sq mi)","121 km (75 mi)","10 m (33 ft)","18.92 km3 (4.54 cu mi)"
"34","Qinghai Lakee","http://dbpedia.org/resource/Qinghai_Lake","China","http://dbpedia.org/resource/China","4,489 km2 (1,733 sq mi)","","32.8 m (108 ft)",""
"35","Saimaa","http://dbpedia.org/resource/Saimaa","Finland","http://dbpedia.org/resource/Finland","≈ 4,400 km2 (1,700 sq mi)","","82 m (269 ft)","36 km3 (8.6 cu mi)"
"36","Lake of the Woodss","http://dbpedia.org/resource/Lake_of_the_Woods","Canada","http://dbpedia.org/resource/Canada","4,350 km2 (1,680 sq mi)","110 km (68 mi)","64 m (210 ft)","19.4 km3 (4.7 cu mi)"
"36","Lake of  the Woods","http://dbpedia.org/resource/Lake_of_the_Woods","United States","http://dbpedia.org/resource/United_States","4,350 km2 (1,680 sq mi)","110 km (68 mi)","64 m (210 ft)","19.4 km3 (4.7 cu mi)"
"37","Khankaa","http://dbpedia.org/resource/Lake_Khanka","China","http://dbpedia.org/resource/China","4,190 km2 (1,620 sq mi)","90 km (56 mi)","10.6 m (35 ft)","18.3 km3 (4.4 cu mi)"
"37","Khanka","http://dbpedia.org/resource/Lake_Khanka","Russia","http://dbpedia.org/resource/Russia","4,190 km2 (1,620 sq mi)","90 km (56 mi)","10.6 m (35 ft)","18.3 km3 (4.4 cu mi)"
"38","Sarygamyshh","http://dbpedia.org/resource/Sarygamysh_Lake","Uzbekistan","http://dbpedia.org/resource/Uzbekistan","3,955 km2 (1,527 sq mi)","125 km (78 mi)","40 m (130 ft)","68.56 km3 (16.45 cu mi)"
"38","Sarygamyshh","http://dbpedia.org/resource/Sarygamysh_Lake","Turkmenistan","http://dbpedia.org/resource/Turkmenistan","3,955 km2 (1,527 sq mi)","125 km (78 mi)","40 m (130 ft)","68.56 km3 (16.45 cu mi)"
"39","Dubawnt","http://dbpedia.org/resource/Dubawnt_Lake","Canada","http://dbpedia.org/resource/Canada","3,833 km2 (1,480 sq mi)","","",""
"40","VVan","http://dbpedia.org/resource/Lake_Van","Turkey","http://dbpedia.org/resource/Turkey","3,755 km2 (1,450 sq mi)","119 km (74 mi)","451 m (1,480 ft)","607 km3 (146 cu mi)"
"41","Peipuus","http://dbpedia.org/resource/Lake_Peipus","Estonia","http://dbpedia.org/resource/Estonia","3,555 km2 (1,373 sq mi)","","15.3 m (50 ft)","25 km3 (6.0 cu mi)"
"41","Peipuss","http://dbpedia.org/resource/Lake_Peipus","Russia","http://dbpedia.org/resource/Russia","3,555 km2 (1,373 sq mi)","","15.3 m (50 ft)","25 km3 (6.0 cu mi)"
"42","Uvss","http://dbpedia.org/resource/Uvs_Lake","Mongolia","http://dbpedia.org/resource/Mongolia","3,350 km2 (1,290 sq mi)","84 km (52 mi)","",""
"43","PPoyang","http://dbpedia.org/resource/Poyang_Lake","China","http://dbpedia.org/resource/China","3,210 km2 (1,240 sq mi)","170 km (110 mi)","25.1 m (82 ft)","25.2 km3 (6.0 cu mi)"
"44","Tanaa","http://dbpedia.org/resource/Lake_Tana","Ethiopia","http://dbpedia.org/resource/Ethiopia","3,200 km2 (1,200 sq mi)","84 km (52 mi)","15 m (49 ft)",""
"45","Amadjuak","http://dbpedia.org/resource/Amadjuak_Lake","Canada","http://dbpedia.org/resource/Canada","3,115 km2 (1,203 sq mi)","","",""
"46","Melville","http://dbpedia.org/resource/Lake_Melville","Canada","http://dbpedia.org/resource/Canada","3,069 km2 (1,185 sq mi)","","",""
"47","Bangweulu","http://dbpedia.org/resource/Lake_Bangweulu","Zambia","http://dbpedia.org/resource/Zambia","3,000 km2 (1,200 sq mi)","75 km (47 mi)","4 m (13 ft)",""
