"city","city__URI","city_misspelled","city_misspelled__URI","state","state__URI"
"Albuquerque","http://dbpedia.org/resource/Albuquerque,_New_Mexico","Albequerque","http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM","http://dbpedia.org/resource/New_Mexico_(state)"
"Albuquerquee","http://dbpedia.org/resource/Albuquerque,_New_Mexico","Albuqerque","http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM","http://dbpedia.org/resource/New_Mexico_(state)"
"Albuquerque","http://dbpedia.org/resource/Albuquerque,_New_Mexico","Albuquerqe","http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM","http://dbpedia.org/resource/New_Mexico_(state)"
"Algonaa","http://dbpedia.org/resource/Algona,_Washington","Allgona","http://dbpedia.org/resource/Algona,_Washington","Washington, WA","http://dbpedia.org/resource/Washington_(state)"
"Algona","http://dbpedia.org/resource/Algona,_Iowa","Allgona","http://dbpedia.org/resource/Algona,_Iowa","Iowa, IA","http://dbpedia.org/resource/Iowa_(state)"
"Algonquinn","http://dbpedia.org/resource/Algonquin,_Illinois","Algonkwen","http://dbpedia.org/resource/Algonquin,_Illinois","Illinois, IL","http://dbpedia.org/resource/Illinois_(state)"
"Algonquinn","http://dbpedia.org/resource/Algonquin,_Illinois","Algonkwin","http://dbpedia.org/resource/Algonquin,_Illinois","Illinois, IL","http://dbpedia.org/resource/Illinois_(state)"
"Algonquinn","http://dbpedia.org/resource/Algonquin,_Illinois","Algonquen","http://dbpedia.org/resource/Algonquin,_Illinois","Illinois, IL","http://dbpedia.org/resource/Illinois_(state)"
"Allentownn","http://dbpedia.org/resource/Allentown,_Pennsylvania","Alentown","http://dbpedia.org/resource/Allentown,_Pennsylvania","Pennsylvania, PA","http://dbpedia.org/resource/Pennsylvania_(state)"
"Almaa","http://dbpedia.org/resource/Alma,_Arkansas","Amla","http://dbpedia.org/resource/Alma,_Arkansas","Arkansas, AR","http://dbpedia.org/resource/Arkansas_(state)"
"Anderson","http://dbpedia.org/resource/Anderson,_South_Carolina","Andarson","http://dbpedia.org/resource/Anderson,_South_Carolina","South Carolina, SC","http://dbpedia.org/resource/South_Carolina_(state)"
"Ann Arborr","http://dbpedia.org/resource/Ann_Arbor,_Michigan","An Arbor","http://dbpedia.org/resource/Ann_Arbor,_Michigan","Michigan, MI","http://dbpedia.org/resource/Michigan_(state)"
"Annaapolis","http://dbpedia.org/resource/Annapolis,_Maryland","Anapolis","http://dbpedia.org/resource/Annapolis,_Maryland","Maryland, MD","http://dbpedia.org/resource/Maryland_(state)"
"Anniston","http://dbpedia.org/resource/Anniston,_Alabama","Aniston","http://dbpedia.org/resource/Anniston,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Anoka","http://dbpedia.org/resource/Anoka,_Minnesota","Annoka","http://dbpedia.org/resource/Anoka,_Minnesota","Minnesota, MN","http://dbpedia.org/resource/Minnesota_(state)"
"Anthonyy","http://dbpedia.org/resource/Anthony,_New_Mexico","Anthoy","http://dbpedia.org/resource/Anthony,_New_Mexico","New Mexico, NM","http://dbpedia.org/resource/New_Mexico_(state)"
"Apache Junctionn","http://dbpedia.org/resource/Apache_Junction,_Arizona","Apach Junction","http://dbpedia.org/resource/Apache_Junction,_Arizona","Arizona, AZ","http://dbpedia.org/resource/Arizona_(state)"
"Apache Junction","http://dbpedia.org/resource/Apache_Junction,_Arizona","Apache Junktion","http://dbpedia.org/resource/Apache_Junction,_Arizona","Arizona, AZ","http://dbpedia.org/resource/Arizona_(state)"
"AApex","http://dbpedia.org/resource/Apex,_North_Carolina","Apecks","http://dbpedia.org/resource/Apex,_North_Carolina","North Carolina, NC","http://dbpedia.org/resource/North_Carolina_(state)"
"Apeex","http://dbpedia.org/resource/Apex,_North_Carolina","Apexs","http://dbpedia.org/resource/Apex,_North_Carolina","North Carolina, NC","http://dbpedia.org/resource/North_Carolina_(state)"
"Artesiaa","http://dbpedia.org/resource/Artesia,_Mississippi","Artesea","http://dbpedia.org/resource/Artesia,_Mississippi","Mississippi, MS","http://dbpedia.org/resource/Mississippi_(state)"
"Arvadaa","http://dbpedia.org/resource/Arvada,_Colorado","Avrada","http://dbpedia.org/resource/Arvada,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"AArvada","http://dbpedia.org/resource/Arvada,_Colorado","Rvada","http://dbpedia.org/resource/Arvada,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Ashtonn","http://dbpedia.org/resource/Ashton,_Idaho","Ashtown","http://dbpedia.org/resource/Ashton,_Idaho","Idaho, ID","http://dbpedia.org/resource/Idaho_(state)"
"Aspen","http://dbpedia.org/resource/Aspen,_Colorado","Aspin","http://dbpedia.org/resource/Aspen,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Athens","http://dbpedia.org/resource/Athens,_Georgia","Athins","http://dbpedia.org/resource/Athens,_Georgia","Georgia, GA","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Athol","http://dbpedia.org/resource/Athol,_Massachusetts","Atthol","http://dbpedia.org/resource/Athol,_Massachusetts","Massachusetts, MA","http://dbpedia.org/resource/Massachusetts_(state)"
"Atlanta","http://dbpedia.org/resource/Atlanta,_Georgia","Altanta","http://dbpedia.org/resource/Atlanta,_Georgia","Georgia, GA","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Auburnn","http://dbpedia.org/resource/Auburn,_Alabama","Aburn","http://dbpedia.org/resource/Auburn,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Auburn","http://dbpedia.org/resource/Auburn,_Washington","Aubern","http://dbpedia.org/resource/Auburn,_Washington","Washington, WA","http://dbpedia.org/resource/Washington_(state)"
"Auburnn","http://dbpedia.org/resource/Auburn,_Washington","Uaburn","http://dbpedia.org/resource/Auburn,_Washington","Washington, WA","http://dbpedia.org/resource/Washington_(state)"
"Aultt","http://dbpedia.org/resource/Ault,_Colorado","Alt","http://dbpedia.org/resource/Ault,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Ault","http://dbpedia.org/resource/Ault,_Colorado","Ult","http://dbpedia.org/resource/Ault,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"AAurora","http://dbpedia.org/resource/Aurora,_Colorado","Arora","http://dbpedia.org/resource/Aurora,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Auroraa","http://dbpedia.org/resource/Aurora,_Illinois","Uarora","http://dbpedia.org/resource/Aurora,_Illinois","Illinois, IL","http://dbpedia.org/resource/Illinois_(state)"
"Austinn","http://dbpedia.org/resource/Austin,_Texas","Austen","http://dbpedia.org/resource/Austin,_Texas","Texas, TX","http://dbpedia.org/resource/Texas_(state)"
"Bakersfield","http://dbpedia.org/resource/Bakersfield,_California","Bakersfeild","http://dbpedia.org/resource/Bakersfield,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Baltimore","http://dbpedia.org/resource/Baltimore,_Maryland","Baltimor","http://dbpedia.org/resource/Baltimore,_Maryland","Maryland, MD","http://dbpedia.org/resource/Maryland_(state)"
"BBandera","http://dbpedia.org/resource/Bandera,_Texas","Bandere","http://dbpedia.org/resource/Bandera,_Texas","Texas, TX","http://dbpedia.org/resource/Texas_(state)"
"BBandera","http://dbpedia.org/resource/Bandera,_Texas","Bandira","http://dbpedia.org/resource/Bandera,_Texas","Texas, TX","http://dbpedia.org/resource/Texas_(state)"
"Banngor","http://dbpedia.org/resource/Bangor,_Maine","Banger","http://dbpedia.org/resource/Bangor,_Maine","Maine, ME","http://dbpedia.org/resource/Maine_(state)"
"Bardstownn","http://dbpedia.org/resource/Bardstown,_Kentucky","Bardston","http://dbpedia.org/resource/Bardstown,_Kentucky","Kentucky, KY","http://dbpedia.org/resource/Kentucky_(state)"
"Barree","","Bare","","Vermont, VT","http://dbpedia.org/resource/Vermont_(state)"
"Batavia","http://dbpedia.org/resource/Batavia,_Illinois","Batevia","http://dbpedia.org/resource/Batavia,_Illinois","Illinois, IL","http://dbpedia.org/resource/Illinois_(state)"
"Baxter Springss","http://dbpedia.org/resource/Baxter_Springs,_Kansas","Bakster Springs","http://dbpedia.org/resource/Baxter_Springs,_Kansas","Kansas, KS","http://dbpedia.org/resource/Kansas_(state)"
"Bayou La Batre","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Bayo La Bater","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Bayou La Batree","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Bayo La Batre","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Bayou La Batree","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Bayou La Bater","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Bayou La Batree","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Bayuo La Batre","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Bayoou La Batre","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Boyu La Bater","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Bayou La Batree","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Boyu La Batre","http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Beardstownn","http://dbpedia.org/resource/Beardstown,_Illinois","Baerdstown","http://dbpedia.org/resource/Beardstown,_Illinois","Illinois, IL","http://dbpedia.org/resource/Illinois_(state)"
"Beattiee","http://dbpedia.org/resource/Beattie,_Kansas","Baettie","http://dbpedia.org/resource/Beattie,_Kansas","Kansas, KS","http://dbpedia.org/resource/Kansas_(state)"
"Beattie","http://dbpedia.org/resource/Beattie,_Kansas","Beatie","http://dbpedia.org/resource/Beattie,_Kansas","Kansas, KS","http://dbpedia.org/resource/Kansas_(state)"
"Beaverr","http://dbpedia.org/resource/Beaver,_Oklahoma","Beever","http://dbpedia.org/resource/Beaver,_Oklahoma","Oklahoma, OK","http://dbpedia.org/resource/Oklahoma_(state)"
"Beaverr","http://dbpedia.org/resource/Beaver,_Oklahoma","Bever","http://dbpedia.org/resource/Beaver,_Oklahoma","Oklahoma, OK","http://dbpedia.org/resource/Oklahoma_(state)"
"Bellevuee","http://dbpedia.org/resource/Bellevue,_Washington","Beleevue","http://dbpedia.org/resource/Bellevue,_Washington","Washington, WA","http://dbpedia.org/resource/Washington_(state)"
"Bellevue","http://dbpedia.org/resource/Bellevue,_Washington","Belleveu","http://dbpedia.org/resource/Bellevue,_Washington","Washington, WA","http://dbpedia.org/resource/Washington_(state)"
"Bellinghamm","http://dbpedia.org/resource/Bellingham,_Washington","Belingham","http://dbpedia.org/resource/Bellingham,_Washington","Washington, WA","http://dbpedia.org/resource/Washington_(state)"
"Bellinghamm","http://dbpedia.org/resource/Bellingham,_Washington","Belinghem","http://dbpedia.org/resource/Bellingham,_Washington","Washington, WA","http://dbpedia.org/resource/Washington_(state)"
"Belzoni","http://dbpedia.org/resource/Belzoni,_Mississippi","Belsoni","http://dbpedia.org/resource/Belzoni,_Mississippi","Mississippi, MS","http://dbpedia.org/resource/Mississippi_(state)"
"Beemidji","http://dbpedia.org/resource/Bemidji,_Minnesota","Bemedji","http://dbpedia.org/resource/Bemidji,_Minnesota","Minnesota, MN","http://dbpedia.org/resource/Minnesota_(state)"
"Bemidji","http://dbpedia.org/resource/Bemidji,_Minnesota","Bemidje","http://dbpedia.org/resource/Bemidji,_Minnesota","Minnesota, MN","http://dbpedia.org/resource/Minnesota_(state)"
"Bemidji","http://dbpedia.org/resource/Bemidji,_Minnesota","Bemidjee","http://dbpedia.org/resource/Bemidji,_Minnesota","Minnesota, MN","http://dbpedia.org/resource/Minnesota_(state)"
"Berrea","http://dbpedia.org/resource/Berea,_Kentucky","Berae","http://dbpedia.org/resource/Berea,_Kentucky","Kentucky, KY","http://dbpedia.org/resource/Kentucky_(state)"
"Berkeley","http://dbpedia.org/resource/Berkeley,_California","Berkley","http://dbpedia.org/resource/Berkeley,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Berkeleyy","http://dbpedia.org/resource/Berkeley,_California","Berklui","http://dbpedia.org/resource/Berkeley,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Berrkeley","http://dbpedia.org/resource/Berkeley,_California","Berkly","http://dbpedia.org/resource/Berkeley,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Berlin","http://dbpedia.org/resource/Berlin,_New_Hampshire","Berlen","http://dbpedia.org/resource/Berlin,_New_Hampshire","New Hampshire, NH","http://dbpedia.org/resource/New_Hampshire_(state)"
"Beerlin","http://dbpedia.org/resource/Berlin,_New_Hampshire","Burlin","http://dbpedia.org/resource/Berlin,_New_Hampshire","New Hampshire, NH","http://dbpedia.org/resource/New_Hampshire_(state)"
"Berrien Springs","http://dbpedia.org/resource/Berrien_Springs,_Michigan","Berian Springs","http://dbpedia.org/resource/Berrien_Springs,_Michigan","Michigan, MI","http://dbpedia.org/resource/Michigan_(state)"
"Berrien Springss","http://dbpedia.org/resource/Berrien_Springs,_Michigan","Brerrian Springs","http://dbpedia.org/resource/Berrien_Springs,_Michigan","Michigan, MI","http://dbpedia.org/resource/Michigan_(state)"
"BBerryville","http://dbpedia.org/resource/Berryville,_Arkansas","Berryvile","http://dbpedia.org/resource/Berryville,_Arkansas","Arkansas, AR","http://dbpedia.org/resource/Arkansas_(state)"
"Berthooud","http://dbpedia.org/resource/Berthoud,_Colorado","Berthood","http://dbpedia.org/resource/Berthoud,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Berthoudd","http://dbpedia.org/resource/Berthoud,_Colorado","Burthoud","http://dbpedia.org/resource/Berthoud,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Bertram","http://dbpedia.org/resource/Bertram,_Texas","Bertrim","http://dbpedia.org/resource/Bertram,_Texas","Texas, TX","http://dbpedia.org/resource/Texas_(state)"
"BBessemer","http://dbpedia.org/resource/Bessemer,_Alabama","Besemer","http://dbpedia.org/resource/Bessemer,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Bethany Beachh","http://dbpedia.org/resource/Bethany_Beach,_Delaware","Betheny Beach","http://dbpedia.org/resource/Bethany_Beach,_Delaware","Delaware, DE","http://dbpedia.org/resource/Delaware_(state)"
"Bethllehem","http://dbpedia.org/resource/Bethlehem,_Connecticut","Bethleham","http://dbpedia.org/resource/Bethlehem,_Connecticut","Connecticut, CT","http://dbpedia.org/resource/Connecticut_(state)"
"Bethlehemm","http://dbpedia.org/resource/Bethlehem,_Pennsylvania","Bethleham","http://dbpedia.org/resource/Bethlehem,_Pennsylvania","Pennsylvania, PA","http://dbpedia.org/resource/Pennsylvania_(state)"
"Biloxii","http://dbpedia.org/resource/Biloxi,_Mississippi","Bilcksi","http://dbpedia.org/resource/Biloxi,_Mississippi","Mississippi, MS","http://dbpedia.org/resource/Mississippi_(state)"
"Biloxi","http://dbpedia.org/resource/Biloxi,_Mississippi","Bilocksi","http://dbpedia.org/resource/Biloxi,_Mississippi","Mississippi, MS","http://dbpedia.org/resource/Mississippi_(state)"
"Binghammton","http://dbpedia.org/resource/Binghamton,_New_York","Bimghamton","http://dbpedia.org/resource/Binghamton,_New_York","New York, NY","http://dbpedia.org/resource/New_York_(state)"
"Birminghamm","http://dbpedia.org/resource/Birmingham,_Alabama","Bermingham","http://dbpedia.org/resource/Birmingham,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Berminghum","http://dbpedia.org/resource/Birmingham,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Birminghum","http://dbpedia.org/resource/Birmingham,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Birminghamm","http://dbpedia.org/resource/Birmingham,_Alabama","Brimingham","http://dbpedia.org/resource/Birmingham,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Bishopp","http://dbpedia.org/resource/Bishop,_California","Bisshop","http://dbpedia.org/resource/Bishop,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Bloomingtonn","http://dbpedia.org/resource/Bloomington,_Illinois","Bloomingtown","http://dbpedia.org/resource/Bloomington,_Illinois","Illinois, IL","http://dbpedia.org/resource/Illinois_(state)"
"Bluefieldd","http://dbpedia.org/resource/Bluefield,_West_Virginia","Bluefeild","http://dbpedia.org/resource/Bluefield,_West_Virginia","West Virginia, WV","http://dbpedia.org/resource/West_Virginia_(state)"
"BBoone","http://dbpedia.org/resource/Boone,_North_Carolina","Bonne","http://dbpedia.org/resource/Boone,_North_Carolina","North Carolina, NC","http://dbpedia.org/resource/North_Carolina_(state)"
"Boston","http://dbpedia.org/resource/Boston,_Massachusetts","Bostun","http://dbpedia.org/resource/Boston,_Massachusetts","Massachusetts, MA","http://dbpedia.org/resource/Massachusetts_(state)"
"Bothelll","http://dbpedia.org/resource/Bothell,_Washington","Bothel","http://dbpedia.org/resource/Bothell,_Washington","Washington, WA","http://dbpedia.org/resource/Washington_(state)"
"Boulder","http://dbpedia.org/resource/Boulder,_Colorado","Bolder","http://dbpedia.org/resource/Boulder,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Bozeman","http://dbpedia.org/resource/Bozeman,_Montana","Bozman","http://dbpedia.org/resource/Bozeman,_Montana","Montana, MT","http://dbpedia.org/resource/Montana_(state)"
"BBreaux Bridge","http://dbpedia.org/resource/Breaux_Bridge,_Louisiana","Braeux Bridge","http://dbpedia.org/resource/Breaux_Bridge,_Louisiana","Louisiana, LA","http://dbpedia.org/resource/Louisiana_(state)"
"Brreckenridge","http://dbpedia.org/resource/Breckenridge,_Colorado","Brekenridge","http://dbpedia.org/resource/Breckenridge,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Brevard","http://dbpedia.org/resource/Brevard,_North_Carolina","Breverd","http://dbpedia.org/resource/Brevard,_North_Carolina","North Carolina, NC","http://dbpedia.org/resource/North_Carolina_(state)"
"Bridgepoort","http://dbpedia.org/resource/Bridgeport,_Connecticut","Brigdeport","http://dbpedia.org/resource/Bridgeport,_Connecticut","Connecticut, CT","http://dbpedia.org/resource/Connecticut_(state)"
"Brinkley","http://dbpedia.org/resource/Brinkley,_Arkansas","Brinckley","http://dbpedia.org/resource/Brinkley,_Arkansas","Arkansas, AR","http://dbpedia.org/resource/Arkansas_(state)"
"Bristoll","http://dbpedia.org/resource/Bristol,_Connecticut","Bristal","http://dbpedia.org/resource/Bristol,_Connecticut","Connecticut, CT","http://dbpedia.org/resource/Connecticut_(state)"
"Bristol","http://dbpedia.org/resource/Bristol,_Tennessee","Bristel","http://dbpedia.org/resource/Bristol,_Tennessee","Tennessee, TN","http://dbpedia.org/resource/Tennessee_(state)"
"Bristoll","http://dbpedia.org/resource/Bristol,_Connecticut","Bristel","http://dbpedia.org/resource/Bristol,_Connecticut","Connecticut, CT","http://dbpedia.org/resource/Connecticut_(state)"
"Bristol","http://dbpedia.org/resource/Bristol,_Virginia","Bristel","http://dbpedia.org/resource/Bristol,_Virginia","Virginia, VA","http://dbpedia.org/resource/Virginia_(state)"
"Bristoll","http://dbpedia.org/resource/Bristol,_Tennessee","Bristil","http://dbpedia.org/resource/Bristol,_Tennessee","Tennessee, TN","http://dbpedia.org/resource/Tennessee_(state)"
"Brocktonn","http://dbpedia.org/resource/Brockton,_Massachusetts","Brocktun","http://dbpedia.org/resource/Brockton,_Massachusetts","Massachusetts, MA","http://dbpedia.org/resource/Massachusetts_(state)"
"Brockton","http://dbpedia.org/resource/Brockton,_Massachusetts","Brocton","http://dbpedia.org/resource/Brockton,_Massachusetts","Massachusetts, MA","http://dbpedia.org/resource/Massachusetts_(state)"
"Brrockton","http://dbpedia.org/resource/Brockton,_Massachusetts","Brokton","http://dbpedia.org/resource/Brockton,_Massachusetts","Massachusetts, MA","http://dbpedia.org/resource/Massachusetts_(state)"
"Brooklyn","http://dbpedia.org/resource/Brooklyn,_New_York","Brooklen","http://dbpedia.org/resource/Brooklyn,_New_York","New York, NY","http://dbpedia.org/resource/New_York_(state)"
"Brunswickk","http://dbpedia.org/resource/Brunswick,_Missouri","Brunswik","http://dbpedia.org/resource/Brunswick,_Missouri","Missouri, MO","http://dbpedia.org/resource/Missouri_(state)"
"Buena Parkk","http://dbpedia.org/resource/Buena_Park,_California","Benua","http://dbpedia.org/resource/Buena_Park,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Buena Parkk","http://dbpedia.org/resource/Buena_Park,_California","Beuna","http://dbpedia.org/resource/Buena_Park,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Buena Park","http://dbpedia.org/resource/Buena_Park,_California","Bunena","http://dbpedia.org/resource/Buena_Park,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Buhll","http://dbpedia.org/resource/Buhl,_Idaho","Buhll","http://dbpedia.org/resource/Buhl,_Idaho","Idaho, ID","http://dbpedia.org/resource/Idaho_(state)"
"Buhll","http://dbpedia.org/resource/Buhl,_Idaho","Bulh","http://dbpedia.org/resource/Buhl,_Idaho","Idaho, ID","http://dbpedia.org/resource/Idaho_(state)"
"Buhhl","http://dbpedia.org/resource/Buhl,_Idaho","Bull","http://dbpedia.org/resource/Buhl,_Idaho","Idaho, ID","http://dbpedia.org/resource/Idaho_(state)"
"Burlingtonn","http://dbpedia.org/resource/Burlington,_Vermont","Berlington","http://dbpedia.org/resource/Burlington,_Vermont","Vermont, VT","http://dbpedia.org/resource/Vermont_(state)"
"Buutte","http://dbpedia.org/resource/Butte,_Montana","Bute","http://dbpedia.org/resource/Butte,_Montana","Montana, MT","http://dbpedia.org/resource/Montana_(state)"
"Buttee","http://dbpedia.org/resource/Butte,_Montana","Butt","http://dbpedia.org/resource/Butte,_Montana","Montana, MT","http://dbpedia.org/resource/Montana_(state)"
"Byram Township","http://dbpedia.org/resource/Byram_Township,_New_Jersey","Biram Township","http://dbpedia.org/resource/Byram_Township,_New_Jersey","New Jersey, NJ","http://dbpedia.org/resource/New_Jersey_(state)"
"Calabash","http://dbpedia.org/resource/Calabash,_North_Carolina","Kalabash","http://dbpedia.org/resource/Calabash,_North_Carolina","North Carolina, NC","http://dbpedia.org/resource/North_Carolina_(state)"
"Caldwell","http://dbpedia.org/resource/Caldwell,_Texas","Callwel","http://dbpedia.org/resource/Caldwell,_Texas","Texas, TX","http://dbpedia.org/resource/Texas_(state)"
"Caldwell","http://dbpedia.org/resource/Caldwell,_Texas","Callwell","http://dbpedia.org/resource/Caldwell,_Texas","Texas, TX","http://dbpedia.org/resource/Texas_(state)"
"Caldwelll","http://dbpedia.org/resource/Caldwell,_Texas","Calwel","http://dbpedia.org/resource/Caldwell,_Texas","Texas, TX","http://dbpedia.org/resource/Texas_(state)"
"Campbell","http://dbpedia.org/resource/Campbell,_California","Campbel","http://dbpedia.org/resource/Campbell,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Campbelll","http://dbpedia.org/resource/Campbell,_California","Campbele","http://dbpedia.org/resource/Campbell,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Canonn","http://dbpedia.org/resource/Canon,_Georgia","Cannon","http://dbpedia.org/resource/Canon,_Georgia","Georgia, GA","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Caarbondale","http://dbpedia.org/resource/Carbondale,_Colorado","Carbundale","http://dbpedia.org/resource/Carbondale,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Carrboro","http://dbpedia.org/resource/Carrboro,_North_Carolina","Carboro","http://dbpedia.org/resource/Carrboro,_North_Carolina","North Carolina, NC","http://dbpedia.org/resource/North_Carolina_(state)"
"Carrboroo","http://dbpedia.org/resource/Carrboro,_North_Carolina","Carrborro","http://dbpedia.org/resource/Carrboro,_North_Carolina","North Carolina, NC","http://dbpedia.org/resource/North_Carolina_(state)"
"Castroville","http://dbpedia.org/resource/Castroville,_California","Castro Ville","http://dbpedia.org/resource/Castroville,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Castrovillle","http://dbpedia.org/resource/Castroville,_California","Castrovile","http://dbpedia.org/resource/Castroville,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Cawker City","http://dbpedia.org/resource/Cawker_City,_Kansas","Carker City","http://dbpedia.org/resource/Cawker_City,_Kansas","Kansas, KS","http://dbpedia.org/resource/Kansas_(state)"
"Cedareddge","http://dbpedia.org/resource/Cedaredge,_Colorado","Cederedge","http://dbpedia.org/resource/Cedaredge,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Central City","http://dbpedia.org/resource/Central_City,_Colorado","Centrel City","http://dbpedia.org/resource/Central_City,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
