"Nickname","Nickname__URI","Team","Team__URI","BirthPlace","BirthPlace__URI"
"ADDDD","http://dbpedia.org/resource/Anthony_Davis_(basketball)","New Orleans Hornets","http://dbpedia.org/resource/New_Orleans_Hornets","Chicago","http://dbpedia.org/resource/Chicago"
"Broww","http://dbpedia.org/resource/Anthony_Davis_(basketball)","New Orleans Hornets","http://dbpedia.org/resource/New_Orleans_Hornets","Chicago","http://dbpedia.org/resource/Chicago"
"Glassss","http://dbpedia.org/resource/Anthony_Davis_(basketball)","New Orleans Hornets","http://dbpedia.org/resource/New_Orleans_Hornets","Chicago","http://dbpedia.org/resource/Chicago"
"Bigg Dawggg","http://dbpedia.org/resource/Antoine_Carr","Detroit Pistons","http://dbpedia.org/resource/Detroit_Pistons","Oklahoma City","http://dbpedia.org/resource/Oklahoma_City"
"Dicceee","http://dbpedia.org/resource/Antonio_McDyess","Los Angeles Clippers","http://dbpedia.org/resource/Los_Angeles_Clippers","Quitman, Mississippi","http://dbpedia.org/resource/Quitman,_Mississippi"
"TThe Hammerrr","http://dbpedia.org/resource/Armen_Gilliam","Phoenix Suns","http://dbpedia.org/resource/Phoenix_Suns","Bethel Park, Pennsylvania","http://dbpedia.org/resource/Bethel_Park,_Pennsylvania"
"A Traaiin","http://dbpedia.org/resource/Artis_Gilmore","Chicago Bulls","http://dbpedia.org/resource/Chicago_Bulls","Chipley, Florida","http://dbpedia.org/resource/Chipley,_Florida"
"Sabbass","http://dbpedia.org/resource/Arvydas_Sabonis","Portland Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Kaunas","http://dbpedia.org/resource/Kaunas"
"Madison Squaare Gordonn","http://dbpedia.org/resource/Ben_Gordon","Chicago Bulls","http://dbpedia.org/resource/Chicago_Bulls","London","http://dbpedia.org/resource/London"
"Big Bennn","http://dbpedia.org/resource/Ben_Simmons","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Victoria (Australia)","http://dbpedia.org/resource/Victoria_(Australia)"
"Fresh Princeee","http://dbpedia.org/resource/Ben_Simmons","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Victoria (Australia)","http://dbpedia.org/resource/Victoria_(Australia)"
"Big Benn","http://dbpedia.org/resource/Ben_Wallace","Detroit Pistons","http://dbpedia.org/resource/Detroit_Pistons","White Hall, Alabama","http://dbpedia.org/resource/White_Hall,_Alabama"
"Bevo","http://dbpedia.org/resource/Bevo_Francis","Philadelphia Warriors","http://dbpedia.org/resource/Philadelphia_Warriors","Hammondsville, Ohio","http://dbpedia.org/resource/Hammondsville,_Ohio"
"Dollar Billll","http://dbpedia.org/resource/Bill_Bradley","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","Crystal City, Missouri","http://dbpedia.org/resource/Crystal_City,_Missouri"
"Mr. Prreesidentt","http://dbpedia.org/resource/Bill_Bradley","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","Crystal City, Missouri","http://dbpedia.org/resource/Crystal_City,_Missouri"
"Thee Seccretary of Statee","http://dbpedia.org/resource/Bill_Bradley","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","Crystal City, Missouri","http://dbpedia.org/resource/Crystal_City,_Missouri"
"The Owl without a Vowelll","http://dbpedia.org/resource/Bill_Mlkvy","Philadelphia Warriors","http://dbpedia.org/resource/Philadelphia_Warriors","Palmerton, Pennsylvania","http://dbpedia.org/resource/Palmerton,_Pennsylvania"
"Ruussss","http://dbpedia.org/resource/Bill_Russell","St. Louis Hawks","http://dbpedia.org/resource/St._Louis_Hawks","Monroe, Louisiana","http://dbpedia.org/resource/Monroe,_Louisiana"
"KKangaroo Kiddd","http://dbpedia.org/resource/Billy_Cunningham","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"The Whopperr","http://dbpedia.org/resource/Billy_Paultz","San Diego Rockets","http://dbpedia.org/resource/San_Diego_Rockets","River Edge, New Jersey","http://dbpedia.org/resource/River_Edge,_New_Jersey"
"Biimbboo","http://dbpedia.org/resource/Bimbo_Coles","Sacramento Kings","http://dbpedia.org/resource/Sacramento_Kings","Covington, Virginia","http://dbpedia.org/resource/Covington,_Virginia"
"Bingoooo","http://dbpedia.org/resource/Bingo_Smith","San Diego Rockets","http://dbpedia.org/resource/San_Diego_Rockets","Memphis, Tennessee","http://dbpedia.org/resource/Memphis,_Tennessee"
"BBB-88","http://dbpedia.org/resource/Bismack_Biyombo","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Lubumbashi","http://dbpedia.org/resource/Lubumbashi"
"Big Biznesss","http://dbpedia.org/resource/Bismack_Biyombo","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Lubumbashi","http://dbpedia.org/resource/Lubumbashi"
"Biznation","http://dbpedia.org/resource/Bismack_Biyombo","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Lubumbashi","http://dbpedia.org/resource/Lubumbashi"
"Biizzy Boo","http://dbpedia.org/resource/Bismack_Biyombo","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Lubumbashi","http://dbpedia.org/resource/Lubumbashi"
"The Acrobatic from the Democratic (Republic of the Congo)))","http://dbpedia.org/resource/Bismack_Biyombo","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Lubumbashi","http://dbpedia.org/resource/Lubumbashi"
"BBlueee","http://dbpedia.org/resource/Blue_Edwards","Utah Jazz","http://dbpedia.org/resource/Utah_Jazz","Washington, D.C.","http://dbpedia.org/resource/Washington,_D.C."
"Coooozz","http://dbpedia.org/resource/Bob_Cousy","Tri-Cities Blackhawks","http://dbpedia.org/resource/Tri-Cities_Blackhawks","Manhattan, New York","http://dbpedia.org/resource/Manhattan,_New_York"
"The Houdini oof the Hardwooddd","http://dbpedia.org/resource/Bob_Cousy","Tri-Cities Blackhawks","http://dbpedia.org/resource/Tri-Cities_Blackhawks","Manhattan, New York","http://dbpedia.org/resource/Manhattan,_New_York"
"Bobbyy DD","http://dbpedia.org/resource/Bob_Dandridge","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Richmond, Virginia","http://dbpedia.org/resource/Richmond,_Virginia"
"Butterbeannnn","http://dbpedia.org/resource/Bob_Love","Cincinnati Royals","http://dbpedia.org/resource/Cincinnati_Royals","Bastrop, Louisiana","http://dbpedia.org/resource/Bastrop,_Louisiana"
"Teaa Timeee","http://dbpedia.org/resource/Boris_Diaw","Utah Jazz","http://dbpedia.org/resource/Utah_Jazz","Val d’Oise","http://dbpedia.org/resource/Val-d'Oise"
"The Naturaall","http://dbpedia.org/resource/Brandon_Roy","Minnesota Timberwolves","http://dbpedia.org/resource/Minnesota_Timberwolves","Seattle, Washington","http://dbpedia.org/resource/Seattle,_Washington"
"Bonesss","http://dbpedia.org/resource/Brent_Barry","Denver Nuggets","http://dbpedia.org/resource/Denver_Nuggets","Hempstead (village), New York","http://dbpedia.org/resource/Hempstead_(village),_New_York"
"The Custodian","http://dbpedia.org/resource/Brian_Cardinal","Detroit Pistons","http://dbpedia.org/resource/Detroit_Pistons","Tolono, Illinois","http://dbpedia.org/resource/Tolono,_Illinois"
"The White Mambaaa","http://dbpedia.org/resource/Brian_Scalabrine","New Jersey Nets","http://dbpedia.org/resource/New_Jersey_Nets","Long Beach, California","http://dbpedia.org/resource/Long_Beach,_California"
"Splash Moountainn","http://dbpedia.org/resource/Brook_Lopez","Brooklyn Nets","http://dbpedia.org/resource/Brooklyn_Nets","North Hollywood, Los Angeles","http://dbpedia.org/resource/North_Hollywood,_Los_Angeles"
"Big Countryyyy","http://dbpedia.org/resource/Bryant_Reeves","Vancouver Grizzlies","http://dbpedia.org/resource/Vancouver_Grizzlies","Fort Smith, Arkansas","http://dbpedia.org/resource/Fort_Smith,_Arkansas"
"Buuddy Lovee","http://dbpedia.org/resource/Buddy_Hield","New Orleans Pelicans","http://dbpedia.org/resource/New_Orleans_Pelicans","Freeport, Bahamas","http://dbpedia.org/resource/Freeport,_Bahamas"
"BButch","http://dbpedia.org/resource/Butch_Beard","Atlanta Hawks","http://dbpedia.org/resource/Atlanta_Hawks","Hardinsburg, Kentucky","http://dbpedia.org/resource/Hardinsburg,_Kentucky"
"Cadillac","http://dbpedia.org/resource/Cadillac_Anderson","San Antonio Spurs","http://dbpedia.org/resource/San_Antonio_Spurs","Houston","http://dbpedia.org/resource/Houston"
"Captain Americaa","http://dbpedia.org/resource/Carmelo_Anthony","Portland Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"Hooddie Meloo","http://dbpedia.org/resource/Carmelo_Anthony","Portland Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"Melooo","http://dbpedia.org/resource/Carmelo_Anthony","Portland Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"The Patrriottt","http://dbpedia.org/resource/Carmelo_Anthony","Portland Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"Corrnnbread","http://dbpedia.org/resource/Cedric_Maxwell","Boston Celtics","http://dbpedia.org/resource/Boston_Celtics","Kinston, North Carolina","http://dbpedia.org/resource/Kinston,_North_Carolina"
"Boy Gorrgee","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Chhhuuck","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Leaning Tower of Pizzaa","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Pillsbury DDough Boyy","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Princee Charlesss","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Sir Charless","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"The Crisco Kidddd","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"The Flying Coke Machineeee","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"The Human Refrigeratorrr","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Thee Round Mound of  Reboundd","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Mr. Big Shotttt","http://dbpedia.org/resource/Chauncey_Billups","Boston Celtics","http://dbpedia.org/resource/Boston_Celtics","Denver","http://dbpedia.org/resource/Denver"
"Birdmaaann","http://dbpedia.org/resource/Chris_Andersen","Cleveland Cavaliers","http://dbpedia.org/resource/Cleveland_Cavaliers","Long Beach, California","http://dbpedia.org/resource/Long_Beach,_California"
"CBBB4","http://dbpedia.org/resource/Chris_Bosh","Miami Heat","http://dbpedia.org/resource/Miami_Heat","Dallas","http://dbpedia.org/resource/Dallas"
"The Boshtrichhh","http://dbpedia.org/resource/Chris_Bosh","Miami Heat","http://dbpedia.org/resource/Miami_Heat","Dallas","http://dbpedia.org/resource/Dallas"
"CP33","http://dbpedia.org/resource/Chris_Paul","New Orleans Hornets","http://dbpedia.org/resource/New_Orleans_Hornets","Winston-Salem, North Carolina","http://dbpedia.org/resource/Winston-Salem,_North_Carolina"
"C--Webbbb","http://dbpedia.org/resource/Chris_Webber","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Detroit, Michigan","http://dbpedia.org/resource/Detroit,_Michigan"
"The  Riflemannn","http://dbpedia.org/resource/Chuck_Person","Indiana Pacers","http://dbpedia.org/resource/Indiana_Pacers","Brantley, Alabama","http://dbpedia.org/resource/Brantley,_Alabama"
"Clyde the Glideeee","http://dbpedia.org/resource/Clyde_Drexler","Portland Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","New Orleans","http://dbpedia.org/resource/New_Orleans"
"The Hawkkkk","http://dbpedia.org/resource/Connie_Hawkins","Atlanta Hawks","http://dbpedia.org/resource/Atlanta_Hawks","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"Rhhinoo","http://dbpedia.org/resource/Craig_Smith_(basketball,_born_1983)","Minnesota Timberwolves","http://dbpedia.org/resource/Minnesota_Timberwolves","Inglewood, California","http://dbpedia.org/resource/Inglewood,_California"
"Curlyyy","http://dbpedia.org/resource/Curly_Neal","Harlem Globetrotters","http://dbpedia.org/resource/Harlem_Globetrotters","Greensboro, North Carolina","http://dbpedia.org/resource/Greensboro,_North_Carolina"
"DDLooo","http://dbpedia.org/resource/D'Angelo_Russell","Los Angeles Lakers","http://dbpedia.org/resource/Los_Angeles_Lakers","Louisville, Kentucky","http://dbpedia.org/resource/Louisville,_Kentucky"
"Dame Dollaaa","http://dbpedia.org/resource/Damian_Lillard","Portland Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Oakland, California","http://dbpedia.org/resource/Oakland,_California"
"Logo Lillardd","http://dbpedia.org/resource/Damian_Lillard","Portland Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Oakland, California","http://dbpedia.org/resource/Oakland,_California"
"Subb Zeroo","http://dbpedia.org/resource/Damian_Lillard","Portland Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Oakland, California","http://dbpedia.org/resource/Oakland,_California"
"The Wooorld's Greateest Shooter","http://dbpedia.org/resource/Damon_Jones","Cleveland Cavaliers","http://dbpedia.org/resource/Cleveland_Cavaliers","Galveston, Texas","http://dbpedia.org/resource/Galveston,_Texas"
"The Flying Dutchmann","http://dbpedia.org/resource/Dan_Gadzuric","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","The Hague","http://dbpedia.org/resource/The_Hague"
"Thunder Dannn","http://dbpedia.org/resource/Dan_Majerle","Phoenix Suns","http://dbpedia.org/resource/Phoenix_Suns","Traverse City, Michigan","http://dbpedia.org/resource/Traverse_City,_Michigan"
"Boobiee","http://dbpedia.org/resource/Daniel_Gibson","Cleveland Cavaliers","http://dbpedia.org/resource/Cleveland_Cavaliers","Houston","http://dbpedia.org/resource/Houston"
"Il  Gallllo","http://dbpedia.org/resource/Danilo_Gallinari","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","Sant'Angelo Lodigiano","http://dbpedia.org/resource/Sant'Angelo_Lodigiano"
"The Rooosterr","http://dbpedia.org/resource/Danilo_Gallinari","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","Sant'Angelo Lodigiano","http://dbpedia.org/resource/Sant'Angelo_Lodigiano"
"The Human Victory Cigarr","http://dbpedia.org/resource/Darko_Miličić","Detroit Pistons","http://dbpedia.org/resource/Detroit_Pistons","Novi Sad","http://dbpedia.org/resource/Novi_Sad"
"Dr. Dunnkkk","http://dbpedia.org/resource/Darnell_Hillman","Golden State Warriors","http://dbpedia.org/resource/Golden_State_Warriors","Sacramento, California","http://dbpedia.org/resource/Sacramento,_California"
"Dr. Dunkensteinnn","http://dbpedia.org/resource/Darrell_Griffith","Utah Jazz","http://dbpedia.org/resource/Utah_Jazz","Louisville, Kentucky","http://dbpedia.org/resource/Louisville,_Kentucky"
"CChocollate Thunderr","http://dbpedia.org/resource/Darryl_Dawkins","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Orlando, Florida","http://dbpedia.org/resource/Orlando,_Florida"
"Thhe Raveee","http://dbpedia.org/resource/Dave_Stallworth","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","Dallas, Texas","http://dbpedia.org/resource/Dallas,_Texas"
"The Admiralll","http://dbpedia.org/resource/David_Robinson_(basketball)","San Antonio Spurs","http://dbpedia.org/resource/San_Antonio_Spurs","Key West, Florida","http://dbpedia.org/resource/Key_West,_Florida"
"The Skywalkerrr","http://dbpedia.org/resource/David_Thompson_(basketball)","Atlanta Hawks","http://dbpedia.org/resource/Atlanta_Hawks","Shelby, North Carolina","http://dbpedia.org/resource/Shelby,_North_Carolina"
"Thhe Dreammm","http://dbpedia.org/resource/Dean_Meminger","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","Walterboro, South Carolina","http://dbpedia.org/resource/Walterboro,_South_Carolina"
"Deeboo","http://dbpedia.org/resource/DeMar_DeRozan","Toronto Raptors","http://dbpedia.org/resource/Toronto_Raptors","Compton, California","http://dbpedia.org/resource/Compton,_California"
"Booogiee","http://dbpedia.org/resource/DeMarcus_Cousins","Sacramento Kings","http://dbpedia.org/resource/Sacramento_Kings","Mobile, Alabama","http://dbpedia.org/resource/Mobile,_Alabama"
"The Wormm","http://dbpedia.org/resource/Dennis_Rodman","Detroit Pistons","http://dbpedia.org/resource/Detroit_Pistons","Trenton, New Jersey","http://dbpedia.org/resource/Trenton,_New_Jersey"
"33D","http://dbpedia.org/resource/Dennis_Scott_(basketball)","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Hagerstown, Maryland","http://dbpedia.org/resource/Hagerstown,_Maryland"
"ZZell","http://dbpedia.org/resource/Denzel_Valentine","Chicago Bulls","http://dbpedia.org/resource/Chicago_Bulls","Lansing, Michigan","http://dbpedia.org/resource/Lansing,_Michigan"
"D-Fisshh","http://dbpedia.org/resource/Derek_Fisher","Los Angeles Lakers","http://dbpedia.org/resource/Los_Angeles_Lakers","Little Rock, Arkansas","http://dbpedia.org/resource/Little_Rock,_Arkansas"
"D---WWill","http://dbpedia.org/resource/Deron_Williams","Utah Jazz","http://dbpedia.org/resource/Utah_Jazz","Parkersburg, West Virginia","http://dbpedia.org/resource/Parkersburg,_West_Virginia"
"Band-Aidddd","http://dbpedia.org/resource/Derrick_Chievous","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","New York City, New York","http://dbpedia.org/resource/New_York_City,_New_York"
"D-Roseeee","http://dbpedia.org/resource/Derrick_Rose","Detroit Pistons","http://dbpedia.org/resource/Detroit_Pistons","Chicago","http://dbpedia.org/resource/Chicago"
"Windy City Assassinn","http://dbpedia.org/resource/Derrick_Rose","Detroit Pistons","http://dbpedia.org/resource/Detroit_Pistons","Chicago","http://dbpedia.org/resource/Chicago"
"Fall Back Baby","http://dbpedia.org/resource/Dick_Barnett","Syracuse Nationals","http://dbpedia.org/resource/Syracuse_Nationals","Gary, Indiana","http://dbpedia.org/resource/Gary,_Indiana"
"Tricky Dickk","http://dbpedia.org/resource/Dick_McGuire","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","The Bronx, New York","http://dbpedia.org/resource/The_Bronx,_New_York"
"The OOriginal Sunnn","http://dbpedia.org/resource/Dick_Van_Arsdale","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","Indianapolis, Indiana","http://dbpedia.org/resource/Indianapolis,_Indiana"
"Mt. Mutomboooo","http://dbpedia.org/resource/Dikembe_Mutombo","Denver Nuggets","http://dbpedia.org/resource/Denver_Nuggets","Republic of the Congo (Leopoldville)","http://dbpedia.org/resource/Republic_of_the_Congo_(Leopoldville)"
"3DDDD","http://dbpedia.org/resource/Dimitris_Diamantidis","Panathinaikos Athens","http://dbpedia.org/resource/Panathinaikos_B.C.","Kastoria","http://dbpedia.org/resource/Kastoria"
"Bavariann Bomberrr","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"Dirk Digglerrr","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"Dirk Savageee","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"Dirtyy","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"Gerrman Wundeerkindd","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"Tall Baller From The GGGG","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"The Berlin Talll","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"The Big Germannnn","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"The GGerman RRacecarr","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"The Germiinator","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"DDDooc","http://dbpedia.org/resource/Doc_Rivers","Atlanta Hawks","http://dbpedia.org/resource/Atlanta_Hawks","Chicago","http://dbpedia.org/resource/Chicago"
"Sabas Jr..","http://dbpedia.org/resource/Domantas_Sabonis","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Portland, Oregon","http://dbpedia.org/resource/Portland,_Oregon"
"The Human Highlight Filmmm","http://dbpedia.org/resource/Dominique_Wilkins","Utah Jazz","http://dbpedia.org/resource/Utah_Jazz","Paris","http://dbpedia.org/resource/Paris"
"Day-DDayy","http://dbpedia.org/resource/Draymond_Green","Golden State Warriors","http://dbpedia.org/resource/Golden_State_Warriors","Saginaw, Michigan","http://dbpedia.org/resource/Saginaw,_Michigan"
"Drayy","http://dbpedia.org/resource/Draymond_Green","Golden State Warriors","http://dbpedia.org/resource/Golden_State_Warriors","Saginaw, Michigan","http://dbpedia.org/resource/Saginaw,_Michigan"
"The Danncing Bearr","http://dbpedia.org/resource/Draymond_Green","Golden State Warriors","http://dbpedia.org/resource/Golden_State_Warriors","Saginaw, Michigan","http://dbpedia.org/resource/Saginaw,_Michigan"
"D1122","http://dbpedia.org/resource/Dwight_Howard","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Atlanta","http://dbpedia.org/resource/Atlanta"
"Foul oon You","http://dbpedia.org/resource/Dwight_Howard","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Atlanta","http://dbpedia.org/resource/Atlanta"
"Supermannnn","http://dbpedia.org/resource/Dwight_Howard","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Atlanta","http://dbpedia.org/resource/Atlanta"
"D--Wadde","http://dbpedia.org/resource/Dwyane_Wade","Miami Heat","http://dbpedia.org/resource/Miami_Heat","Chicago","http://dbpedia.org/resource/Chicago"
"FFlash","http://dbpedia.org/resource/Dwyane_Wade","Miami Heat","http://dbpedia.org/resource/Miami_Heat","Chicago","http://dbpedia.org/resource/Chicago"
"The Goatt","http://dbpedia.org/resource/Earl_Manigault","","","Charleston, South Carolina","http://dbpedia.org/resource/Charleston,_South_Carolina"
"Black  Jesuss","http://dbpedia.org/resource/Earl_Monroe","Baltimore Bullets (1963–73)","http://dbpedia.org/resource/Baltimore_Bullets_(1963–73)","Philadelphia","http://dbpedia.org/resource/Philadelphia"
"Bllack Magiccc","http://dbpedia.org/resource/Earl_Monroe","Baltimore Bullets (1963–73)","http://dbpedia.org/resource/Baltimore_Bullets_(1963–73)","Philadelphia","http://dbpedia.org/resource/Philadelphia"
