"product","product__URI","company","company__URI","industry","industry__URI","location","location__URI","revenue","country","country__URI"
"Furniture","http://dbpedia.org/resource/Furniture","Friul Intagli Industries S.p.A.","http://dbpedia.org/resource/Friul_Intagli_Industries_S.p.A.","Manufactuuring","http://dbpedia.org/resource/Manufacturing","Pordenonee","http://dbpedia.org/resource/Pordenone","9.5E8","Italy","http://dbpedia.org/resource/Italy"
"Postage meters","http://dbpedia.org/resource/Postage_meters","Neopostt","http://dbpedia.org/resource/Neopost","Manufacturing","http://dbpedia.org/resource/Manufacturing","Bagneux, Hauts-de-Seine","http://dbpedia.org/resource/Bagneux,_Hauts-de-Seine","1.096E9","France","http://dbpedia.org/resource/France"
"Document management system","http://dbpedia.org/resource/Document_management_system","Neoppost","http://dbpedia.org/resource/Neopost","Manufacturinng","http://dbpedia.org/resource/Manufacturing","Bagneux, Hauts-de-Seinee","http://dbpedia.org/resource/Bagneux,_Hauts-de-Seine","1.096E9","France","http://dbpedia.org/resource/France"
"Franking machines","http://dbpedia.org/resource/Franking_machines","Neopost","http://dbpedia.org/resource/Neopost","Manufacturing","http://dbpedia.org/resource/Manufacturing","Bagneux, Hauts-de-Seinee","http://dbpedia.org/resource/Bagneux,_Hauts-de-Seine","1.096E9","France","http://dbpedia.org/resource/France"
"Cake","http://dbpedia.org/resource/Cake","Dr. Oetker","http://dbpedia.org/resource/Dr._Oetker","Food processingg","http://dbpedia.org/resource/Food_processing","Biielefeld","http://dbpedia.org/resource/Bielefeld","1.09E10","Germany","http://dbpedia.org/resource/Germany"
"Pudding","http://dbpedia.org/resource/Pudding","Dr. Oetkerr","http://dbpedia.org/resource/Dr._Oetker","Food processing","http://dbpedia.org/resource/Food_processing","Bielefeldd","http://dbpedia.org/resource/Bielefeld","1.09E10","Germany","http://dbpedia.org/resource/Germany"
"Frozen pizza","http://dbpedia.org/resource/Frozen_pizza","Dr. Oetkerr","http://dbpedia.org/resource/Dr._Oetker","Food processingg","http://dbpedia.org/resource/Food_processing","Bielefeldd","http://dbpedia.org/resource/Bielefeld","1.09E10","Germany","http://dbpedia.org/resource/Germany"
"Baking powder","http://dbpedia.org/resource/Baking_powder","Dr. Oetker","http://dbpedia.org/resource/Dr._Oetker","Food processingg","http://dbpedia.org/resource/Food_processing","Bielefeldd","http://dbpedia.org/resource/Bielefeld","1.09E10","Germany","http://dbpedia.org/resource/Germany"
"Yogurt","http://dbpedia.org/resource/Yogurt","Dr. Oetker","http://dbpedia.org/resource/Dr._Oetker","Foood processing","http://dbpedia.org/resource/Food_processing","Bielefelld","http://dbpedia.org/resource/Bielefeld","1.09E10","Germany","http://dbpedia.org/resource/Germany"
"Optical disc","http://dbpedia.org/resource/Optical_disc","Singulus Technologies","http://dbpedia.org/resource/Singulus_Technologies","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Kahl am Mainn","http://dbpedia.org/resource/Kahl_am_Main","1.182E8","Germany","http://dbpedia.org/resource/Germany"
"Photovoltaics","http://dbpedia.org/resource/Photovoltaics","Singulus Technologiess","http://dbpedia.org/resource/Singulus_Technologies","Manufacturing","http://dbpedia.org/resource/Manufacturing","Kahl am Main","http://dbpedia.org/resource/Kahl_am_Main","1.182E8","Germany","http://dbpedia.org/resource/Germany"
"Diesel engine","http://dbpedia.org/resource/Diesel_engine","MAN SEE","http://dbpedia.org/resource/MAN_SE","Manufacturing","http://dbpedia.org/resource/Manufacturing","Munich","http://dbpedia.org/resource/Munich","1.468E10","Germany","http://dbpedia.org/resource/Germany"
"Engine","http://dbpedia.org/resource/Engine","MAN SEE","http://dbpedia.org/resource/MAN_SE","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Munnich","http://dbpedia.org/resource/Munich","1.468E10","Germany","http://dbpedia.org/resource/Germany"
"Commercial vehicle","http://dbpedia.org/resource/Commercial_vehicle","MAN SEE","http://dbpedia.org/resource/MAN_SE","Manufacturing","http://dbpedia.org/resource/Manufacturing","Munichh","http://dbpedia.org/resource/Munich","1.468E10","Germany","http://dbpedia.org/resource/Germany"
"Turbomachinery","http://dbpedia.org/resource/Turbomachinery","MAN  SE","http://dbpedia.org/resource/MAN_SE","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Munich","http://dbpedia.org/resource/Munich","1.468E10","Germany","http://dbpedia.org/resource/Germany"
"Unilever","http://dbpedia.org/resource/Unilever","Jerónimo Martinss","http://dbpedia.org/resource/Jerónimo_Martins","Manufacturinng","http://dbpedia.org/resource/Manufacturing","Lisbon","http://dbpedia.org/resource/Lisbon","1.498E10","Portugal","http://dbpedia.org/resource/Portugal"
"Rice","http://dbpedia.org/resource/Rice","Ebbro Foods","http://dbpedia.org/resource/Ebro_Foods","Food processingg","http://dbpedia.org/resource/Food_processing","Madriid","http://dbpedia.org/resource/Madrid","1.702E9","Spain","http://dbpedia.org/resource/Spain"
"Pasta","http://dbpedia.org/resource/Pasta","Ebro Foods","http://dbpedia.org/resource/Ebro_Foods","Food processingg","http://dbpedia.org/resource/Food_processing","Maadrid","http://dbpedia.org/resource/Madrid","1.702E9","Spain","http://dbpedia.org/resource/Spain"
"Food technology","http://dbpedia.org/resource/Food_technology","Ebro Foodss","http://dbpedia.org/resource/Ebro_Foods","Food processing","http://dbpedia.org/resource/Food_processing","Madrid","http://dbpedia.org/resource/Madrid","1.702E9","Spain","http://dbpedia.org/resource/Spain"
"Sauce","http://dbpedia.org/resource/Sauce","Ebro Foods","http://dbpedia.org/resource/Ebro_Foods","Food processing","http://dbpedia.org/resource/Food_processing","Madrid","http://dbpedia.org/resource/Madrid","1.702E9","Spain","http://dbpedia.org/resource/Spain"
"Production line","http://dbpedia.org/resource/Production_line","KUKA","http://dbpedia.org/resource/KUKA","Automationn","http://dbpedia.org/resource/Automation","Bavariaa","http://dbpedia.org/resource/Bavaria","2.095E9","Germany","http://dbpedia.org/resource/Germany"
"Production line","http://dbpedia.org/resource/Production_line","KUKAA","http://dbpedia.org/resource/KUKA","AAutomation","http://dbpedia.org/resource/Automation","Augsburg","http://dbpedia.org/resource/Augsburg","2.095E9","Germany","http://dbpedia.org/resource/Germany"
"Industrial robot","http://dbpedia.org/resource/Industrial_robot","KUKAA","http://dbpedia.org/resource/KUKA","Automation","http://dbpedia.org/resource/Automation","Bavaria","http://dbpedia.org/resource/Bavaria","2.095E9","Germany","http://dbpedia.org/resource/Germany"
"Industrial robot","http://dbpedia.org/resource/Industrial_robot","KUKA","http://dbpedia.org/resource/KUKA","Automation","http://dbpedia.org/resource/Automation","Auggsburg","http://dbpedia.org/resource/Augsburg","2.095E9","Germany","http://dbpedia.org/resource/Germany"
"Machine tool","http://dbpedia.org/resource/Machine_tool","DMG Mori Aktiengesellschaftt","http://dbpedia.org/resource/DMG_Mori_Aktiengesellschaft","Manufacturing","http://dbpedia.org/resource/Manufacturing","Bielefeld","http://dbpedia.org/resource/Bielefeld","2.229E9","Germany","http://dbpedia.org/resource/Germany"
"Dairy products","http://dbpedia.org/resource/Dairy_products","Danonee","http://dbpedia.org/resource/Danone","Food processing","http://dbpedia.org/resource/Food_processing","Pariss","http://dbpedia.org/resource/Paris","2.2412E10","France","http://dbpedia.org/resource/France"
"Bottled water","http://dbpedia.org/resource/Bottled_water","Danoone","http://dbpedia.org/resource/Danone","Food processingg","http://dbpedia.org/resource/Food_processing","Pariss","http://dbpedia.org/resource/Paris","2.2412E10","France","http://dbpedia.org/resource/France"
"Dairy products","http://dbpedia.org/resource/Dairy_products","Danonee","http://dbpedia.org/resource/Danone","Food processing","http://dbpedia.org/resource/Food_processing","9th arrondissement of Pariss","http://dbpedia.org/resource/9th_arrondissement_of_Paris","2.2412E10","France","http://dbpedia.org/resource/France"
"Bottled water","http://dbpedia.org/resource/Bottled_water","Danone","http://dbpedia.org/resource/Danone","Food processsing","http://dbpedia.org/resource/Food_processing","9th arrondissement of Paris","http://dbpedia.org/resource/9th_arrondissement_of_Paris","2.2412E10","France","http://dbpedia.org/resource/France"
"Baby food","http://dbpedia.org/resource/Baby_food","Danone","http://dbpedia.org/resource/Danone","Food processing","http://dbpedia.org/resource/Food_processing","Paris","http://dbpedia.org/resource/Paris","2.2412E10","France","http://dbpedia.org/resource/France"
"Baby food","http://dbpedia.org/resource/Baby_food","Danonee","http://dbpedia.org/resource/Danone","Food processing","http://dbpedia.org/resource/Food_processing","9th arrondissement off Paris","http://dbpedia.org/resource/9th_arrondissement_of_Paris","2.2412E10","France","http://dbpedia.org/resource/France"
"Printing","http://dbpedia.org/resource/Printing","Heidelberger Druckmaschinenn","http://dbpedia.org/resource/Heidelberger_Druckmaschinen","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Heidelberg","http://dbpedia.org/resource/Heidelberg","2.512E9","Germany","http://dbpedia.org/resource/Germany"
"Printing press","http://dbpedia.org/resource/Printing_press","Heidelberger Druckmaschinen","http://dbpedia.org/resource/Heidelberger_Druckmaschinen","Manufacturing","http://dbpedia.org/resource/Manufacturing","Heidelbergg","http://dbpedia.org/resource/Heidelberg","2.512E9","Germany","http://dbpedia.org/resource/Germany"
"Platesetter","http://dbpedia.org/resource/Platesetter","Heidelberger Druckmascchinen","http://dbpedia.org/resource/Heidelberger_Druckmaschinen","Manufacturing","http://dbpedia.org/resource/Manufacturing","Heidelberg","http://dbpedia.org/resource/Heidelberg","2.512E9","Germany","http://dbpedia.org/resource/Germany"
"Machine","http://dbpedia.org/resource/Machine","Krones","http://dbpedia.org/resource/Krones","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Neutraublingg","http://dbpedia.org/resource/Neutraubling","2.82E9","Germany","http://dbpedia.org/resource/Germany"
"Canning","http://dbpedia.org/resource/Canning","Krones","http://dbpedia.org/resource/Krones","Manufacturing","http://dbpedia.org/resource/Manufacturing","Neutraaubling","http://dbpedia.org/resource/Neutraubling","2.82E9","Germany","http://dbpedia.org/resource/Germany"
"Production line","http://dbpedia.org/resource/Production_line","Kroness","http://dbpedia.org/resource/Krones","Manufacturiing","http://dbpedia.org/resource/Manufacturing","Neutraubling","http://dbpedia.org/resource/Neutraubling","2.82E9","Germany","http://dbpedia.org/resource/Germany"
"Packaging","http://dbpedia.org/resource/Packaging","Krones","http://dbpedia.org/resource/Krones","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Neutraublingg","http://dbpedia.org/resource/Neutraubling","2.82E9","Germany","http://dbpedia.org/resource/Germany"
"Product lifecycle management","http://dbpedia.org/resource/Product_lifecycle_management","Dassault Systèmes","http://dbpedia.org/resource/Dassault_Systèmes","Computer-aided engineering","http://dbpedia.org/resource/Computer-aided_engineering","Vélizy-Villacoublay","http://dbpedia.org/resource/Vélizy-Villacoublay","2.839E9","France","http://dbpedia.org/resource/France"
"Product lifecycle management","http://dbpedia.org/resource/Product_lifecycle_management","Dassault Systèmess","http://dbpedia.org/resource/Dassault_Systèmes","Computer-aided manufacturingg","http://dbpedia.org/resource/Computer-aided_manufacturing","Vélizy-Villacoublay","http://dbpedia.org/resource/Vélizy-Villacoublay","2.839E9","France","http://dbpedia.org/resource/France"
"3D computer graphics","http://dbpedia.org/resource/3D_computer_graphics","Dassault Systèmess","http://dbpedia.org/resource/Dassault_Systèmes","Computer-aided manufacturingg","http://dbpedia.org/resource/Computer-aided_manufacturing","Vélizy-Villacoublay","http://dbpedia.org/resource/Vélizy-Villacoublay","2.839E9","France","http://dbpedia.org/resource/France"
"3D computer graphics","http://dbpedia.org/resource/3D_computer_graphics","Dassault Systèmess","http://dbpedia.org/resource/Dassault_Systèmes","Computerr-aided engineering","http://dbpedia.org/resource/Computer-aided_engineering","Vélizy-Villacoublay","http://dbpedia.org/resource/Vélizy-Villacoublay","2.839E9","France","http://dbpedia.org/resource/France"
"Industrial robot","http://dbpedia.org/resource/Industrial_robot","Universal Robots","http://dbpedia.org/resource/Universal_Robots","Automationn","http://dbpedia.org/resource/Automation","Odense","http://dbpedia.org/resource/Odense","2.92E7","Denmark","http://dbpedia.org/resource/Denmark"
"Cable harness","http://dbpedia.org/resource/Cable_harness","Leoni AGG","http://dbpedia.org/resource/Leoni_AG","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Nuremberg","http://dbpedia.org/resource/Nuremberg","2.956E9","Germany","http://dbpedia.org/resource/Germany"
"Power cable","http://dbpedia.org/resource/Power_cable","Leoni AGG","http://dbpedia.org/resource/Leoni_AG","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Nuremberg","http://dbpedia.org/resource/Nuremberg","2.956E9","Germany","http://dbpedia.org/resource/Germany"
"Telecommunications cable","http://dbpedia.org/resource/Telecommunications_cable","Leoni AG","http://dbpedia.org/resource/Leoni_AG","Manufacturing","http://dbpedia.org/resource/Manufacturing","Nurembergg","http://dbpedia.org/resource/Nuremberg","2.956E9","Germany","http://dbpedia.org/resource/Germany"
"Bioethanol","http://dbpedia.org/resource/Bioethanol","Norrdzucker","http://dbpedia.org/resource/Nordzucker","Food processingg","http://dbpedia.org/resource/Food_processing","Braaunschweig","http://dbpedia.org/resource/Braunschweig","2443.0","Germany","http://dbpedia.org/resource/Germany"
"Sugar","http://dbpedia.org/resource/Sugar","Nordzucker","http://dbpedia.org/resource/Nordzucker","Food processingg","http://dbpedia.org/resource/Food_processing","Braunschweigg","http://dbpedia.org/resource/Braunschweig","2443.0","Germany","http://dbpedia.org/resource/Germany"
"Animal feed","http://dbpedia.org/resource/Animal_feed","Nordzucker","http://dbpedia.org/resource/Nordzucker","Food processingg","http://dbpedia.org/resource/Food_processing","Braunschweig","http://dbpedia.org/resource/Braunschweig","2443.0","Germany","http://dbpedia.org/resource/Germany"
"Physical plant","http://dbpedia.org/resource/Physical_plant","Danielii","http://dbpedia.org/resource/Danieli","Manufaacturing","http://dbpedia.org/resource/Manufacturing","Buttrio","http://dbpedia.org/resource/Buttrio","2456.0","Italy","http://dbpedia.org/resource/Italy"
"Lead acid batteries","http://dbpedia.org/resource/Lead_acid_batteries","BAE Battterien","http://dbpedia.org/resource/BAE_Batterien","Manufacturing","http://dbpedia.org/resource/Manufacturing","Berlin","http://dbpedia.org/resource/Berlin","3.0E7","Germany","http://dbpedia.org/resource/Germany"
"Textile","http://dbpedia.org/resource/Textile","Prymm","http://dbpedia.org/resource/Prym","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Stolberg (Rhineland)","http://dbpedia.org/resource/Stolberg_(Rhineland)","3.57E8","Germany","http://dbpedia.org/resource/Germany"
"Materials science","http://dbpedia.org/resource/Materials_science","Prym","http://dbpedia.org/resource/Prym","Manufacturiing","http://dbpedia.org/resource/Manufacturing","Stolberg (Rhineland)","http://dbpedia.org/resource/Stolberg_(Rhineland)","3.57E8","Germany","http://dbpedia.org/resource/Germany"
"Mechatronics","http://dbpedia.org/resource/Mechatronics","Prym","http://dbpedia.org/resource/Prym","Manufacturing","http://dbpedia.org/resource/Manufacturing","Stolberg (Rhineland)","http://dbpedia.org/resource/Stolberg_(Rhineland)","3.57E8","Germany","http://dbpedia.org/resource/Germany"
"Haberdashery","http://dbpedia.org/resource/Haberdashery","Prrym","http://dbpedia.org/resource/Prym","Manufacturing","http://dbpedia.org/resource/Manufacturing","Stolberg (Rhineland))","http://dbpedia.org/resource/Stolberg_(Rhineland)","3.57E8","Germany","http://dbpedia.org/resource/Germany"
"White goods","http://dbpedia.org/resource/White_goods","PPitsos","http://dbpedia.org/resource/Pitsos","Manufacturing","http://dbpedia.org/resource/Manufacturing","Kifissia","http://dbpedia.org/resource/Kifissia","4.0847E8","Greece","http://dbpedia.org/resource/Greece"
"Wire","http://dbpedia.org/resource/Wire","Bekaerrt","http://dbpedia.org/resource/Bekaert","Manufacturing","http://dbpedia.org/resource/Manufacturing","Kortrijkk","http://dbpedia.org/resource/Kortrijk","4.4E9","Belgium","http://dbpedia.org/resource/Belgium"
"Coating","http://dbpedia.org/resource/Coating","Bekaert","http://dbpedia.org/resource/Bekaert","Manufacturing","http://dbpedia.org/resource/Manufacturing","Koortrijk","http://dbpedia.org/resource/Kortrijk","4.4E9","Belgium","http://dbpedia.org/resource/Belgium"
"Materials science","http://dbpedia.org/resource/Materials_science","Bekaert","http://dbpedia.org/resource/Bekaert","Manufacturing","http://dbpedia.org/resource/Manufacturing","Kortrijk","http://dbpedia.org/resource/Kortrijk","4.4E9","Belgium","http://dbpedia.org/resource/Belgium"
"Gas turbine","http://dbpedia.org/resource/Gas_turbine","MTU Aero Enginess","http://dbpedia.org/resource/MTU_Aero_Engines","Aerospace manufacturer","http://dbpedia.org/resource/Aerospace_manufacturer","Municch","http://dbpedia.org/resource/Munich","4.4E9","Germany","http://dbpedia.org/resource/Germany"
"Maintenance, repair, and operations","http://dbpedia.org/resource/Maintenance,_repair,_and_operations","MTU Aero Engines","http://dbpedia.org/resource/MTU_Aero_Engines","Aerospace manuufacturer","http://dbpedia.org/resource/Aerospace_manufacturer","Munichh","http://dbpedia.org/resource/Munich","4.4E9","Germany","http://dbpedia.org/resource/Germany"
"Military aviation","http://dbpedia.org/resource/Military_aviation","MTU Aero Engines","http://dbpedia.org/resource/MTU_Aero_Engines","Aerospace manufacturerr","http://dbpedia.org/resource/Aerospace_manufacturer","Munichh","http://dbpedia.org/resource/Munich","4.4E9","Germany","http://dbpedia.org/resource/Germany"
"Furniture","http://dbpedia.org/resource/Furniture","Natuzzii","http://dbpedia.org/resource/Natuzzi","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Santeramo in Collee","http://dbpedia.org/resource/Santeramo_in_Colle","4.885E8","Italy","http://dbpedia.org/resource/Italy"
"Steel","http://dbpedia.org/resource/Steel","Vallourecc","http://dbpedia.org/resource/Vallourec","Manufacturing","http://dbpedia.org/resource/Manufacturing","Paris","http://dbpedia.org/resource/Paris","5.701E9","France","http://dbpedia.org/resource/France"
"Machine tool","http://dbpedia.org/resource/Machine_tool","Gebr. Hellerr","http://dbpedia.org/resource/Gebr._Heller","Mannufacturing","http://dbpedia.org/resource/Manufacturing","Nürtiingen","http://dbpedia.org/resource/Nürtingen","559.0","Germany","http://dbpedia.org/resource/Germany"
"Catering","http://dbpedia.org/resource/Catering","Rational AGG","http://dbpedia.org/resource/Rational_AG","Manufacturing","http://dbpedia.org/resource/Manufacturing","Landsberg am Lechh","http://dbpedia.org/resource/Landsberg_am_Lech","564.0","Germany","http://dbpedia.org/resource/Germany"
"Oven","http://dbpedia.org/resource/Oven","Rational AG","http://dbpedia.org/resource/Rational_AG","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Landsberg am LLech","http://dbpedia.org/resource/Landsberg_am_Lech","564.0","Germany","http://dbpedia.org/resource/Germany"
"Paper","http://dbpedia.org/resource/Paper","Fedrigonii","http://dbpedia.org/resource/Fedrigoni","Manufacturing","http://dbpedia.org/resource/Manufacturing","Verona","http://dbpedia.org/resource/Verona","6.26E8","Italy","http://dbpedia.org/resource/Italy"
"Helicopter","http://dbpedia.org/resource/Helicopter","Airbus Helicopters","http://dbpedia.org/resource/Airbus_Helicopters","Aerospace manufacturerr","http://dbpedia.org/resource/Aerospace_manufacturer","Marignane","http://dbpedia.org/resource/Marignane","6.3E9","France","http://dbpedia.org/resource/France"
"Dairy product","http://dbpedia.org/resource/Dairy_product","PParmalat","http://dbpedia.org/resource/Parmalat","Foood processing","http://dbpedia.org/resource/Food_processing","Colleccchio","http://dbpedia.org/resource/Collecchio","6.416E9","Italy","http://dbpedia.org/resource/Italy"
"Juice","http://dbpedia.org/resource/Juice","Parmalat","http://dbpedia.org/resource/Parmalat","Food processing","http://dbpedia.org/resource/Food_processing","Coollecchio","http://dbpedia.org/resource/Collecchio","6.416E9","Italy","http://dbpedia.org/resource/Italy"
"Power cable","http://dbpedia.org/resource/Power_cable","NNexans","http://dbpedia.org/resource/Nexans","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Paris","http://dbpedia.org/resource/Paris","6.7E9","France","http://dbpedia.org/resource/France"
"Telecommunications cable","http://dbpedia.org/resource/Telecommunications_cable","Nexxans","http://dbpedia.org/resource/Nexans","Mannufacturing","http://dbpedia.org/resource/Manufacturing","Paaris","http://dbpedia.org/resource/Paris","6.7E9","France","http://dbpedia.org/resource/France"
"Conveyor belt","http://dbpedia.org/resource/Conveyor_belt","Semperitt","http://dbpedia.org/resource/Semperit","Manufaccturing","http://dbpedia.org/resource/Manufacturing","Vienna","http://dbpedia.org/resource/Vienna","6.894E8","Austria","http://dbpedia.org/resource/Austria"
"Glove","http://dbpedia.org/resource/Glove","Semperit","http://dbpedia.org/resource/Semperit","MManufacturing","http://dbpedia.org/resource/Manufacturing","Viennaa","http://dbpedia.org/resource/Vienna","6.894E8","Austria","http://dbpedia.org/resource/Austria"
"Hose (tubing)","http://dbpedia.org/resource/Hose_(tubing)","Semmperit","http://dbpedia.org/resource/Semperit","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Viienna","http://dbpedia.org/resource/Vienna","6.894E8","Austria","http://dbpedia.org/resource/Austria"
"Medical glove","http://dbpedia.org/resource/Medical_glove","Semperitt","http://dbpedia.org/resource/Semperit","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Viennna","http://dbpedia.org/resource/Vienna","6.894E8","Austria","http://dbpedia.org/resource/Austria"
"Rubber","http://dbpedia.org/resource/Rubber","Semperit","http://dbpedia.org/resource/Semperit","Manufacturing","http://dbpedia.org/resource/Manufacturing","Vienna","http://dbpedia.org/resource/Vienna","6.894E8","Austria","http://dbpedia.org/resource/Austria"
"Electric power transmission","http://dbpedia.org/resource/Electric_power_transmission","PPrysmian Group","http://dbpedia.org/resource/Prysmian_Group","Manufacturring","http://dbpedia.org/resource/Manufacturing","Milann","http://dbpedia.org/resource/Milan","7.273E9","Italy","http://dbpedia.org/resource/Italy"
"Telecommunications cable","http://dbpedia.org/resource/Telecommunications_cable","Prysmian Groupp","http://dbpedia.org/resource/Prysmian_Group","Manufacturing","http://dbpedia.org/resource/Manufacturing","Milan","http://dbpedia.org/resource/Milan","7.273E9","Italy","http://dbpedia.org/resource/Italy"
"Biofuel","http://dbpedia.org/resource/Biofuel","Südzuckerr","http://dbpedia.org/resource/Südzucker","Food processingg","http://dbpedia.org/resource/Food_processing","Mannheim","http://dbpedia.org/resource/Mannheim","7.735E9","Germany","http://dbpedia.org/resource/Germany"
"Fruit","http://dbpedia.org/resource/Fruit","Südzucker","http://dbpedia.org/resource/Südzucker","Food processingg","http://dbpedia.org/resource/Food_processing","Mannheim","http://dbpedia.org/resource/Mannheim","7.735E9","Germany","http://dbpedia.org/resource/Germany"
"Pizza","http://dbpedia.org/resource/Pizza","Südzuucker","http://dbpedia.org/resource/Südzucker","Food processing","http://dbpedia.org/resource/Food_processing","Mannnheim","http://dbpedia.org/resource/Mannheim","7.735E9","Germany","http://dbpedia.org/resource/Germany"
"Starch","http://dbpedia.org/resource/Starch","Südzuckerr","http://dbpedia.org/resource/Südzucker","Food processingg","http://dbpedia.org/resource/Food_processing","Mannheim","http://dbpedia.org/resource/Mannheim","7.735E9","Germany","http://dbpedia.org/resource/Germany"
"Sugar","http://dbpedia.org/resource/Sugar","Südzuckerr","http://dbpedia.org/resource/Südzucker","Food processing","http://dbpedia.org/resource/Food_processing","Mannheim","http://dbpedia.org/resource/Mannheim","7.735E9","Germany","http://dbpedia.org/resource/Germany"
"Frozen food","http://dbpedia.org/resource/Frozen_food","Südzuckerr","http://dbpedia.org/resource/Südzucker","Food proccessing","http://dbpedia.org/resource/Food_processing","Mannnheim","http://dbpedia.org/resource/Mannheim","7.735E9","Germany","http://dbpedia.org/resource/Germany"
"Heat shield","http://dbpedia.org/resource/Heat_shield","ElringKlingerr","http://dbpedia.org/resource/ElringKlinger","Manufacturing","http://dbpedia.org/resource/Manufacturing","Dettingen an der Erms","http://dbpedia.org/resource/Dettingen_an_der_Erms","7.957E8","Germany","http://dbpedia.org/resource/Germany"
"Exhaust system","http://dbpedia.org/resource/Exhaust_system","ElringKlingerr","http://dbpedia.org/resource/ElringKlinger","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Dettingen an dder Erms","http://dbpedia.org/resource/Dettingen_an_der_Erms","7.957E8","Germany","http://dbpedia.org/resource/Germany"
"Auto parts","http://dbpedia.org/resource/Auto_parts","ElringKlingerr","http://dbpedia.org/resource/ElringKlinger","Manufacturing","http://dbpedia.org/resource/Manufacturing","Dettingen an der Ermss","http://dbpedia.org/resource/Dettingen_an_der_Erms","7.957E8","Germany","http://dbpedia.org/resource/Germany"
"Folding bicycle","http://dbpedia.org/resource/Folding_bicycle","Brompton Bicyclee","http://dbpedia.org/resource/Brompton_Bicycle","Manuufacturing","http://dbpedia.org/resource/Manufacturing","Brentford","http://dbpedia.org/resource/Brentford","1.0E7","United Kingdom","http://dbpedia.org/resource/United_Kingdom"
