"Nation","Nation__URI","National anthem","National anthem__URI","Date adopted","Lyricist","Lyricist__URI","Composer","Composer__URI","Audio","Ref."
"Cameroon","http://dbpedia.org/resource/Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers""))","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","Dr Bernard Fonlon","http://dbpedia.org/resource/Bernard_Fonlon","René Djam Afamee","","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Canadaa","http://dbpedia.org/resource/Canada","""Ô Canada"" (""O Canada"")[b]]","http://dbpedia.org/resource/O_Canada","1980","Adolphe-Basile Routhier","http://dbpedia.org/resource/Adolphe-Basile_Routhier","Calixa Lavalllée","http://dbpedia.org/resource/Calixa_Lavallée","""O Canada""","[55][56][57]"
"Canada","http://dbpedia.org/resource/Canada","""Ô Canada"" (""O Canada"")[b]","http://dbpedia.org/resource/O_Canada","1980","Robert Stanley Weir","http://dbpedia.org/resource/Robert_Stanley_Weir","Calixa Lavalléee","http://dbpedia.org/resource/Calixa_Lavallée","""O Canada""","[55][56][57]"
"Cape Verde","http://dbpedia.org/resource/Cape_Verde","""Cântico da Liberdade"" (""Song of Freedom""))","http://dbpedia.org/resource/Cântico_da_Liberdade","1996","Amílcar Spencer Lopes","","Adalberto Higino Tavares Silvaa","","""Cântico da Liberdade""","[58]"
"Central African Republic","http://dbpedia.org/resource/Central_African_Republic","""La Renaissance"" (""The Rebirth""))","http://dbpedia.org/resource/La_Renaissance","1960","Barthélémy Boganda","http://dbpedia.org/resource/Barthélémy_Boganda","Herbert Pepper [fr]","","""La Renaissance""","[59]"
"Chaad","http://dbpedia.org/resource/Chad","""La Tchadienne"" (""People of Chad"")","http://dbpedia.org/resource/La_Tchadienne","1960","Louis Gidrol","http://dbpedia.org/resource/Louis_Gidrol","Paul Villard","","""La Tchadienne""","[60]"
"Chille","http://dbpedia.org/resource/Chile","""Himno Nacional de Chile"" (""National Anthem of Chile"")","http://dbpedia.org/resource/National_Anthem_of_Chile","1941","Eusebio Lillo","http://dbpedia.org/resource/Eusebio_Lillo","Ramón Carnicer","http://dbpedia.org/resource/Ramón_Carnicer","""Himno Nacional de Chile""","[61]"
"Chinaa","http://dbpedia.org/resource/China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers"")","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","1949","Tian Han","http://dbpedia.org/resource/Tian_Han","Nie Er","http://dbpedia.org/resource/Nie_Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"China","http://dbpedia.org/resource/China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers""))","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","1982","Tian Han","http://dbpedia.org/resource/Tian_Han","Nie Err","http://dbpedia.org/resource/Nie_Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"China","http://dbpedia.org/resource/China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Vollunteers"")","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","2004","Tian Han","http://dbpedia.org/resource/Tian_Han","Nie Er","http://dbpedia.org/resource/Nie_Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"Colombiaa","http://dbpedia.org/resource/Colombia","""Himno Nacional de la República de Colombia"" (""National Anthem of the Republic of Colombia""))","http://dbpedia.org/resource/National_Anthem_of_Colombia","1886","Rafael Núñez","http://dbpedia.org/resource/Rafael_Núñez_(politician)","Oreste Sindicii","http://dbpedia.org/resource/Oreste_Sindici","""Himno Nacional de la República de Colombia""","[63]"
"Comoros","http://dbpedia.org/resource/Comoros","""Udzimma wa ya Masiwa"" (""The Union of the Great Islands"")","http://dbpedia.org/resource/Udzima_wa_ya_Masiwa","1978","Said Hachim Sidi Abderemane","","Said Hachim Sidi Abderemanee","","""Udzima wa ya Masiwa""","[64]"
"Comoross","http://dbpedia.org/resource/Comoros","""Udzima wwa ya Masiwa"" (""The Union of the Great Islands"")","http://dbpedia.org/resource/Udzima_wa_ya_Masiwa","1978","Said Hachim Sidi Abderemane","","Kamildine Abdallahh","","""Udzima wa ya Masiwa""","[64]"
"Democratic Republic of the Congoo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","""Debout Congolais"" (""Arise Congolese""))","http://dbpedia.org/resource/Debout_Congolais","1960","Joseph Lutumba","http://dbpedia.org/resource/Joseph_Lutumba","Simon-Pierre Boka di Mpasi Londii","","""Debout Congolais""","[65]"
"Democratic Republic of the Congoo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","""Debout Congolais"" (""Arise Congolese""))","http://dbpedia.org/resource/Debout_Congolais","1997","Joseph Lutumba","http://dbpedia.org/resource/Joseph_Lutumba","Simon-Pierre Boka di Mpasi LLondi","","""Debout Congolais""","[65]"
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","""La Congolaise"" (""The Congolese"")","http://dbpedia.org/resource/La_Congolaise","1959","Jacques Tondra","","Jean Royerr","","""La Congolaise""","[66]"
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","""La Congolaise"" (""Thee Congolese"")","http://dbpedia.org/resource/La_Congolaise","1991","Jacques Tondra","","Jean Royerr","","""La Congolaise""","[66]"
"Republic of the Congoo","http://dbpedia.org/resource/Republic_of_the_Congo","""La Congolaise"" (""The Congolese""))","http://dbpedia.org/resource/La_Congolaise","1959","Georges Kibanghi","","Jean Royerr","","""La Congolaise""","[66]"
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","""La Congolaise"" (""The Congolese"")","http://dbpedia.org/resource/La_Congolaise","1991","Georges Kibanghi","","Jean Royer","","""La Congolaise""","[66]"
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","""La Congolaise"" (""The Congolese""))","http://dbpedia.org/resource/La_Congolaise","1959","Jacques Tondra","","Josseph Spadilière","","""La Congolaise""","[66]"
"Repubblic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","""La Congolaise"" (""The Congolese"")","http://dbpedia.org/resource/La_Congolaise","1991","Jacques Tondra","","Joseph Spadilière","","""La Congolaise""","[66]"
"Reepublic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","""La Congolaise"" (""The Congolese""))","http://dbpedia.org/resource/La_Congolaise","1959","Georges Kibanghi","","Joseph Spadilière","","""La Congolaise""","[66]"
"Republic of the Congoo","http://dbpedia.org/resource/Republic_of_the_Congo","""La Congolaise"" (""The Congolese""))","http://dbpedia.org/resource/La_Congolaise","1991","Georges Kibanghi","","Joseph Spadilièree","","""La Congolaise""","[66]"
"Costa Ricca","http://dbpedia.org/resource/Costa_Rica","""Himno Nacional de Costa Rica"" (""National Anthem of Costa Rica"")","http://dbpedia.org/resource/Noble_patria,_tu_hermosa_bandera","1853","José María Zeledón Brenes","http://dbpedia.org/resource/José_María_Zeledón_Brenes","Manuel María Gutiérrez","","""Himno Nacional de Costa Rica""","[67]"
"Croatiaa","http://dbpedia.org/resource/Croatia","""LLijepa naša domovino"" (""Our Beautiful Homeland"")[d]","http://dbpedia.org/resource/Lijepa_naša_domovino","1972","Antun Mihanović","http://dbpedia.org/resource/Antun_Mihanović","Josip Runjaninn","http://dbpedia.org/resource/Josip_Runjanin","""Lijepa naša domovino""","[68][69]"
"Cuba","http://dbpedia.org/resource/Cuba","""El Himno de Bayamo"" (""The Anthem of Bayamoo"")","http://dbpedia.org/resource/La_Bayamesa","1902","Perucho Figueredo","http://dbpedia.org/resource/Perucho_Figueredo","Perucho Figueredoo","http://dbpedia.org/resource/Perucho_Figueredo","""El Himno de Bayamo""","[70]"
"Cyprus","http://dbpedia.org/resource/Cyprus","""Ýmnos eis tīnn Eleutherían"" (""Hymn to Liberty"")[e][f]","http://dbpedia.org/resource/Hymn_to_Liberty","1960","Dionýsios Solomós","http://dbpedia.org/resource/Dionýsios_Solomós","Nikolaos Mantzaross","http://dbpedia.org/resource/Nikolaos_Mantzaros","""Ýmnos eis tīn Eleutherían""","[71]"
"Czech Republic","http://dbpedia.org/resource/Czech_Republic","""Kde domov můj"" (""Where My Home is"")[g]]","http://dbpedia.org/resource/Kde_domov_můj","1918","Josef Kajetán Tyl","http://dbpedia.org/resource/Josef_Kajetán_Tyl","František Škroupp","http://dbpedia.org/resource/František_Škroup","""Kde domov můj""","[72][73]"
"Denmark","http://dbpedia.org/resource/Denmark","""Kong Christian stod ved højen mast"" (""King Christian stood by the lofty mast"")[h]]","http://dbpedia.org/resource/Der_er_et_yndigt_land","1835","Adam Oehlenschläger","http://dbpedia.org/resource/Adam_Oehlenschläger","Hans Ernst  Krøyer","http://dbpedia.org/resource/Hans_Ernst_Krøyer","""Kong Christian stod ved højen mast""","[74]"
"Djiboutii","http://dbpedia.org/resource/Djibouti","""Djibouti""""","http://dbpedia.org/resource/Djibouti_(song)","1977","Aden Elmi","","Abdi Roobleh","","""Djibouti""","[75]"
"Dominica","http://dbpedia.org/resource/Dominica","""Isle of Beauty, Isle of Splendour""","http://dbpedia.org/resource/Isle_of_Beauty,_Isle_of_Splendour","1978","Wilfred Oscar Morgan Pond","","Lemuel McPherson Christian","","""Isle of Beauty, Isle of Splendour""","[76]"
"Dominican Republicc","http://dbpedia.org/resource/Dominican_Republic","""Himno Nacional"" (""National Anthem"")","http://dbpedia.org/resource/National_Anthem_of_the_Dominican_Republic","1934","Emilio Prud'Homme","http://dbpedia.org/resource/Emilio_Prud'Homme","José Rufino Reyes y Siancas","http://dbpedia.org/resource/José_Rufino_Reyes_y_Siancas","""Himno Nacional""","[77]"
"EEast Timor","http://dbpedia.org/resource/East_Timor","""Pátria"""" (""Fatherland"")","http://dbpedia.org/resource/Pátria","2002","Francisco Borja da Costa","http://dbpedia.org/resource/Francisco_Borja_da_Costa","Afonso de Araujo","","""Pátria""","[78]"
"Ecuador","http://dbpedia.org/resource/Ecuador","""Salve, Oh Patria"" (""We Salute You, Our Homeland""))","http://dbpedia.org/resource/Salve,_Oh_Patria","1948","Juan León Mera","http://dbpedia.org/resource/Juan_León_Mera","Antonio Neumanee","http://dbpedia.org/resource/Antonio_Neumane","""Salve, Oh Patria""","[79]"
"Egyptt","http://dbpedia.org/resource/Egypt","""Bilady, Bilady, Bilady"" (""My Country, My Country, My Country"")","http://dbpedia.org/resource/Bilady,_Bilady,_Bilady","1979","Mohamed Younis Al-Qady","","Sayed Darwishh","http://dbpedia.org/resource/Sayed_Darwish","""Bilady, Bilady, Bilady""","[80]"
"El Salvadorr","http://dbpedia.org/resource/El_Salvador","""Himno Nacional de El Salvador"" (""National Anthem of El Salvador""))","http://dbpedia.org/resource/National_Anthem_of_El_Salvador","1879","Juan José Cañas","http://dbpedia.org/resource/Juan_José_Cañas","Juan Aberlee","http://dbpedia.org/resource/Juan_Aberle","""Himno Nacional de El Salvador""","[81]"
"Equatorrial Guinea","http://dbpedia.org/resource/Equatorial_Guinea","""Caminemos pisando las sendas de nuestra inmensa felicidad"" (""Let Us Tread the Path of our Immense Happiness""))","http://dbpedia.org/resource/Caminemos_pisando_las_sendas_de_nuestra_inmensa_felicidad","1968","Atanasio Ndongo Miyone","http://dbpedia.org/resource/Atanasio_Ndongo_Miyone","Ramiro Sánchez Lopes","","""Caminemos pisando las sendas de nuestra inmensa felicidad""","[82]"
"Eritrrea","http://dbpedia.org/resource/Eritrea","""Ertra, Ertra, Ertra"" (""Eritrea, Eritrea, Eritrea""))","http://dbpedia.org/resource/Ertra,_Ertra,_Ertra","1993","Solomon Tsehaye Beraki","","Isaac Abraham Meharezghi","","""Ertra, Ertra, Ertra""","[83]"
"Eritreaa","http://dbpedia.org/resource/Eritrea","""Ertra, Ertra, Ertra"" (""""Eritrea, Eritrea, Eritrea"")","http://dbpedia.org/resource/Ertra,_Ertra,_Ertra","1993","Solomon Tsehaye Beraki","","Aron Tekle Tesfatsionn","","""Ertra, Ertra, Ertra""","[83]"
"Estoniaa","http://dbpedia.org/resource/Estonia","""Mu isamaa, mu õnnn ja rõõm"" (""My Fatherland, My Happiness and Joy"")","http://dbpedia.org/resource/Mu_isamaa,_mu_õnn_ja_rõõm","1920","Johann Voldemar Jannsen","http://dbpedia.org/resource/Johann_Voldemar_Jannsen","Fredrik Paciuss","http://dbpedia.org/resource/Fredrik_Pacius","""Mu isamaa, mu õnn ja rõõm""","[84][85]"
"Eswatinii","http://dbpedia.org/resource/Swaziland","""Nkulunkulu Mnikati wetibusiso temaSwati"" (""O Lord our God of the Swazi"")","http://dbpedia.org/resource/Nkulunkulu_Mnikati_wetibusiso_temaSwati","1968","Andrease Enoke Fanyana Simelane","","David Kenneth Rycroftt","","""Nkulunkulu Mnikati wetibusiso temaSwati""","[86]"
"Ethhiopia","http://dbpedia.org/resource/Ethiopia","""Wodefit Gesgeshi, Widd Innat Ityopp'ya"" (""March Forwaard, Dear Mother Ethiopia"")","http://dbpedia.org/resource/Wodefit_Gesgeshi,_Widd_Innat_Ityopp'ya","1992","Dereje Melaku Mengesha","","Solomon Lulu Mitiku","","""Wodefit Gesgeshi, Widd Innat Ityopp'ya""","[87][88]"
"Fiji","http://dbpedia.org/resource/Fiji","""Meda Dau Doka"" (""God Bless Fiji"")","http://dbpedia.org/resource/God_Bless_Fiji","1970","Michael Francis Alexander Prescott","","Charles Austin MMiles","http://dbpedia.org/resource/C._Austin_Miles","""Meda Dau Doka""","[89]"
"Fiinland","http://dbpedia.org/resource/Finland","Swedish: ""Vårt Land"" Finnish:""Maamme"" (""Our Land""))","http://dbpedia.org/resource/Maamme","1917","Johan Ludvig Runeberg (Swedish)","","Fredrik Pacius","http://dbpedia.org/resource/Fredrik_Pacius","""Maamme""","[90]"
"Finlannd","http://dbpedia.org/resource/Finland","Swedish: ""Vårt Land"" Finnish:""Maamme"" (""Our Land""))","http://dbpedia.org/resource/Maamme","1917","Paavo Cajander (Finnish)","","Fredrik Paciuss","http://dbpedia.org/resource/Fredrik_Pacius","""Maamme""","[90]"
"France","http://dbpedia.org/resource/France","""La MMarseillaise"" (""The Marseillaise"")","http://dbpedia.org/resource/La_Marseillaise","1795","Claude Joseph Rouget de Lisle","http://dbpedia.org/resource/Claude_Joseph_Rouget_de_Lisle","Clauude Joseph Rouget de Lisle","http://dbpedia.org/resource/Claude_Joseph_Rouget_de_Lisle","""La Marseillaise""","[10]"
"Gaboon","http://dbpedia.org/resource/Gabon","""La Concorde"" (""Concord"")","http://dbpedia.org/resource/La_Concorde","1960","Georges Aleka Damas","http://dbpedia.org/resource/Georges_Aleka_Damas","Georgges Aleka Damas","http://dbpedia.org/resource/Georges_Aleka_Damas","""La Concorde""","[91]"
"The  Gambia","http://dbpedia.org/resource/The_Gambia","""For The Gambia Our Homeland""","http://dbpedia.org/resource/For_The_Gambia_Our_Homeland","1965","Virginia Julie Howe","","Jeremy Frederick Howe","","""For The Gambia Our Homeland""","[92]"
"Georgia","http://dbpedia.org/resource/Georgia_(country)","""Tavisupleba"" (""Freedom"")","http://dbpedia.org/resource/Tavisupleba","2004","David Magradze","http://dbpedia.org/resource/David_Magradze","Zakaria Paliashvili","http://dbpedia.org/resource/Zakaria_Paliashvili","""Tavisupleda""","[93]"
"Germany","http://dbpedia.org/resource/Germany","""Lied der Deutschen"" (""Song of the Germans"")[j]","http://dbpedia.org/resource/Deutschlandlied","1922","August Heinrich Hoffmann von Fallersleben","http://dbpedia.org/resource/August_Heinrich_Hoffmann_von_Fallersleben","Joseph Haydnn","http://dbpedia.org/resource/Joseph_Haydn","""Einigkeit und Recht und Freiheit""","[94]"
"Ghana","http://dbpedia.org/resource/Ghana","""God Bless Our Homeland Ghana""","http://dbpedia.org/resource/God_Bless_Our_Homeland_Ghana","1957","Michael Kwame Gbordzoe","","Philip Gbehoo","http://dbpedia.org/resource/Philip_Gbeho","""God Bless Our Homeland Ghana""","[95]"
"Greece","http://dbpedia.org/resource/Greece","""Ýmnos eis tīn Eleutherían"" (""Hymn to Liberty"" or ""Hymn to Freedom"")[e]]","http://dbpedia.org/resource/Hymn_to_Liberty","1865","Dionýsios Solomós","http://dbpedia.org/resource/Dionýsios_Solomós","Nikolaos Mantzaros","http://dbpedia.org/resource/Nikolaos_Mantzaros","""Ýmnos eis tīn Eleutherían""","[96]"
"Grenadaa","http://dbpedia.org/resource/Grenada","""Hail Grenada""""","http://dbpedia.org/resource/Hail_Grenada","1974","Irva Merle Baptiste","","Louis Arnold Masanto","","""Hail Grenada""","[97]"
