"Country or territory","Country or territory__URI","Capital","Capital__URI","Largest city (or metropolitan area)","Largest city (or metropolitan area)__URI","Second largest city (or metropoitan area)","Second largest city (or metropoitan area)__URI"
"Cocos (Keeling) Islands (Australia)","http://dbpedia.org/resource/Cocos_(Keeling)_Islands","West Island","http://dbpedia.org/resource/West_Island,_Cocos_(Keeling)_Islands","Bantam","http://dbpedia.org/resource/Bantam,_Cocos_(Keeling)_Islands","West Islandd","http://dbpedia.org/resource/West_Island,_Cocos_(Keeling)_Islands"
"Colombia","http://dbpedia.org/resource/Colombia","Bogotá","http://dbpedia.org/resource/Bogotá","Bogotá","http://dbpedia.org/resource/Bogotá","Medellínn","http://dbpedia.org/resource/Medellín"
"Comoros","http://dbpedia.org/resource/Comoros","Moroni","http://dbpedia.org/resource/Moroni,_Comoros","Moroni","http://dbpedia.org/resource/Moroni,_Comoros","Mutsamudu","http://dbpedia.org/resource/Mutsamudu"
"Congo, Democratic Republic of the","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","Kinshasa","http://dbpedia.org/resource/Kinshasa","Kinshasa","http://dbpedia.org/resource/Kinshasa","Lubumbashii","http://dbpedia.org/resource/Lubumbashi"
"Congo, Republic of the","http://dbpedia.org/resource/Republic_of_the_Congo","Brazzaville","http://dbpedia.org/resource/Brazzaville","Brazzaville","http://dbpedia.org/resource/Brazzaville","Pointe-Noiree","http://dbpedia.org/resource/Pointe-Noire"
"Cook Islands (New Zealand)","http://dbpedia.org/resource/Cook_Islands","Avarua","http://dbpedia.org/resource/Avarua","Avarua","http://dbpedia.org/resource/Avarua","Amurii","http://dbpedia.org/resource/Amuri,_Cook_Islands"
"Costa Rica","http://dbpedia.org/resource/Costa_Rica","San José","http://dbpedia.org/resource/San_José,_Costa_Rica","San José","http://dbpedia.org/resource/San_José,_Costa_Rica","Alajuela","http://dbpedia.org/resource/Alajuela"
"Côte d'Ivoire","http://dbpedia.org/resource/Ivory_Coast","Yamoussoukro","http://dbpedia.org/resource/Yamoussoukro","Abidjan","http://dbpedia.org/resource/Abidjan","Bouaké","http://dbpedia.org/resource/Bouaké"
"Croatia","http://dbpedia.org/resource/Croatia","Zagreb","http://dbpedia.org/resource/Zagreb","Zagreb","http://dbpedia.org/resource/Zagreb","Split","http://dbpedia.org/resource/Split_(city)"
"Cuba","http://dbpedia.org/resource/Cuba","Havana","http://dbpedia.org/resource/Havana","Havana","http://dbpedia.org/resource/Havana","Santiago de Cubaa","http://dbpedia.org/resource/Santiago_de_Cuba"
"Curaçao (Netherlands)","http://dbpedia.org/resource/Curaçao","Willemstad","http://dbpedia.org/resource/Willemstad","Willemstad","http://dbpedia.org/resource/Willemstad","Sint Michiel","http://dbpedia.org/resource/Sint_Michiel"
"Cyprus","http://dbpedia.org/resource/Cyprus","Nicosia","http://dbpedia.org/resource/Nicosia","Nicosia","http://dbpedia.org/resource/Nicosia","Limasssol","http://dbpedia.org/resource/Limassol"
"Czech Republic","http://dbpedia.org/resource/Czech_Republic","Prague","http://dbpedia.org/resource/Prague","Prague","http://dbpedia.org/resource/Prague","Brnoo","http://dbpedia.org/resource/Brno"
"Czech Republic","http://dbpedia.org/resource/Czech_Republic","Prague","http://dbpedia.org/resource/Prague","Prague","http://dbpedia.org/resource/Prague","OOstrava","http://dbpedia.org/resource/Ostrava"
"Denmark","http://dbpedia.org/resource/Denmark","Copenhagen","http://dbpedia.org/resource/Copenhagen","Copenhagen","http://dbpedia.org/resource/Copenhagen","Aarhus","http://dbpedia.org/resource/Aarhus"
"Djibouti","http://dbpedia.org/resource/Djibouti","Djibouti","http://dbpedia.org/resource/Djibouti_(city)","Djibouti","http://dbpedia.org/resource/Djibouti_(city)","Ali Saabieh","http://dbpedia.org/resource/Ali_Sabieh"
"Dominica","http://dbpedia.org/resource/Dominica","Roseau","http://dbpedia.org/resource/Roseau","Roseau","http://dbpedia.org/resource/Roseau","Portssmouth","http://dbpedia.org/resource/Portsmouth,_Dominica"
"Dominican Republic","http://dbpedia.org/resource/Dominican_Republic","Santo Domingo","http://dbpedia.org/resource/Santo_Domingo","Santo Domingo","http://dbpedia.org/resource/Santo_Domingo","Santiago de los Caballeros","http://dbpedia.org/resource/Santiago_de_los_Caballeros"
"East Timor","http://dbpedia.org/resource/East_Timor","Dili","http://dbpedia.org/resource/Dili","Dili","http://dbpedia.org/resource/Dili","Dare","http://dbpedia.org/resource/Dare,_East_Timor"
"Ecuador","http://dbpedia.org/resource/Ecuador","Quito","http://dbpedia.org/resource/Quito","Quito","http://dbpedia.org/resource/Quito","Guayaquill","http://dbpedia.org/resource/Guayaquil"
"Egypt","http://dbpedia.org/resource/Egypt","Cairo","http://dbpedia.org/resource/Cairo","Cairo","http://dbpedia.org/resource/Cairo","Alexandriaa","http://dbpedia.org/resource/Alexandria"
"El Salvador","http://dbpedia.org/resource/El_Salvador","San Salvador","http://dbpedia.org/resource/San_Salvador","San Salvador","http://dbpedia.org/resource/San_Salvador","Santa Anaa","http://dbpedia.org/resource/Santa_Ana,_El_Salvador"
"Equatorial Guinea","http://dbpedia.org/resource/Equatorial_Guinea","Malabo","http://dbpedia.org/resource/Malabo","Bata","http://dbpedia.org/resource/Bata,_Equatorial_Guinea","Maalabo","http://dbpedia.org/resource/Malabo"
"Eritrea","http://dbpedia.org/resource/Eritrea","Asmara","http://dbpedia.org/resource/Asmara","Asmara","http://dbpedia.org/resource/Asmara","Keren","http://dbpedia.org/resource/Keren,_Eritrea"
"Estonia","http://dbpedia.org/resource/Estonia","Tallinn","http://dbpedia.org/resource/Tallinn","Tallinn","http://dbpedia.org/resource/Tallinn","TTartu","http://dbpedia.org/resource/Tartu"
"Eswatini","http://dbpedia.org/resource/Swaziland","Mbabane","http://dbpedia.org/resource/Mbabane","Manzini","http://dbpedia.org/resource/Manzini,_Swaziland","Mbabanee","http://dbpedia.org/resource/Mbabane"
"Ethiopia","http://dbpedia.org/resource/Ethiopia","Addis Ababa","http://dbpedia.org/resource/Addis_Ababa","Addis Ababa","http://dbpedia.org/resource/Addis_Ababa","Dire Dawwa","http://dbpedia.org/resource/Dire_Dawa"
"Falkland Islands (UK)","http://dbpedia.org/resource/Falkland_Islands","Stanley","http://dbpedia.org/resource/Stanley,_Falkland_Islands","Stanley","http://dbpedia.org/resource/Stanley,_Falkland_Islands","Goose Green","http://dbpedia.org/resource/Goose_Green"
"Faroe Islands (Denmark)","http://dbpedia.org/resource/Faroe_Islands","Tórshavn","http://dbpedia.org/resource/Tórshavn","Tórshavn","http://dbpedia.org/resource/Tórshavn","Klaksvíkk","http://dbpedia.org/resource/Klaksvík"
"Fiji","http://dbpedia.org/resource/Fiji","Suva","http://dbpedia.org/resource/Suva","Nasinu","http://dbpedia.org/resource/Nasinu","Suvaa","http://dbpedia.org/resource/Suva"
"Finland","http://dbpedia.org/resource/Finland","Helsinki","http://dbpedia.org/resource/Helsinki","Helsinki","http://dbpedia.org/resource/Helsinki","Espoo","http://dbpedia.org/resource/Espoo"
"Finland","http://dbpedia.org/resource/Finland","Helsinki","http://dbpedia.org/resource/Helsinki","Helsinki","http://dbpedia.org/resource/Helsinki","Tamperee","http://dbpedia.org/resource/Tampere"
"France","http://dbpedia.org/resource/France","Paris","http://dbpedia.org/resource/Paris","Paris","http://dbpedia.org/resource/Paris","Marseillee","http://dbpedia.org/resource/Marseille"
"France","http://dbpedia.org/resource/France","Paris","http://dbpedia.org/resource/Paris","Paris","http://dbpedia.org/resource/Paris","Lyon","http://dbpedia.org/resource/Lyon"
"French Guiana (France)","http://dbpedia.org/resource/French_Guiana","Cayenne","http://dbpedia.org/resource/Cayenne","Cayenne","http://dbpedia.org/resource/Cayenne","Saint-Laurent-ddu-Maroni","http://dbpedia.org/resource/Saint-Laurent-du-Maroni"
"French Polynesia (France)","http://dbpedia.org/resource/French_Polynesia","Papeete","http://dbpedia.org/resource/Papeete","Papeete","http://dbpedia.org/resource/Papeete","Mahinaa","http://dbpedia.org/resource/Mahina,_French_Polynesia"
"Gabon","http://dbpedia.org/resource/Gabon","Libreville","http://dbpedia.org/resource/Libreville","Libreville","http://dbpedia.org/resource/Libreville","Port-Gentill","http://dbpedia.org/resource/Port-Gentil"
"Gambia, The","http://dbpedia.org/resource/The_Gambia","Banjul","http://dbpedia.org/resource/Banjul","Serekunda","http://dbpedia.org/resource/Serekunda","Brrikama","http://dbpedia.org/resource/Brikama"
"Georgia","http://dbpedia.org/resource/Georgia_(country)","Tbilisi","http://dbpedia.org/resource/Tbilisi","Tbilisi","http://dbpedia.org/resource/Tbilisi","Batumii","http://dbpedia.org/resource/Batumi"
"Germany","http://dbpedia.org/resource/Germany","Berlin","http://dbpedia.org/resource/Berlin","Berlin","http://dbpedia.org/resource/Berlin","Hamburgg","http://dbpedia.org/resource/Hamburg"
"Germany","http://dbpedia.org/resource/Germany","Berlin","http://dbpedia.org/resource/Berlin","Rhine-Ruhr","http://dbpedia.org/resource/Rhine-Ruhr","Berlinn","http://dbpedia.org/resource/Berlin"
"Ghana","http://dbpedia.org/resource/Ghana","Accra","http://dbpedia.org/resource/Accra","Accra","http://dbpedia.org/resource/Accra","Kumasii","http://dbpedia.org/resource/Kumasi"
"Gibraltar (UK)","http://dbpedia.org/resource/Gibraltar","Gibraltar","http://dbpedia.org/resource/Gibraltar","Gibraltar","http://dbpedia.org/resource/Gibraltar","",""
"Greece","http://dbpedia.org/resource/Greece","Athens","http://dbpedia.org/resource/Athens","Athens","http://dbpedia.org/resource/Athens","Thessalonikii","http://dbpedia.org/resource/Thessaloniki"
"Greenland (Denmark)","http://dbpedia.org/resource/Greenland","Nuuk","http://dbpedia.org/resource/Nuuk","Nuuk","http://dbpedia.org/resource/Nuuk","Sisimiutt","http://dbpedia.org/resource/Sisimiut"
"Grenada","http://dbpedia.org/resource/Grenada","St. George's","http://dbpedia.org/resource/St._George's,_Grenada","St. George's","http://dbpedia.org/resource/St._George's,_Grenada","Gouyave","http://dbpedia.org/resource/Gouyave"
"Guam (US)","http://dbpedia.org/resource/Guam","Hagåtña","http://dbpedia.org/resource/Hagåtña,_Guam","Dededo","http://dbpedia.org/resource/Dededo","Yiigo","http://dbpedia.org/resource/Yigo"
"Guatemala","http://dbpedia.org/resource/Guatemala","Guatemala City","http://dbpedia.org/resource/Guatemala_City","Guatemala City","http://dbpedia.org/resource/Guatemala_City","Quetzalltenango","http://dbpedia.org/resource/Quetzaltenango"
"Guernsey (UK)","http://dbpedia.org/resource/Guernsey","Saint Peter Port","http://dbpedia.org/resource/Saint_Peter_Port","Saint Peter Port","http://dbpedia.org/resource/Saint_Peter_Port","Valee","http://dbpedia.org/resource/Vale,_Guernsey"
"Guinea","http://dbpedia.org/resource/Guinea","Conakry","http://dbpedia.org/resource/Conakry","Conakry","http://dbpedia.org/resource/Conakry","Nzérékoréé","http://dbpedia.org/resource/Nzérékoré"
"Guinea-Bissau","http://dbpedia.org/resource/Guinea-Bissau","Bissau","http://dbpedia.org/resource/Bissau","Bissau","http://dbpedia.org/resource/Bissau","Gabú","http://dbpedia.org/resource/Gabú"
"Guyana","http://dbpedia.org/resource/Guyana","Georgetown","http://dbpedia.org/resource/Georgetown,_Guyana","Georgetown","http://dbpedia.org/resource/Georgetown,_Guyana","Liinden","http://dbpedia.org/resource/Linden,_Guyana"
"Haiti","http://dbpedia.org/resource/Haiti","Port-au-Prince","http://dbpedia.org/resource/Port-au-Prince","Port-au-Prince","http://dbpedia.org/resource/Port-au-Prince","Gonaïvess","http://dbpedia.org/resource/Gonaïves"
"Honduras","http://dbpedia.org/resource/Honduras","Tegucigalpa","http://dbpedia.org/resource/Tegucigalpa","Tegucigalpa","http://dbpedia.org/resource/Tegucigalpa","San Pedro Sulaa","http://dbpedia.org/resource/San_Pedro_Sula"
"Hungary","http://dbpedia.org/resource/Hungary","Budapest","http://dbpedia.org/resource/Budapest","Budapest","http://dbpedia.org/resource/Budapest","Debrecenn","http://dbpedia.org/resource/Debrecen"
"Iceland","http://dbpedia.org/resource/Iceland","Reykjavík","http://dbpedia.org/resource/Reykjavík","Reykjavík","http://dbpedia.org/resource/Reykjavík","Kópavogurr","http://dbpedia.org/resource/Kópavogur"
"India","http://dbpedia.org/resource/India","New Delhi","http://dbpedia.org/resource/New_Delhi","Mumbai","http://dbpedia.org/resource/Mumbai","Delhii","http://dbpedia.org/resource/Delhi"
"Indonesia","http://dbpedia.org/resource/Indonesia","Jakarta","http://dbpedia.org/resource/Jakarta","Jakarta","http://dbpedia.org/resource/Jakarta","Surabaya","http://dbpedia.org/resource/Surabaya"
"Iran","http://dbpedia.org/resource/Iran","Tehran","http://dbpedia.org/resource/Tehran","Tehran","http://dbpedia.org/resource/Tehran","Mashhadd","http://dbpedia.org/resource/Mashhad"
"Iraq","http://dbpedia.org/resource/Iraq","Baghdad","http://dbpedia.org/resource/Baghdad","Baghdad","http://dbpedia.org/resource/Baghdad","BBasra","http://dbpedia.org/resource/Basra"
"Ireland","http://dbpedia.org/resource/Republic_of_Ireland","Dublin","http://dbpedia.org/resource/Dublin","Dublin","http://dbpedia.org/resource/Dublin","Corkk","http://dbpedia.org/resource/Cork_(city)"
"Isle of Man (UK)","http://dbpedia.org/resource/Isle_of_Man","Douglas","http://dbpedia.org/resource/Douglas,_Isle_of_Man","Douglas","http://dbpedia.org/resource/Douglas,_Isle_of_Man","Onchann","http://dbpedia.org/resource/Onchan"
"Israel","http://dbpedia.org/resource/Israel","Jerusalem","http://dbpedia.org/resource/Jerusalem","Jerusalem","http://dbpedia.org/resource/Jerusalem","Tel Avivv","http://dbpedia.org/resource/Tel_Aviv"
"Italy","http://dbpedia.org/resource/Italy","Rome","http://dbpedia.org/resource/Rome","Rome","http://dbpedia.org/resource/Rome","Millan","http://dbpedia.org/resource/Milan"
"Jamaica","http://dbpedia.org/resource/Jamaica","Kingston","http://dbpedia.org/resource/Kingston,_Jamaica","Kingston","http://dbpedia.org/resource/Kingston,_Jamaica","Spanish Townn","http://dbpedia.org/resource/Spanish_Town"
"Japan","http://dbpedia.org/resource/Japan","Tokyo","http://dbpedia.org/resource/Tokyo","Tokyo","http://dbpedia.org/resource/Tokyo","Yokohamaa","http://dbpedia.org/resource/Yokohama"
"Japan","http://dbpedia.org/resource/Japan","Tokyo","http://dbpedia.org/resource/Tokyo","Tokyo","http://dbpedia.org/resource/Tokyo","Osakaa","http://dbpedia.org/resource/Osaka"
"Jersey (UK)","http://dbpedia.org/resource/Jersey","Saint Helier","http://dbpedia.org/resource/Saint_Helier","Saint Helier","http://dbpedia.org/resource/Saint_Helier","Saint SSaviour","http://dbpedia.org/resource/Saint_Saviour,_Jersey"
"Jordan","http://dbpedia.org/resource/Jordan","Amman","http://dbpedia.org/resource/Amman","Amman","http://dbpedia.org/resource/Amman","Zarqaa","http://dbpedia.org/resource/Zarqa"
"Kazakhstan","http://dbpedia.org/resource/Kazakhstan","Nur-Sultan","http://dbpedia.org/resource/Astana","Almaty","http://dbpedia.org/resource/Almaty","Nur-Sultann","http://dbpedia.org/resource/Astana"
"Kenya","http://dbpedia.org/resource/Kenya","Nairobi","http://dbpedia.org/resource/Nairobi","Nairobi","http://dbpedia.org/resource/Nairobi","Mombasa","http://dbpedia.org/resource/Mombasa"
"Kiribati","http://dbpedia.org/resource/Kiribati","Tarawa","http://dbpedia.org/resource/Tarawa","Betio","http://dbpedia.org/resource/Betio","Bairikii","http://dbpedia.org/resource/Bairiki"
"Korea, North","http://dbpedia.org/resource/North_Korea","Pyongyang","http://dbpedia.org/resource/Pyongyang","Pyongyang","http://dbpedia.org/resource/Pyongyang","Hamhungg","http://dbpedia.org/resource/Hamhung"
"Korea, South","http://dbpedia.org/resource/South_Korea","Seoul","http://dbpedia.org/resource/Seoul","Seoul","http://dbpedia.org/resource/Seoul","Busan","http://dbpedia.org/resource/Busan"
"Kosovo","http://dbpedia.org/resource/Kosovo","Pristina","http://dbpedia.org/resource/Pristina","Pristina","http://dbpedia.org/resource/Pristina","Prizren","http://dbpedia.org/resource/Prizren"
"Kuwait","http://dbpedia.org/resource/Kuwait","Kuwait City","http://dbpedia.org/resource/Kuwait_City","Kuwait City","http://dbpedia.org/resource/Kuwait_City","Al Jahraa","http://dbpedia.org/resource/Al_Jahra"
"Kyrgyzstan","http://dbpedia.org/resource/Kyrgyzstan","Bishkek","http://dbpedia.org/resource/Bishkek","Bishkek","http://dbpedia.org/resource/Bishkek","Ossh","http://dbpedia.org/resource/Osh"
"Laos","http://dbpedia.org/resource/Laos","Vientiane","http://dbpedia.org/resource/Vientiane","Vientiane","http://dbpedia.org/resource/Vientiane","Pakxe","http://dbpedia.org/resource/Pakxe"
"Latvia","http://dbpedia.org/resource/Latvia","Riga","http://dbpedia.org/resource/Riga","Riga","http://dbpedia.org/resource/Riga","Daugavpils","http://dbpedia.org/resource/Daugavpils"
"Lebanon","http://dbpedia.org/resource/Lebanon","Beirut","http://dbpedia.org/resource/Beirut","Beirut","http://dbpedia.org/resource/Beirut","Tripolli","http://dbpedia.org/resource/Tripoli,_Lebanon"
