"Rank","Airport","Airport__URI","Location","Location__URI","Code (IATA/ICAO)","Total Passengers","Rank Change","% Change"
"11.","Madrid-Barajas Airport","http://dbpedia.org/resource/Madrid–Barajas_Airport","Madrid, Comunidad de Madrid, Spain","http://dbpedia.org/resource/Madrid","MAD/LEMD","48,250,784","","5.1%"
"12.","John F. Kennedy International Airport","http://dbpedia.org/resource/John_F._Kennedy_International_Airport","Queens, New York City, New York, United States","http://dbpedia.org/resource/Queens","JFK/KJFK","45,915,069","1","3.9%"
"13.","Hong Kong International Airport","http://dbpedia.org/resource/Hong_Kong_International_Airport","Chek Lap Kok, Hong Kong, China","http://dbpedia.org/resource/Chek_Lap_Kok","HKG/VHHH","45,558,807","1","4.8%"
"14.","Amsterdam Airport Schiphol","http://dbpedia.org/resource/Amsterdam_Airport_Schiphol","Haarlemmermeer, North Holland, Netherlands","http://dbpedia.org/resource/Haarlemmermeer","AMS/EHAM","43,570,370","","8.1%"
"15.","Dubai International Airport","http://dbpedia.org/resource/Dubai_International_Airport","Garhoud, Dubai, United Arab Emirates","http://dbpedia.org/resource/Al_Garhoud","DXB/OMDB","40,901,752","5","9.2%"
"16.","Suvarnabhumi Airport","http://dbpedia.org/resource/Suvarnabhumi_Airport","Racha Thewa, Bang Phli, Samut Prakan, Greater Bangkok, Thailand","http://dbpedia.org/resource/Racha_Thewa","BKK/VTBS","40,500,224","2","4.9%"
"17.","McCarran International Airport","http://dbpedia.org/resource/McCarran_International_Airport","Las Vegas, Nevada, United States","http://dbpedia.org/resource/Las_Vegas","LAS/KLAS","40,469,012","2","6.3%"
"18.","George Bush Intercontinental Airport","http://dbpedia.org/resource/George_Bush_Intercontinental_Airport","Houston, Texas, United States","http://dbpedia.org/resource/Houston","IAH/KIAH","40,007,354","2","4.1%"
"19.","Phoenix Sky Harbor International Airport","http://dbpedia.org/resource/Phoenix_Sky_Harbor_International_Airport","Phoenix, Arizona, United States","http://dbpedia.org/resource/Phoenix,_Arizona","PHX/KPHX","37,824,982","2","5.2%"
"20.","San Francisco International Airport","http://dbpedia.org/resource/San_Francisco_International_Airport","San Mateo County, California, United States","http://dbpedia.org/resource/San_Mateo_County,_California","SFO/KSFO","37,338,942","1","0.3%"
"21.","Singapore Changi Airport","http://dbpedia.org/resource/Singapore_Changi_Airport","Changi, East Region, Singapore","http://dbpedia.org/resource/Changi","SIN/WSSS","37,203,978","2","1.3%"
"22.","Soekarno-Hatta International Airport","http://dbpedia.org/resource/Soekarno–Hatta_International_Airport","Cengkareng, Jakarta, Java, Indonesia","http://dbpedia.org/resource/Cengkareng","CGK/WIII","37,143,719","14","15.2%"
"23.","Guangzhou Baiyun International Airport","http://dbpedia.org/resource/Guangzhou_Baiyun_International_Airport","Huadu District, Guangzhou, Guangdong, China","http://dbpedia.org/resource/Huadu_District","CAN/ZGGG","37,048,712","9","10.8%"
"24.","Charlotte Douglas International Airport","http://dbpedia.org/resource/Charlotte_Douglas_International_Airport","Charlotte, North Carolina, United States","http://dbpedia.org/resource/Charlotte,_North_Carolina","CLT/KCLT","34,536,666","2","0.6%"
"25.","Miami International Airport","http://dbpedia.org/resource/Miami_International_Airport","Miami-Dade County, Florida, United States","http://dbpedia.org/resource/Miami-Dade_County,_Florida","MIA/KMIA","33,886,025","4","0.5%"
"26.","Leonardo da Vinci Airport","http://dbpedia.org/resource/Leonardo_da_Vinci–Fiumicino_Airport","Fiumicino, Rome, Italy","http://dbpedia.org/resource/Fiumicino","FCO/LIRF","33,723,213","1","4.0%"
"27.","Orlando International Airport","http://dbpedia.org/resource/Orlando_International_Airport","Orlando, Florida, United States","http://dbpedia.org/resource/Orlando,_Florida","MCO/KMCO","33,693,649","5","5.5%"
"28.","Sydney Airport","http://dbpedia.org/resource/Sydney_Airport","Sydney, New South Wales, Australia","http://dbpedia.org/resource/Sydney","SYD/YSSY","33,451,383","5","0.4%"
"29.","Newark Liberty International Airport","http://dbpedia.org/resource/Newark_Liberty_International_Airport","Newark, New Jersey, United States","http://dbpedia.org/resource/Newark,_New_Jersey","EWR/KEWR","33,399,207","6","5.5%"
"30.","Munich Airport","http://dbpedia.org/resource/Munich_Airport","Munich, Bavaria, Germany","http://dbpedia.org/resource/Munich","MUC/EDDM","32,681,067","3","5.4%"
"31.","London Gatwick Airport","http://dbpedia.org/resource/Gatwick_Airport","Crawley, West Sussex, England, United Kingdom","http://dbpedia.org/resource/Crawley","LGW/EGKK","32,398,979","3","5.3%"
"32.","Minneapolis-Saint Paul International Airport","http://dbpedia.org/resource/Minneapolis–Saint_Paul_International_Airport","Fort Snelling, Minnesota, United States","http://dbpedia.org/resource/Fort_Snelling","MSP/KMSP","32,378,599","2","4.9%"
"33.","Narita International Airport","http://dbpedia.org/resource/Narita_International_Airport","Narita, Chiba, Japan","http://dbpedia.org/resource/Narita,_Chiba","NRT/RJAA","32,135,191","2","4.0%"
"34.","Shanghai Pudong International Airport","http://dbpedia.org/resource/Shanghai_Pudong_International_Airport","Pudong, Shanghai, China","http://dbpedia.org/resource/Pudong","PVG/ZSPD","32,102,549","6","13.7%"
"35.","Detroit Metropolitan Wayne County Airport","http://dbpedia.org/resource/Detroit_Metropolitan_Wayne_County_Airport","Detroit, Michigan, United States","http://dbpedia.org/resource/Detroit","DTW/KDTW","31,357,388","11","10.8%"
"36.","Seattle-Tacoma International Airport","http://dbpedia.org/resource/Seattle–Tacoma_International_Airport","Seattle, Washington, United States","http://dbpedia.org/resource/Seattle","SEA/KSEA","31,227,512","1","3.0%"
"37.","Philadelphia International Airport","http://dbpedia.org/resource/Philadelphia_International_Airport","Philadelphia, Pennsylvania, United States","http://dbpedia.org/resource/Philadelphia","PHL/KPHI","30,669,564","","3.7%"
"38.","Toronto Pearson International Airport","http://dbpedia.org/resource/Toronto_Pearson_International_Airport","Mississauga, Ontario, Canada","http://dbpedia.org/resource/Mississauga","YYZ/CYYZ","30,368,339","4","6.1%"
"39.","Atat?rk International Airport","http://dbpedia.org/resource/Istanbul_Atatürk_Airport","Yeşilköy, Istanbul, Turkey","http://dbpedia.org/resource/Yeşilköy","IST/LTBA","29,854,119","3","4.3%"
"40.","Kuala Lumpur International Airport","http://dbpedia.org/resource/Kuala_Lumpur_International_Airport","Sepang, Selangor, Malaysia","http://dbpedia.org/resource/Sepang_District","KUL/WMKK","29,682,093","1","7.8%"
"41.","Seoul Incheon International Airport","http://dbpedia.org/resource/Incheon_International_Airport","Incheon, Republic of Korea","http://dbpedia.org/resource/Incheon","ICN/RKSI","28,677,161","2","4.9%"
"42.","Barcelona Airport","http://dbpedia.org/resource/Barcelona–El_Prat_Airport","Barcelona, Catalonia, Spain","http://dbpedia.org/resource/Barcelona","BCN/LEBL","27,301,662","4","9.8%"
"43.","Logan International Airport","http://dbpedia.org/resource/Logan_International_Airport","Boston, Massachusetts, United States","http://dbpedia.org/resource/Boston","BOS/KBOS","25,512,086","2","2.3%"
"44.","Indira Gandhi International Airport","http://dbpedia.org/resource/Indira_Gandhi_International_Airport","Delhi, India","http://dbpedia.org/resource/Delhi","DEL/VIDP","25,252,814","6","8.6%"
"45.","Melbourne Airport","http://dbpedia.org/resource/Melbourne_Airport","Melbourne, Victoria, Australia","http://dbpedia.org/resource/Melbourne","MEL/YMML","25,248,762","1","1.4%"
"46.","Paris-Orly Airport","http://dbpedia.org/resource/Orly_Airport","Orly, France","http://dbpedia.org/resource/Orly","ORY/LFPO","25,107,693","2","4.2%"
"47.","Shanghai Hongqiao International Airport","http://dbpedia.org/resource/Shanghai_Hongqiao_International_Airport","Changning District, Shanghai, China","http://dbpedia.org/resource/Changning_District","SHA/ZSSS","25,078,548","?","9.6%"
"48.","Chhatrapati Shivaji International Airport","http://dbpedia.org/resource/Chhatrapati_Shivaji_International_Airport","Mumbai, Maharashtra, India","http://dbpedia.org/resource/Mumbai","BOM/VABB","24,804,766","1","1.9%"
"49.","Shenzhen Bao'an International Airport","http://dbpedia.org/resource/Shenzhen_Bao'an_International_Airport","Bao'an District, Shenzhen, Guangdong, China","http://dbpedia.org/resource/Bao'an_District","SZX/ZGSZ","24,486,406","?","14.4%"
"50.","Mexico City International Airport","http://dbpedia.org/resource/Benito_Juárez_International_Airport","Mexico City, Mexico","http://dbpedia.org/resource/Mexico_City","MEX/MMMX","24,243,056","7","7.5%"
