"Country or territory","Country or territory__URI","Capital","Capital__URI","Largest city (or metropolitan area)","Largest city (or metropolitan area)__URI","Second largest city (or metropoitan area)","Second largest city (or metropoitan area)__URI","Source"
"Belize","http://dbpedia.org/resource/Belize","Belmopan","http://dbpedia.org/resource/Belmopan","Belize Cityy","http://dbpedia.org/resource/Belize_City","San Ignacio","http://dbpedia.org/resource/San_Ignacio_(town)","[20]"
"Benin","http://dbpedia.org/resource/Benin","Porto-Novo","http://dbpedia.org/resource/Porto-Novo","Cotoonouu","http://dbpedia.org/resource/Cotonou","Abomey-Calavi","http://dbpedia.org/resource/Abomey-Calavi","[21]"
"Bermuda (UK)","http://dbpedia.org/resource/Bermuda","Hamilton","http://dbpedia.org/resource/Hamilton,_Bermuda","St. George'ss","http://dbpedia.org/resource/St._George's,_Bermuda","Hamilton","http://dbpedia.org/resource/Hamilton,_Bermuda","[22]"
"Bhutan","http://dbpedia.org/resource/Bhutan","Thimphu","http://dbpedia.org/resource/Thimphu","Thimphuu","http://dbpedia.org/resource/Thimphu","Phuntsholing","http://dbpedia.org/resource/Phuntsholing","[23]"
"Bolivia","http://dbpedia.org/resource/Bolivia","Sucre","http://dbpedia.org/resource/Sucre","Santa Cruuz de lla Sierra","http://dbpedia.org/resource/Santa_Cruz_de_la_Sierra","El Alto","http://dbpedia.org/resource/El_Alto","[24]"
"Bolivia","http://dbpedia.org/resource/Bolivia","La Paz","http://dbpedia.org/resource/La_Paz","Santa Cruz de la Sierraa","http://dbpedia.org/resource/Santa_Cruz_de_la_Sierra","El Alto","http://dbpedia.org/resource/El_Alto","[24]"
"Bosnia and Herzegovina","http://dbpedia.org/resource/Bosnia_and_Herzegovina","Sarajevo","http://dbpedia.org/resource/Sarajevo","Sarajevoo","http://dbpedia.org/resource/Sarajevo","Banja Luka","http://dbpedia.org/resource/Banja_Luka","[25]"
"Botswana","http://dbpedia.org/resource/Botswana","Gaborone","http://dbpedia.org/resource/Gaborone","Gaborronee","http://dbpedia.org/resource/Gaborone","Francistown","http://dbpedia.org/resource/Francistown","[26]"
"Brazil","http://dbpedia.org/resource/Brazil","Brasília","http://dbpedia.org/resource/Brasília","São Pauloo","http://dbpedia.org/resource/São_Paulo","Rio de Janeiro","http://dbpedia.org/resource/Rio_de_Janeiro","[27]"
"Brunei","http://dbpedia.org/resource/Brunei","Bandar Seri Begawan","http://dbpedia.org/resource/Bandar_Seri_Begawan","Bandar Seri Begawann","http://dbpedia.org/resource/Bandar_Seri_Begawan","Kuala Belait","http://dbpedia.org/resource/Kuala_Belait","[28]"
"Bulgaria","http://dbpedia.org/resource/Bulgaria","Sofia","http://dbpedia.org/resource/Sofia","Sofia","http://dbpedia.org/resource/Sofia","Plovdiv","http://dbpedia.org/resource/Plovdiv","[29]"
"Burkina Faso","http://dbpedia.org/resource/Burkina_Faso","Ouagadougou","http://dbpedia.org/resource/Ouagadougou","Ouagadouggou","http://dbpedia.org/resource/Ouagadougou","Bobo-Dioulasso","http://dbpedia.org/resource/Bobo-Dioulasso","[30]"
"Burundi","http://dbpedia.org/resource/Burundi","Gitega","http://dbpedia.org/resource/Gitega","Bujumbuura","http://dbpedia.org/resource/Bujumbura","Muyinga","http://dbpedia.org/resource/Muyinga","[31]"
"Cambodia","http://dbpedia.org/resource/Cambodia","Phnom Penh","http://dbpedia.org/resource/Phnom_Penh","Phnom Penhh","http://dbpedia.org/resource/Phnom_Penh","Siem Reap","http://dbpedia.org/resource/Siem_Reap","[32]"
"Cameroon","http://dbpedia.org/resource/Cameroon","Yaoundé","http://dbpedia.org/resource/Yaoundé","Douala","http://dbpedia.org/resource/Douala","Yaoundé","http://dbpedia.org/resource/Yaoundé","[33]"
"Canada","http://dbpedia.org/resource/Canada","Ottawa","http://dbpedia.org/resource/Ottawa","Torontoo","http://dbpedia.org/resource/Toronto","Montreal","http://dbpedia.org/resource/Montreal","[34]"
"Cape Verde","http://dbpedia.org/resource/Cape_Verde","Praia","http://dbpedia.org/resource/Praia","Praiaaa","http://dbpedia.org/resource/Praia","Mindelo","http://dbpedia.org/resource/Mindelo","[35]"
"Cayman Islands (UK)","http://dbpedia.org/resource/Cayman_Islands","George Town","http://dbpedia.org/resource/George_Town,_Cayman_Islands","George Townn","http://dbpedia.org/resource/George_Town,_Cayman_Islands","Bodden Town","http://dbpedia.org/resource/Bodden_Town_(village)","[36]"
"Central African Republic","http://dbpedia.org/resource/Central_African_Republic","Bangui","http://dbpedia.org/resource/Bangui","BBangui","http://dbpedia.org/resource/Bangui","Bimbo","http://dbpedia.org/resource/Bimbo,_Central_African_Republic","[37]"
"Chad","http://dbpedia.org/resource/Chad","N'Djamena","http://dbpedia.org/resource/N'Djamena","N'Djamenaa","http://dbpedia.org/resource/N'Djamena","Moundou","http://dbpedia.org/resource/Moundou","[38]"
"Chile","http://dbpedia.org/resource/Chile","Santiago","http://dbpedia.org/resource/Santiago,_Chile","Santiagoo","http://dbpedia.org/resource/Santiago,_Chile","Puente Alto","http://dbpedia.org/resource/Puente_Alto","[39][40]"
"China, People's Republic of","http://dbpedia.org/resource/China","Beijing","http://dbpedia.org/resource/Beijing","Shanghai","http://dbpedia.org/resource/Shanghai","Beijing","http://dbpedia.org/resource/Beijing","[41]"
"Christmas Island (Australia)","http://dbpedia.org/resource/Christmas_Island","Flying Fish Cove","http://dbpedia.org/resource/Flying_Fish_Cove","Flying Fish Covee","http://dbpedia.org/resource/Flying_Fish_Cove","Poon Saan","http://dbpedia.org/resource/Poon_Saan",""
"Cocos (Keeling) Islands (Australia)","http://dbpedia.org/resource/Cocos_(Keeling)_Islands","West Island","http://dbpedia.org/resource/West_Island,_Cocos_(Keeling)_Islands","Bantamm","http://dbpedia.org/resource/Bantam,_Cocos_(Keeling)_Islands","West Island","http://dbpedia.org/resource/West_Island,_Cocos_(Keeling)_Islands",""
"Colombia","http://dbpedia.org/resource/Colombia","Bogotá","http://dbpedia.org/resource/Bogotá","Boogotá","http://dbpedia.org/resource/Bogotá","Medellín","http://dbpedia.org/resource/Medellín","[42]"
"Comoros","http://dbpedia.org/resource/Comoros","Moroni","http://dbpedia.org/resource/Moroni,_Comoros","Moronii","http://dbpedia.org/resource/Moroni,_Comoros","Mutsamudu","http://dbpedia.org/resource/Mutsamudu","[43]"
"Congo, Democratic Republic of the","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","Kinshasa","http://dbpedia.org/resource/Kinshasa","Kinnshasaa","http://dbpedia.org/resource/Kinshasa","Lubumbashi","http://dbpedia.org/resource/Lubumbashi","[44]"
"Congo, Republic of the","http://dbpedia.org/resource/Republic_of_the_Congo","Brazzaville","http://dbpedia.org/resource/Brazzaville","BBrazzavillee","http://dbpedia.org/resource/Brazzaville","Pointe-Noire","http://dbpedia.org/resource/Pointe-Noire","[45]"
"Cook Islands (New Zealand)","http://dbpedia.org/resource/Cook_Islands","Avarua","http://dbpedia.org/resource/Avarua","Avaruaa","http://dbpedia.org/resource/Avarua","Amuri","http://dbpedia.org/resource/Amuri,_Cook_Islands","[46]"
"Costa Rica","http://dbpedia.org/resource/Costa_Rica","San José","http://dbpedia.org/resource/San_José,_Costa_Rica","San Joosé","http://dbpedia.org/resource/San_José,_Costa_Rica","Alajuela","http://dbpedia.org/resource/Alajuela","[47]"
"Côte d'Ivoire","http://dbpedia.org/resource/Ivory_Coast","Yamoussoukro","http://dbpedia.org/resource/Yamoussoukro","Abidjannn","http://dbpedia.org/resource/Abidjan","Bouaké","http://dbpedia.org/resource/Bouaké","[48]"
"Croatia","http://dbpedia.org/resource/Croatia","Zagreb","http://dbpedia.org/resource/Zagreb","Zaggreb","http://dbpedia.org/resource/Zagreb","Split","http://dbpedia.org/resource/Split_(city)","[49]"
"Cuba","http://dbpedia.org/resource/Cuba","Havana","http://dbpedia.org/resource/Havana","Havanaa","http://dbpedia.org/resource/Havana","Santiago de Cuba","http://dbpedia.org/resource/Santiago_de_Cuba","[50]"
"Curaçao (Netherlands)","http://dbpedia.org/resource/Curaçao","Willemstad","http://dbpedia.org/resource/Willemstad","Willemstadd","http://dbpedia.org/resource/Willemstad","Sint Michiel","http://dbpedia.org/resource/Sint_Michiel","[51]"
"Cyprus","http://dbpedia.org/resource/Cyprus","Nicosia","http://dbpedia.org/resource/Nicosia","Nicosiaa","http://dbpedia.org/resource/Nicosia","Limassol","http://dbpedia.org/resource/Limassol","[52]"
"Czech Republic","http://dbpedia.org/resource/Czech_Republic","Prague","http://dbpedia.org/resource/Prague","Pragueee","http://dbpedia.org/resource/Prague","Brno","http://dbpedia.org/resource/Brno","[53][54]"
"Czech Republic","http://dbpedia.org/resource/Czech_Republic","Prague","http://dbpedia.org/resource/Prague","Praguee","http://dbpedia.org/resource/Prague","Ostrava","http://dbpedia.org/resource/Ostrava","[53][54]"
"Denmark","http://dbpedia.org/resource/Denmark","Copenhagen","http://dbpedia.org/resource/Copenhagen","Copenhagennn","http://dbpedia.org/resource/Copenhagen","Aarhus","http://dbpedia.org/resource/Aarhus","[55]"
"Djibouti","http://dbpedia.org/resource/Djibouti","Djibouti","http://dbpedia.org/resource/Djibouti_(city)","Djiboutii","http://dbpedia.org/resource/Djibouti_(city)","Ali Sabieh","http://dbpedia.org/resource/Ali_Sabieh","[56]"
"Dominica","http://dbpedia.org/resource/Dominica","Roseau","http://dbpedia.org/resource/Roseau","Rosseau","http://dbpedia.org/resource/Roseau","Portsmouth","http://dbpedia.org/resource/Portsmouth,_Dominica","[57]"
"Dominican Republic","http://dbpedia.org/resource/Dominican_Republic","Santo Domingo","http://dbpedia.org/resource/Santo_Domingo","Santto Domingoo","http://dbpedia.org/resource/Santo_Domingo","Santiago de los Caballeros","http://dbpedia.org/resource/Santiago_de_los_Caballeros","[58]"
"East Timor","http://dbpedia.org/resource/East_Timor","Dili","http://dbpedia.org/resource/Dili","DDili","http://dbpedia.org/resource/Dili","Dare","http://dbpedia.org/resource/Dare,_East_Timor","[59]"
"Ecuador","http://dbpedia.org/resource/Ecuador","Quito","http://dbpedia.org/resource/Quito","Quitoo","http://dbpedia.org/resource/Quito","Guayaquil","http://dbpedia.org/resource/Guayaquil","[60]"
"Egypt","http://dbpedia.org/resource/Egypt","Cairo","http://dbpedia.org/resource/Cairo","Cairoo","http://dbpedia.org/resource/Cairo","Alexandria","http://dbpedia.org/resource/Alexandria","[61]"
"El Salvador","http://dbpedia.org/resource/El_Salvador","San Salvador","http://dbpedia.org/resource/San_Salvador","San  Salvadorr","http://dbpedia.org/resource/San_Salvador","Santa Ana","http://dbpedia.org/resource/Santa_Ana,_El_Salvador","[62]"
"Equatorial Guinea","http://dbpedia.org/resource/Equatorial_Guinea","Malabo","http://dbpedia.org/resource/Malabo","Bata","http://dbpedia.org/resource/Bata,_Equatorial_Guinea","Malabo","http://dbpedia.org/resource/Malabo","[63]"
"Eritrea","http://dbpedia.org/resource/Eritrea","Asmara","http://dbpedia.org/resource/Asmara","AAsmara","http://dbpedia.org/resource/Asmara","Keren","http://dbpedia.org/resource/Keren,_Eritrea","[64]"
"Estonia","http://dbpedia.org/resource/Estonia","Tallinn","http://dbpedia.org/resource/Tallinn","Tallinnn","http://dbpedia.org/resource/Tallinn","Tartu","http://dbpedia.org/resource/Tartu","[65]"
"Eswatini","http://dbpedia.org/resource/Swaziland","Mbabane","http://dbpedia.org/resource/Mbabane","Manzzinni","http://dbpedia.org/resource/Manzini,_Swaziland","Mbabane","http://dbpedia.org/resource/Mbabane","[66]"
"Ethiopia","http://dbpedia.org/resource/Ethiopia","Addis Ababa","http://dbpedia.org/resource/Addis_Ababa","Addis Ababaa","http://dbpedia.org/resource/Addis_Ababa","Dire Dawa","http://dbpedia.org/resource/Dire_Dawa","[67]"
"Falkland Islands (UK)","http://dbpedia.org/resource/Falkland_Islands","Stanley","http://dbpedia.org/resource/Stanley,_Falkland_Islands","Stannley","http://dbpedia.org/resource/Stanley,_Falkland_Islands","Goose Green","http://dbpedia.org/resource/Goose_Green","[68]"
"Faroe Islands (Denmark)","http://dbpedia.org/resource/Faroe_Islands","Tórshavn","http://dbpedia.org/resource/Tórshavn","Tórshavnn","http://dbpedia.org/resource/Tórshavn","Klaksvík","http://dbpedia.org/resource/Klaksvík","[69]"
"Fiji","http://dbpedia.org/resource/Fiji","Suva","http://dbpedia.org/resource/Suva","Nasinuuu","http://dbpedia.org/resource/Nasinu","Suva","http://dbpedia.org/resource/Suva","[70]"
"Finland","http://dbpedia.org/resource/Finland","Helsinki","http://dbpedia.org/resource/Helsinki","Helsinkiii","http://dbpedia.org/resource/Helsinki","Espoo","http://dbpedia.org/resource/Espoo","[71][72]"
"Finland","http://dbpedia.org/resource/Finland","Helsinki","http://dbpedia.org/resource/Helsinki","Helssinkii","http://dbpedia.org/resource/Helsinki","Tampere","http://dbpedia.org/resource/Tampere","[71][72]"
"France","http://dbpedia.org/resource/France","Paris","http://dbpedia.org/resource/Paris","Pariss","http://dbpedia.org/resource/Paris","Marseille","http://dbpedia.org/resource/Marseille","[73][74]"
"France","http://dbpedia.org/resource/France","Paris","http://dbpedia.org/resource/Paris","Pariss","http://dbpedia.org/resource/Paris","Lyon","http://dbpedia.org/resource/Lyon","[73][74]"
"French Guiana (France)","http://dbpedia.org/resource/French_Guiana","Cayenne","http://dbpedia.org/resource/Cayenne","Cayennee","http://dbpedia.org/resource/Cayenne","Saint-Laurent-du-Maroni","http://dbpedia.org/resource/Saint-Laurent-du-Maroni","[75]"
"French Polynesia (France)","http://dbpedia.org/resource/French_Polynesia","Papeete","http://dbpedia.org/resource/Papeete","PPapeeete","http://dbpedia.org/resource/Papeete","Mahina","http://dbpedia.org/resource/Mahina,_French_Polynesia","[76]"
"Gabon","http://dbpedia.org/resource/Gabon","Libreville","http://dbpedia.org/resource/Libreville","Librevilleee","http://dbpedia.org/resource/Libreville","Port-Gentil","http://dbpedia.org/resource/Port-Gentil","[77]"
"Gambia, The","http://dbpedia.org/resource/The_Gambia","Banjul","http://dbpedia.org/resource/Banjul","Serekundaaa","http://dbpedia.org/resource/Serekunda","Brikama","http://dbpedia.org/resource/Brikama","[78]"
"Georgia","http://dbpedia.org/resource/Georgia_(country)","Tbilisi","http://dbpedia.org/resource/Tbilisi","Tbiliisi","http://dbpedia.org/resource/Tbilisi","Batumi","http://dbpedia.org/resource/Batumi","[79]"
"Germany","http://dbpedia.org/resource/Germany","Berlin","http://dbpedia.org/resource/Berlin","Berlinn","http://dbpedia.org/resource/Berlin","Hamburg","http://dbpedia.org/resource/Hamburg","[80][81]"
"Germany","http://dbpedia.org/resource/Germany","Berlin","http://dbpedia.org/resource/Berlin","Rhine-Ruhrr","http://dbpedia.org/resource/Rhine-Ruhr","Berlin","http://dbpedia.org/resource/Berlin",""
"Ghana","http://dbpedia.org/resource/Ghana","Accra","http://dbpedia.org/resource/Accra","Accraa","http://dbpedia.org/resource/Accra","Kumasi","http://dbpedia.org/resource/Kumasi","[82]"
"Gibraltar (UK)","http://dbpedia.org/resource/Gibraltar","Gibraltar","http://dbpedia.org/resource/Gibraltar","Gibraltar","http://dbpedia.org/resource/Gibraltar","","","[83]"
"Greece","http://dbpedia.org/resource/Greece","Athens","http://dbpedia.org/resource/Athens","Atheenss","http://dbpedia.org/resource/Athens","Thessaloniki","http://dbpedia.org/resource/Thessaloniki","[84]"
"Greenland (Denmark)","http://dbpedia.org/resource/Greenland","Nuuk","http://dbpedia.org/resource/Nuuk","Nuuukk","http://dbpedia.org/resource/Nuuk","Sisimiut","http://dbpedia.org/resource/Sisimiut","[85]"
"Grenada","http://dbpedia.org/resource/Grenada","St. George's","http://dbpedia.org/resource/St._George's,_Grenada","St. George'ss","http://dbpedia.org/resource/St._George's,_Grenada","Gouyave","http://dbpedia.org/resource/Gouyave","[86]"
"Guam (US)","http://dbpedia.org/resource/Guam","Hagåtña","http://dbpedia.org/resource/Hagåtña,_Guam","Dededoo","http://dbpedia.org/resource/Dededo","Yigo","http://dbpedia.org/resource/Yigo","[87]"
"Guatemala","http://dbpedia.org/resource/Guatemala","Guatemala City","http://dbpedia.org/resource/Guatemala_City","Guatemala Cityyy","http://dbpedia.org/resource/Guatemala_City","Quetzaltenango","http://dbpedia.org/resource/Quetzaltenango","[88]"
"Guernsey (UK)","http://dbpedia.org/resource/Guernsey","Saint Peter Port","http://dbpedia.org/resource/Saint_Peter_Port","Saint Peter  Portt","http://dbpedia.org/resource/Saint_Peter_Port","Vale","http://dbpedia.org/resource/Vale,_Guernsey","[89]"
"Guinea","http://dbpedia.org/resource/Guinea","Conakry","http://dbpedia.org/resource/Conakry","Conakryy","http://dbpedia.org/resource/Conakry","Nzérékoré","http://dbpedia.org/resource/Nzérékoré","[90]"
"Guinea-Bissau","http://dbpedia.org/resource/Guinea-Bissau","Bissau","http://dbpedia.org/resource/Bissau","Bissauuu","http://dbpedia.org/resource/Bissau","Gabú","http://dbpedia.org/resource/Gabú","[91]"
"Guyana","http://dbpedia.org/resource/Guyana","Georgetown","http://dbpedia.org/resource/Georgetown,_Guyana","Georgetownn","http://dbpedia.org/resource/Georgetown,_Guyana","Linden","http://dbpedia.org/resource/Linden,_Guyana","[92]"
"Haiti","http://dbpedia.org/resource/Haiti","Port-au-Prince","http://dbpedia.org/resource/Port-au-Prince","Port-au-Princee","http://dbpedia.org/resource/Port-au-Prince","Gonaïves","http://dbpedia.org/resource/Gonaïves","[93]"
"Honduras","http://dbpedia.org/resource/Honduras","Tegucigalpa","http://dbpedia.org/resource/Tegucigalpa","Teggucigalpaa","http://dbpedia.org/resource/Tegucigalpa","San Pedro Sula","http://dbpedia.org/resource/San_Pedro_Sula","[94]"
"Hungary","http://dbpedia.org/resource/Hungary","Budapest","http://dbpedia.org/resource/Budapest","Budapestt","http://dbpedia.org/resource/Budapest","Debrecen","http://dbpedia.org/resource/Debrecen","[95]"
"Iceland","http://dbpedia.org/resource/Iceland","Reykjavík","http://dbpedia.org/resource/Reykjavík","Reykjavvík","http://dbpedia.org/resource/Reykjavík","Kópavogur","http://dbpedia.org/resource/Kópavogur","[96]"
"India","http://dbpedia.org/resource/India","New Delhi","http://dbpedia.org/resource/New_Delhi","Mumbbaii","http://dbpedia.org/resource/Mumbai","Delhi","http://dbpedia.org/resource/Delhi","[97]"
"Indonesia","http://dbpedia.org/resource/Indonesia","Jakarta","http://dbpedia.org/resource/Jakarta","Jakkarta","http://dbpedia.org/resource/Jakarta","Surabaya","http://dbpedia.org/resource/Surabaya","[98][99]"
"Iran","http://dbpedia.org/resource/Iran","Tehran","http://dbpedia.org/resource/Tehran","Tehrannn","http://dbpedia.org/resource/Tehran","Mashhad","http://dbpedia.org/resource/Mashhad","[100][101]"
"Iraq","http://dbpedia.org/resource/Iraq","Baghdad","http://dbpedia.org/resource/Baghdad","Baghdaddd","http://dbpedia.org/resource/Baghdad","Basra","http://dbpedia.org/resource/Basra","[102]"
"Ireland","http://dbpedia.org/resource/Republic_of_Ireland","Dublin","http://dbpedia.org/resource/Dublin","Dublinnn","http://dbpedia.org/resource/Dublin","Cork","http://dbpedia.org/resource/Cork_(city)","[103]"
"Isle of Man (UK)","http://dbpedia.org/resource/Isle_of_Man","Douglas","http://dbpedia.org/resource/Douglas,_Isle_of_Man","Douglass","http://dbpedia.org/resource/Douglas,_Isle_of_Man","Onchan","http://dbpedia.org/resource/Onchan","[104]"
"Israel","http://dbpedia.org/resource/Israel","Jerusalem","http://dbpedia.org/resource/Jerusalem","Jerusalemm","http://dbpedia.org/resource/Jerusalem","Tel Aviv","http://dbpedia.org/resource/Tel_Aviv","[105][106]"
"Italy","http://dbpedia.org/resource/Italy","Rome","http://dbpedia.org/resource/Rome","Romee","http://dbpedia.org/resource/Rome","Milan","http://dbpedia.org/resource/Milan","[107][108]"
"Jamaica","http://dbpedia.org/resource/Jamaica","Kingston","http://dbpedia.org/resource/Kingston,_Jamaica","Kingstonn","http://dbpedia.org/resource/Kingston,_Jamaica","Spanish Town","http://dbpedia.org/resource/Spanish_Town","[109]"
"Japan","http://dbpedia.org/resource/Japan","Tokyo","http://dbpedia.org/resource/Tokyo","Tookyo","http://dbpedia.org/resource/Tokyo","Yokohama","http://dbpedia.org/resource/Yokohama","[110][111]"
"Japan","http://dbpedia.org/resource/Japan","Tokyo","http://dbpedia.org/resource/Tokyo","Tokyyoo","http://dbpedia.org/resource/Tokyo","Osaka","http://dbpedia.org/resource/Osaka","[110][111]"
"Jersey (UK)","http://dbpedia.org/resource/Jersey","Saint Helier","http://dbpedia.org/resource/Saint_Helier","Saint Helierr","http://dbpedia.org/resource/Saint_Helier","Saint Saviour","http://dbpedia.org/resource/Saint_Saviour,_Jersey","[112]"
"Jordan","http://dbpedia.org/resource/Jordan","Amman","http://dbpedia.org/resource/Amman","Ammann","http://dbpedia.org/resource/Amman","Zarqa","http://dbpedia.org/resource/Zarqa","[113]"
"Kazakhstan","http://dbpedia.org/resource/Kazakhstan","Nur-Sultan","http://dbpedia.org/resource/Astana","Allmaty","http://dbpedia.org/resource/Almaty","Nur-Sultan","http://dbpedia.org/resource/Astana","[114]/"
"Kenya","http://dbpedia.org/resource/Kenya","Nairobi","http://dbpedia.org/resource/Nairobi","Nairobii","http://dbpedia.org/resource/Nairobi","Mombasa","http://dbpedia.org/resource/Mombasa","[115]"
"Kiribati","http://dbpedia.org/resource/Kiribati","Tarawa","http://dbpedia.org/resource/Tarawa","Betiooo","http://dbpedia.org/resource/Betio","Bairiki","http://dbpedia.org/resource/Bairiki","[116]"
"Korea, North","http://dbpedia.org/resource/North_Korea","Pyongyang","http://dbpedia.org/resource/Pyongyang","Pyongyanggg","http://dbpedia.org/resource/Pyongyang","Hamhung","http://dbpedia.org/resource/Hamhung","[117]"
"Korea, South","http://dbpedia.org/resource/South_Korea","Seoul","http://dbpedia.org/resource/Seoul","Seoulll","http://dbpedia.org/resource/Seoul","Busan","http://dbpedia.org/resource/Busan","[118]"
"Kosovo","http://dbpedia.org/resource/Kosovo","Pristina","http://dbpedia.org/resource/Pristina","Prristinaa","http://dbpedia.org/resource/Pristina","Prizren","http://dbpedia.org/resource/Prizren","[119]"
