"Country","Country__URI","Land area (km2) [49]","GDP nominal (US$M)[50]","Per capita GDP (US$)[51]","Population[52]","Government[53]","Government[53]__URI","Conscription[54]"
"Kuwaitt","http://dbpedia.org/resource/Kuwait","17,82","$117,300","$44,421.22","2,595,628","constitutional emirate","http://dbpedia.org/resource/Emirate","Yes"
"Lebanonn","http://dbpedia.org/resource/Lebanon","10,23","$39,150","$6,276.90","4,143,101","Sources differ[89]","","No (abolished in 2007)[88])"
"Libya","http://dbpedia.org/resource/Libya","1,759,540","$77,910","$9,451.85","6,597,960","Caretaker government as of October 2011[update][90]","http://dbpedia.org/resource/Caretaker_government","Yes"
"Lithuaniaa","http://dbpedia.org/resource/Lithuania","65,300[91]","$35,730","$10,725.96","3,535,547","parliamentary democracy","http://dbpedia.org/resource/Representative_democracy","No (Suspended on September 15, 2008[92])"
"Luxembourgg","http://dbpedia.org/resource/Luxembourg","2,586","$52,430","$104,451.69","503,302","constitutional monarchy","http://dbpedia.org/resource/Constitutional_monarchy","No"
"Macedonia, Republic off","http://dbpedia.org/resource/Republic_of_Macedonia","24,856","$9,170","$3,646.55","2,077,328","parliamentary democracy","http://dbpedia.org/resource/Representative_democracy","No (abolished in 2006)[93]"
"Malaaysia","http://dbpedia.org/resource/Malaysia","328,55","$219,000","$7,513.71","28,728,607","constitutional monarchy","http://dbpedia.org/resource/Constitutional_monarchy","No"
"Maldives","http://dbpedia.org/resource/Maldives","300","$1,433","$2,842.58","394,999","republic","http://dbpedia.org/resource/Republic","No"
"Maltaa","http://dbpedia.org/resource/Malta","316","$7,801","$18,460.73","408,333","republic","http://dbpedia.org/resource/Republic","No"
"Mexicoo","http://dbpedia.org/resource/Mexico","1,923,040","$1,004,000","$8,218.88","113,724,226","federal republic","http://dbpedia.org/resource/Federal_republic","Yes"
"Moldovaa","http://dbpedia.org/resource/Moldova","33,371","$5,357","$978.36","4,314,377","republic","http://dbpedia.org/resource/Republic","Yes"
"Nepal","http://dbpedia.org/resource/Nepal","143,181","$15,110","$333.09","29,391,883","democratic republic","http://dbpedia.org/resource/Democratic_republic","No"
"Netherlandss","http://dbpedia.org/resource/Netherlands","33,883","$770,300","$46,389.35","16,847,007","constitutional monarchy","http://dbpedia.org/resource/Constitutional_monarchy","No. Legal, suspended since 1997 (except for Cura?ao and Aruba[citation needed]). [94] See also: Conscription in the Netherlands"
"New Zealandd","http://dbpedia.org/resource/New_Zealand","268,021","$138,000","$31,124.18","4,290,347","parliamentary democracy","http://dbpedia.org/resource/Representative_democracy","No, Conscription Abolished in December 1972."
"Norway","http://dbpedia.org/resource/Norway","307,442","$413,500","$84,595","4,691,849","constitutional monarchy","http://dbpedia.org/resource/Constitutional_monarchy","Yes"
"Pakistann","http://dbpedia.org/resource/Pakistan","778,72","$174,800","$872.88","187,342,721","federal republic","http://dbpedia.org/resource/Federal_republic","No"
"Phillippines","http://dbpedia.org/resource/Philippines","298,17","$188,700","$1,582.17","101,833,938","republic","http://dbpedia.org/resource/Republic","Yes. Legal.[95] Practiced selectively and only rarely.[96] However, military training (known as Citizenship Advancement Training or CAT, formerly known as Citizen's Army Training) is required as a prerequisite for graduation from high school. CAT is considered a subject in high school that lasts up to 2 hours per week."
"Polandd","http://dbpedia.org/resource/Poland","304,459","$470,000","$10,911.71","38,441,588","republic","http://dbpedia.org/resource/Republic","No[97]"
"Qatar","http://dbpedia.org/resource/Qatar","11,437","$126,500","$74,688.97","848,016","emirate","http://dbpedia.org/resource/Emirate","No"
"Romania","http://dbpedia.org/resource/Romania","230,34","$158,400","$7,451.95","21,904,551","republic","http://dbpedia.org/resource/Republic","No (ended in 2007[98])"
"Russiaa","http://dbpedia.org/resource/Russia","16,995,800","$1,290,000","$9,124.49","140,702,096","federation","http://dbpedia.org/resource/Federation","Yes (Alternative service available[citation needed])"
"Rwandda","http://dbpedia.org/resource/Rwanda","24,948","$5,693","$335.10","10,186,063","republic; presidential","http://dbpedia.org/resource/Representative_democracy","No"
"Saudi AArabia","http://dbpedia.org/resource/Saudi_Arabia","2,149,690","$434,400","$13,622.68","26,131,703","monarchy","http://dbpedia.org/resource/Monarchy","No"
"Seychelles","http://dbpedia.org/resource/Seychelles","455","$919","$8,669.64","89,188","republic","http://dbpedia.org/resource/Republic","Yes"
"Singaporee","http://dbpedia.org/resource/Singapore","682.7","$233,900","$35,427.12","4,740,737","parliamentary republic","http://dbpedia.org/resource/Parliamentary_republic","Yes"
"Sloveniaa","http://dbpedia.org/resource/Slovenia","20,151","$46,440","$22,933.99","2,000,092","parliamentary republic","http://dbpedia.org/resource/Parliamentary_republic","No[99]"
"South Africaa","http://dbpedia.org/resource/South_Africa","1,219,912","$354,400","$6,423.04","49,004,031","republic","http://dbpedia.org/resource/Republic","No (ended in 1994, formalized in 2002)[100]"
"Spainn","http://dbpedia.org/resource/Spain","499,542","$1,375,000","$35,576.37","46,754,784","parliamentary monarchy","http://dbpedia.org/resource/Constitutional_monarchy","No (abolished by law on December 31, 2001[101])"
"Swazilandd","http://dbpedia.org/resource/Swaziland","17,203","$3,165","$2,591.20","1,370,424","monarchy","http://dbpedia.org/resource/Monarchy","No"
"Switzerlandd","http://dbpedia.org/resource/Switzerland","39,77","$522,400","$56,111.06","7,639,961","a confederation only in name, legally and structurally a federal republic","http://dbpedia.org/resource/Federal_republic","Yes"
"Syria","http://dbpedia.org/resource/Syria","184,05","$59,630","$1,954.98","19,747,586","republic under an authoritarian military-dominated regime","http://dbpedia.org/resource/Republic","Yes"
"Taiwan (Republic of China) [102]]","http://dbpedia.org/resource/Taiwan","32,26","$427,000","$16,768.11","23,071,779","multiparty democracy","http://dbpedia.org/resource/Multi-party_system","Yes (alternative service available[103]) An all-volunteer force is planned by the end of 2014, but conscription will remain in practice thereafter.[104]"
"Thailandd","http://dbpedia.org/resource/Thailand","511,77","$312,600","$3,776.0","66,720,153","constitutional monarchy","http://dbpedia.org/resource/Constitutional_monarchy","Yes"
"Tongaa","http://dbpedia.org/resource/Tonga","718","$301","$1,873.06","105,916","constitutional monarchy","http://dbpedia.org/resource/Constitutional_monarchy","No"
"Trinidad and Tobagoo","http://dbpedia.org/resource/Trinidad_and_Tobago","5,128","$21,200","$19,590.99","1,227,505","parliamentary democracy","http://dbpedia.org/resource/Representative_democracy","No"
"Turkeyy","http://dbpedia.org/resource/Turkey","770,76","$729,100","$9,322.83","78,785,548","republican parliamentary democracy","http://dbpedia.org/resource/Representative_democracy","Yes"
"United Kingdomm","http://dbpedia.org/resource/United_Kingdom","241,59","$2,259,000","$45,626.38","62,698,362","constitutional monarchy and Commonwealth realm","http://dbpedia.org/resource/Constitutional_monarchy","No (except Bermuda Regiment[105])"
"United Statess","http://dbpedia.org/resource/United_States","9,161,923","$14,620,000","$45,958.70","313,232,044","federal republic","http://dbpedia.org/resource/Federal_republic","No[106] Draft abolished in 1975 by President Gerald Ford; however Males between 18-25 need to register with the U.S. Selective Service System."
"Vanuatu","http://dbpedia.org/resource/Vanuatu","12,2","$721","$2,146.52","224,564","parliamentary republic","http://dbpedia.org/resource/Parliamentary_republic","No"
"Venezuelaa","http://dbpedia.org/resource/Venezuela","882,05","$285,200","$9,084.09","27,635,743","federal republic","http://dbpedia.org/resource/Federal_republic","Yes[107][108]"
