"???O","???O__URI","???[?O","?`?[??","?`?[??__URI","????","?N","??"
"Tommie Agee","http://dbpedia.org/resource/Tommie_Agee","?m?k","Mets","http://dbpedia.org/resource/New_York_Mets","07-06","1970","."
"Tony Horton","http://dbpedia.org/resource/Tony_Horton_(baseball)","?`?k","Indians","http://dbpedia.org/resource/Cleveland_Indians","07-02","1970","."
"Rod Carew","http://dbpedia.org/resource/Rod_Carew","?`?k","Twins","http://dbpedia.org/resource/Minnesota_Twins","05-20","1970","."
"Wes Parker","http://dbpedia.org/resource/Wes_Parker","?m?k","Dodgers","http://dbpedia.org/resource/Los_Angeles_Dodgers","05-07","1970","."
"Jim Fregosi","http://dbpedia.org/resource/Jim_Fregosi","?`?k","Angels","http://dbpedia.org/resource/Los_Angeles_Angels_of_Anaheim","05-20","1968","2"
"Randy Hundley","http://dbpedia.org/resource/Randy_Hundley","?m?k","Cubs","http://dbpedia.org/resource/Chicago_Cubs","08-11","1966","2"
"Billy Williams","http://dbpedia.org/resource/Billy_Williams_(left_fielder)","?m?k","Cubs","http://dbpedia.org/resource/Chicago_Cubs","07-17","1966","2"
"Carl Yastrzemski","http://dbpedia.org/resource/Carl_Yastrzemski","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","05-14","1965","2"
"Jim Fregosi","http://dbpedia.org/resource/Jim_Fregosi","?`?k","Angels","http://dbpedia.org/resource/Los_Angeles_Angels_of_Anaheim","07-28","1964","1"
"Willie Stargell","http://dbpedia.org/resource/Willie_Stargell","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","07-22","1964","."
"Ken Boyer","http://dbpedia.org/resource/Ken_Boyer","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","06-16","1964","2"
"Jim King","http://dbpedia.org/resource/Jim_King_(basketball)","?`?k","Senators","http://dbpedia.org/resource/Washington_Senators_(1961-71)","05-26","1964","."
"Jim Hickman","http://dbpedia.org/resource/Jim_Hickman_(1960s_outfielder)","?m?k","Mets","http://dbpedia.org/resource/New_York_Mets","08-07","1963","."
"Johnny Callison","http://dbpedia.org/resource/Johnny_Callison","?m?k","Phillies","http://dbpedia.org/resource/Philadelphia_Phillies","06-27","1963","."
"Lu Clinton","http://dbpedia.org/resource/Lou_Clinton","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","07-13","1962","."
"Ken Boyer","http://dbpedia.org/resource/Ken_Boyer","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","09-14","1961","1"
"Bill White","http://dbpedia.org/resource/Bill_White_(first_baseman)","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","08-14","1960","."
"Brooks Robinson","http://dbpedia.org/resource/Brooks_Robinson","?`?k","Orioles","http://dbpedia.org/resource/Baltimore_Orioles","07-15","1960","."
"Frank Robinson","http://dbpedia.org/resource/Frank_Robinson","?m?k","Reds","http://dbpedia.org/resource/Cincinnati_Reds","05-02","1959","."
"Mickey Mantle","http://dbpedia.org/resource/Mickey_Mantle","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","07-23","1957","."
"Lee Walls","http://dbpedia.org/resource/Lee_Walls","?m?k","Cubs","http://dbpedia.org/resource/Chicago_Cubs","07-02","1957","."
"Don Mueller","http://dbpedia.org/resource/Don_Mueller","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","07-11","1954","."
"Larry Doby","http://dbpedia.org/resource/Larry_Doby","?`?k","Indians","http://dbpedia.org/resource/Cleveland_Indians","06-04","1952","."
"Gus Bell","http://dbpedia.org/resource/Gus_Bell","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","06-04","1951","."
"Hoot Evers","http://dbpedia.org/resource/Hoot_Evers","?`?k","Tigers","http://dbpedia.org/resource/Detroit_Tigers","09-07","1950","."
"Elmer Valo","http://dbpedia.org/resource/Elmer_Valo","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","08-02","1950","."
"Roy Smalley","http://dbpedia.org/resource/Roy_Smalley,_Jr.","?m?k","Cubs","http://dbpedia.org/resource/Chicago_Cubs","06-28","1950","."
"Ralph Kiner","http://dbpedia.org/resource/Ralph_Kiner","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","06-25","1950","."
"George Kell","http://dbpedia.org/resource/George_Kell","?`?k","Tigers","http://dbpedia.org/resource/Detroit_Tigers","06-02","1950","."
"Stan Musial","http://dbpedia.org/resource/Stan_Musial","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","07-24","1949","."
"Gil Hodges","http://dbpedia.org/resource/Gil_Hodges","?m?k","Dodgers","http://dbpedia.org/resource/Los_Angeles_Dodgers","06-25","1949","."
"Wally Westlake","http://dbpedia.org/resource/Wally_Westlake","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","06-14","1949","2"
"Jackie Robinson","http://dbpedia.org/resource/Jackie_Robinson","?m?k","Dodgers","http://dbpedia.org/resource/Los_Angeles_Dodgers","08-29","1948","."
"Wally Westlake","http://dbpedia.org/resource/Wally_Westlake","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","07-30","1948","1"
"Joe DiMaggio","http://dbpedia.org/resource/Joe_DiMaggio","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","05-20","1948","2"
"Vic Wertz","http://dbpedia.org/resource/Vic_Wertz","?`?k","Tigers","http://dbpedia.org/resource/Detroit_Tigers","09-14","1947","."
"Bobby Doerr","http://dbpedia.org/resource/Bobby_Doerr","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","05-13","1947","2"
"Ted Williams","http://dbpedia.org/resource/Ted_Williams","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","07-21","1946","."
"Mickey Vernon","http://dbpedia.org/resource/Mickey_Vernon","?`?k","Senators","http://dbpedia.org/resource/History_of_the_Washington_Senators_(1901-60)","05-19","1946","."
"Bill Salked","http://dbpedia.org/resource/Bill_Salkeld","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","08-04","1945","."
"Bob Elliott","http://dbpedia.org/resource/Bob_Elliott_(baseball)","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","07-15","1945","."
"Dixie Walker","http://dbpedia.org/resource/Dixie_Walker","?m?k","Dodgers","http://dbpedia.org/resource/Los_Angeles_Dodgers","09-02","1944","."
"Bob Johnson","http://dbpedia.org/resource/Bob_Johnson_(outfielder)","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","07-06","1944","."
"Bobby Doerr","http://dbpedia.org/resource/Bobby_Doerr","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","05-17","1944","1"
"Leon Culberson","http://dbpedia.org/resource/Leon_Culberson","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","07-03","1943","."
"George McQuinn","http://dbpedia.org/resource/George_McQuinn","?`?k","Browns","http://dbpedia.org/resource/History_of_the_St._Louis_Browns","07-19","1941","."
"Joe Gordon","http://dbpedia.org/resource/Joe_Gordon","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","09-08","1940","."
"Joe Cronin","http://dbpedia.org/resource/Joe_Cronin","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","08-02","1940","2"
"Buddy Rosar","http://dbpedia.org/resource/Buddy_Rosar","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","07-19","1940","."
"Johnny Mize","http://dbpedia.org/resource/Johnny_Mize","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","07-13","1940","."
"Harry Danning","http://dbpedia.org/resource/Harry_Danning","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","06-15","1940","."
"Harry Craft","http://dbpedia.org/resource/Harry_Craft","?m?k","Reds","http://dbpedia.org/resource/Cincinnati_Reds","06-08","1940","."
"Arky Vaughan","http://dbpedia.org/resource/Arky_Vaughan","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","07-19","1939","2"
"Charlie Gehringer","http://dbpedia.org/resource/Charlie_Gehringer","?`?k","Tigers","http://dbpedia.org/resource/Detroit_Tigers","05-27","1939","."
"Sam Chapman","http://dbpedia.org/resource/Sam_Chapman","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","05-05","1939","."
"Odell Hale","http://dbpedia.org/resource/Odell_Hale","?`?k","Indians","http://dbpedia.org/resource/Cleveland_Indians","07-12","1938","."
"Lou Gehrig","http://dbpedia.org/resource/Lou_Gehrig","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","08-01","1937","2"
"Joe DiMaggio","http://dbpedia.org/resource/Joe_DiMaggio","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","07-09","1937","1"
"Gee Walker","http://dbpedia.org/resource/Gee_Walker","?`?k","Tigers","http://dbpedia.org/resource/Detroit_Tigers","04-20","1937","."
"Sam Leslie","http://dbpedia.org/resource/Sam_Leslie","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","05-24","1936","."
"Joe Medwick","http://dbpedia.org/resource/Joe_Medwick","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","06-29","1935","."
"Moose Solters","http://dbpedia.org/resource/Moose_Solters","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","08-19","1934","."
"Lou Gehrig","http://dbpedia.org/resource/Lou_Gehrig","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","06-25","1934","."
"Roger Cramer","http://dbpedia.org/resource/Doc_Cramer","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","06-10","1934","."
"Babe Herman","http://dbpedia.org/resource/Babe_Herman","?m?k","Cubs","http://dbpedia.org/resource/Chicago_Cubs","09-30","1933","3"
"Earl Averill","http://dbpedia.org/resource/Earl_Averill","?`?k","Indians","http://dbpedia.org/resource/Cleveland_Indians","08-17","1933","."
"Jimmie Foxx","http://dbpedia.org/resource/Jimmie_Foxx","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","08-14","1933","."
"Pinky Higgins","http://dbpedia.org/resource/Pinky_Higgins","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","08-06","1933","."
"Mickey Cochrane","http://dbpedia.org/resource/Mickey_Cochrane","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","08-02","1933","2"
"Arky Vaughan","http://dbpedia.org/resource/Arky_Vaughan","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","06-24","1933","1"
"Chuck Klein","http://dbpedia.org/resource/Chuck_Klein","?m?k","Phillies","http://dbpedia.org/resource/Philadelphia_Phillies","05-26","1933","2"
"Pepper Martin","http://dbpedia.org/resource/Pepper_Martin","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","05-05","1933","."
"Mickey Cochrane","http://dbpedia.org/resource/Mickey_Cochrane","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","07-22","1932","."
"Tony Lazzeri","http://dbpedia.org/resource/Tony_Lazzeri","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","06-03","1932","."
"Babe Herman","http://dbpedia.org/resource/Babe_Herman","?m?k","Dodgers","http://dbpedia.org/resource/Los_Angeles_Dodgers","07-24","1931","2"
"Chuck Klein","http://dbpedia.org/resource/Chuck_Klein","?m?k","Phillies","http://dbpedia.org/resource/Philadelphia_Phillies","07-01","1931","1"
"Babe Herman","http://dbpedia.org/resource/Babe_Herman","?m?k","Dodgers","http://dbpedia.org/resource/Los_Angeles_Dodgers","05-18","1931","1"
"Chick Hafey","http://dbpedia.org/resource/Chick_Hafey","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","08-21","1930","."
"Hack Wilson","http://dbpedia.org/resource/Hack_Wilson","?m?k","Cubs","http://dbpedia.org/resource/Chicago_Cubs","06-23","1930","."
"Freddy Lindstrom","http://dbpedia.org/resource/Freddie_Lindstrom","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","05-08","1930","."
"Joe Cronin","http://dbpedia.org/resource/Joe_Cronin","?`?k","Senators","http://dbpedia.org/resource/History_of_the_Washington_Senators_(1901-60)","09-02","1929","1"
"Oscar Melillo","http://dbpedia.org/resource/Ski_Melillo","?`?k","Browns","http://dbpedia.org/resource/History_of_the_St._Louis_Browns","05-23","1929","."
"Mel Ott","http://dbpedia.org/resource/Mel_Ott","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","05-16","1929","."
"Bob Meusel","http://dbpedia.org/resource/Bob_Meusel","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","07-26","1928","3"
"Bill Terry","http://dbpedia.org/resource/Bill_Terry","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","05-29","1928","."
"Cy Williams","http://dbpedia.org/resource/Cy_Williams","?m?k","Phillies","http://dbpedia.org/resource/Philadelphia_Phillies","08-05","1927","."
"Jim Bottomley","http://dbpedia.org/resource/Jim_Bottomley","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","07-15","1927","."
"Bob Fothergill","http://dbpedia.org/resource/Bob_Fothergill","?`?k","Tigers","http://dbpedia.org/resource/Detroit_Tigers","09-26","1926","."
"Roy Carlyle","http://dbpedia.org/resource/Roy_Carlyle","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","07-21","1925","."
"Max Carey","http://dbpedia.org/resource/Max_Carey","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","06-20","1925","."
"Kiki Cuyler","http://dbpedia.org/resource/Kiki_Cuyler","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","06-04","1925","."
"Goose Goslin","http://dbpedia.org/resource/Goose_Goslin","?`?k","Senators","http://dbpedia.org/resource/History_of_the_Washington_Senators_(1901-60)","08-28","1924","."
"Baby Doll Jacobson","http://dbpedia.org/resource/Baby_Doll_Jacobson","?`?k","Browns","http://dbpedia.org/resource/History_of_the_St._Louis_Browns","04-17","1924","."
"Pie Traynor","http://dbpedia.org/resource/Pie_Traynor","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","07-07","1923","."
"Bob Meusel","http://dbpedia.org/resource/Bob_Meusel","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","07-03","1922","2"
"Ray Schalk","http://dbpedia.org/resource/Ray_Schalk","?`?k","White Sox","http://dbpedia.org/resource/Chicago_White_Sox","06-27","1922","."
"Jimmy Johnston","http://dbpedia.org/resource/Jimmy_Johnston","?m?k","Dodgers","http://dbpedia.org/resource/Los_Angeles_Dodgers","05-25","1922","."
"Ross Youngs","http://dbpedia.org/resource/Ross_Youngs","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","04-29","1922","."
"Dave Robertson","http://dbpedia.org/resource/Dave_Robertson","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","08-30","1921","."
"George Sisler","http://dbpedia.org/resource/George_Sisler","?`?k","Browns","http://dbpedia.org/resource/History_of_the_St._Louis_Browns","08-13","1921","2"
"Dave Bancroft","http://dbpedia.org/resource/Dave_Bancroft","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","06-01","1921","."
"Bob Meusel","http://dbpedia.org/resource/Bob_Meusel","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","05-07","1921","1"
