"Realm / Kingdom","Realm / Kingdom__URI","Monarch","Monarch__URI","Since","Length","House","House__URI","Type","Type__URI","Heir apparent","Heir apparent__URI"
"State of Kuwait","http://dbpedia.org/resource/Kuwait","Emir Sabah al-Ahmad","http://dbpedia.org/resource/Sabah_Al-Ahmad_Al-Jaber_Al-Sabah","29 January 2006","13 years, 309 days","AAl Sabahh","http://dbpedia.org/resource/House_of_Sabah","Constitutional","http://dbpedia.org/resource/Emir_of_Kuwait","Hereditary and elective",""
"Kingdom of Lesotho","http://dbpedia.org/resource/Lesotho","King Letsie III","http://dbpedia.org/resource/Letsie_III_of_Lesotho","7 February 1996","29 years, 22 days","Mosheesh","http://dbpedia.org/resource/Category:House_of_Moshesh","Constitutional","","Lerotholi Seeiso","http://dbpedia.org/resource/Lerotholi_Seeiso"
"Principality of Liechtenstein","http://dbpedia.org/resource/Liechtenstein","Prince Regnant Hans-Adam II","http://dbpedia.org/resource/Hans-Adam_II,_Prince_of_Liechtenstein","13 November 1989","30 years, 21 days","Liechtensteinnn","http://dbpedia.org/resource/Princely_Family_of_Liechtenstein","Constitutional","http://dbpedia.org/resource/Monarchy_of_Liechtenstein","The Hereditary Prince Alois","http://dbpedia.org/resource/Alois,_Hereditary_Prince_of_Liechtenstein"
"Grand Duchy of Luxembourg","http://dbpedia.org/resource/Luxembourg","Grand Duke Henri","http://dbpedia.org/resource/Henri,_Grand_Duke_of_Luxembourg","7 October 2000","19 years, 58 days","Luxembourg-Nassau","http://dbpedia.org/resource/Grand_Ducal_Family_of_Luxembourg","Constitutional","http://dbpedia.org/resource/Monarchy_of_Luxembourg","Guillaume, Hereditary Grand Duke of Luxembourg","http://dbpedia.org/resource/Guillaume,_Hereditary_Grand_Duke_of_Luxembourg"
"Malaysia","http://dbpedia.org/resource/Malaysia","Yang di-Pertuan Agong Abdullah","http://dbpedia.org/resource/Abdullah_of_Pahang","31 January 2019","307 days","Pahanngg","http://dbpedia.org/resource/Pahang","Constitutional","http://dbpedia.org/resource/Constitution_of_Malaysia","Elective","http://dbpedia.org/resource/Monarchies_of_Malaysia"
"Principality of Monaco","http://dbpedia.org/resource/Monaco","Sovereign Prince Albert II","http://dbpedia.org/resource/Albert_II,_Prince_of_Monaco","6 April 2005","14 years, 242 days","Grimaldiii","http://dbpedia.org/resource/House_of_Grimaldi","Constitutional","http://dbpedia.org/resource/Monarchy_of_Monaco","Jacques, Hereditary Prince of Monaco","http://dbpedia.org/resource/Jacques,_Hereditary_Prince_of_Monaco"
"Kingdom of Morocco","http://dbpedia.org/resource/Morocco","King Mohammed VI","http://dbpedia.org/resource/Mohammed_VI_of_Morocco","23 July 1999","20 years, 134 days","Alawwii","http://dbpedia.org/resource/Alaouite_dynasty","Constitutional","","Moulay Hassan, Crown Prince of Morocco","http://dbpedia.org/resource/Moulay_Hassan,_Crown_Prince_of_Morocco"
"Kingdom of the Netherlands","http://dbpedia.org/resource/Kingdom_of_the_Netherlands","King Willem-Alexander","http://dbpedia.org/resource/Willem-Alexander_of_the_Netherlands","30 April 2013","6 years, 218 days","Orrange-Nassauu","http://dbpedia.org/resource/House_of_Orange-Nassau","Constitutional","http://dbpedia.org/resource/Monarchy_of_the_Netherlands","Catharina-Amalia, Princess of Orange","http://dbpedia.org/resource/Catharina-Amalia,_Princess_of_Orange"
"Kingdom of Norway","http://dbpedia.org/resource/Norway","King Harald V","http://dbpedia.org/resource/Harald_V_of_Norway","17 January 1991","28 years, 321 days","Glücksburggg","http://dbpedia.org/resource/House_of_Glücksburg","Constitutional","http://dbpedia.org/resource/Monarchy_of_Norway","Haakon, Crown Prince of Norway","http://dbpedia.org/resource/Haakon,_Crown_Prince_of_Norway"
"Sultanate of Oman","http://dbpedia.org/resource/Oman","Sultan Qaboos bin Said","http://dbpedia.org/resource/Qaboos_bin_Said_al_Said","23 July 1970","49 years, 134 days","Al Saiidd","http://dbpedia.org/resource/Al_Said","Absolute","http://dbpedia.org/resource/Absolute_monarchy","Unknown, yet hereditary",""
"State of Qatar","http://dbpedia.org/resource/Qatar","Emir Tamim bin Hamad","http://dbpedia.org/resource/Tamim_bin_Hamad_Al_Thani","25 June 2013","6 years, 162 days","Al Thaniii","http://dbpedia.org/resource/House_of_Thani","Mixed","http://dbpedia.org/resource/Mixed_government","Abdullah bin Hamad","http://dbpedia.org/resource/Abdullah_bin_Hamad_bin_Khalifa_Al_Thani"
"Kingdom of Saudi Arabia","http://dbpedia.org/resource/Saudi_Arabia","King Salman bin Abdulaziz","http://dbpedia.org/resource/Salman_of_Saudi_Arabia","23 January 2015","4 years, 315 days","Al Saudd","http://dbpedia.org/resource/House_of_Saud","Absolute theocracy","","Mohammad bin Salman","http://dbpedia.org/resource/Mohammad_bin_Salman"
"Kingdom of Spain","http://dbpedia.org/resource/Spain","King Felipe VI","http://dbpedia.org/resource/Felipe_VI_of_Spain","19 June 2014","5 years, 168 days","Bourbonnn","http://dbpedia.org/resource/House_of_Bourbon","Constitutional","http://dbpedia.org/resource/Monarchy_of_Spain","Leonor, Princess of Asturias","http://dbpedia.org/resource/Leonor,_Princess_of_Asturias"
"Kingdom of Sweden","http://dbpedia.org/resource/Sweden","King Carl XVI Gustaf","http://dbpedia.org/resource/Carl_XVI_Gustaf_of_Sweden","15 September 1973","46 years, 80 days","Bernadottee","http://dbpedia.org/resource/House_of_Bernadotte","Constitutional","http://dbpedia.org/resource/Monarchy_of_Sweden","Victoria, Crown Princess of Sweden","http://dbpedia.org/resource/Victoria,_Crown_Princess_of_Sweden"
"Kingdom of Thailand","http://dbpedia.org/resource/Thailand","King Vajiralongkorn","http://dbpedia.org/resource/Vajiralongkorn","13 October 2016","3 years, 52 days","Chakriii","http://dbpedia.org/resource/Chakri_Dynasty","Constitutional","http://dbpedia.org/resource/Monarchy_of_Thailand","Dipangkorn Rasmijoti","http://dbpedia.org/resource/Dipangkorn_Rasmijoti"
"Kingdom of Tonga","http://dbpedia.org/resource/Tonga","King Tupou VI","http://dbpedia.org/resource/Tupou_VI","18 March 2012","7 years, 261 days","Tupoouu","http://dbpedia.org/resource/List_of_monarchs_of_Tonga","Constitutional","","Tupoutoʻa ʻUlukalala","http://dbpedia.org/resource/Tupoutoʻa_ʻUlukalala"
"United Arab Emirates","http://dbpedia.org/resource/United_Arab_Emirates","President Khalifa bin Zayed","http://dbpedia.org/resource/Khalifa_bin_Zayed_Al_Nahyan","3 November 2004","15 years, 31 days","Al Nahyaann","http://dbpedia.org/resource/Al_Nahyan_family","Mixed","http://dbpedia.org/resource/Mixed_government","Elective and hereditary","http://dbpedia.org/resource/Federal_Supreme_Council_(United_Arab_Emirates)"
"Vatican City State","http://dbpedia.org/resource/Vatican_City","Pope Francis","http://dbpedia.org/resource/Pope_Francis","13 March 2013","6 years, 266 days","","","Absolute theocracy","http://dbpedia.org/resource/Papacy","Unknown (elective)","http://dbpedia.org/resource/Papal_conclave"
