"Medicine_misspelled","Medicine_misspelled__URI","Medicine","Medicine__URI","Trade","Trade__URI","ATC Code","Route of administration","Route of administration__URI"
"ibprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibruprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenoous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofin","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advilll","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibprophen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advvill","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofin","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofien","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","AAdvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibeuprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Addvill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeuprofens","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intraavenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibproufen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","AAdvvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibeprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Adviill","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"iboprufen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advilll","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibubrofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofren","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advilll","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibp","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advvill","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofins","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","AAdvill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofene","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophens","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofuens","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advvill","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibeeprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibrophen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Adviiil","http://dbpedia.org/resource/Advil","C01EB16","IIntravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofuen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Addvill","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibeprophen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Addvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibrufen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Adviil","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibrupofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenouus","http://dbpedia.org/resource/Intravenous_therapy"
"ibreprophen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advvil","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibroprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"iboprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofens","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibruprofin","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibprufen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advilll","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"ibprophin","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advvill","http://dbpedia.org/resource/Advil","C01EB16","Inttravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprouphen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Intrravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibueprofen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advilll","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibupropen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advill","http://dbpedia.org/resource/Advil","C01EB16","Inntravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophene","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Adviil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprohen","http://dbpedia.org/resource/Ibuprofen","ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advilll","http://dbpedia.org/resource/Advil","C01EB16","Intravenouss","http://dbpedia.org/resource/Intravenous_therapy"
"niproxin","http://dbpedia.org/resource/Naproxen","naproxen","http://dbpedia.org/resource/Naproxen","Anaproxx","http://dbpedia.org/resource/Anaprox","G02CC02","By mouthh","http://dbpedia.org/resource/Oral_administration"
"neproxen","http://dbpedia.org/resource/Naproxen","naproxen","http://dbpedia.org/resource/Naproxen","Anaproxxx","http://dbpedia.org/resource/Anaprox","G02CC02","By mouthh","http://dbpedia.org/resource/Oral_administration"
"naproxin","http://dbpedia.org/resource/Naproxen","naproxen","http://dbpedia.org/resource/Naproxen","Anaprox","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
"neproxin","http://dbpedia.org/resource/Naproxen","naproxen","http://dbpedia.org/resource/Naproxen","Anapproxx","http://dbpedia.org/resource/Anaprox","G02CC02","By mouthh","http://dbpedia.org/resource/Oral_administration"
"sertaline","http://dbpedia.org/resource/Sertraline","sertraline","http://dbpedia.org/resource/Sertraline","Zoloftt","http://dbpedia.org/resource/Zoloft","N06AB06","By mouthh","http://dbpedia.org/resource/Oral_administration"
