"Rank","Name","Name__URI","Countries with shoreline","Countries with shoreline__URI","Area","Length","Maximum depth","Water volume","Notes"
"4","Huron[n 2]","http://dbpedia.org/resource/Lake_Huron","United States","http://dbpedia.org/resource/United_States","59,600 km2 (23,000 sq mi)","332 km (206 mi)","229 m (751 ft)","3,540 km3 (850 cu mi)","Contains Manitoulin Island, the world's largest lake island.[18]"
"5","Michigan[n 2]","http://dbpedia.org/resource/Lake_Michigan","United States","http://dbpedia.org/resource/United_States","58,000 km2 (22,000 sq mi)","494 km (307 mi)","281 m (922 ft)","4,900 km3 (1,200 cu mi)","The largest lake (by area) that is located entirely in one country."
"6","Tanganyika","http://dbpedia.org/resource/Lake_Tanganyika","Burundi","http://dbpedia.org/resource/Burundi","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)","Longest freshwater lake in the world and second-largest by volume.[19]"
"6","Tanganyika","http://dbpedia.org/resource/Lake_Tanganyika","Tanzania","http://dbpedia.org/resource/Tanzania","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)","Longest freshwater lake in the world and second-largest by volume.[19]"
"6","Tanganyika","http://dbpedia.org/resource/Lake_Tanganyika","Zambia","http://dbpedia.org/resource/Zambia","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)","Longest freshwater lake in the world and second-largest by volume.[19]"
"6","Tanganyika","http://dbpedia.org/resource/Lake_Tanganyika","Democratic Republic of the Congo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)","Longest freshwater lake in the world and second-largest by volume.[19]"
"7","Baikal","http://dbpedia.org/resource/Lake_Baikal","Russia","http://dbpedia.org/resource/Russia","31,500 km2 (12,200 sq mi)","636 km (395 mi)","1,637 m (5,371 ft)","23,600 km3 (5,700 cu mi)","Deepest lake in the world and largest volume freshwater lake in the world.[20]"
"8","Great Bear Lake","http://dbpedia.org/resource/Great_Bear_Lake","Canada","http://dbpedia.org/resource/Canada","31,000 km2 (12,000 sq mi)","373 km (232 mi)","446 m (1,463 ft)","2,236 km3 (536 cu mi)","Largest lake entirely within Canada[21], and the largest lake situated within the Arctic Circle (albeit only partially)"
"9","Malawi","http://dbpedia.org/resource/Lake_Malawi","Malawi","http://dbpedia.org/resource/Malawi","29,500 km2 (11,400 sq mi)","579 km (360 mi)","706 m (2,316 ft)","8,400 km3 (2,000 cu mi)","Has more species of fish than any other lake in the world.[22]"
"9","Malawi","http://dbpedia.org/resource/Lake_Malawi","Mozambique","http://dbpedia.org/resource/Mozambique","29,500 km2 (11,400 sq mi)","579 km (360 mi)","706 m (2,316 ft)","8,400 km3 (2,000 cu mi)","Has more species of fish than any other lake in the world.[22]"
"9","Malawi","http://dbpedia.org/resource/Lake_Malawi","Tanzania","http://dbpedia.org/resource/Tanzania","29,500 km2 (11,400 sq mi)","579 km (360 mi)","706 m (2,316 ft)","8,400 km3 (2,000 cu mi)","Has more species of fish than any other lake in the world.[22]"
"10","Great Slave Lake","http://dbpedia.org/resource/Great_Slave_Lake","Canada","http://dbpedia.org/resource/Canada","27,000 km2 (10,000 sq mi)","480 km (300 mi)","614 m (2,014 ft)","1,560 km3 (370 cu mi)","Deepest lake in North America[23]"
"11","Erie","http://dbpedia.org/resource/Lake_Erie","United States","http://dbpedia.org/resource/United_States","25,700 km2 (9,900 sq mi)","388 km (241 mi)","64 m (210 ft)","489 km3 (117 cu mi)",""
"11","Erie","http://dbpedia.org/resource/Lake_Erie","Canada","http://dbpedia.org/resource/Canada","25,700 km2 (9,900 sq mi)","388 km (241 mi)","64 m (210 ft)","489 km3 (117 cu mi)",""
"12","Winnipeg","http://dbpedia.org/resource/Lake_Winnipeg","Canada","http://dbpedia.org/resource/Canada","24,514 km2 (9,465 sq mi)","425 km (264 mi)","36 m (118 ft)","283 km3 (68 cu mi)",""
"13","Ontario","http://dbpedia.org/resource/Lake_Ontario","Canada","http://dbpedia.org/resource/Canada","18,960 km2 (7,320 sq mi)","311 km (193 mi)","244 m (801 ft)","1,639 km3 (393 cu mi)",""
"13","Ontario","http://dbpedia.org/resource/Lake_Ontario","United States","http://dbpedia.org/resource/United_States","18,960 km2 (7,320 sq mi)","311 km (193 mi)","244 m (801 ft)","1,639 km3 (393 cu mi)",""
"14","Ladoga","http://dbpedia.org/resource/Lake_Ladoga","Russia","http://dbpedia.org/resource/Russia","18,130 km2 (7,000 sq mi)","219 km (136 mi)","230 m (750 ft)","908 km3 (218 cu mi)","Largest lake solely in Europe[24]"
"15","Balkhash*","http://dbpedia.org/resource/Lake_Balkhash","Kazakhstan","http://dbpedia.org/resource/Kazakhstan","16,400 km2 (6,300 sq mi)","605 km (376 mi)","26 m (85 ft)","106 km3 (25 cu mi)",""
"16","Vostok","http://dbpedia.org/resource/Lake_Vostok","Antarctica","http://dbpedia.org/resource/Antarctica","12,500 km2 (4,800 sq mi)","250 km (160 mi)","900–1,000 m (3,000–3,300 ft)","5,400 ± 1,600 km3 (1,300 ± 380 cu mi)","Largest lake in Antarctica"
"17","Onega","http://dbpedia.org/resource/Lake_Onega","Russia","http://dbpedia.org/resource/Russia","9,700 km2 (3,700 sq mi)","245 km (152 mi)","127 m (417 ft)","285 km3 (68 cu mi)",""
"18","Titicaca","http://dbpedia.org/resource/Lake_Titicaca","Bolivia","http://dbpedia.org/resource/Bolivia","8,372 km2 (3,232 sq mi)","177 km (110 mi)","281 m (922 ft)","893 km3 (214 cu mi)","Highest navigable lake in the world and largest lake in South America."
"18","Titicaca","http://dbpedia.org/resource/Lake_Titicaca","Peru","http://dbpedia.org/resource/Peru","8,372 km2 (3,232 sq mi)","177 km (110 mi)","281 m (922 ft)","893 km3 (214 cu mi)","Highest navigable lake in the world and largest lake in South America."
"19","Nicaragua","http://dbpedia.org/resource/Lake_Nicaragua","Nicaragua","http://dbpedia.org/resource/Nicaragua","8,264 km2 (3,191 sq mi)","177 km (110 mi)","26 m (85 ft)","108 km3 (26 cu mi)",""
"20","Athabasca","http://dbpedia.org/resource/Lake_Athabasca","Canada","http://dbpedia.org/resource/Canada","7,850 km2 (3,030 sq mi)","335 km (208 mi)","243 m (797 ft)","204 km3 (49 cu mi)",""
"21","Taymyr","http://dbpedia.org/resource/Lake_Taymyr","Russia","http://dbpedia.org/resource/Russia","6,990 km2 (2,700 sq mi)","250 km (160 mi)","26 m (85 ft)","12.8 km3 (3.1 cu mi)","Largest lake entirely within the Arctic Circle."
"22","Turkana*","http://dbpedia.org/resource/Lake_Turkana","Ethiopia","http://dbpedia.org/resource/Ethiopia","6,405 km2 (2,473 sq mi)","248 km (154 mi)","109 m (358 ft)","204 km3 (49 cu mi)","Largest permanent desert lake and the world's largest alkaline lake.[25]"
"22","Turkana*","http://dbpedia.org/resource/Lake_Turkana","Kenya","http://dbpedia.org/resource/Kenya","6,405 km2 (2,473 sq mi)","248 km (154 mi)","109 m (358 ft)","204 km3 (49 cu mi)","Largest permanent desert lake and the world's largest alkaline lake.[25]"
"23","Reindeer Lake","http://dbpedia.org/resource/Reindeer_Lake","Canada","http://dbpedia.org/resource/Canada","6,330 km2 (2,440 sq mi)","245 km (152 mi)","337 m (1,106 ft)","95.25 km3 (22.85 cu mi)",""
"24","Issyk-Kul*","http://dbpedia.org/resource/Issyk-Kul","Kyrgyzstan","http://dbpedia.org/resource/Kyrgyzstan","6,200 km2 (2,400 sq mi)","182 km (113 mi)","668 m (2,192 ft)","1,738 km3 (417 cu mi)",""
"25","Urmia*","http://dbpedia.org/resource/Lake_Urmia","Iran","http://dbpedia.org/resource/Iran","6,001 km2 (2,317 sq mi)","130 km (81 mi)","16 m (52 ft)","",""
"26","Vänern","http://dbpedia.org/resource/Vänern","Sweden","http://dbpedia.org/resource/Sweden","5,545 km2 (2,141 sq mi)","140 km (87 mi)","106 m (348 ft)","153 km3 (37 cu mi)","Largest lake in the European Union"
"27","Winnipegosis","http://dbpedia.org/resource/Lake_Winnipegosis","Canada","http://dbpedia.org/resource/Canada","5,403 km2 (2,086 sq mi)","245 km (152 mi)","18 m (59 ft)","",""
"28","Albert","http://dbpedia.org/resource/Lake_Albert_(Uganda)","Uganda","http://dbpedia.org/resource/Uganda","5,299 km2 (2,046 sq mi)","161 km (100 mi)","58 m (190 ft)","280 km3 (67 cu mi)",""
"28","Albert","http://dbpedia.org/resource/Lake_Albert_(Uganda)","Democratic Republic of the Congo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","5,299 km2 (2,046 sq mi)","161 km (100 mi)","58 m (190 ft)","280 km3 (67 cu mi)",""
"29","Mweru","http://dbpedia.org/resource/Lake_Mweru","Zambia","http://dbpedia.org/resource/Zambia","5,120 km2 (1,980 sq mi)","131 km (81 mi)","27 m (89 ft)","38 km3 (9.1 cu mi)",""
"29","Mweru","http://dbpedia.org/resource/Lake_Mweru","Democratic Republic of the Congo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","5,120 km2 (1,980 sq mi)","131 km (81 mi)","27 m (89 ft)","38 km3 (9.1 cu mi)",""
"30","Nettilling","http://dbpedia.org/resource/Nettilling_Lake","Canada","http://dbpedia.org/resource/Canada","5,066 km2 (1,956 sq mi)","113 km (70 mi)","132 m (433 ft)","","Lake is on Baffin Island and is the largest lake on an island.[26]"
"31","Nipigon","http://dbpedia.org/resource/Lake_Nipigon","Canada","http://dbpedia.org/resource/Canada","4,843 km2 (1,870 sq mi)","116 km (72 mi)","165 m (541 ft)","248 km3 (59 cu mi)",""
"32","Manitoba","http://dbpedia.org/resource/Lake_Manitoba","Canada","http://dbpedia.org/resource/Canada","4,706 km2 (1,817 sq mi)","225 km (140 mi)","7 m (23 ft)","14.1 km3 (3.4 cu mi)",""
"33","Great Salt Lake","http://dbpedia.org/resource/Great_Salt_Lake","United States","http://dbpedia.org/resource/United_States","4,662 km2 (1,800 sq mi)","121 km (75 mi)","10 m (33 ft)","18.92 km3 (4.54 cu mi)",""
"34","Qinghai Lake*","http://dbpedia.org/resource/Qinghai_Lake","China","http://dbpedia.org/resource/China","4,489 km2 (1,733 sq mi)","","32.8 m (108 ft)","",""
"35","Saimaa","http://dbpedia.org/resource/Saimaa","Finland","http://dbpedia.org/resource/Finland","≈ 4,400 km2 (1,700 sq mi)","","82 m (269 ft)","36 km3 (8.6 cu mi)",""
"36","Lake of the Woods","http://dbpedia.org/resource/Lake_of_the_Woods","Canada","http://dbpedia.org/resource/Canada","4,350 km2 (1,680 sq mi)","110 km (68 mi)","64 m (210 ft)","19.4 km3 (4.7 cu mi)",""
"36","Lake of the Woods","http://dbpedia.org/resource/Lake_of_the_Woods","United States","http://dbpedia.org/resource/United_States","4,350 km2 (1,680 sq mi)","110 km (68 mi)","64 m (210 ft)","19.4 km3 (4.7 cu mi)",""
"37","Khanka","http://dbpedia.org/resource/Lake_Khanka","China","http://dbpedia.org/resource/China","4,190 km2 (1,620 sq mi)","90 km (56 mi)","10.6 m (35 ft)","18.3 km3 (4.4 cu mi)",""
"37","Khanka","http://dbpedia.org/resource/Lake_Khanka","Russia","http://dbpedia.org/resource/Russia","4,190 km2 (1,620 sq mi)","90 km (56 mi)","10.6 m (35 ft)","18.3 km3 (4.4 cu mi)",""
"38","Sarygamysh","http://dbpedia.org/resource/Sarygamysh_Lake","Uzbekistan","http://dbpedia.org/resource/Uzbekistan","3,955 km2 (1,527 sq mi)","125 km (78 mi)","40 m (130 ft)","68.56 km3 (16.45 cu mi)",""
"38","Sarygamysh","http://dbpedia.org/resource/Sarygamysh_Lake","Turkmenistan","http://dbpedia.org/resource/Turkmenistan","3,955 km2 (1,527 sq mi)","125 km (78 mi)","40 m (130 ft)","68.56 km3 (16.45 cu mi)",""
"39","Dubawnt","http://dbpedia.org/resource/Dubawnt_Lake","Canada","http://dbpedia.org/resource/Canada","3,833 km2 (1,480 sq mi)","","","",""
"40","Van*","http://dbpedia.org/resource/Lake_Van","Turkey","http://dbpedia.org/resource/Turkey","3,755 km2 (1,450 sq mi)","119 km (74 mi)","451 m (1,480 ft)","607 km3 (146 cu mi)",""
"41","Peipus","http://dbpedia.org/resource/Lake_Peipus","Estonia","http://dbpedia.org/resource/Estonia","3,555 km2 (1,373 sq mi)","","15.3 m (50 ft)","25 km3 (6.0 cu mi)",""
"41","Peipus","http://dbpedia.org/resource/Lake_Peipus","Russia","http://dbpedia.org/resource/Russia","3,555 km2 (1,373 sq mi)","","15.3 m (50 ft)","25 km3 (6.0 cu mi)",""
"42","Uvs*","http://dbpedia.org/resource/Uvs_Lake","Mongolia","http://dbpedia.org/resource/Mongolia","3,350 km2 (1,290 sq mi)","84 km (52 mi)","","",""
"43","Poyang","http://dbpedia.org/resource/Poyang_Lake","China","http://dbpedia.org/resource/China","3,210 km2 (1,240 sq mi)","170 km (110 mi)","25.1 m (82 ft)","25.2 km3 (6.0 cu mi)",""
"44","Tana","http://dbpedia.org/resource/Lake_Tana","Ethiopia","http://dbpedia.org/resource/Ethiopia","3,200 km2 (1,200 sq mi)","84 km (52 mi)","15 m (49 ft)","",""
"45","Amadjuak","http://dbpedia.org/resource/Amadjuak_Lake","Canada","http://dbpedia.org/resource/Canada","3,115 km2 (1,203 sq mi)","","","",""
"46","Melville*","http://dbpedia.org/resource/Lake_Melville","Canada","http://dbpedia.org/resource/Canada","3,069 km2 (1,185 sq mi)","","","",""
"47","Bangweulu","http://dbpedia.org/resource/Lake_Bangweulu","Zambia","http://dbpedia.org/resource/Zambia","3,000 km2 (1,200 sq mi)","75 km (47 mi)","4 m (13 ft)","",""
