"oldParty","oldParty__URI","originalIdeology","originalIdeology__URI","newParty","newParty__URI","currentIdeology","currentIdeology__URI","extinctionYear"
"Sinistra Democratica","http://dbpedia.org/resource/Democratic_Left_(Italy)","Green politics","http://dbpedia.org/resource/Green_politics","Sinistra Ecologia Libertà","http://dbpedia.org/resource/Left_Ecology_Freedom","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","2010"
"Riformatori Liberali","http://dbpedia.org/resource/Liberal_Reformers","Libertarianism","http://dbpedia.org/resource/Libertarianism","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2009"
"Riformatori Liberali","http://dbpedia.org/resource/Liberal_Reformers","Libertarianism","http://dbpedia.org/resource/Libertarianism","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Christian democracy","http://dbpedia.org/resource/Christian_democracy","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Christian democracy","http://dbpedia.org/resource/Christian_democracy","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2009"
"Democrazia Cristiana per le Autonomie","http://dbpedia.org/resource/Christian_Democracy_for_the_Autonomies","Christian democracy","http://dbpedia.org/resource/Christian_democracy","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2009"
"Democrazia Cristiana per le Autonomie","http://dbpedia.org/resource/Christian_Democracy_for_the_Autonomies","Christian democracy","http://dbpedia.org/resource/Christian_democracy","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberalism","http://dbpedia.org/resource/Liberalism","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberalism","http://dbpedia.org/resource/Liberalism","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2009"
"Riformatori Liberali","http://dbpedia.org/resource/Liberal_Reformers","Liberalism","http://dbpedia.org/resource/Liberalism","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2009"
"Riformatori Liberali","http://dbpedia.org/resource/Liberal_Reformers","Liberalism","http://dbpedia.org/resource/Liberalism","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2009"
"Riformatori Liberali","http://dbpedia.org/resource/Liberal_Reformers","Libertarianism","http://dbpedia.org/resource/Libertarianism","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2009"
"Riformatori Liberali","http://dbpedia.org/resource/Liberal_Reformers","Libertarianism","http://dbpedia.org/resource/Libertarianism","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberalism","http://dbpedia.org/resource/Liberalism","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberalism","http://dbpedia.org/resource/Liberalism","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2009"
"Riformatori Liberali","http://dbpedia.org/resource/Liberal_Reformers","Liberalism","http://dbpedia.org/resource/Liberalism","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2009"
"Riformatori Liberali","http://dbpedia.org/resource/Liberal_Reformers","Liberalism","http://dbpedia.org/resource/Liberalism","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Liberalism","http://dbpedia.org/resource/Liberalism","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Liberalism","http://dbpedia.org/resource/Liberalism","2009"
"Riformatori Liberali","http://dbpedia.org/resource/Liberal_Reformers","Libertarianism","http://dbpedia.org/resource/Libertarianism","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Liberalism","http://dbpedia.org/resource/Liberalism","2009"
"Riformatori Liberali","http://dbpedia.org/resource/Liberal_Reformers","Libertarianism","http://dbpedia.org/resource/Libertarianism","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Liberalism","http://dbpedia.org/resource/Liberalism","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Christian democracy","http://dbpedia.org/resource/Christian_democracy","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Liberalism","http://dbpedia.org/resource/Liberalism","2009"
"Forza Italia","http://dbpedia.org/resource/Forza_Italia","Christian democracy","http://dbpedia.org/resource/Christian_democracy","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Liberalism","http://dbpedia.org/resource/Liberalism","2009"
"Democrazia Cristiana per le Autonomie","http://dbpedia.org/resource/Christian_Democracy_for_the_Autonomies","Christian democracy","http://dbpedia.org/resource/Christian_democracy","The People of Freedom","http://dbpedia.org/resource/The_People_of_Freedom","Liberalism","http://dbpedia.org/resource/Liberalism","2009"
"Democrazia Cristiana per le Autonomie","http://dbpedia.org/resource/Christian_Democracy_for_the_Autonomies","Christian democracy","http://dbpedia.org/resource/Christian_democracy","Il Popolo della Libertà","http://dbpedia.org/resource/The_People_of_Freedom","Liberalism","http://dbpedia.org/resource/Liberalism","2009"
"Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Christian democracy","http://dbpedia.org/resource/Christian_democracy","Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","2007"
"Democratici di Sinistra","http://dbpedia.org/resource/Democrats_of_the_Left","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","2007"
"Democrats of the Left","http://dbpedia.org/resource/Democrats_of_the_Left","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","2007"
"Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Social democracy","http://dbpedia.org/resource/Social_democracy","Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","2007"
"Democratici di Sinistra","http://dbpedia.org/resource/Democrats_of_the_Left","Social democracy","http://dbpedia.org/resource/Social_democracy","Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","2007"
"Democrats of the Left","http://dbpedia.org/resource/Democrats_of_the_Left","Social democracy","http://dbpedia.org/resource/Social_democracy","Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","2007"
"Democrats of the Left","http://dbpedia.org/resource/Democrats_of_the_Left","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy)","Social democracy","http://dbpedia.org/resource/Social_democracy","2007"
"Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy)","Social democracy","http://dbpedia.org/resource/Social_democracy","2007"
"Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Christian democracy","http://dbpedia.org/resource/Christian_democracy","Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy)","Social democracy","http://dbpedia.org/resource/Social_democracy","2007"
"Democratici di Sinistra","http://dbpedia.org/resource/Democrats_of_the_Left","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy)","Social democracy","http://dbpedia.org/resource/Social_democracy","2007"
"Associazione per la Rosa bel Pugno","http://dbpedia.org/resource/Association_for_the_Rose_in_the_Fist","Liberalism","http://dbpedia.org/resource/Liberalism","Partito Socialista Italiano","http://dbpedia.org/resource/Italian_Socialist_Party_(2007)","Social democracy","http://dbpedia.org/resource/Social_democracy","2007"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Environmentalism","http://dbpedia.org/resource/Environmentalism","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2006"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Social democracy","http://dbpedia.org/resource/Social_democracy","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2006"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Regionalism (politics)","http://dbpedia.org/resource/Regionalism_(politics)","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2006"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2006"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Environmentalism","http://dbpedia.org/resource/Environmentalism","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2006"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Social democracy","http://dbpedia.org/resource/Social_democracy","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2006"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Regionalism (politics)","http://dbpedia.org/resource/Regionalism_(politics)","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2006"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2006"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Environmentalism","http://dbpedia.org/resource/Environmentalism","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberalism","http://dbpedia.org/resource/Liberalism","2006"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Social democracy","http://dbpedia.org/resource/Social_democracy","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberalism","http://dbpedia.org/resource/Liberalism","2006"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Regionalism (politics)","http://dbpedia.org/resource/Regionalism_(politics)","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberalism","http://dbpedia.org/resource/Liberalism","2006"
"Lista per Trieste","http://dbpedia.org/resource/List_for_Trieste","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberalism","http://dbpedia.org/resource/Liberalism","2006"
"Rinnovamento Italiano","http://dbpedia.org/resource/Italian_Renewal","Liberalism","http://dbpedia.org/resource/Liberalism","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2002"
"Partito Popolare Italiano","http://dbpedia.org/resource/Italian_People's_Party_(1994)","Christian democracy","http://dbpedia.org/resource/Christian_democracy","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Social liberalism","http://dbpedia.org/resource/Social_liberalism","2002"
"Rinnovamento Italiano","http://dbpedia.org/resource/Italian_Renewal","Liberalism","http://dbpedia.org/resource/Liberalism","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Social liberalism","http://dbpedia.org/resource/Social_liberalism","2002"
"Rinnovamento Italiano","http://dbpedia.org/resource/Italian_Renewal","Liberalism","http://dbpedia.org/resource/Liberalism","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Social democracy","http://dbpedia.org/resource/Social_democracy","2002"
"Partito Popolare Italiano","http://dbpedia.org/resource/Italian_People's_Party_(1994)","Christian democracy","http://dbpedia.org/resource/Christian_democracy","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Social democracy","http://dbpedia.org/resource/Social_democracy","2002"
"I Democratici","http://dbpedia.org/resource/The_Democrats_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2002"
"I Democratici","http://dbpedia.org/resource/The_Democrats_(Italy)","Social democracy","http://dbpedia.org/resource/Social_democracy","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2002"
"The Democrats","http://dbpedia.org/resource/The_Democrats_(Italy)","Social democracy","http://dbpedia.org/resource/Social_democracy","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2002"
"The Democrats","http://dbpedia.org/resource/The_Democrats_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Christian democracy","http://dbpedia.org/resource/Christian_democracy","2002"
"I Democratici","http://dbpedia.org/resource/The_Democrats_(Italy)","Social democracy","http://dbpedia.org/resource/Social_democracy","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Social liberalism","http://dbpedia.org/resource/Social_liberalism","2002"
"The Democrats","http://dbpedia.org/resource/The_Democrats_(Italy)","Social democracy","http://dbpedia.org/resource/Social_democracy","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Social liberalism","http://dbpedia.org/resource/Social_liberalism","2002"
"I Democratici","http://dbpedia.org/resource/The_Democrats_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Social democracy","http://dbpedia.org/resource/Social_democracy","2002"
"The Democrats","http://dbpedia.org/resource/The_Democrats_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Democrazia è Libertà – La Margherita","http://dbpedia.org/resource/Democracy_is_Freedom_–_The_Daisy","Social democracy","http://dbpedia.org/resource/Social_democracy","2002"
"Partito Socialista","http://dbpedia.org/resource/Socialist_Party_(Italy,_1996)","Social democracy","http://dbpedia.org/resource/Social_democracy","Nuovo Partito Socialista Italiano","http://dbpedia.org/resource/New_Italian_Socialist_Party","Social liberalism","http://dbpedia.org/resource/Social_liberalism","2001"
"Unione Democratica","http://dbpedia.org/resource/Democratic_Union_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","I Democratici","http://dbpedia.org/resource/The_Democrats_(Italy)","Social democracy","http://dbpedia.org/resource/Social_democracy","1999"
"Unione Democratica","http://dbpedia.org/resource/Democratic_Union_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","The Democrats","http://dbpedia.org/resource/The_Democrats_(Italy)","Social democracy","http://dbpedia.org/resource/Social_democracy","1999"
"Movimento dei Comunisti Unitari","http://dbpedia.org/resource/Movement_of_Unitarian_Communists","Communism","http://dbpedia.org/resource/Communism","Democratici di Sinistra","http://dbpedia.org/resource/Democrats_of_the_Left","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","1998"
"Movimento dei Comunisti Unitari","http://dbpedia.org/resource/Movement_of_Unitarian_Communists","Communism","http://dbpedia.org/resource/Communism","Democrats of the Left","http://dbpedia.org/resource/Democrats_of_the_Left","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","1998"
"Movimento dei Comunisti Unitari","http://dbpedia.org/resource/Movement_of_Unitarian_Communists","Communism","http://dbpedia.org/resource/Communism","Democrats of the Left","http://dbpedia.org/resource/Democrats_of_the_Left","Social democracy","http://dbpedia.org/resource/Social_democracy","1998"
"Movimento dei Comunisti Unitari","http://dbpedia.org/resource/Movement_of_Unitarian_Communists","Communism","http://dbpedia.org/resource/Communism","Democratici di Sinistra","http://dbpedia.org/resource/Democrats_of_the_Left","Social democracy","http://dbpedia.org/resource/Social_democracy","1998"
"Unione di Centro","http://dbpedia.org/resource/Union_of_the_Centre_(1993)","Liberalism","http://dbpedia.org/resource/Liberalism","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","1998"
"Unione di Centro","http://dbpedia.org/resource/Union_of_the_Centre_(1993)","Liberalism","http://dbpedia.org/resource/Liberalism","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Christian democracy","http://dbpedia.org/resource/Christian_democracy","1998"
"Polo Liberal Democratico","http://dbpedia.org/resource/Liberal_Democratic_Pole","Liberalism","http://dbpedia.org/resource/Liberalism","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","1994"
"Polo Liberal Democratico","http://dbpedia.org/resource/Liberal_Democratic_Pole","Liberalism","http://dbpedia.org/resource/Liberalism","Forza Italia","http://dbpedia.org/resource/Forza_Italia","Christian democracy","http://dbpedia.org/resource/Christian_democracy","1994"
"Democrazia Proletaria","http://dbpedia.org/resource/Proletarian_Democracy","Eco-socialism","http://dbpedia.org/resource/Eco-socialism","Partito della Rifondazione Comunista","http://dbpedia.org/resource/Communist_Refoundation_Party","Communism","http://dbpedia.org/resource/Communism","1991"
"Verdi Arcobaleno","http://dbpedia.org/resource/Rainbow_Greens","Eco-socialism","http://dbpedia.org/resource/Eco-socialism","Federazione dei Verdi","http://dbpedia.org/resource/Federation_of_the_Greens","Green politics","http://dbpedia.org/resource/Green_politics","1990"
"Liste Verdi","http://dbpedia.org/resource/Green_Lists","Eco-socialism","http://dbpedia.org/resource/Eco-socialism","Federazione dei Verdi","http://dbpedia.org/resource/Federation_of_the_Greens","Green politics","http://dbpedia.org/resource/Green_politics","1990"
"Verdi Arcobaleno","http://dbpedia.org/resource/Rainbow_Greens","Green politics","http://dbpedia.org/resource/Green_politics","Federazione dei Verdi","http://dbpedia.org/resource/Federation_of_the_Greens","Eco-socialism","http://dbpedia.org/resource/Eco-socialism","1990"
"Liste Verdi","http://dbpedia.org/resource/Green_Lists","Green politics","http://dbpedia.org/resource/Green_politics","Federazione dei Verdi","http://dbpedia.org/resource/Federation_of_the_Greens","Eco-socialism","http://dbpedia.org/resource/Eco-socialism","1990"
"Radical Party","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Verdi Arcobaleno","http://dbpedia.org/resource/Rainbow_Greens","Green politics","http://dbpedia.org/resource/Green_politics","1989"
"Partito Radicale","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Verdi Arcobaleno","http://dbpedia.org/resource/Rainbow_Greens","Green politics","http://dbpedia.org/resource/Green_politics","1989"
"Radical Party","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Pannella List","http://dbpedia.org/resource/Pannella_List","Libertarianism","http://dbpedia.org/resource/Libertarianism","1989"
"Radical Party","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Lista Pannella","http://dbpedia.org/resource/Pannella_List","Libertarianism","http://dbpedia.org/resource/Libertarianism","1989"
"Partito Radicale","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Pannella List","http://dbpedia.org/resource/Pannella_List","Libertarianism","http://dbpedia.org/resource/Libertarianism","1989"
"Partito Radicale","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Lista Pannella","http://dbpedia.org/resource/Pannella_List","Libertarianism","http://dbpedia.org/resource/Libertarianism","1989"
"Radical Party","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Verdi Arcobaleno","http://dbpedia.org/resource/Rainbow_Greens","Eco-socialism","http://dbpedia.org/resource/Eco-socialism","1989"
"Partito Radicale","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Verdi Arcobaleno","http://dbpedia.org/resource/Rainbow_Greens","Eco-socialism","http://dbpedia.org/resource/Eco-socialism","1989"
"Radical Party","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Pannella List","http://dbpedia.org/resource/Pannella_List","Liberalism","http://dbpedia.org/resource/Liberalism","1989"
"Radical Party","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Lista Pannella","http://dbpedia.org/resource/Pannella_List","Liberalism","http://dbpedia.org/resource/Liberalism","1989"
"Partito Radicale","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Pannella List","http://dbpedia.org/resource/Pannella_List","Liberalism","http://dbpedia.org/resource/Liberalism","1989"
"Partito Radicale","http://dbpedia.org/resource/Radical_Party_(Italy)","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Lista Pannella","http://dbpedia.org/resource/Pannella_List","Liberalism","http://dbpedia.org/resource/Liberalism","1989"
"Partito di Unità Proletaria","http://dbpedia.org/resource/Proletarian_Unity_Party_(Italy)","Communism","http://dbpedia.org/resource/Communism","Italian Communist Party","http://dbpedia.org/resource/Italian_Communist_Party","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","1984"
"Partito di Unità Proletaria","http://dbpedia.org/resource/Proletarian_Unity_Party_(Italy)","Communism","http://dbpedia.org/resource/Communism","Partito Comunista Italiano","http://dbpedia.org/resource/Italian_Communist_Party","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","1984"
"Partito Democratico del Lavoro","http://dbpedia.org/resource/Labour_Democratic_Party","Social democracy","http://dbpedia.org/resource/Social_democracy","Partito Socialista Italiano","http://dbpedia.org/resource/Italian_Socialist_Party","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","1948"
"Partito Democratico del Lavoro","http://dbpedia.org/resource/Labour_Democratic_Party","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Partito Socialista Italiano","http://dbpedia.org/resource/Italian_Socialist_Party","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","1948"
