"Rank","Name","Name__URI","Industry","Industry__URI","Revenue (USD millions)","Profit (USD millions)","Employees","Country","Country__URI"
"25","AT&T","http://dbpedia.org/resource/AT&T","Telecommunicationsss","http://dbpedia.org/resource/Telecommunication","$170,756","$19,370","254,000","United States","http://dbpedia.org/resource/United_States"
"26","ICBC","http://dbpedia.org/resource/Industrial_and_Commercial_Bank_of_China","Financialls","http://dbpedia.org/resource/Financial_services","$168,979","$45,002","449,296","Chinaa","http://dbpedia.org/resource/China"
"27","AmerisourceBergen","http://dbpedia.org/resource/AmerisourceBergen","Pharmaceuticalss","http://dbpedia.org/resource/Pharmaceutical_industry","$167,939","$1,658","20,500","United Statess","http://dbpedia.org/resource/United_States"
"28","Chevron","http://dbpedia.org/resource/Chevron_Corporation","Oil  and gas","http://dbpedia.org/resource/Petroleum_industry","$166,339","$14,824","48,600","United Statess","http://dbpedia.org/resource/United_States"
"29","Ping An Insurance","http://dbpedia.org/resource/Ping_An_Insurance","Financialsss","http://dbpedia.org/resource/Financial_services","$163,597","$16,237","342,550","CChina","http://dbpedia.org/resource/China"
"30","Ford","http://dbpedia.org/resource/Ford_Motor_Company","Automotivee","http://dbpedia.org/resource/Automotive_industry","$160,338","$3,677","199,000","United Statess","http://dbpedia.org/resource/United_States"
"31","China Construction Bank","http://dbpedia.org/resource/China_Construction_Bank","Financialss","http://dbpedia.org/resource/Financial_services","$151,110","$38,498","366,996","CChina","http://dbpedia.org/resource/China"
"32","General Motors","http://dbpedia.org/resource/General_Motors","Automotiveee","http://dbpedia.org/resource/Automotive_industry","$147,049","$8,014","173,000","United States","http://dbpedia.org/resource/United_States"
"33","Mitsubishi","http://dbpedia.org/resource/Mitsubishi","Conglomeratee","http://dbpedia.org/resource/Conglomerate_(company)","$145,243","$5,328","79,994","Japann","http://dbpedia.org/resource/Japan"
"34","Honda","http://dbpedia.org/resource/Honda","Automotiveee","http://dbpedia.org/resource/Automotive_industry","$143,302","$5,504","219,772","JJapan","http://dbpedia.org/resource/Japan"
"35","Costco","http://dbpedia.org/resource/Costco","Retail","http://dbpedia.org/resource/Retail","$141,576","$3,134","194,000","United States","http://dbpedia.org/resource/United_States"
"36","Agricultural Bank of China","http://dbpedia.org/resource/Agricultural_Bank_of_China","Finanncialss","http://dbpedia.org/resource/Financial_services","$139,523","$30,656","477,526","China","http://dbpedia.org/resource/China"
"37","Alphabet","http://dbpedia.org/resource/Alphabet_Inc.","Internett","http://dbpedia.org/resource/Internet","$136,819","$30,736","98,771","United Statess","http://dbpedia.org/resource/United_States"
"38","Cardinal Health","http://dbpedia.org/resource/Cardinal_Health","Pharmaceuticals","http://dbpedia.org/resource/Pharmaceutical_industry","$136,809","$256","50,200","United Statess","http://dbpedia.org/resource/United_States"
"39","SAIC Motor","http://dbpedia.org/resource/SAIC_Motor","Automotivee","http://dbpedia.org/resource/Automotive_industry","$136,392","$5,443","147,738","China","http://dbpedia.org/resource/China"
"40","Walgreens Boots Alliance","http://dbpedia.org/resource/Walgreens_Boots_Alliance","Retaill","http://dbpedia.org/resource/Retail","$131,537","$5,024","299,000","United States","http://dbpedia.org/resource/United_States"
"41","JPMorgan Chase","http://dbpedia.org/resource/JPMorgan_Chase","Financialsss","http://dbpedia.org/resource/Financial_services","$131,412","$32,474","256,105","United SStates","http://dbpedia.org/resource/United_States"
"42","Gazprom","http://dbpedia.org/resource/Gazprom","Oiil and ggas","http://dbpedia.org/resource/Petroleum_industry","$131,302","$23,199","466,100","Russiia","http://dbpedia.org/resource/Russia"
"43","Verizon","http://dbpedia.org/resource/Verizon_Communications","Telecommunicationss","http://dbpedia.org/resource/Telecommunication","$130,863","$15,528","144,500","United States","http://dbpedia.org/resource/United_States"
"44","Bank of China","http://dbpedia.org/resource/Bank_of_China","Financialss","http://dbpedia.org/resource/Financial_services","$127,714","$27,255","310,119","Chinaa","http://dbpedia.org/resource/China"
"45","Allianz","http://dbpedia.org/resource/Allianz","Financialsss","http://dbpedia.org/resource/Financial_services","$126,779","$8,806","142,460","Germanyy","http://dbpedia.org/resource/Germany"
"46","AXA","http://dbpedia.org/resource/AXA","Financialss","http://dbpedia.org/resource/Financial_services","$125,578","$2,525","104,065","France","http://dbpedia.org/resource/France"
"47","Kroger","http://dbpedia.org/resource/Kroger","Retaill","http://dbpedia.org/resource/Retail","$121,162","$3,110","453,000","United States","http://dbpedia.org/resource/United_States"
"48","General Electric","http://dbpedia.org/resource/General_Electric","Conglommeratee","http://dbpedia.org/resource/Conglomerate_(company)","$120,268","-$22,355","283,000","United Statess","http://dbpedia.org/resource/United_States"
"49","Fannie Mae","http://dbpedia.org/resource/Fannie_Mae","Financialls","http://dbpedia.org/resource/Financial_services","$120,101","$15,959","7,400","United States","http://dbpedia.org/resource/United_States"
"50","Lukoil","http://dbpedia.org/resource/Lukoil","Oil and gasss","http://dbpedia.org/resource/Petroleum_industry","$119,145","$9,863","102,500","Russiaa","http://dbpedia.org/resource/France"
