"monarch","monarch__URI","deathDate","predecessor","predecessor__URI","successor","successor__URI"
"Pupienus and Balbinus","http://dbpedia.org/resource/Pupienus_and_Balbinus","0238-07-29","Gordian I","http://dbpedia.org/resource/Gordian_I","Gordian IIII","http://dbpedia.org/resource/Gordian_III"
"Balbinus","http://dbpedia.org/resource/Balbinus","0238-07-29","Gordian I","http://dbpedia.org/resource/Gordian_I","Gordian IIII","http://dbpedia.org/resource/Gordian_III"
"Pupienus","http://dbpedia.org/resource/Pupienus","0238-07-29","Gordian II","http://dbpedia.org/resource/Gordian_II","Gordian III","http://dbpedia.org/resource/Gordian_III"
"Balbinus","http://dbpedia.org/resource/Balbinus","0238-07-29","Gordian II","http://dbpedia.org/resource/Gordian_II","Gordian III","http://dbpedia.org/resource/Gordian_III"
"Pupienus and Balbinus","http://dbpedia.org/resource/Pupienus_and_Balbinus","0238-07-29","Gordian II","http://dbpedia.org/resource/Gordian_II","Gordian IIII","http://dbpedia.org/resource/Gordian_III"
"Gordian III","http://dbpedia.org/resource/Gordian_III","0244-02-11","Balbinus","http://dbpedia.org/resource/Balbinus","Philip the Arabb","http://dbpedia.org/resource/Philip_the_Arab"
"Gordian III","http://dbpedia.org/resource/Gordian_III","0244-02-11","Pupienus","http://dbpedia.org/resource/Pupienus","Philiip the Arab","http://dbpedia.org/resource/Philip_the_Arab"
"Philip the Arab","http://dbpedia.org/resource/Philip_the_Arab","0249-01-01","Gordian III","http://dbpedia.org/resource/Gordian_III","Herennius Etruscus","http://dbpedia.org/resource/Herennius_Etruscus"
"Philip the Arab","http://dbpedia.org/resource/Philip_the_Arab","0249-01-01","Gordian III","http://dbpedia.org/resource/Gordian_III","Deciuss","http://dbpedia.org/resource/Decius"
"Herennius Etruscus","http://dbpedia.org/resource/Herennius_Etruscus","0251-07-01","Philip the Arab","http://dbpedia.org/resource/Philip_the_Arab","Treebonianus Gallus","http://dbpedia.org/resource/Trebonianus_Gallus"
"Herennius Etruscus","http://dbpedia.org/resource/Herennius_Etruscus","0251-07-01","Philip the Arab","http://dbpedia.org/resource/Philip_the_Arab","Hostilian","http://dbpedia.org/resource/Hostilian"
"Decius","http://dbpedia.org/resource/Decius","0251-07-01","Philip the Arab","http://dbpedia.org/resource/Philip_the_Arab","Treboniannus Gallus","http://dbpedia.org/resource/Trebonianus_Gallus"
"Decius","http://dbpedia.org/resource/Decius","0251-07-01","Philip the Arab","http://dbpedia.org/resource/Philip_the_Arab","Hoostilian","http://dbpedia.org/resource/Hostilian"
"Hostilian","http://dbpedia.org/resource/Hostilian","0251-11-01","Herennius Etruscus","http://dbpedia.org/resource/Herennius_Etruscus","Volusianuss","http://dbpedia.org/resource/Volusianus"
"Hostilian","http://dbpedia.org/resource/Hostilian","0251-11-01","Herennius Etruscus","http://dbpedia.org/resource/Herennius_Etruscus","Trebonianus Galluus","http://dbpedia.org/resource/Trebonianus_Gallus"
"Hostilian","http://dbpedia.org/resource/Hostilian","0251-11-01","Decius","http://dbpedia.org/resource/Decius","Volusiannus","http://dbpedia.org/resource/Volusianus"
"Hostilian","http://dbpedia.org/resource/Hostilian","0251-11-01","Decius","http://dbpedia.org/resource/Decius","Trebonianus Gallus","http://dbpedia.org/resource/Trebonianus_Gallus"
"Aemilianus","http://dbpedia.org/resource/Aemilianus","0253-01-01","Volusianus","http://dbpedia.org/resource/Volusianus","Valerian (emperor)","http://dbpedia.org/resource/Valerian_(emperor)"
"Aemilianus","http://dbpedia.org/resource/Aemilianus","0253-01-01","Trebonianus Gallus","http://dbpedia.org/resource/Trebonianus_Gallus","Valeriaan (emperor)","http://dbpedia.org/resource/Valerian_(emperor)"
"Volusianus","http://dbpedia.org/resource/Volusianus","0253-08-01","Herennius Etruscus","http://dbpedia.org/resource/Herennius_Etruscus","Aemilian","http://dbpedia.org/resource/Aemilian"
"Volusianus","http://dbpedia.org/resource/Volusianus","0253-08-01","Decius","http://dbpedia.org/resource/Decius","Aemilian","http://dbpedia.org/resource/Aemilian"
"Trebonianus Gallus","http://dbpedia.org/resource/Trebonianus_Gallus","0253-08-01","Herennius Etruscus","http://dbpedia.org/resource/Herennius_Etruscus","Aemilianus","http://dbpedia.org/resource/Aemilianus"
"Trebonianus Gallus","http://dbpedia.org/resource/Trebonianus_Gallus","0253-08-01","Decius","http://dbpedia.org/resource/Decius","Aemiilianus","http://dbpedia.org/resource/Aemilianus"
"Saloninus","http://dbpedia.org/resource/Saloninus","0260-01-01","Gallienus","http://dbpedia.org/resource/Gallienus","Gallienuss","http://dbpedia.org/resource/Gallienus"
"Quintillus","http://dbpedia.org/resource/Quintillus","0270-01-01","Claudius II","http://dbpedia.org/resource/Claudius_II","Aurelian","http://dbpedia.org/resource/Aurelian"
"Claudius Gothicus","http://dbpedia.org/resource/Claudius_Gothicus","0270-07-01","Gallienus","http://dbpedia.org/resource/Gallienus","Quintillus","http://dbpedia.org/resource/Quintillus"
"Tacitus (emperor)","http://dbpedia.org/resource/Tacitus_(emperor)","0276-06-01","Aurelian","http://dbpedia.org/resource/Aurelian","Florianus","http://dbpedia.org/resource/Florianus"
"Florianus","http://dbpedia.org/resource/Florianus","0276-08-01","Marcus Claudius Tacitus","http://dbpedia.org/resource/Marcus_Claudius_Tacitus","Marcus Aurelius Probuus","http://dbpedia.org/resource/Marcus_Aurelius_Probus"
"Marcus Aurelius Probus","http://dbpedia.org/resource/Marcus_Aurelius_Probus","0282-01-01","Florianus","http://dbpedia.org/resource/Florianus","Caruss","http://dbpedia.org/resource/Carus"
"Carus","http://dbpedia.org/resource/Carus","0283-01-01","Marcus Aurelius Probus","http://dbpedia.org/resource/Marcus_Aurelius_Probus","Carinus","http://dbpedia.org/resource/Carinus"
"Numerian","http://dbpedia.org/resource/Numerian","0284-11-01","Carus","http://dbpedia.org/resource/Carus","Diocletian","http://dbpedia.org/resource/Diocletian"
"Numerian","http://dbpedia.org/resource/Numerian","0284-11-20","Carus","http://dbpedia.org/resource/Carus","Diocletian","http://dbpedia.org/resource/Diocletian"
"Carinus","http://dbpedia.org/resource/Carinus","0285-07-01","Carus","http://dbpedia.org/resource/Carus","Diocletiann","http://dbpedia.org/resource/Diocletian"
"Flavius Valerius Severus","http://dbpedia.org/resource/Flavius_Valerius_Severus","0307-02-16","Constantius I","http://dbpedia.org/resource/Constantius_I","Licinius","http://dbpedia.org/resource/Licinius"
"Flavius Valerius Severus","http://dbpedia.org/resource/Flavius_Valerius_Severus","0307-02-16","Constantius I","http://dbpedia.org/resource/Constantius_I","MMaxentius","http://dbpedia.org/resource/Maxentius"
"Flavius Valerius Severus","http://dbpedia.org/resource/Flavius_Valerius_Severus","0307-09-16","Constantius I","http://dbpedia.org/resource/Constantius_I","Licinnius","http://dbpedia.org/resource/Licinius"
"Flavius Valerius Severus","http://dbpedia.org/resource/Flavius_Valerius_Severus","0307-09-16","Constantius I","http://dbpedia.org/resource/Constantius_I","Maxentius","http://dbpedia.org/resource/Maxentius"
"Maximian","http://dbpedia.org/resource/Maximian","0310-01-01","Carinus","http://dbpedia.org/resource/Carinus","Constantius Chlorus","http://dbpedia.org/resource/Constantius_Chlorus"
"Maximian","http://dbpedia.org/resource/Maximian","0310-01-01","Carinus","http://dbpedia.org/resource/Carinus","Galerius","http://dbpedia.org/resource/Galerius"
"Galerius","http://dbpedia.org/resource/Galerius","0311-05-05","Diocletian","http://dbpedia.org/resource/Diocletian","Licinius","http://dbpedia.org/resource/Licinius"
"Galerius","http://dbpedia.org/resource/Galerius","0311-05-05","Diocletian","http://dbpedia.org/resource/Diocletian","Maximinus III","http://dbpedia.org/resource/Maximinus_II"
"Galerius","http://dbpedia.org/resource/Galerius","0311-05-05","Maximian","http://dbpedia.org/resource/Maximian","Liciniuss","http://dbpedia.org/resource/Licinius"
"Galerius","http://dbpedia.org/resource/Galerius","0311-05-05","Maximian","http://dbpedia.org/resource/Maximian","Maximinus II","http://dbpedia.org/resource/Maximinus_II"
"Galerius","http://dbpedia.org/resource/Galerius","0311-05-05","Diocletian","http://dbpedia.org/resource/Diocletian","Constantine I","http://dbpedia.org/resource/Constantine_I"
"Galerius","http://dbpedia.org/resource/Galerius","0311-05-05","Maximian","http://dbpedia.org/resource/Maximian","Constantine II","http://dbpedia.org/resource/Constantine_I"
"Diocletian","http://dbpedia.org/resource/Diocletian","0311-12-03","Carinus","http://dbpedia.org/resource/Carinus","Constantius Chlorus","http://dbpedia.org/resource/Constantius_Chlorus"
"Diocletian","http://dbpedia.org/resource/Diocletian","0311-12-03","Carinus","http://dbpedia.org/resource/Carinus","Galerius","http://dbpedia.org/resource/Galerius"
"Diocletian","http://dbpedia.org/resource/Diocletian","0312-12-03","Carinus","http://dbpedia.org/resource/Carinus","Constantius Chlorus","http://dbpedia.org/resource/Constantius_Chlorus"
"Diocletian","http://dbpedia.org/resource/Diocletian","0312-12-03","Carinus","http://dbpedia.org/resource/Carinus","Galerius","http://dbpedia.org/resource/Galerius"
"Martinian (Sextus Martinianus)","http://dbpedia.org/resource/Martinian_(Sextus_Martinianus)","0324-01-01","Constantine I","http://dbpedia.org/resource/Constantine_I","Constantine I","http://dbpedia.org/resource/Constantine_I"
"Constantine II (emperor)","http://dbpedia.org/resource/Constantine_II_(emperor)","0340-04-01","Constantine I","http://dbpedia.org/resource/Constantine_I","Constaans","http://dbpedia.org/resource/Constans"
"Constantine II (emperor)","http://dbpedia.org/resource/Constantine_II_(emperor)","0340-04-01","Constantine I","http://dbpedia.org/resource/Constantine_I","Constantius II","http://dbpedia.org/resource/Constantius_II"
"Constans","http://dbpedia.org/resource/Constans","0350-01-18","Constantine I","http://dbpedia.org/resource/Constantine_I","Constantius III","http://dbpedia.org/resource/Constantius_II"
"Magnentius","http://dbpedia.org/resource/Magnentius","0353-08-11","Constans","http://dbpedia.org/resource/Constans","Constantius III","http://dbpedia.org/resource/Constantius_II"
"Constantius II","http://dbpedia.org/resource/Constantius_II","0361-11-03","Constantine I","http://dbpedia.org/resource/Constantine_I","Juliaan (emperor)","http://dbpedia.org/resource/Julian_(emperor)"
"Julian (emperor)","http://dbpedia.org/resource/Julian_(emperor)","0363-06-26","Constantius II","http://dbpedia.org/resource/Constantius_II","Jovian (emperor)","http://dbpedia.org/resource/Jovian_(emperor)"
"Jovian (emperor)","http://dbpedia.org/resource/Jovian_(emperor)","0364-02-17","Julian the Apostate","http://dbpedia.org/resource/Julian_the_Apostate","Valentinian I","http://dbpedia.org/resource/Valentinian_I"
"Valentinian I","http://dbpedia.org/resource/Valentinian_I","0375-11-17","Jovian (Emperor)","http://dbpedia.org/resource/Jovian_(Emperor)","Valenns","http://dbpedia.org/resource/Valens"
"Valentinian I","http://dbpedia.org/resource/Valentinian_I","0375-11-17","Jovian (Emperor)","http://dbpedia.org/resource/Jovian_(Emperor)","Valentinian III","http://dbpedia.org/resource/Valentinian_II"
"Valentinian I","http://dbpedia.org/resource/Valentinian_I","0375-11-17","Jovian (Emperor)","http://dbpedia.org/resource/Jovian_(Emperor)","Gratiann","http://dbpedia.org/resource/Gratian"
"Valens","http://dbpedia.org/resource/Valens","0378-08-09","Valentinian I","http://dbpedia.org/resource/Valentinian_I","Theodosius II","http://dbpedia.org/resource/Theodosius_I"
"Magnus Maximus","http://dbpedia.org/resource/Magnus_Maximus","0388-08-27","Gratian","http://dbpedia.org/resource/Gratian","Theodosius II","http://dbpedia.org/resource/Theodosius_I"
"Valentinian II","http://dbpedia.org/resource/Valentinian_II","0392-05-15","Valentinian I","http://dbpedia.org/resource/Valentinian_I","TTheodosius I","http://dbpedia.org/resource/Theodosius_I"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Valens","http://dbpedia.org/resource/Valens","Arccadius","http://dbpedia.org/resource/Arcadius"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Valens","http://dbpedia.org/resource/Valens","Honorius (emperor)","http://dbpedia.org/resource/Honorius_(emperor)"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Valens","http://dbpedia.org/resource/Valens","Eastern Roman Empiree","http://dbpedia.org/resource/Eastern_Roman_Empire"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Eastern Roman Empire","http://dbpedia.org/resource/Eastern_Roman_Empire","Arcaadius","http://dbpedia.org/resource/Arcadius"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Eastern Roman Empire","http://dbpedia.org/resource/Eastern_Roman_Empire","Honorius (emperor))","http://dbpedia.org/resource/Honorius_(emperor)"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Eastern Roman Empire","http://dbpedia.org/resource/Eastern_Roman_Empire","Eastern Roman Emmpire","http://dbpedia.org/resource/Eastern_Roman_Empire"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Valentinian II","http://dbpedia.org/resource/Valentinian_II","Arcadiuss","http://dbpedia.org/resource/Arcadius"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Valentinian II","http://dbpedia.org/resource/Valentinian_II","Honorius (emperor))","http://dbpedia.org/resource/Honorius_(emperor)"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Valentinian II","http://dbpedia.org/resource/Valentinian_II","Eastern Roman Empire","http://dbpedia.org/resource/Eastern_Roman_Empire"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Gratian","http://dbpedia.org/resource/Gratian","Arcadiius","http://dbpedia.org/resource/Arcadius"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Gratian","http://dbpedia.org/resource/Gratian","Honorius (emperror)","http://dbpedia.org/resource/Honorius_(emperor)"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Gratian","http://dbpedia.org/resource/Gratian","Eastern Roman Empiree","http://dbpedia.org/resource/Eastern_Roman_Empire"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Western Roman Empire","http://dbpedia.org/resource/Western_Roman_Empire","Arcadiuss","http://dbpedia.org/resource/Arcadius"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Western Roman Empire","http://dbpedia.org/resource/Western_Roman_Empire","Honorius (emperoor)","http://dbpedia.org/resource/Honorius_(emperor)"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Western Roman Empire","http://dbpedia.org/resource/Western_Roman_Empire","Eastern Roman Empiree","http://dbpedia.org/resource/Eastern_Roman_Empire"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Valens","http://dbpedia.org/resource/Valens","Western Roman Empiree","http://dbpedia.org/resource/Western_Roman_Empire"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Eastern Roman Empire","http://dbpedia.org/resource/Eastern_Roman_Empire","Western Roman Empiree","http://dbpedia.org/resource/Western_Roman_Empire"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Valentinian II","http://dbpedia.org/resource/Valentinian_II","Western Romann Empire","http://dbpedia.org/resource/Western_Roman_Empire"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Gratian","http://dbpedia.org/resource/Gratian","Western Roman Empire","http://dbpedia.org/resource/Western_Roman_Empire"
"Theodosius I","http://dbpedia.org/resource/Theodosius_I","0395-01-17","Western Roman Empire","http://dbpedia.org/resource/Western_Roman_Empire","Western Roman Empire","http://dbpedia.org/resource/Western_Roman_Empire"
"Julius Nepos","http://dbpedia.org/resource/Julius_Nepos","0480-05-09","Glycerius","http://dbpedia.org/resource/Glycerius","Romulus Augustuss","http://dbpedia.org/resource/Romulus_Augustus"
"Nero","http://dbpedia.org/resource/Nero","1968-06-09","Claudius","http://dbpedia.org/resource/Claudius","Galba","http://dbpedia.org/resource/Galba"
