"Year","Game","Game__URI","Genre","Genre__URI","Platform(s)","Platform(s)__URI","Developer(s)","Developer(s)__URI"
"2008","Grand Theft Auto IVV","http://dbpedia.org/resource/Grand_Theft_Auto_IV","Open Worldd","http://dbpedia.org/resource/Open_world","Xbox 360","http://dbpedia.org/resource/Xbox_360","Rockstar North","http://dbpedia.org/resource/Rockstar_North"
"2008","Grand Theft Auto IVVV","http://dbpedia.org/resource/Grand_Theft_Auto_IV","Actiiion","http://dbpedia.org/resource/Action_game","Xbox 360","http://dbpedia.org/resource/Xbox_360","Rockstar North","http://dbpedia.org/resource/Rockstar_North"
"2007","BioSShock","http://dbpedia.org/resource/BioShock","Shooterrr","http://dbpedia.org/resource/Shooter_game","Windows","http://dbpedia.org/resource/Microsoft_Windows","2K Boston",""
"2007","BioSShoock","http://dbpedia.org/resource/BioShock","Shooterr","http://dbpedia.org/resource/Shooter_game","Xbox 360","http://dbpedia.org/resource/Xbox_360","2K Boston",""
"2007","BioShoockk","http://dbpedia.org/resource/BioShock","Shooter","http://dbpedia.org/resource/Shooter_game","Mac OS X","http://dbpedia.org/resource/Mac_OS_X","2K Boston",""
"2007","BioShockkk","http://dbpedia.org/resource/BioShock","Shooterrr","http://dbpedia.org/resource/Shooter_game","PlayStation 3","http://dbpedia.org/resource/PlayStation_3","2K Boston",""
"2007","BioooShock","http://dbpedia.org/resource/BioShock","Shooterrr","http://dbpedia.org/resource/Shooter_game","Windows","http://dbpedia.org/resource/Microsoft_Windows","2K Australia","http://dbpedia.org/resource/2K_Australia"
"2007","BioShockk","http://dbpedia.org/resource/BioShock","Shooterr","http://dbpedia.org/resource/Shooter_game","Xbox 360","http://dbpedia.org/resource/Xbox_360","2K Australia","http://dbpedia.org/resource/2K_Australia"
"2007","BioShockkk","http://dbpedia.org/resource/BioShock","Shooteerr","http://dbpedia.org/resource/Shooter_game","Mac OS X","http://dbpedia.org/resource/Mac_OS_X","2K Australia","http://dbpedia.org/resource/2K_Australia"
"2007","BioShoockk","http://dbpedia.org/resource/BioShock","Shooterr","http://dbpedia.org/resource/Shooter_game","PlayStation 3","http://dbpedia.org/resource/PlayStation_3","2K Australia","http://dbpedia.org/resource/2K_Australia"
"2006","The Legend of Zelda: Twilight Princessss","http://dbpedia.org/resource/The_Legend_of_Zelda:_Twilight_Princess","Action-adventuree","http://dbpedia.org/resource/Action-adventure_game","Wii","http://dbpedia.org/resource/Nintendo_WII","Nintendo","http://dbpedia.org/resource/Nintendo"
"2006","The Legend of Zelda: Twiilight Princesss","http://dbpedia.org/resource/The_Legend_of_Zelda:_Twilight_Princess","Acttion-adventuree","http://dbpedia.org/resource/Action-adventure_game","Nintendo GameCube","http://dbpedia.org/resource/Nintendo_GameCube","Nintendo","http://dbpedia.org/resource/Nintendo"
"2005","Resident Evil 444","http://dbpedia.org/resource/Resident_Evil_4","Survival Horror","http://dbpedia.org/resource/Survival_horror_game","GameCube","http://dbpedia.org/resource/Nintendo_GameCube","Capcom","http://dbpedia.org/resource/Capcom"
"2005","Resident Evil 44","http://dbpedia.org/resource/Resident_Evil_4","Survival Horrorrr","http://dbpedia.org/resource/Survival_horror_game","PlayStation 2","http://dbpedia.org/resource/Playstation_2","Capcom","http://dbpedia.org/resource/Capcom"
"2005","Resident Evil 444","http://dbpedia.org/resource/Resident_Evil_4","Survival Horrorrr","http://dbpedia.org/resource/Survival_horror_game","Windows","http://dbpedia.org/resource/Microsoft_Windows","Capcom","http://dbpedia.org/resource/Capcom"
"2005","Resident Evil 444","http://dbpedia.org/resource/Resident_Evil_4","Survivall Horror","http://dbpedia.org/resource/Survival_horror_game","Wii","http://dbpedia.org/resource/Nintendo_WII","Capcom","http://dbpedia.org/resource/Capcom"
"2005","Resident Evil 44","http://dbpedia.org/resource/Resident_Evil_4","(Thirrd-Person) Shooterr","http://dbpedia.org/resource/Third_Person_Shooter","GameCube","http://dbpedia.org/resource/Nintendo_GameCube","Capcom","http://dbpedia.org/resource/Capcom"
"2005","Residennt Evil 44","http://dbpedia.org/resource/Resident_Evil_4","(Third-Peerson) Shooterr","http://dbpedia.org/resource/Third_Person_Shooter","PlayStation 2","http://dbpedia.org/resource/Playstation_2","Capcom","http://dbpedia.org/resource/Capcom"
"2005","RResidennt Evil 4","http://dbpedia.org/resource/Resident_Evil_4","(Thhird-Person) Shooter","http://dbpedia.org/resource/Third_Person_Shooter","Windows","http://dbpedia.org/resource/Microsoft_Windows","Capcom","http://dbpedia.org/resource/Capcom"
"2005","Resident Evil 444","http://dbpedia.org/resource/Resident_Evil_4","(Third-Personn) Shooter","http://dbpedia.org/resource/Third_Person_Shooter","Wii","http://dbpedia.org/resource/Nintendo_WII","Capcom","http://dbpedia.org/resource/Capcom"
"2004","Halo 222","http://dbpedia.org/resource/Halo_2","Shoooterr","http://dbpedia.org/resource/Shooter_game","Xbox","http://dbpedia.org/resource/Xbox_(console)","Bungie","http://dbpedia.org/resource/Bungie"
"2004","Halo 222","http://dbpedia.org/resource/Halo_2","Shoooterr","http://dbpedia.org/resource/Shooter_game","Windows","http://dbpedia.org/resource/Microsoft_Windows","Bungie","http://dbpedia.org/resource/Bungie"
"2003","PPrince of Persia: Sands of Time","http://dbpedia.org/resource/Prince_of_Persia:_The_Sands_of_Time","Action-adventureee","http://dbpedia.org/resource/Action-adventure_game","Xbox","http://dbpedia.org/resource/Xbox_(console)","Ubisoft Montreal","http://dbpedia.org/resource/Ubisoft_Montreal"
"2003","Prince of Persia: Sands of Time","http://dbpedia.org/resource/Prince_of_Persia:_The_Sands_of_Time","Action-adventureee","http://dbpedia.org/resource/Action-adventure_game","GameCube","http://dbpedia.org/resource/Nintendo_GameCube","Ubisoft Montreal","http://dbpedia.org/resource/Ubisoft_Montreal"
"2003","Prince of Persia: Sands of Time","http://dbpedia.org/resource/Prince_of_Persia:_The_Sands_of_Time","Action-adventuree","http://dbpedia.org/resource/Action-adventure_game","PlayStation 2","http://dbpedia.org/resource/Playstation_2","Ubisoft Montreal","http://dbpedia.org/resource/Ubisoft_Montreal"
"2003","Prince of Persia: Sands of Timeee","http://dbpedia.org/resource/Prince_of_Persia:_The_Sands_of_Time","Actiion-adventuree","http://dbpedia.org/resource/Action-adventure_game","Windows","http://dbpedia.org/resource/Microsoft_Windows","Ubisoft Montreal","http://dbpedia.org/resource/Ubisoft_Montreal"
"2002","Meetroid Prime","http://dbpedia.org/resource/Metroid_Prime","Action-adventureee","http://dbpedia.org/resource/Action-adventure_game","Nintendo GameCube","http://dbpedia.org/resource/Nintendo_GameCube","Nintendo","http://dbpedia.org/resource/Nintendo"
"2001","Halo Combat Evolveddd","http://dbpedia.org/resource/Halo:_Combat_Evolved","Shooterr","http://dbpedia.org/resource/Shooter_game","Xbox","http://dbpedia.org/resource/Xbox_(console)","Bungie","http://dbpedia.org/resource/Bungie"
"2001","Halo Combat Evolveddd","http://dbpedia.org/resource/Halo:_Combat_Evolved","Shooterrr","http://dbpedia.org/resource/Shooter_game","Windows","http://dbpedia.org/resource/Microsoft_Windows","Bungie","http://dbpedia.org/resource/Bungie"
"2001","Halo Combat Evolveddd","http://dbpedia.org/resource/Halo:_Combat_Evolved","Shooterr","http://dbpedia.org/resource/Shooter_game","Macintosh","http://dbpedia.org/resource/Apple_Macintosh","Bungie","http://dbpedia.org/resource/Bungie"
"2000","Tony  Hawk's Pro Skater 22","http://dbpedia.org/resource/Tony_Hawk's_Pro_Skater_2","Sportsss","http://dbpedia.org/resource/Sports_video_game","PC","http://dbpedia.org/resource/PC_game","Activision","http://dbpedia.org/resource/Activision"
"2000","Tony Hawk'ss Pro Skater 22","http://dbpedia.org/resource/Tony_Hawk's_Pro_Skater_2","Sports","http://dbpedia.org/resource/Sports_video_game","Nintendo 64","http://dbpedia.org/resource/Nintendo_64","Activision","http://dbpedia.org/resource/Activision"
"2000","Tony Hawk's Pro Skater 222","http://dbpedia.org/resource/Tony_Hawk's_Pro_Skater_2","Sportss","http://dbpedia.org/resource/Sports_video_game","PlayStation","http://dbpedia.org/resource/PlayStation_(console)","Activision","http://dbpedia.org/resource/Activision"
"2000","Tony Hawk's Pro Skaater 22","http://dbpedia.org/resource/Tony_Hawk's_Pro_Skater_2","Sports","http://dbpedia.org/resource/Sports_video_game","Dreamcast","http://dbpedia.org/resource/Sega_Dreamcast","Activision","http://dbpedia.org/resource/Activision"
"1999","Soul Caliburr","http://dbpedia.org/resource/Soulcalibur","Fightinngg","http://dbpedia.org/resource/Fighting_game","Sega Dreamcast","http://dbpedia.org/resource/Sega_Dreamcast","Namco","http://dbpedia.org/resource/Namco"
"1998","The Legennd of Zelda: Ocarina of Time","http://dbpedia.org/resource/The_Legend_of_Zelda:_Ocarina_of_Time","Action-adventureee","http://dbpedia.org/resource/Action-adventure_game","Nintendo 64","http://dbpedia.org/resource/Nintendo_64","Nintendo","http://dbpedia.org/resource/Nintendo"
"1997","Goldeneye 0077","http://dbpedia.org/resource/GoldenEye_007_(1997_video_game)","Shooterrr","http://dbpedia.org/resource/Shooter_game","Nintendo 64","http://dbpedia.org/resource/Nintendo_64","Rare","http://dbpedia.org/resource/Rare_(company)"
"1996","SSuper Mario 64","http://dbpedia.org/resource/Super_Mario_64","Action-platformerr","http://dbpedia.org/resource/Action_platformer","Nintendo 64","http://dbpedia.org/resource/Nintendo_64","Nintendo","http://dbpedia.org/resource/Nintendo"
"1995","Twisted Metal","http://dbpedia.org/resource/Twisted_Metal","Action-driving gamee","http://dbpedia.org/resource/Vehicular_combat","PlayStation","http://dbpedia.org/resource/PlayStation_(console)","SingleTrac","http://dbpedia.org/resource/SingleTrac"
"1994","Donkey Kong Countryyy","http://dbpedia.org/resource/Donkey_Kong_Country","Action-platformerrr","http://dbpedia.org/resource/Action_platformer","Super Nintendo","http://dbpedia.org/resource/Super_Nintendo","Rare","http://dbpedia.org/resource/Rare_(company)"
"1993","Samurai Shodoown","http://dbpedia.org/resource/Samurai_Shodown","Fightting","http://dbpedia.org/resource/Fighting_game","Neo-Geo MVS","http://dbpedia.org/resource/Neo_Geo_MVS","SNK","http://dbpedia.org/resource/SNK"
"1992","Street Fighter IIII","http://dbpedia.org/resource/Street_Fighter_II:_The_World_Warrior","Fightiingg","http://dbpedia.org/resource/Fighting_game","Super Nintendo","http://dbpedia.org/resource/Super_Nintendo","Capcom","http://dbpedia.org/resource/Capcom"
"1991","Sonic the Heddgehogg","http://dbpedia.org/resource/Sonic_the_Hedgehog_(1991_video_game)","Action-platformer","http://dbpedia.org/resource/Action_platformer","Sega Genesis","http://dbpedia.org/resource/Sega_Genesis","Sega","http://dbpedia.org/resource/Sega"
"1990","Strideer","http://dbpedia.org/resource/Strider_(arcade_game)","Action-adventuree","http://dbpedia.org/resource/Action-adventure_game","Sega Genesis","http://dbpedia.org/resource/Sega_Genesis","Capcom","http://dbpedia.org/resource/Capcom"
"1989","Ghouls  'n Ghostss","http://dbpedia.org/resource/Ghouls'n_Ghosts","Actiion-adventuree","http://dbpedia.org/resource/Action-adventure_game","Sega Genesis","http://dbpedia.org/resource/Sega_Genesis","Capcom","http://dbpedia.org/resource/Capcom"
