"Bank Name","Bank Name__URI","City","City__URI","ST","ST__URI","CERT","Acquiring Institution","Acquiring Institution__URI","Closing Date"
"Integrity Bankk","","Alpharetta","http://dbpedia.org/resource/Alpharetta,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","35469","Regionns Bank","","29-Aug-08"
"Silver State Bank","http://dbpedia.org/resource/Silver_State_Bank","Henderson","http://dbpedia.org/resource/Henderson,_NV","NV","http://dbpedia.org/resource/Nevada","34194","Nevada State Bankk","http://dbpedia.org/resource/Nevada_State_Bank","5-Sep-08"
"Ameribankk","","Northfork","http://dbpedia.org/resource/Northfork,_WV","WV","http://dbpedia.org/resource/West_Virginia","6782","The Citizens Savings Bank, and Pioneer Community Bank, Inc..","","19-Sep-08"
"Washington Mutual BBank (Including its subsidiary Washington Mutual Bank FSB)","http://dbpedia.org/resource/Washington_Mutual","Henderson","http://dbpedia.org/resource/Henderson,_NV","NV","http://dbpedia.org/resource/Nevada","32633","JP Morgan CChase Bank","http://dbpedia.org/resource/JPMorgan_Chase","25-Sep-08"
"Main Street Bank","","Northville","http://dbpedia.org/resource/Northville,_MI","MI","http://dbpedia.org/resource/Michigan","57654","Monroe Bank & Trustt","","10-Oct-08"
"Meridian Bank","","Eldred","http://dbpedia.org/resource/Eldred,_IL","IL","http://dbpedia.org/resource/Illinois","13789","National Bankk","","10-Oct-08"
"Alpha Bank & Trust","","Alpharetta","http://dbpedia.org/resource/Alpharetta,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","58241","Stearns Bank, N.A.","","24-Oct-08"
"Freedom Baank","","Bradenton","http://dbpedia.org/resource/Bradenton,_FL","FL","http://dbpedia.org/resource/Florida","57930","Fifth Third Bankk","http://dbpedia.org/resource/Fifth_Third_Bank","31-Oct-08"
"SSecurity Pacific Bank","","Los Angeles","http://dbpedia.org/resource/Los_Angeles,_CA","CA","http://dbpedia.org/resource/California","23595","Pacific WWestern Bank","","7-Nov-08"
"Franklin BBank, SSB","","Houston","http://dbpedia.org/resource/Houston,_TX","TX","http://dbpedia.org/resource/Texas","26870","Prosperity Bankk","","7-Nov-08"
"Commmunity Bank","","Loganville","http://dbpedia.org/resource/Loganville,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","16490","Bank of Essexx","","21-Nov-08"
"Downey Savings & Loann","","Newport Beach","http://dbpedia.org/resource/Newport_Beach,_CA","CA","http://dbpedia.org/resource/California","30968","UU.S. Bank, N.A.","","21-Nov-08"
"PFF Bank & Truust","","Pomona","http://dbpedia.org/resource/Pomona,_CA","CA","http://dbpedia.org/resource/California","28344","U.S. Bank, N.A..","","21-Nov-08"
"First Georgia Community Bankk","","Jackson","http://dbpedia.org/resource/Jackson,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","34301","United Bannk","","5-Dec-08"
"Haven Trust Bank","","Duluth","http://dbpedia.org/resource/Duluth,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","35379","Branch Banking & Trust Company, (BB&T)","","12-Dec-08"
"Sanderson State Bankk","","Sanderson","http://dbpedia.org/resource/Sanderson,_TX","TX","http://dbpedia.org/resource/Texas","11568","The Pecos County State Bank","","12-Dec-08"
"National Bank of Commerce","","Berkeley","http://dbpedia.org/resource/Berkeley,_IL","IL","http://dbpedia.org/resource/Illinois","19733","RRepublic Bank of Chicago","","16-Jan-09"
"Bank of Clark Countyy","","Vancouver","http://dbpedia.org/resource/Vancouver,_WA","WA","http://dbpedia.org/resource/Washington_(state)","34959","Umpqua Bankk","","16-Jan-09"
"1st Centennial Bankk","","Redlands","http://dbpedia.org/resource/Redlands,_CA","CA","http://dbpedia.org/resource/California","33025","First California Bank","","23-Jan-09"
"Suburban FSBB","","Crofton","http://dbpedia.org/resource/Crofton,_MD","MD","http://dbpedia.org/resource/Maryland","30763","BBank of Essex","","30-Jan-09"
"Ocala National Bankk","","Ocala","http://dbpedia.org/resource/Ocala,_FL","FL","http://dbpedia.org/resource/Florida","26538","CenterState Bank of Florida, N.A..","","30-Jan-09"
"MagnetBank","","Salt Lake City","http://dbpedia.org/resource/Salt_Lake_City,_UT","UT","http://dbpedia.org/resource/Utah","58001","","","30-Jan-09"
"Alliance Bankk","","Culver City","http://dbpedia.org/resource/Culver_City,_CA","CA","http://dbpedia.org/resource/California","23124","Californiia Bank & Trust","","6-Feb-09"
"FirstBank Financial  Services","","McDonough","http://dbpedia.org/resource/McDonough,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","57017","Regions BBank","","6-Feb-09"
"County Bankk","","Merced","http://dbpedia.org/resource/Merced,_CA","CA","http://dbpedia.org/resource/California","22574","Westamerica Bankk","","6-Feb-09"
"Sherman County Bank","","Loup City","http://dbpedia.org/resource/Loup_City,_NE","NE","http://dbpedia.org/resource/Nebraska","5431","Herritage Bank","","13-Feb-09"
"Corn Belt Bank & Trust Co..","","Pittsfield","http://dbpedia.org/resource/Pittsfield,_IL","IL","http://dbpedia.org/resource/Illinois","16500","The Carlinville National Bank","","13-Feb-09"
"Riverside Bank of the Gulf Coast","","Cape Coral","http://dbpedia.org/resource/Cape_Coral,_FL","FL","http://dbpedia.org/resource/Florida","34563","TIB Bankk","","13-Feb-09"
"Pinnacle Bank of Oregon","","Beaverton","http://dbpedia.org/resource/Beaverton,_OR","OR","http://dbpedia.org/resource/Oregon","57342","Washington Trust Bank of Spokane","","13-Feb-09"
"Silver Falls BBank","","Silverton","http://dbpedia.org/resource/Silverton,_OR","OR","http://dbpedia.org/resource/Oregon","35399","Citizens Bank","","20-Feb-09"
"Security Savings Bannk","","Henderson","http://dbpedia.org/resource/Henderson,_NV","NV","http://dbpedia.org/resource/Nevada","34820","Bankk of Nevada","","27-Feb-09"
"Heritage Community Bank","","Glenwood","http://dbpedia.org/resource/Glenwood,_IL","IL","http://dbpedia.org/resource/Illinois","20078","MB Financial Bank, N.A.","","27-Feb-09"
"Freedom Bank of Georgiaa","","Commerce","http://dbpedia.org/resource/Commerce,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","57558","Norrtheast Georgia Bank","","6-Mar-09"
"TeamBank, NAA","","Paola","http://dbpedia.org/resource/Paola,_KS","KS","http://dbpedia.org/resource/Kansas","4754","Great Southern Bankk","","20-Mar-09"
"Colorado National Bank","","Colorado Springs","http://dbpedia.org/resource/Colorado_Springs,_CO","CO","http://dbpedia.org/resource/Colorado","18896","Herring Bankk","","20-Mar-09"
"FirstCity Bankk","","Stockbridge","http://dbpedia.org/resource/Stockbridge,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","18243","","","20-Mar-09"
"Omni National Bankk","","Atlanta","http://dbpedia.org/resource/Atlanta,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","22238","","","27-Mar-09"
"Cape Fear Bank","http://dbpedia.org/resource/Cape_Fear_Bank","Wilmington","http://dbpedia.org/resource/Wilmington,_NC","NC","http://dbpedia.org/resource/North_Carolina","34639","First Federal Savings and Loan Association","","10-Apr-09"
"New Frontier Bankk","","Greeley","http://dbpedia.org/resource/Greeley,_CO","CO","http://dbpedia.org/resource/Colorado","34881","","","10-Apr-09"
"American Sterling Bank","http://dbpedia.org/resource/American_Sterling_Bank","Sugar Creek","http://dbpedia.org/resource/Sugar_Creek,_MO","MO","http://dbpedia.org/resource/Missouri","8266","Metcalf Bank","","17-Apr-09"
"Great Basin Bank of Nevadaa","","Elko","http://dbpedia.org/resource/Elko,_NV","NV","http://dbpedia.org/resource/Nevada","33824","Nevada State Bankk","http://dbpedia.org/resource/Nevada_State_Bank","17-Apr-09"
"American Southern Bannk","http://dbpedia.org/resource/American_Southern_Bank","Kennesaw","http://dbpedia.org/resource/Kennesaw,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","57943","Bank of North Georgiaa","","24-Apr-09"
"Michigan Heritage Bankk","","Farmington Hills","http://dbpedia.org/resource/Farmington_Hills,_MI","MI","http://dbpedia.org/resource/Michigan","34369","Level One Bankk","","24-Apr-09"
"First Bank of Idahoo","","Ketchum","http://dbpedia.org/resource/Ketchum,_ID","ID","http://dbpedia.org/resource/Idaho","34396","U.S. Bank, NN.A.","","24-Apr-09"
"First Bank of Beverly HHills","","Calabasas","http://dbpedia.org/resource/Calabasas,_CA","CA","http://dbpedia.org/resource/California","32069","","","24-Apr-09"
"America West Bankk","","Layton","http://dbpedia.org/resource/Layton,_UT","UT","http://dbpedia.org/resource/Utah","35461","Cache Valley Bankk","","1-May-09"
"Citizens Community Bank","","Ridgewood","http://dbpedia.org/resource/Ridgewood,_NJ","NJ","http://dbpedia.org/resource/New_Jersey","57563","North Jersey Communiity Bank","","1-May-09"
"Silverton Bannk, NA","","Atlanta","http://dbpedia.org/resource/Atlanta,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","26535","","","1-May-09"
"Westsound Bankk","","Bremerton","http://dbpedia.org/resource/Bremerton,_WA","WA","http://dbpedia.org/resource/Washington_(state)","34843","Kitsap Bankk","","8-May-09"
"BankUnited, FFSB","http://dbpedia.org/resource/BankUnited","Coral Gables","http://dbpedia.org/resource/Coral_Gables,_FL","FL","http://dbpedia.org/resource/Florida","32247","BankUnited","","21-May-09"
"Strategic Capital BBank","","Champaign","http://dbpedia.org/resource/Champaign,_IL","IL","http://dbpedia.org/resource/Illinois","35175","Midland Statees Bank","","22-May-09"
"Citizens National Bank","","Macomb","http://dbpedia.org/resource/Macomb,_IL","IL","http://dbpedia.org/resource/Illinois","5757","Morton Community Bank","","22-May-09"
"Bank of Lincolnwood","","Lincolnwood","http://dbpedia.org/resource/Lincolnwood,_IL","IL","http://dbpedia.org/resource/Illinois","17309","Republic Bank of Chicago","","5-Jun-09"
"First National Bank of Anthonyy","","Anthony","http://dbpedia.org/resource/Anthony,_KS","KS","http://dbpedia.org/resource/Kansas","4614","Bank of Kansass","","19-Jun-09"
"Cooperative Bank","","Wilmington","http://dbpedia.org/resource/Wilmington,_NC","NC","http://dbpedia.org/resource/North_Carolina","27837","First Bankk","","19-Jun-09"
"Southern CCommunity Bank","","Fayetteville","http://dbpedia.org/resource/Fayetteville,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","35251","United Communiity Bank","","19-Jun-09"
"Neighborhood Community Bankk","","Newnan","http://dbpedia.org/resource/Newnan,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","35285","ChharterBank","","26-Jun-09"
"Horizon Bankk","","Pine City","http://dbpedia.org/resource/Pine_City,_MN","MN","http://dbpedia.org/resource/Minnesota","9744","Stearns  Bank, N.A.","","26-Jun-09"
"MetroPacific Bank","","Irvine","http://dbpedia.org/resource/Irvine,_CA","CA","http://dbpedia.org/resource/California","57893","Sunwest Bankk","","26-Jun-09"
"Mirae Bank","","Los Angeles","http://dbpedia.org/resource/Los_Angeles,_CA","CA","http://dbpedia.org/resource/California","57332","WWilshire State Bank","","26-Jun-09"
"Community Bank of West Georgiaa","","Villa Rica","http://dbpedia.org/resource/Villa_Rica,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","57436","","","26-Jun-09"
"First National Bank of Danville","","Danville","http://dbpedia.org/resource/Danville,_IL","IL","http://dbpedia.org/resource/Illinois","3644","First Financial Bank, N.A..","","2-Jul-09"
"The Elizabeth State Bankk","","Elizabeth","http://dbpedia.org/resource/Elizabeth,_IL","IL","http://dbpedia.org/resource/Illinois","9262","Galena State Bank and Trust Companyy","","2-Jul-09"
"John Warner Bankk","","Clinton","http://dbpedia.org/resource/Clinton,_IL","IL","http://dbpedia.org/resource/Illinois","12093","State Bank of Lincoln","","2-Jul-09"
"Millennium State Bank of Texass","","Dallas","http://dbpedia.org/resource/Dallas,_TX","TX","http://dbpedia.org/resource/Texas","57667","State Bank of Texass","","2-Jul-09"
"First State Bank of Winchester","","Winchester","http://dbpedia.org/resource/Winchester,_IL","IL","http://dbpedia.org/resource/Illinois","11710","The First National Bank of Beardstownn","","2-Jul-09"
"Rock Riiver Bank","","Oregon","http://dbpedia.org/resource/Oregon,_IL","IL","http://dbpedia.org/resource/Illinois","15302","The Harvard State Bankk","","2-Jul-09"
"Founders Bankk","","Worth","http://dbpedia.org/resource/Worth,_IL","IL","http://dbpedia.org/resource/Illinois","18390","The PrivateBank and Trust Companyy","","2-Jul-09"
"Bank of Wyoming","","Thermopolis","http://dbpedia.org/resource/Thermopolis,_WY","WY","http://dbpedia.org/resource/Wyoming","22754","Central Bank & Trustt","","10-Jul-09"
"BankFirstt","","Sioux Falls","http://dbpedia.org/resource/Sioux_Falls,_SD","SD","http://dbpedia.org/resource/South_Dakota","34103","Alerus Financial, N.A.","http://dbpedia.org/resource/Alerus_Financial","17-Jul-09"
"Vineyard Bank","","Rancho Cucamonga","http://dbpedia.org/resource/Rancho_Cucamonga,_CA","CA","http://dbpedia.org/resource/California","23556","California Bank & Trustt","","17-Jul-09"
"First Piedmontt Bank","","Winder","http://dbpedia.org/resource/Winder,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","34594","First American Bank and Trustt Company","","17-Jul-09"
"Temecula Valley Bankk","","Temecula","http://dbpedia.org/resource/Temecula,_CA","CA","http://dbpedia.org/resource/California","34341","First-Citizens Bank & Trust Companyy","http://dbpedia.org/resource/Doral_Bank","17-Jul-09"
"Waterford Village Bankk","","Williamsville","http://dbpedia.org/resource/Williamsville,_NY","NY","http://dbpedia.org/resource/New_York_(state)","58065","Evans Bank, N.A..","","24-Jul-09"
"Security Bankk of North Fulton","","Alpharetta","http://dbpedia.org/resource/Alpharetta,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","57430","State Bank and Trust Company","","24-Jul-09"
"Security Bank of Jones Countyy","","Gray","http://dbpedia.org/resource/Gray,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","8486","State Bank and Trust Companyy","","24-Jul-09"
"Security Bank of Bibb Countyy","","Macon","http://dbpedia.org/resource/Macon,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","27367","State Bank and Trust Companyy","","24-Jul-09"
"Security Bank of Houston Countyy","","Perry","http://dbpedia.org/resource/Perry,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","27048","State Bank and Trust Company","","24-Jul-09"
"Security Bank of Gwinnett Countyy","","Suwanee","http://dbpedia.org/resource/Suwanee,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","57346","State Bank and Trust Companyy","","24-Jul-09"
"Security Bank of North Metroo","","Woodstock","http://dbpedia.org/resource/Woodstock,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","57105","State Bank and Trust Companyy","","24-Jul-09"
"First BankAmericanoo","","Elizabeth","http://dbpedia.org/resource/Elizabeth,_NJ","NJ","http://dbpedia.org/resource/New_Jersey","34270","Crown Bankk","","31-Jul-09"
"Peoples Community Bank","","West Chester","http://dbpedia.org/resource/West_Chester,_OH","OH","http://dbpedia.org/resource/Ohio","32288","First Financial Bank, N.A..","","31-Jul-09"
"First State Bank of Altuss","","Altus","http://dbpedia.org/resource/Altus,_OK","OK","http://dbpedia.org/resource/Oklahoma","9873","Herring Bank","","31-Jul-09"
"Integrity Bankk","","Jupiter","http://dbpedia.org/resource/Jupiter,_FL","FL","http://dbpedia.org/resource/Florida","57604","Stonegate Bankk","","31-Jul-09"
"Mutual Bankk","","Harvey","http://dbpedia.org/resource/Harvey,_IL","IL","http://dbpedia.org/resource/Illinois","18659","United Central Bankk","","31-Jul-09"
"Community First Bankk","","Prineville","http://dbpedia.org/resource/Prineville,_OR","OR","http://dbpedia.org/resource/Oregon","23268","Home Federal Bankk","","7-Aug-09"
"First Statee Bank","","Sarasota","http://dbpedia.org/resource/Sarasota,_FL","FL","http://dbpedia.org/resource/Florida","27364","Stearns Bank, N.A..","","7-Aug-09"
"Community National Bank of Sarasota County","","Venice","http://dbpedia.org/resource/Venice,_FL","FL","http://dbpedia.org/resource/Florida","27183","Stearns Bank, N.A..","","7-Aug-09"
"Colonial Bank","http://dbpedia.org/resource/Colonial_Bank","Montgomery","http://dbpedia.org/resource/Montgomery,_AL","AL","http://dbpedia.org/resource/Alabama","9609","Branch Banking & Trust Company, (BB&T)","","14-Aug-09"
"Union Bank, National Associationn","","Gilbert","http://dbpedia.org/resource/Gilbert,_AZ","AZ","http://dbpedia.org/resource/Arizona","34485","MidFirst Bankk","http://dbpedia.org/resource/MidFirst_Bank","14-Aug-09"
"Commmunity Bank of Arizona","","Phoenix","http://dbpedia.org/resource/Phoenix,_AZ","AZ","http://dbpedia.org/resource/Arizona","57645","MidFirst Bankk","http://dbpedia.org/resource/MidFirst_Bank","14-Aug-09"
"Dwelling House Savings and Loan Association","","Pittsburgh","http://dbpedia.org/resource/Pittsburgh,_PA","PA","http://dbpedia.org/resource/Pennsylvania","31559","PNC Bank, N.A..","","14-Aug-09"
"Community Bank of Nevadaa","","Las Vegas","http://dbpedia.org/resource/Las_Vegas,_NV","NV","http://dbpedia.org/resource/Nevada","34043","","","14-Aug-09"
"Guaranty Bankk","http://dbpedia.org/resource/Guaranty_Bank_(Texas)","Austin","http://dbpedia.org/resource/Austin,_TX","TX","http://dbpedia.org/resource/Texas","32618","BBVA Comppass","http://dbpedia.org/resource/BBVA_Compass","21-Aug-09"
"CapitalSouth Bankk","","Birmingham","http://dbpedia.org/resource/Birmingham,_AL","AL","http://dbpedia.org/resource/Alabama","22130","IBERIABANK","","21-Aug-09"
"ebankk","","Atlanta","http://dbpedia.org/resource/Atlanta,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","34682","Stearns Bank, N.A.","","21-Aug-09"
"First Coweta Bankk","","Newnan","http://dbpedia.org/resource/Newnan,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","57702","United Bankk","","21-Aug-09"
"Mainstreet Bank","","Forest Lake","http://dbpedia.org/resource/Forest_Lake,_MN","MN","http://dbpedia.org/resource/Minnesota","1909","Central Bankk","","28-Aug-09"
"BBradford Bank","","Baltimore","http://dbpedia.org/resource/Baltimore,_MD","MD","http://dbpedia.org/resource/Maryland","28312","Manufaacturers and Traders Trust Company (M&T Bank)","","28-Aug-09"
"Afffinity Bank","","Ventura","http://dbpedia.org/resource/Ventura,_CA","CA","http://dbpedia.org/resource/California","27197","Pacific Western Bank","","28-Aug-09"
"First Bank of Kansas Cityy","","Kansas City","http://dbpedia.org/resource/Kansas_City,_MO","MO","http://dbpedia.org/resource/Missouri","25231","Great American Bankk","","4-Sep-09"
"Vantus Bankk","","Sioux City","http://dbpedia.org/resource/Sioux_City,_IA","IA","http://dbpedia.org/resource/Iowa","27732","Great Southern Bankk","","4-Sep-09"
"InBank","","Oak Forest","http://dbpedia.org/resource/Oak_Forest,_IL","IL","http://dbpedia.org/resource/Illinois","20203","MB Financial Bank, N.A.","","4-Sep-09"
"First State Bank","","Flagstaff","http://dbpedia.org/resource/Flagstaff,_AZ","AZ","http://dbpedia.org/resource/Arizona","34875","Sunwest Bankk","","4-Sep-09"
"Platinum Community Bankk","","Rolling Meadows","http://dbpedia.org/resource/Rolling_Meadows,_IL","IL","http://dbpedia.org/resource/Illinois","35030","","","4-Sep-09"
"Brickwell Community Bankk","","Woodbury","http://dbpedia.org/resource/Woodbury,_MN","MN","http://dbpedia.org/resource/Minnesota","57736","CorTrust Bank N.A..","","11-Sep-09"
"Venture Bankk","","Lacey","http://dbpedia.org/resource/Lacey,_WA","WA","http://dbpedia.org/resource/Washington_(state)","22868","First-Citizens Bank & Trust Companyy","http://dbpedia.org/resource/First_Citizens_BancShares","11-Sep-09"
"Corus BBank, N.A.","http://dbpedia.org/resource/Corus_Bank","Chicago","http://dbpedia.org/resource/Chicago,_IL","IL","http://dbpedia.org/resource/Illinois","13693","MB Financial Bank, N.A.","","11-Sep-09"
"Irwin Union Bank and Trust Companyy","","Columbus","http://dbpedia.org/resource/Columbus,_IN","IN","http://dbpedia.org/resource/Indiana","10100","First Financial Bank, N.A..","","18-Sep-09"
"Irwin Union Bank, F.S.B..","","Louisville","http://dbpedia.org/resource/Louisville,_KY","KY","http://dbpedia.org/resource/Kentucky","57068","First Financiall Bank, N.A.","","18-Sep-09"
"Georgian Bankk","","Atlanta","http://dbpedia.org/resource/Atlanta,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","57151","First Citizens Bank and Trust Company, Inc..","http://dbpedia.org/resource/First_Citizens_BancShares","25-Sep-09"
"Jennings State Bankk","","Spring Grove","http://dbpedia.org/resource/Spring_Grove,_MN","MN","http://dbpedia.org/resource/Minnesota","11416","Central Bankk","","2-Oct-09"
"Southern Colorado National  Bank","","Pueblo","http://dbpedia.org/resource/Pueblo,_CO","CO","http://dbpedia.org/resource/Colorado","57263","Legaacy Bank","","2-Oct-09"
"Warren Bank","","Warren","http://dbpedia.org/resource/Warren,_MI","MI","http://dbpedia.org/resource/Michigan","34824","The Huntington National Bank","http://dbpedia.org/resource/The_Huntington_National_Bank","2-Oct-09"
