"goalkeeper","goalkeeper__URI","birthPlace","birthPlace__URI","team","team__URI","ground","ground__URI"
"Abdesslam Benabdellahh","http://dbpedia.org/resource/Abdesslam_Benabdellah","Algeria","http://dbpedia.org/resource/Algeria","Mouloudiia d'Oran","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abdesslaam Benabdellah","http://dbpedia.org/resource/Abdesslam_Benabdellah","AAlgeria","http://dbpedia.org/resource/Algeria","Moulouudia d'Oran","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abdesslam Benabdellahh","http://dbpedia.org/resource/Abdesslam_Benabdellah","Algeriaa","http://dbpedia.org/resource/Algeria","مولودية وهرانن","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abdesslam Benabdellah","http://dbpedia.org/resource/Abdesslam_Benabdellah","Algeria","http://dbpedia.org/resource/Algeria","مولودية وهران","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abdesslam Benabdellah","http://dbpedia.org/resource/Abdesslam_Benabdellah","Algeria","http://dbpedia.org/resource/Algeria","نادي مولودية وهران","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abdessslam Benabdellah","http://dbpedia.org/resource/Abdesslam_Benabdellah","Algeria","http://dbpedia.org/resource/Algeria","نادي مولودية وهرانن","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abdoulaye Keitaa","http://dbpedia.org/resource/Abdoulaye_Keita_(footballer,_born_1990)","France","http://dbpedia.org/resource/France","Bordeaux","http://dbpedia.org/resource/FC_Girondins_de_Bordeaux","Matmut Atlantique","http://dbpedia.org/resource/Nouveau_Stade_de_Bordeaux"
"Abdoulaye Keitaa","http://dbpedia.org/resource/Abdoulaye_Keita_(footballer,_born_1990)","Francee","http://dbpedia.org/resource/France","Girondins de Bordeauxx","http://dbpedia.org/resource/FC_Girondins_de_Bordeaux","Matmut Atlantique","http://dbpedia.org/resource/Nouveau_Stade_de_Bordeaux"
"Abdoulaye Keitaa","http://dbpedia.org/resource/Abdoulaye_Keita_(footballer,_born_1990)","FFrance","http://dbpedia.org/resource/France","Football Club dess","http://dbpedia.org/resource/FC_Girondins_de_Bordeaux","Matmut Atlantique","http://dbpedia.org/resource/Nouveau_Stade_de_Bordeaux"
"Abhijit Dass","http://dbpedia.org/resource/Abhijit_Das","West Bengall","http://dbpedia.org/resource/West_Bengal","Southern Samityy","http://dbpedia.org/resource/Southern_Samity","Salt Lake Stadium","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Abhijit Dass","http://dbpedia.org/resource/Abhijit_Das","West Bengall","http://dbpedia.org/resource/West_Bengal","Southern Samityy","http://dbpedia.org/resource/Southern_Samity","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Abhijit Dass","http://dbpedia.org/resource/Abhijit_Das","West Bengal","http://dbpedia.org/resource/West_Bengal","Southern Samity","http://dbpedia.org/resource/Southern_Samity","Vivekananda Yuva Bharati Krirangan","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Abhijit Das","http://dbpedia.org/resource/Abhijit_Das","West Bengal","http://dbpedia.org/resource/West_Bengal","Southern Samityy","http://dbpedia.org/resource/Southern_Samity","সল্ট লেক স্টেডিয়াম","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Abhijit Mondal","http://dbpedia.org/resource/Abhijit_Mondal","West Bengal","http://dbpedia.org/resource/West_Bengal","East Bengal Football Club","http://dbpedia.org/resource/East_Bengal_F.C.","Salt Lake Stadium","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Abhijit Mondall","http://dbpedia.org/resource/Abhijit_Mondal","West Bengal","http://dbpedia.org/resource/West_Bengal","East Bengal Football Clubb","http://dbpedia.org/resource/East_Bengal_F.C.","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Abhijit Mondall","http://dbpedia.org/resource/Abhijit_Mondal","Weest Bengal","http://dbpedia.org/resource/West_Bengal","East Bengal Football Club","http://dbpedia.org/resource/East_Bengal_F.C.","Vivekananda Yuva Bharati Krirangan","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Abhijit Mondall","http://dbpedia.org/resource/Abhijit_Mondal","West Bengall","http://dbpedia.org/resource/West_Bengal","East Bengal Football Clubb","http://dbpedia.org/resource/East_Bengal_F.C.","সল্ট লেক স্টেডিয়াম","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Adel Nefzii","http://dbpedia.org/resource/Adel_Nefzi","Tunisiaa","http://dbpedia.org/resource/Tunisia","Club Africainn","http://dbpedia.org/resource/Club_Africain","Stade Olympique de Radès","http://dbpedia.org/resource/Stade_Olympique_de_Radès"
"Adriano Bonaaiuti","http://dbpedia.org/resource/Adriano_Bonaiuti","Italy","http://dbpedia.org/resource/Italy","Juvenntus","http://dbpedia.org/resource/Juventus_F.C.","Juventus Stadium","http://dbpedia.org/resource/Juventus_Stadium"
"Adriano Bonaiutii","http://dbpedia.org/resource/Adriano_Bonaiuti","Italy","http://dbpedia.org/resource/Italy","Juventus Football ClubS.p.A.","http://dbpedia.org/resource/Juventus_F.C.","Juventus Stadium","http://dbpedia.org/resource/Juventus_Stadium"
"Ahmed Fellahh","http://dbpedia.org/resource/Ahmed_Fellah","Algeria","http://dbpedia.org/resource/Algeria","Mouloudia Club d'Oran","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Ahmed Fellahh","http://dbpedia.org/resource/Ahmed_Fellah","Allgeria","http://dbpedia.org/resource/Algeria","Mouloudia Club d'Orann","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Ahmed Fellahh","http://dbpedia.org/resource/Ahmed_Fellah","Algeria","http://dbpedia.org/resource/Algeria","Mouloudia d'Oran","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Ahmed Fellah","http://dbpedia.org/resource/Ahmed_Fellah","Algeriaa","http://dbpedia.org/resource/Algeria","Mouloudia d'Oran","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Ahmed Fellah","http://dbpedia.org/resource/Ahmed_Fellah","Algeria","http://dbpedia.org/resource/Algeria","مولودية وههران","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Ahmed Fellahh","http://dbpedia.org/resource/Ahmed_Fellah","Algeria","http://dbpedia.org/resource/Algeria","موللودية وهران","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Ahmed Feellah","http://dbpedia.org/resource/Ahmed_Fellah","Algeriaa","http://dbpedia.org/resource/Algeria","نادي مولودية وهرانن","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Ahmed Fellah","http://dbpedia.org/resource/Ahmed_Fellah","Algeria","http://dbpedia.org/resource/Algeria","نادي مولودية وهران","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Airtonn","http://dbpedia.org/resource/Airton_Moraes_Michellon","Brazil","http://dbpedia.org/resource/Brazil","Esporte Clube Juventude","http://dbpedia.org/resource/Esporte_Clube_Juventude","Estádio Alfredo Jaconi","http://dbpedia.org/resource/Estádio_Alfredo_Jaconi"
"Airtonn","http://dbpedia.org/resource/Airton_Moraes_Michellon","Brazill","http://dbpedia.org/resource/Brazil","Juventudee","http://dbpedia.org/resource/Esporte_Clube_Juventude","Estádio Alfredo Jaconi","http://dbpedia.org/resource/Estádio_Alfredo_Jaconi"
"Airton Moraes","http://dbpedia.org/resource/Airton_Moraes_Michellon","BBrazil","http://dbpedia.org/resource/Brazil","Esporte Clube Juventude","http://dbpedia.org/resource/Esporte_Clube_Juventude","Estádio Alfredo Jaconi","http://dbpedia.org/resource/Estádio_Alfredo_Jaconi"
"Airton Moraess","http://dbpedia.org/resource/Airton_Moraes_Michellon","Braazil","http://dbpedia.org/resource/Brazil","Juventude","http://dbpedia.org/resource/Esporte_Clube_Juventude","Estádio Alfredo Jaconi","http://dbpedia.org/resource/Estádio_Alfredo_Jaconi"
"Airton Moraes Michellon","http://dbpedia.org/resource/Airton_Moraes_Michellon","Brazil","http://dbpedia.org/resource/Brazil","Esporte Clube Juventudee","http://dbpedia.org/resource/Esporte_Clube_Juventude","Estádio Alfredo Jaconi","http://dbpedia.org/resource/Estádio_Alfredo_Jaconi"
"Airton Moraess Michellon","http://dbpedia.org/resource/Airton_Moraes_Michellon","Braazil","http://dbpedia.org/resource/Brazil","Juventude","http://dbpedia.org/resource/Esporte_Clube_Juventude","Estádio Alfredo Jaconi","http://dbpedia.org/resource/Estádio_Alfredo_Jaconi"
"Akbar Turaevv","http://dbpedia.org/resource/Akbar_Turaev","Uzbekistan","http://dbpedia.org/resource/Uzbekistan","Bunyodkorr","http://dbpedia.org/resource/FC_Bunyodkor","Bunyodkor Stadioni (official name)","http://dbpedia.org/resource/Bunyodkor_Stadium"
"Akbar Turaev","http://dbpedia.org/resource/Akbar_Turaev","Uzbekistan","http://dbpedia.org/resource/Uzbekistan","Football Club Bunyodkor","http://dbpedia.org/resource/FC_Bunyodkor","Bunyodkor Stadioni (official name)","http://dbpedia.org/resource/Bunyodkor_Stadium"
"Albertoo Fontana","http://dbpedia.org/resource/Alberto_Fontana_(footballer,_born_1967)","Ittaly","http://dbpedia.org/resource/Italy","Napolii","http://dbpedia.org/resource/S.S.C._Napoli","San Paolo","http://dbpedia.org/resource/Stadio_San_Paolo"
"Alberto Fontana","http://dbpedia.org/resource/Alberto_Fontana_(footballer,_born_1967)","IItaly","http://dbpedia.org/resource/Italy","Napoli","http://dbpedia.org/resource/S.S.C._Napoli","Stadio San Paolo","http://dbpedia.org/resource/Stadio_San_Paolo"
"Alberto Fontana","http://dbpedia.org/resource/Alberto_Fontana_(footballer,_born_1967)","Itally","http://dbpedia.org/resource/Italy","Società Sportiva Calcio Nappoli S.p.A.","http://dbpedia.org/resource/S.S.C._Napoli","San Paolo","http://dbpedia.org/resource/Stadio_San_Paolo"
"Alberto Fontanaa","http://dbpedia.org/resource/Alberto_Fontana_(footballer,_born_1967)","Italy","http://dbpedia.org/resource/Italy","Soccietà Sportiva Calcio Napoli S.p.A.","http://dbpedia.org/resource/S.S.C._Napoli","Stadio San Paolo","http://dbpedia.org/resource/Stadio_San_Paolo"
"Alberto Fontanaa","http://dbpedia.org/resource/Alberto_Fontana_(footballer,_born_1974)","Italyy","http://dbpedia.org/resource/Italy","Juventus","http://dbpedia.org/resource/Juventus_F.C.","Juventus Stadium","http://dbpedia.org/resource/Juventus_Stadium"
"Alberto Fontanaa","http://dbpedia.org/resource/Alberto_Fontana_(footballer,_born_1974)","Italy","http://dbpedia.org/resource/Italy","Juventus Football  ClubS.p.A.","http://dbpedia.org/resource/Juventus_F.C.","Juventus Stadium","http://dbpedia.org/resource/Juventus_Stadium"
"Alberto Maria Fontana","http://dbpedia.org/resource/Alberto_Fontana_(footballer,_born_1974)","Italyy","http://dbpedia.org/resource/Italy","Juventus","http://dbpedia.org/resource/Juventus_F.C.","Juventus Stadium","http://dbpedia.org/resource/Juventus_Stadium"
"Alberto Maria Fontanaa","http://dbpedia.org/resource/Alberto_Fontana_(footballer,_born_1974)","Italy","http://dbpedia.org/resource/Italy","Juventus Football ClubS.p.A..","http://dbpedia.org/resource/Juventus_F.C.","Juventus Stadium","http://dbpedia.org/resource/Juventus_Stadium"
"Alberto Rafael da Silva","http://dbpedia.org/resource/Alberto_Rafael_da_Silva","Brazill","http://dbpedia.org/resource/Brazil","Esteghlal Tehran Football Clubb","http://dbpedia.org/resource/Esteghlal_F.C.","Azadi Stadium","http://dbpedia.org/resource/Azadi_Stadium"
"Alberto Rafael da Silva","http://dbpedia.org/resource/Alberto_Rafael_da_Silva","Brazill","http://dbpedia.org/resource/Brazil","Botafogo Futebol Clubе","http://dbpedia.org/resource/Botafogo_Futebol_Clube_(SP)","Estádio Santa Cruz","http://dbpedia.org/resource/Estádio_Santa_Cruz"
"Alberto Rafael da Silvaa","http://dbpedia.org/resource/Alberto_Rafael_da_Silva","Brazill","http://dbpedia.org/resource/Brazil","Botafogo de Ribeirão Pretoo","http://dbpedia.org/resource/Botafogo_Futebol_Clube_(SP)","Estádio Santa Cruz","http://dbpedia.org/resource/Estádio_Santa_Cruz"
"Alberto Rafael da Silva","http://dbpedia.org/resource/Alberto_Rafael_da_Silva","Brazill","http://dbpedia.org/resource/Brazil","Esteghlal","http://dbpedia.org/resource/Esteghlal_F.C.","Azadi Stadium","http://dbpedia.org/resource/Azadi_Stadium"
"Alberto Rafael da Silva","http://dbpedia.org/resource/Alberto_Rafael_da_Silva","Brrazil","http://dbpedia.org/resource/Brazil","استقلال","http://dbpedia.org/resource/Esteghlal_F.C.","Azadi Stadium","http://dbpedia.org/resource/Azadi_Stadium"
"Alejandro Limiaa","http://dbpedia.org/resource/Alejandro_Limia","Argentinaa","http://dbpedia.org/resource/Argentina","Club  Atlético Huracán","http://dbpedia.org/resource/Club_Atlético_Huracán","Estadio Tomás A. Ducó","http://dbpedia.org/resource/Estadio_Tomás_Adolfo_Ducó"
"Alejandro Limiaa","http://dbpedia.org/resource/Alejandro_Limia","Argenttina","http://dbpedia.org/resource/Argentina","Huracán","http://dbpedia.org/resource/Club_Atlético_Huracán","Estadio Tomás A. Ducó","http://dbpedia.org/resource/Estadio_Tomás_Adolfo_Ducó"
"Alessandro Beti Rosa","http://dbpedia.org/resource/Alessandro_Beti_Rosa","Brazil","http://dbpedia.org/resource/Brazil","Botafogo de Ribeirão Preto","http://dbpedia.org/resource/Botafogo_Futebol_Clube_(SP)","Estádio Santa Cruz","http://dbpedia.org/resource/Estádio_Santa_Cruz"
"Alessandro Beti Rosaa","http://dbpedia.org/resource/Alessandro_Beti_Rosa","Braazil","http://dbpedia.org/resource/Brazil","Botafogo Futebol Clubе","http://dbpedia.org/resource/Botafogo_Futebol_Clube_(SP)","Estádio Santa Cruz","http://dbpedia.org/resource/Estádio_Santa_Cruz"
"Alex Arancibiaa","http://dbpedia.org/resource/Alex_Arancibia","Bolivia","http://dbpedia.org/resource/Bolivia","Club Deportivo Jorge Willstermann","http://dbpedia.org/resource/Club_Jorge_Wilstermann","Estadio Sudamericano Félix Capriles","http://dbpedia.org/resource/Estadio_Félix_Capriles"
"Alex Arancibiaa","http://dbpedia.org/resource/Alex_Arancibia","Boliviia","http://dbpedia.org/resource/Bolivia","Wilsteermann","http://dbpedia.org/resource/Club_Jorge_Wilstermann","Estadio Sudamericano Félix Capriles","http://dbpedia.org/resource/Estadio_Félix_Capriles"
"Alex Arancibia Chavezz","http://dbpedia.org/resource/Alex_Arancibia","Bolivia","http://dbpedia.org/resource/Bolivia","Club Deportivo Jorge Wilstermannn","http://dbpedia.org/resource/Club_Jorge_Wilstermann","Estadio Sudamericano Félix Capriles","http://dbpedia.org/resource/Estadio_Félix_Capriles"
"Alex Arancibia Chavezz","http://dbpedia.org/resource/Alex_Arancibia","Bolivia","http://dbpedia.org/resource/Bolivia","Wilstermann","http://dbpedia.org/resource/Club_Jorge_Wilstermann","Estadio Sudamericano Félix Capriles","http://dbpedia.org/resource/Estadio_Félix_Capriles"
"Alexander DDomínguez","http://dbpedia.org/resource/Alexander_Domínguez","EEcuador","http://dbpedia.org/resource/Ecuador","Club de Fútbol Monterreyy","http://dbpedia.org/resource/C.F._Monterrey","Estadio BBVA Bancomer","http://dbpedia.org/resource/Estadio_BBVA_Bancomer"
"Alexander Domínguez Carabalíí","http://dbpedia.org/resource/Alexander_Domínguez","Ecuador","http://dbpedia.org/resource/Ecuador","Club de Fútbol Monterreyy","http://dbpedia.org/resource/C.F._Monterrey","Estadio BBVA Bancomer","http://dbpedia.org/resource/Estadio_BBVA_Bancomer"
"Alfonso De Lucia","http://dbpedia.org/resource/Alfonso_De_Lucia","Itaaly","http://dbpedia.org/resource/Italy","Napolii","http://dbpedia.org/resource/S.S.C._Napoli","San Paolo","http://dbpedia.org/resource/Stadio_San_Paolo"
"Alfonso De Lucia","http://dbpedia.org/resource/Alfonso_De_Lucia","Italy","http://dbpedia.org/resource/Italy","Napoli","http://dbpedia.org/resource/S.S.C._Napoli","Stadio San Paolo","http://dbpedia.org/resource/Stadio_San_Paolo"
"Alfonso De Lucia","http://dbpedia.org/resource/Alfonso_De_Lucia","Italy","http://dbpedia.org/resource/Italy","Società Sportiva Calcio Napoli S.p.A..","http://dbpedia.org/resource/S.S.C._Napoli","San Paolo","http://dbpedia.org/resource/Stadio_San_Paolo"
"Alfonso De LLucia","http://dbpedia.org/resource/Alfonso_De_Lucia","Italy","http://dbpedia.org/resource/Italy","Società Sporttiva Calcio Napoli S.p.A.","http://dbpedia.org/resource/S.S.C._Napoli","Stadio San Paolo","http://dbpedia.org/resource/Stadio_San_Paolo"
"Alfredo Bodoiraa","http://dbpedia.org/resource/Alfredo_Bodoira","Itaaly","http://dbpedia.org/resource/Italy","Juventus Football ClubS.p.A..","http://dbpedia.org/resource/Juventus_F.C.","Juventus Stadium","http://dbpedia.org/resource/Juventus_Stadium"
"Alfredo Bodoiraa","http://dbpedia.org/resource/Alfredo_Bodoira","Italyy","http://dbpedia.org/resource/Italy","Juventus","http://dbpedia.org/resource/Juventus_F.C.","Juventus Stadium","http://dbpedia.org/resource/Juventus_Stadium"
"Ali Boumnijell","http://dbpedia.org/resource/Ali_Boumnijel","Tunnisia","http://dbpedia.org/resource/Tunisia","Club Africainn","http://dbpedia.org/resource/Club_Africain","Stade Olympique de Radès","http://dbpedia.org/resource/Stade_Olympique_de_Radès"
"Alireza Beirannvand","http://dbpedia.org/resource/Alireza_Beiranvand","Iran","http://dbpedia.org/resource/Iran","Persepolis Tehran Foottball Club","http://dbpedia.org/resource/Persepolis_F.C.","Azadi Stadium","http://dbpedia.org/resource/Azadi_Stadium"
"Alireza Salimi","http://dbpedia.org/resource/Alireza_Salimi","Iran","http://dbpedia.org/resource/Iran","استقلالل","http://dbpedia.org/resource/Esteghlal_F.C.","Azadi Stadium","http://dbpedia.org/resource/Azadi_Stadium"
"Alireza Salimii","http://dbpedia.org/resource/Alireza_Salimi","Iran","http://dbpedia.org/resource/Iran","Esteghlal Tehran Football Cluub","http://dbpedia.org/resource/Esteghlal_F.C.","Azadi Stadium","http://dbpedia.org/resource/Azadi_Stadium"
"Alireza Salimi","http://dbpedia.org/resource/Alireza_Salimi","Irann","http://dbpedia.org/resource/Iran","Esteghlal","http://dbpedia.org/resource/Esteghlal_F.C.","Azadi Stadium","http://dbpedia.org/resource/Azadi_Stadium"
"Amir Abedzadeh","http://dbpedia.org/resource/Amir_Abedzadeh","Irann","http://dbpedia.org/resource/Iran","Persepolis Tehran Football Clubb","http://dbpedia.org/resource/Persepolis_F.C.","Azadi Stadium","http://dbpedia.org/resource/Azadi_Stadium"
"Amrinder Singhh","http://dbpedia.org/resource/Amrinder_Singh","Punjab, India","http://dbpedia.org/resource/Punjab,_India","Atlético de Kolkata","http://dbpedia.org/resource/Atlético_de_Kolkata","সল্ট লেক স্টেডিয়াম","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Amrinder Singhh","http://dbpedia.org/resource/Amrinder_Singh","Punjab, Inndia","http://dbpedia.org/resource/Punjab,_India","অ্যাটলেটিকো ডি কলকাতাা","http://dbpedia.org/resource/Atlético_de_Kolkata","Salt Lake Stadium","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Amrinder Singhh","http://dbpedia.org/resource/Amrinder_Singh","Punnjab, India","http://dbpedia.org/resource/Punjab,_India","অ্যাটলেটিকো ডি কলকাতাা","http://dbpedia.org/resource/Atlético_de_Kolkata","সল্ট লেক স্টেডিয়াম","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Amrinder Singh","http://dbpedia.org/resource/Amrinder_Singh","Punjab, India","http://dbpedia.org/resource/Punjab,_India","অ্যাটলেটিকো ডি কলকাতা","http://dbpedia.org/resource/Atlético_de_Kolkata","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Amrinder Singh","http://dbpedia.org/resource/Amrinder_Singh","Punjab, India","http://dbpedia.org/resource/Punjab,_India","Atlético de Kolkataa","http://dbpedia.org/resource/Atlético_de_Kolkata","Vivekananda Yuva Bharati Krirangan","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Amrinder  Singh","http://dbpedia.org/resource/Amrinder_Singh","Punjab, India","http://dbpedia.org/resource/Punjab,_India","Atlético de Kolkataa","http://dbpedia.org/resource/Atlético_de_Kolkata","Salt Lake Stadium","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Amrinder  Singh","http://dbpedia.org/resource/Amrinder_Singh","Punjab, Indiaa","http://dbpedia.org/resource/Punjab,_India","Atlético de Kolkata","http://dbpedia.org/resource/Atlético_de_Kolkata","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)","http://dbpedia.org/resource/Salt_Lake_Stadium"
"Amrinder Singhh","http://dbpedia.org/resource/Amrinder_Singh","Punjab, India","http://dbpedia.org/resource/Punjab,_India","অ্যাটলেটিকো ডি কলকাতা","http://dbpedia.org/resource/Atlético_de_Kolkata","Vivekananda Yuva Bharati Krirangan","http://dbpedia.org/resource/Salt_Lake_Stadium"
