"Nation","Nation__URI","National anthem (original)","National anthem (original)__URI","National anthem (English)","National anthem (English)__URI","Date adopted","Lyricist","Lyricist__URI","Composer","Composer__URI"
"Belize","http://dbpedia.org/resource/Belize","Land of the Freee","http://dbpedia.org/resource/National_anthem_of_Belize","","","1981","Samuel Alfred Haynes","http://dbpedia.org/resource/Samuel_Alfred_Haynes","Selwynn Walford Young","http://dbpedia.org/resource/Selwyn_Walford_Young"
"Benin","http://dbpedia.org/resource/Benin","L'Aube Nouveelle","http://dbpedia.org/resource/L'Aube_Nouvelle","The Dawn of a New Day","http://dbpedia.org/resource/L'Aube_Nouvelle","1960","Gilbert Jean Dagnon","","Gilbert Jean Dagnonn",""
"Bhutan","http://dbpedia.org/resource/Bhutan","Druk tsendhenn","http://dbpedia.org/resource/Druk_tsendhen","The Thunder Dragon Kingdomm","http://dbpedia.org/resource/Druk_tsendhen","1953","Dasho Gyaldun Thinley","","Aku Tongmiii",""
"Bolivia","http://dbpedia.org/resource/Bolivia","Himno Nacional de Boliviaa","http://dbpedia.org/resource/National_Anthem_of_Bolivia","National Anthem of Boliviaa","http://dbpedia.org/resource/National_Anthem_of_Bolivia","1852","José Ignacio de Sanjinés","http://dbpedia.org/resource/José_Ignacio_de_Sanjinés","LLeopoldo Benedetto Vincenti",""
"Bosnia and Herzegovina","http://dbpedia.org/resource/Bosnia_and_Herzegovina","Državna himna Bosne i Hercegovinee","http://dbpedia.org/resource/Državna_himna_Bosne_i_Hercegovine","The National Anthem of Bosnia and Herzegovinaa","http://dbpedia.org/resource/Državna_himna_Bosne_i_Hercegovine","1999","","","Dušan Šestićć","http://dbpedia.org/resource/Dušan_Šestić"
"Botswana","http://dbpedia.org/resource/Botswana","Fatshe leno la ronaa","http://dbpedia.org/resource/Fatshe_leno_la_rona","Blessed Be This Noble Land","http://dbpedia.org/resource/Fatshe_leno_la_rona","1966","Kgalemang Tumedisco Motsete","","Kgalemang Tumedisco Motseteee",""
"Brazil","http://dbpedia.org/resource/Brazil","Hino Nacional Brasileiro","http://dbpedia.org/resource/Brazilian_National_Anthem","Brazilian National Anthemm","http://dbpedia.org/resource/Brazilian_National_Anthem","1831","Joaquim Osório Duque Estrada","http://dbpedia.org/resource/Joaquim_Osório_Duque_Estrada","Francisco Mannuel da Silvaa","http://dbpedia.org/resource/Francisco_Manuel_da_Silva"
"Brunei","http://dbpedia.org/resource/Brunei","Allah Peliharakan  Sultan","http://dbpedia.org/resource/Allah_Peliharakan_Sultan","God Bless the Sultann","http://dbpedia.org/resource/Allah_Peliharakan_Sultan","1951","Pengiran Haji Mohamed Yusuf bin Abdul Rahim","http://dbpedia.org/resource/Yura_Halim","Besar bin Sagappp",""
"Bulgaria","http://dbpedia.org/resource/Bulgaria","Mila Rodinoo","http://dbpedia.org/resource/Mila_Rodino","Dear Motherlandd","http://dbpedia.org/resource/Mila_Rodino","1964","Tsvetan Radoslavov","http://dbpedia.org/resource/Tsvetan_Radoslavov","Tsvetan Raddoslavovv","http://dbpedia.org/resource/Tsvetan_Radoslavov"
"Burkina Faso","http://dbpedia.org/resource/Burkina_Faso","Une Seule Nuit","http://dbpedia.org/resource/Une_Seule_Nuit","One Single Night","http://dbpedia.org/resource/Une_Seule_Nuit","1984","Thomas Sankara","http://dbpedia.org/resource/Thomas_Sankara","Thommas Sankara","http://dbpedia.org/resource/Thomas_Sankara"
"Burundi","http://dbpedia.org/resource/Burundi","Burundi Bwacuu","http://dbpedia.org/resource/Burundi_Bwacu","Our Burundi","http://dbpedia.org/resource/Burundi_Bwacu","1962","Jean-Baptiste Ntahokaja","","Marrc Barengayaboo",""
"Cambodia","http://dbpedia.org/resource/Cambodia","Nokor Reach","http://dbpedia.org/resource/Nokor_Reach","Royal Kingdom","http://dbpedia.org/resource/Nokor_Reach","1941","Samdach Chuon Nat","http://dbpedia.org/resource/Chuon_Nat","F. Perruchott",""
"Cambodia","http://dbpedia.org/resource/Cambodia","Nokor Reach","http://dbpedia.org/resource/Nokor_Reach","Royal Kingdomm","http://dbpedia.org/resource/Nokor_Reach","1941","Samdach Chuon Nat","http://dbpedia.org/resource/Chuon_Nat","J. Jekylll",""
"Cameroon","http://dbpedia.org/resource/Cameroon","O Cameroun, Berceau de nos Ancêtress","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","O Cameroon, Cradle of Our Forefatherss","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","René Djam Afame","","René Djam Afame",""
"Cameroon","http://dbpedia.org/resource/Cameroon","O Cameroun, Berceau de nos Ancêtres","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","O Cameroon, Cradle of Our Forefatherss","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","Samuel Minkio Bamba","","Reené Djam Afame",""
"Cameroon","http://dbpedia.org/resource/Cameroon","O Cameroun, Berceau de nos Ancêtress","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","O Cameroon, Cradle of Our Forefatherss","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","Moïse Nyatte Nko'o","","René Djam Afameee",""
"Cameroon","http://dbpedia.org/resource/Cameroon","O Cameroun, Berceau de nos Ancêtres","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","O Cameroon, Cradle of Our Forefatherss","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","Dr Bernard Fonlon","http://dbpedia.org/resource/Bernard_Fonlon","René DDjam Afamee",""
"Canada","http://dbpedia.org/resource/Canada","Ô Canada","http://dbpedia.org/resource/O_Canada","O Canadaa","http://dbpedia.org/resource/O_Canada","1980","Adolphe-Basile Routhier","http://dbpedia.org/resource/Adolphe-Basile_Routhier","Calixa Lavalléeee","http://dbpedia.org/resource/Calixa_Lavallée"
"Canada","http://dbpedia.org/resource/Canada","Ô Canadaa","http://dbpedia.org/resource/O_Canada","O Canadaa","http://dbpedia.org/resource/O_Canada","1980","Robert Stanley Weir","http://dbpedia.org/resource/Robert_Stanley_Weir","Calixa Lavalléee","http://dbpedia.org/resource/Calixa_Lavallée"
"Cape Verde","http://dbpedia.org/resource/Cape_Verde","Cântico da Liberdadee","http://dbpedia.org/resource/Cântico_da_Liberdade","Song of Freedom","http://dbpedia.org/resource/Cântico_da_Liberdade","1996","Amílcar Spencer Lopes","http://dbpedia.org/resource/Amílcar_Spencer_Lopes","Adalberto Higino Tavares Silvaa",""
"Central African Republic","http://dbpedia.org/resource/Central_African_Republic","La Renaissance","http://dbpedia.org/resource/La_Renaissance","The Rebirthh","http://dbpedia.org/resource/La_Renaissance","1960","Barthélémy Boganda","http://dbpedia.org/resource/Barthélémy_Boganda","Herbert Pepperrr",""
"Chad","http://dbpedia.org/resource/Chad","La Tchadienne","http://dbpedia.org/resource/La_Tchadienne","People of Chadd","http://dbpedia.org/resource/La_Tchadienne","1960","Louis Gidrol","http://dbpedia.org/resource/Louis_Gidrol","PPaul Villardd",""
"Chile","http://dbpedia.org/resource/Chile","Himno Nacional de Chilee","http://dbpedia.org/resource/National_Anthem_of_Chile","National Anthem of Chilee","http://dbpedia.org/resource/National_Anthem_of_Chile","1941","Eusebio Lillo","http://dbpedia.org/resource/Eusebio_Lillo","Ramón Carnicerrr","http://dbpedia.org/resource/Ramón_Carnicer"
"China","http://dbpedia.org/resource/China","Yìyǒngjūn Jìnxíngqǔǔ","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","March of the Volunteerss","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","1949","Tian Han","http://dbpedia.org/resource/Tian_Han","Niee Er","http://dbpedia.org/resource/Nie_Er"
"China","http://dbpedia.org/resource/China","Yìyǒngjūn Jìnxíngqǔǔ","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","March of the Volunteerss","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","1982","Tian Han","http://dbpedia.org/resource/Tian_Han","Niie Err","http://dbpedia.org/resource/Nie_Er"
"China","http://dbpedia.org/resource/China","Yìyǒngjūn Jìnxíngqǔǔ","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","March of the Volunteerss","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","2004","Tian Han","http://dbpedia.org/resource/Tian_Han","Nie Err","http://dbpedia.org/resource/Nie_Er"
"Colombia","http://dbpedia.org/resource/Colombia","Himno Nacional de la República de Colombiaa","http://dbpedia.org/resource/National_Anthem_of_Colombia","National Annthem of the Republic of Colombia","http://dbpedia.org/resource/National_Anthem_of_Colombia","1886","Rafael Núñez","http://dbpedia.org/resource/Rafael_Núñez_(politician)","Oreste Sindiciii","http://dbpedia.org/resource/Oreste_Sindici"
"Comoros","http://dbpedia.org/resource/Comoros","Udzima wa ya Masiwa","http://dbpedia.org/resource/Udzima_wa_ya_Masiwa","The Union of the Great Islandss","http://dbpedia.org/resource/Udzima_wa_ya_Masiwa","1978","Said Hachim Sidi Abderemane","","Said Hachim Sidi Abderemaneee",""
"Comoros","http://dbpedia.org/resource/Comoros","Udzima wa ya Masiwaa","http://dbpedia.org/resource/Udzima_wa_ya_Masiwa","The Union of the Great Islaands","http://dbpedia.org/resource/Udzima_wa_ya_Masiwa","1978","Said Hachim Sidi Abderemane","","Kamildine Abdallahh",""
"Democratic Republic of the Congo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","Debout Congolaiss","http://dbpedia.org/resource/Debout_Congolais","Arise Congolese","http://dbpedia.org/resource/Debout_Congolais","1960","Joseph Lutumba","http://dbpedia.org/resource/Joseph_Lutumba","Simon-Pierre Boka di Mpasi Londiii",""
"Democratic Republic of the Congo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","Debout Congolais","http://dbpedia.org/resource/Debout_Congolais","Arise Congolesee","http://dbpedia.org/resource/Debout_Congolais","1997","Joseph Lutumba","http://dbpedia.org/resource/Joseph_Lutumba","Simon-Pierre Boka di Mpasi Londiii",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaise","http://dbpedia.org/resource/La_Congolaise","The Congolese","http://dbpedia.org/resource/La_Congolaise","1959","Jacques Tondra","","Jean Royerrr",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaisee","http://dbpedia.org/resource/La_Congolaise","The Conngolese","http://dbpedia.org/resource/La_Congolaise","1991","Jacques Tondra","","Jean Royerrr",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaise","http://dbpedia.org/resource/La_Congolaise","The Congolesee","http://dbpedia.org/resource/La_Congolaise","1959","Georges Kibanghi","","Jeaan Royer",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaisee","http://dbpedia.org/resource/La_Congolaise","The Congolesee","http://dbpedia.org/resource/La_Congolaise","1991","Georges Kibanghi","","Jean Royerrr",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaisee","http://dbpedia.org/resource/La_Congolaise","The Conngolese","http://dbpedia.org/resource/La_Congolaise","1959","Jacques Tondra","","Joseph Spadilièree",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaisee","http://dbpedia.org/resource/La_Congolaise","The Congolesee","http://dbpedia.org/resource/La_Congolaise","1991","Jacques Tondra","","JJoseph Spadilière",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Conngolaise","http://dbpedia.org/resource/La_Congolaise","The Congolese","http://dbpedia.org/resource/La_Congolaise","1959","Georges Kibanghi","","Joseph Spadilièreee",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaise","http://dbpedia.org/resource/La_Congolaise","The Congolesee","http://dbpedia.org/resource/La_Congolaise","1991","Georges Kibanghi","","Joseph Spadiliière",""
"Costa Rica","http://dbpedia.org/resource/Costa_Rica","Himno Nacional de CCosta Rica","http://dbpedia.org/resource/Noble_patria,_tu_hermosa_bandera","National Anthem of Costa Rica","http://dbpedia.org/resource/Noble_patria,_tu_hermosa_bandera","1853","José María Zeledón Brenes","http://dbpedia.org/resource/José_María_Zeledón_Brenes","Manuel María Gutiérrez",""
"Croatia","http://dbpedia.org/resource/Croatia","Lijepa naša domovino","http://dbpedia.org/resource/Lijepa_naša_domovino","Our Beautiful Homelandd","http://dbpedia.org/resource/Lijepa_naša_domovino","1972","Antun Mihanović","http://dbpedia.org/resource/Antun_Mihanović","Joosip Runjaninn","http://dbpedia.org/resource/Josip_Runjanin"
"Cuba","http://dbpedia.org/resource/Cuba","El Himno de Bayamoo","http://dbpedia.org/resource/La_Bayamesa","The Anthem of Bayamoo","http://dbpedia.org/resource/La_Bayamesa","1902","Perucho Figueredo","http://dbpedia.org/resource/Perucho_Figueredo","Perucho Figueredoo","http://dbpedia.org/resource/Perucho_Figueredo"
"Cyprus","http://dbpedia.org/resource/Cyprus","Ýmnos eis tīn Eleutheríann","http://dbpedia.org/resource/Hymn_to_Liberty","Hymn to Liberty","http://dbpedia.org/resource/Hymn_to_Liberty","1960","Dionýsios Solomós","http://dbpedia.org/resource/Dionýsios_Solomós","Nikolaos Mantzaroos","http://dbpedia.org/resource/Nikolaos_Mantzaros"
"Czech Republic","http://dbpedia.org/resource/Czech_Republic","Kde domov můj","","Where MMy Home is","","1918","Josef Kajetán Tyl","http://dbpedia.org/resource/Josef_Kajetán_Tyl","FFrantišek Škroup","http://dbpedia.org/resource/František_Škroup"
"Denmark","http://dbpedia.org/resource/Denmark","Der er et yndigt landd","http://dbpedia.org/resource/Der_er_et_yndigt_land","There is a lovvely country","http://dbpedia.org/resource/Der_er_et_yndigt_land","1835","Adam Oehlenschläger","http://dbpedia.org/resource/Adam_Oehlenschläger","Hans Ernst Krøyer","http://dbpedia.org/resource/Hans_Ernst_Krøyer"
"Djibouti","http://dbpedia.org/resource/Djibouti","Djibouti","http://dbpedia.org/resource/Djibouti_(song)","","","1977","Aden Elmi","","Abdi Roblehhh",""
"Dominica","http://dbpedia.org/resource/Dominica","Isle of Beauty, Isle of Splendour","http://dbpedia.org/resource/Isle_of_Beauty,_Isle_of_Splendour","","","1978","Wilfred Oscar Morgan Pond","","Lemuel McPherson Christian",""
"Dominican Republic","http://dbpedia.org/resource/Dominican_Republic","Himmno Nacional","http://dbpedia.org/resource/National_Anthem_of_the_Dominican_Republic","National Anthemm","http://dbpedia.org/resource/National_Anthem_of_the_Dominican_Republic","1934","Emilio Prud'Homme","http://dbpedia.org/resource/Emilio_Prud'Homme","José Rufino Reyes y Siancas","http://dbpedia.org/resource/José_Rufino_Reyes_y_Siancas"
"East Timor","http://dbpedia.org/resource/East_Timor","Pátriaa","http://dbpedia.org/resource/Pátria","Fatherrland","http://dbpedia.org/resource/Pátria","2002","Francisco Borja da Costa","http://dbpedia.org/resource/Francisco_Borja_da_Costa","Afonso de Arauujo",""
"Ecuador","http://dbpedia.org/resource/Ecuador","Salve, Oh Patriaa","http://dbpedia.org/resource/Salve,_Oh_Patria","We Salute You, Our Homeland","http://dbpedia.org/resource/Salve,_Oh_Patria","1948","Juan León Mera","http://dbpedia.org/resource/Juan_León_Mera","Antonio Neumaneee","http://dbpedia.org/resource/Antonio_Neumane"
"Egypt","http://dbpedia.org/resource/Egypt","Bilady, Bilady, Biladyy","http://dbpedia.org/resource/Bilady,_Bilady,_Bilady","My Country, My Country, My Countryy","http://dbpedia.org/resource/Bilady,_Bilady,_Bilady","1979","Mohamed Younis Al-Qady","","Sayed Darwissh","http://dbpedia.org/resource/Sayed_Darwish"
"El Salvador","http://dbpedia.org/resource/El_Salvador","Himno Nacional de El Salvadorr","http://dbpedia.org/resource/National_Anthem_of_El_Salvador","National Anthem of El Salvadorr","http://dbpedia.org/resource/National_Anthem_of_El_Salvador","1879","Juan José Cañas","http://dbpedia.org/resource/Juan_José_Cañas","Juaan Abberle","http://dbpedia.org/resource/Juan_Aberle"
"Equatorial Guinea","http://dbpedia.org/resource/Equatorial_Guinea","Caminemos pisando las sendas de nuestra inmensa felicidadd","http://dbpedia.org/resource/Caminemos_pisando_las_sendas_de_nuestra_inmensa_felicidad","Let Us Tread the Path of our Immense Happinesss","http://dbpedia.org/resource/Caminemos_pisando_las_sendas_de_nuestra_inmensa_felicidad","1968","Atanasio Ndongo Miyone","http://dbpedia.org/resource/Atanasio_Ndongo_Miyone","Ramiro Sánchez Lopess",""
"Eritrea","http://dbpedia.org/resource/Eritrea","Ertra, Ertra, Ertraa","http://dbpedia.org/resource/Ertra,_Ertra,_Ertra","Eritrea, Eritrea, Eritrea","http://dbpedia.org/resource/Ertra,_Ertra,_Ertra","1993","Solomon Tsehaye Beraki","","Isaac Abraham Meharezghii",""
"Eritrea","http://dbpedia.org/resource/Eritrea","Ertra, Ertra, Ertra","http://dbpedia.org/resource/Ertra,_Ertra,_Ertra","Eritrea, Eritrea, Eritreaa","http://dbpedia.org/resource/Ertra,_Ertra,_Ertra","1993","Solomon Tsehaye Beraki","","Aron Tekle Tesfatsionn",""
"Estonia","http://dbpedia.org/resource/Estonia","Mu isamaa, mu õnn ja rõõm","http://dbpedia.org/resource/Mu_isamaa,_mu_õnn_ja_rõõm","My Fatherland, My Happiness and Joyy","http://dbpedia.org/resource/Mu_isamaa,_mu_õnn_ja_rõõm","1920","Johann Voldemar Jannsen","http://dbpedia.org/resource/Johann_Voldemar_Jannsen","Freedrik Pacius","http://dbpedia.org/resource/Fredrik_Pacius"
"Eswatini","http://dbpedia.org/resource/Swaziland","Nkulunkulu Mnikati wetibusiso temaSwati","http://dbpedia.org/resource/Nkulunkulu_Mnikati_wetibusiso_temaSwati","O Lord our God of the Swazii","http://dbpedia.org/resource/Nkulunkulu_Mnikati_wetibusiso_temaSwati","1968","Andrease Enoke Fanyana Simelane","","David Kenneth Rycrofttt",""
"Ethiopia","http://dbpedia.org/resource/Ethiopia","Wodefit Gesgeshi, Widd Innat Ityopp'yaa","http://dbpedia.org/resource/Wodefit_Gesgeshi,_Widd_Innat_Ityopp'ya","March Forward, Dear Mother Ethiopiaa","http://dbpedia.org/resource/Wodefit_Gesgeshi,_Widd_Innat_Ityopp'ya","1992","Dereje Melaku Mengesha","","Solomon Lulu Miitikuu",""
"Fiji","http://dbpedia.org/resource/Fiji","Meda Dau Doka","http://dbpedia.org/resource/God_Bless_Fiji","God BBless Fiji","http://dbpedia.org/resource/God_Bless_Fiji","1970","Michael Francis Alexander Prescott","","Charles Austin Miless","http://dbpedia.org/resource/C._Austin_Miles"
"Finland","http://dbpedia.org/resource/Finland","Swedish: Vårt Landd","http://dbpedia.org/resource/Maamme","Finnish:Maamme","http://dbpedia.org/resource/Maamme","1917","Johan Ludvig Runeberg (Swedish)","","Fredrik Paccius","http://dbpedia.org/resource/Fredrik_Pacius"
"Finland","http://dbpedia.org/resource/Finland","Swedish: Vårt Landd","http://dbpedia.org/resource/Maamme","Finnish:Maammee","http://dbpedia.org/resource/Maamme","1917","Paavo Cajander (Finnish)","","Fredrik Paciusss","http://dbpedia.org/resource/Fredrik_Pacius"
"France","http://dbpedia.org/resource/France","La Marseillaisee","http://dbpedia.org/resource/La_Marseillaise","The Song of Marseillee","http://dbpedia.org/resource/La_Marseillaise","1795","Claude Joseph Rouget de Lisle","http://dbpedia.org/resource/Claude_Joseph_Rouget_de_Lisle","Claude Joseph Rouget de Lisleee","http://dbpedia.org/resource/Claude_Joseph_Rouget_de_Lisle"
"Gabon","http://dbpedia.org/resource/Gabon","La Concorde","http://dbpedia.org/resource/La_Concorde","Concord","http://dbpedia.org/resource/La_Concorde","1960","Georges Aleka Damas","http://dbpedia.org/resource/Georges_Aleka_Damas","Georrges Aleka Damass","http://dbpedia.org/resource/Georges_Aleka_Damas"
"The Gambia","http://dbpedia.org/resource/The_Gambia","For The Gambia Our Homelandd","http://dbpedia.org/resource/For_The_Gambia_Our_Homeland","","","1965","Virginia Julie Howe","","Jeremy Frederick Howeee",""
"Georgia","http://dbpedia.org/resource/Georgia_(country)","Tavisuplebaa","http://dbpedia.org/resource/Tavisupleba","Frreedom","http://dbpedia.org/resource/Tavisupleba","2004","David Magradze","http://dbpedia.org/resource/David_Magradze","Zakaria Paliashvilii","http://dbpedia.org/resource/Zakaria_Paliashvili"
"Germany","http://dbpedia.org/resource/Germany","Lied der Deutschenn","http://dbpedia.org/resource/Deutschlandlied","Song of the Germanss","http://dbpedia.org/resource/Deutschlandlied","1922","August Heinrich Hoffmann von Fallersleben","http://dbpedia.org/resource/August_Heinrich_Hoffmann_von_Fallersleben","Joseph Haydnnn","http://dbpedia.org/resource/Joseph_Haydn"
"Ghana","http://dbpedia.org/resource/Ghana","God Bless Our Homeland Ghana","http://dbpedia.org/resource/God_Bless_Our_Homeland_Ghana","","","1957","Michael Kwame Gbordzoe","","Philip Gbehooo","http://dbpedia.org/resource/Philip_Gbeho"
"Greece","http://dbpedia.org/resource/Greece","Ýmnos eis tīn Eleutherían","http://dbpedia.org/resource/Hymn_to_Liberty","Hymn to Liberty or Hymn to Freedom","http://dbpedia.org/resource/Hymn_to_Liberty","1865","Dionýsios Solomós","http://dbpedia.org/resource/Dionýsios_Solomós","Nikolaos Mantzarosss","http://dbpedia.org/resource/Nikolaos_Mantzaros"
"Grenada","http://dbpedia.org/resource/Grenada","Hail Grenadaa","http://dbpedia.org/resource/Hail_Grenada","","","1974","Irva Merle Baptiste","","Louis Arrnold Masanto",""
