"Rank","Player (2011 TBs)","Player (2011 Tbs)__URI","TBs"
11,"Frank Robinson","http://dbpedia.org/resource/Frank_Robinson http://dbpedia.org/resource/Frank_Robinson","5,373"
12,"Ken Griffey Jr.","http://dbpedia.org/resource/Ken_Griffey,_Jr. http://dbpedia.org/resource/Ken_Griffey,_Junior http://dbpedia.org/resource/Ken_Griffey_Junior http://dbpedia.org/resource/Griffey,_Ken_Jr http://dbpedia.org/resource/Ken_Griffey,_Jr. http://dbpedia.org/resource/Kenneth_Griffey_Jr. http://dbpedia.org/resource/Kenneth_Griffey http://dbpedia.org/resource/Ken_Griffey_Jr._Bar http://dbpedia.org/resource/Griffey,_JR. http://dbpedia.org/resource/Kenneth_Griffey,_Jr. http://dbpedia.org/resource/Griffey_jr. http://dbpedia.org/resource/Ken_Griffey,_Jr http://dbpedia.org/resource/Griffey,_Ken_Jr. http://dbpedia.org/resource/Ken_Griffey_Jr http://dbpedia.org/resource/George_Kenneth_%22Ken%22_Griffey,_Jr. http://dbpedia.org/resource/KG_Jr http://dbpedia.org/resource/Ken_Griffey_Jr.","5,271"
13,"Dave Winfield","http://dbpedia.org/resource/Dave_Winfield http://dbpedia.org/resource/Dave_Winfield http://dbpedia.org/resource/David_Winfield http://dbpedia.org/resource/Winfield_wants_noise http://dbpedia.org/resource/David_Mark_Winfield","5,221"
14,"Alex Rodriguez (172)","http://dbpedia.org/resource/Alex_Rodriguez http://dbpedia.org/resource/A-Fraud http://dbpedia.org/resource/Alex_Rodriguez_(baseball_player) http://dbpedia.org/resource/Alex_Rodriguez http://dbpedia.org/resource/Alex_rodriguz http://dbpedia.org/resource/A_rod http://dbpedia.org/resource/Alexander_Emmanuel_Rodriguez http://dbpedia.org/resource/�Ã�lex_Rodr�Ã�­guez http://dbpedia.org/resource/Alex_Rodriguez_(baseball) http://dbpedia.org/resource/A-fraud http://dbpedia.org/resource/Alex_Rodrigues http://dbpedia.org/resource/A-rod http://dbpedia.org/resource/Alex_Rodr�Ã�­guez http://dbpedia.org/resource/Cynthia_Scurtis http://dbpedia.org/resource/Alexander_Emmanuel_%22Alex%22_Rodriguez http://dbpedia.org/resource/A-Rod http://dbpedia.org/resource/Yuri_Sucart","5,215"
15,"Cal Ripken Jr.","http://dbpedia.org/resource/Cal_Ripken,_Jr. http://dbpedia.org/resource/Cal_ripkien http://dbpedia.org/resource/Cal_Ripken,_Jr. http://dbpedia.org/resource/Cal_Ripken http://dbpedia.org/resource/Calvin_Edwin_Ripken,_Jr. http://dbpedia.org/resource/Cal_Ripkin_Jr. http://dbpedia.org/resource/Cal_Ripken_Jr http://dbpedia.org/resource/Cal_Ripken,_Jr http://dbpedia.org/resource/Cal,_Jr._Ripken http://dbpedia.org/resource/Calvin_Ripken,_Jr. http://dbpedia.org/resource/Cal_Ripkin_Jr http://dbpedia.org/resource/Ripken,_Cal,_Jr. http://dbpedia.org/resource/Cal_Ripken,_Junior http://dbpedia.org/resource/Ryan_Ripken http://dbpedia.org/resource/Cal_Ripken_Jr. http://dbpedia.org/resource/Cal_ripkin","5,168"
16,"Tris Speaker","http://dbpedia.org/resource/Tris_Speaker http://dbpedia.org/resource/Tristram_Speaker http://dbpedia.org/resource/Tris_Speaker","5,101"
17,"Lou Gehrig","http://dbpedia.org/resource/Lou_Gehrig http://dbpedia.org/resource/Biscuit_pants http://dbpedia.org/resource/Henry_Louis_Gehrig http://dbpedia.org/resource/Ludwig_Heinrich_Gehrig http://dbpedia.org/resource/Lou_Gherig http://dbpedia.org/resource/Lou_gerhig http://dbpedia.org/resource/Louis_Gehrig http://dbpedia.org/resource/Henry_Louis_%22Lou%22_Gehrig http://dbpedia.org/resource/Lou_Gehrig http://dbpedia.org/resource/Biscuit_Pants http://dbpedia.org/resource/Luckiest_man_on_the_face_of_the_earth http://dbpedia.org/resource/Lou_Gehrig_Appreciation_Day http://dbpedia.org/resource/The_luckiest_man_on_the_face_of_the_earth http://dbpedia.org/resource/Lou_Gerhig http://dbpedia.org/resource/Gehrig http://dbpedia.org/resource/Lou_gehrig","5,06"
18,"George Brett","http://dbpedia.org/resource/George_Brett http://dbpedia.org/resource/George_Howard_Brett_(baseball) http://dbpedia.org/resource/George_Brett_(baseball_player) http://dbpedia.org/resource/George_Howard_Brett http://dbpedia.org/resource/Brett,_George http://dbpedia.org/resource/George_Howar_Brett http://dbpedia.org/resource/George_H._Brett http://dbpedia.org/resource/George_Brett_(baseball) http://dbpedia.org/resource/George_Brett","5,044"
19,"Mel Ott","http://dbpedia.org/resource/Mel_Ott http://dbpedia.org/resource/Melvin_Thomas_Ott http://dbpedia.org/resource/Melvin_T._Ott http://dbpedia.org/resource/Mel_ott http://dbpedia.org/resource/Mel_Ott http://dbpedia.org/resource/Melvin_Ott http://dbpedia.org/resource/Mel_Ott_Award","5,041"
20,"Jimmie Foxx","http://dbpedia.org/resource/Jimmie_Foxx http://dbpedia.org/resource/Jimmie_Foxx http://dbpedia.org/resource/James_Emory_Foxx http://dbpedia.org/resource/Jimmy_Foxx http://dbpedia.org/resource/Jimmie_fox","4,956"
21,"Ted Williams","http://dbpedia.org/resource/Ted_Williams http://dbpedia.org/resource/Theodore_Samuels_Williams http://dbpedia.org/resource/Ted_Williams_(baseball) http://dbpedia.org/resource/Teddy_Ballgame http://dbpedia.org/resource/Splendid_Splinter http://dbpedia.org/resource/Williams,_Ted http://dbpedia.org/resource/Ted_Williams http://dbpedia.org/resource/Ted_Williams_Brand http://dbpedia.org/resource/Greatest_Hitter_Who_Ever_Lived http://dbpedia.org/resource/Theodore_Samuel_Williams","4,884"
22,"Honus Wagner","http://dbpedia.org/resource/Honus_Wagner http://dbpedia.org/resource/Honus'_Wagner http://dbpedia.org/resource/John_P._Wagner http://dbpedia.org/resource/Honus http://dbpedia.org/resource/Honus_Wagner http://dbpedia.org/resource/John_Peter_Wagner http://dbpedia.org/resource/Johannes_Peter_%22Honus%22_Wagner http://dbpedia.org/resource/Johannes_Wagner","4,862"
23,"Paul Molitor","http://dbpedia.org/resource/Paul_Molitor http://dbpedia.org/resource/Paul_Leo_Molitor http://dbpedia.org/resource/Paul_Molitor","4,854"
24,"Al Kaline","http://dbpedia.org/resource/Al_Kaline http://dbpedia.org/resource/Mr._Tiger http://dbpedia.org/resource/Al_Kaline","4,852"
25,"Reggie Jackson","http://dbpedia.org/resource/Reggie_Jackson http://dbpedia.org/resource/Reginald_Martinez_%22Reggie%22_Jackson http://dbpedia.org/resource/Reggie_Jackson http://dbpedia.org/resource/Mr._October http://dbpedia.org/resource/Reginald_Martinez_Jackson","4,834"
26,"Manny Ram?rez","http://dbpedia.org/resource/Manny_Ramirez http://dbpedia.org/resource/Manny_remeriz http://dbpedia.org/resource/Man_Ram http://dbpedia.org/resource/Man-ram http://dbpedia.org/resource/Manram http://dbpedia.org/resource/Manny_Ramirez http://dbpedia.org/resource/Mannywood http://dbpedia.org/resource/Manuel_Aristides_Ram�Ã�­rez http://dbpedia.org/resource/Manny_being_franny http://dbpedia.org/resource/Manny_Ram�Ã�­rez http://dbpedia.org/resource/Manny_being_Manny","4,826"
27,"Andre Dawson","http://dbpedia.org/resource/Andre_Dawson http://dbpedia.org/resource/Andre_Dawson http://dbpedia.org/resource/Andr�Ã�©_Dawson","4,787"
