"State/Province","State/Province__URI","Lake Name","Lake Name__URI","File Size"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Columbia, Lake *",,"312 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","DeGray Lake","http://dbpedia.org/resource/DeGray_Lake http://dbpedia.org/resource/DeGray_Lake http://dbpedia.org/resource/De_Gray_Lake http://dbpedia.org/resource/Degray_lake http://dbpedia.org/resource/Lake_DeGray http://dbpedia.org/resource/Lake_degray http://dbpedia.org/resource/DeGray_Dam","922 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Erling, Lake *",,"311 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Greers Ferry Lake","http://dbpedia.org/resource/Greers_Ferry_Lake http://dbpedia.org/resource/Greers_Ferry_Lake http://dbpedia.org/resource/Greers_ferry_lake","1,032 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Greeson, Lake","http://dbpedia.org/resource/Lake_Greeson http://dbpedia.org/resource/Lake_Greeson http://dbpedia.org/resource/Lake_greeson","496 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Monticello, Lake *",,"388 KB"
"California","http://dbpedia.org/resource/California_(state)","Castaic Lake Also includes Pyramid Lake, CA","http://dbpedia.org/resource/Castaic_Lake http://dbpedia.org/resource/Lake_Castaic http://dbpedia.org/resource/Castaic_lake http://dbpedia.org/resource/Castaic_Lake","419 KB"
"California","http://dbpedia.org/resource/California_(state)","Diamond Valley Lake","http://dbpedia.org/resource/Diamond_Valley_Lake http://dbpedia.org/resource/Diamond_Valley_Reservoir http://dbpedia.org/resource/Diamond_Valley_Lake http://dbpedia.org/resource/Diamond_Valley_Dam http://dbpedia.org/resource/Valley_of_the_mastodons http://dbpedia.org/resource/Domenigoni_Reservoir http://dbpedia.org/resource/Lake_Diamond_Valley http://dbpedia.org/resource/Diamond_Valley_Lake_Dam http://dbpedia.org/resource/Diamond_valley_lake","767 KB"
"California","http://dbpedia.org/resource/California_(state)","El Capitan Lake","http://dbpedia.org/resource/El_Capitan_Reservoir http://dbpedia.org/resource/El_capitan_reservoir http://dbpedia.org/resource/El_Capitan_Lake http://dbpedia.org/resource/El_Capitan_Reservoir","170 KB"
"California","http://dbpedia.org/resource/California_(state)","Isabella Lake","http://dbpedia.org/resource/Lake_Isabella http://dbpedia.org/resource/Isabella_Lake http://dbpedia.org/resource/Lake_Isabella http://dbpedia.org/resource/Lake_isabella","397 KB"
"California","http://dbpedia.org/resource/California_(state)","Lopez Lake * Also includes Santa Margarita Lake, CA","http://dbpedia.org/resource/Lopez_Lake http://dbpedia.org/resource/Lopez_Lake http://dbpedia.org/resource/Lopez_Dam http://dbpedia.org/resource/Lopez_lake http://dbpedia.org/resource/Lake_Lopez","628 KB"
"California","http://dbpedia.org/resource/California_(state)","Loveland Reservoir *","http://dbpedia.org/resource/Loveland_Dam http://dbpedia.org/resource/Loveland_Reservoir http://dbpedia.org/resource/Sweetwater_Falls_Dam http://dbpedia.org/resource/Loveland_Dam http://dbpedia.org/resource/Lake_Loveland","276 KB"
"California","http://dbpedia.org/resource/California_(state)","Perris Reservoir","http://dbpedia.org/resource/Lake_Perris http://dbpedia.org/resource/Lake_Perris_State_Recreation_Area http://dbpedia.org/resource/Lake_Perris http://dbpedia.org/resource/Perris_Lake http://dbpedia.org/resource/Perris_Dam http://dbpedia.org/resource/Lake_perris http://dbpedia.org/resource/Perris_Reservoir","726 KB"
"California","http://dbpedia.org/resource/California_(state)","Pyramid Lake (updated 04/18/2005) Also includes Castaic Lake, CA","http://dbpedia.org/resource/Pyramid_Lake_(Los_Angeles_County,_California) http://dbpedia.org/resource/Pyramid_Lake_(Los_Angeles_County,_California) http://dbpedia.org/resource/Pyramid_Lake_(Southern_California)","419 KB"
"California","http://dbpedia.org/resource/California_(state)","San Vicente Reservoir *","http://dbpedia.org/resource/San_Vicente_Reservoir http://dbpedia.org/resource/San_Vicente_Reservoir","371 KB"
"California","http://dbpedia.org/resource/California_(state)","Santa Margarita Lake * Also includes Lopez Lake, CA","http://dbpedia.org/resource/Santa_Margarita_Lake http://dbpedia.org/resource/Salinas_Reservoir http://dbpedia.org/resource/Lake_Santa_Margarita http://dbpedia.org/resource/Santa_margarita_lake http://dbpedia.org/resource/Santa_Margarita_Lake","628 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Blue Mesa Reservoir Also includes Morrow Point Reservoir, CO","http://dbpedia.org/resource/Blue_Mesa_Reservoir http://dbpedia.org/resource/Blue_Mesa_Reservoir http://dbpedia.org/resource/Blue_mesa_reservoir","614 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Dillon Reservoir *","http://dbpedia.org/resource/Dillon_Reservoir http://dbpedia.org/resource/Lake_Dillon http://dbpedia.org/resource/Dillon_Reservoir http://dbpedia.org/resource/Dillon_Dam http://dbpedia.org/resource/Lake_dillon","331 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","McPhee Reservoir","http://dbpedia.org/resource/McPhee_Reservoir http://dbpedia.org/resource/McPhee,_Colorado http://dbpedia.org/resource/McPhee,_CO http://dbpedia.org/resource/McPhee_Reservoir http://dbpedia.org/resource/Mcphee_reservoir http://dbpedia.org/resource/McPhee_Dam","248 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Morrow Point Reservoir Also includes Blue Mesa Reservoir, CO","http://dbpedia.org/resource/Morrow_Point_Reservoir http://dbpedia.org/resource/Morrow_Point_Lake http://dbpedia.org/resource/Morrow_Point_Reservoir","614 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Pueblo, Lake *",,"240 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Sanchez Reservoir *",,"176 KB"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","Lillinonah, Lake","http://dbpedia.org/resource/Lake_Lillinonah http://dbpedia.org/resource/Lake_lillinonah http://dbpedia.org/resource/Lake_Lillinonah","1,284 KB"
"Florida","http://dbpedia.org/resource/Florida_(state)","Istokpoga, Lake Also includes Lake Jackson, FL, Lake June In Winter, FL, and Lake Huntley, FL","http://dbpedia.org/resource/Lake_Istokpoga http://dbpedia.org/resource/Lake_Istokpoga http://dbpedia.org/resource/Lake_istokpoga http://dbpedia.org/resource/Lake_Istopoga http://dbpedia.org/resource/Lake_Istokpoga_(Florida)","1,194 KB"
"Florida","http://dbpedia.org/resource/Florida_(state)","Lochloosa Lake Also includes most of Orange Lake, FL","http://dbpedia.org/resource/Lochloosa_Lake http://dbpedia.org/resource/Lochloosa_Lake","644 KB"
"Florida","http://dbpedia.org/resource/Florida_(state)","Monroe, Lake","http://dbpedia.org/resource/Lake_Monroe_(Florida) http://dbpedia.org/resource/Lake_Monroe_(Florida)","1,020 KB"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Nottely Lake *","http://dbpedia.org/resource/Lake_Nottely http://dbpedia.org/resource/Lake_nottely http://dbpedia.org/resource/Nottely_Lake http://dbpedia.org/resource/Lake_Nottely","535 KB"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Oconee, Lake","http://dbpedia.org/resource/Lake_Oconee http://dbpedia.org/resource/Lake_oconee http://dbpedia.org/resource/Lake_Oconee","968 KB"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Sinclair, Lake","http://dbpedia.org/resource/Lake_Sinclair http://dbpedia.org/resource/Lake_Sinclair http://dbpedia.org/resource/Sinclair_Lake http://dbpedia.org/resource/Lake_sinclair http://dbpedia.org/resource/Lake_Sinclair_hydroelectric_generating_station http://dbpedia.org/resource/Sinclair_Dam_Hydroelectric_Generating_Plant http://dbpedia.org/resource/Sinclair_Dam","991 KB"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Sydney Lanier, Lake","http://dbpedia.org/resource/Lake_Lanier http://dbpedia.org/resource/Lake_Lanier http://dbpedia.org/resource/Chestatee_Bay http://dbpedia.org/resource/Lake_lanier http://dbpedia.org/resource/Lanier_Lake http://dbpedia.org/resource/Lake_Lanier,_Georgia http://dbpedia.org/resource/Buford_Dam http://dbpedia.org/resource/Lake_Sidney_Lanier","2,745 KB"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Tobesofkee, Lake *","http://dbpedia.org/resource/Lake_Tobesofkee http://dbpedia.org/resource/Lake_Tobesofkee http://dbpedia.org/resource/Lake_tobesofkee","538 KB"
"Illinois","http://dbpedia.org/resource/Illinois_(state)","Clinton Lake","http://dbpedia.org/resource/Clinton_Lake_(Illinois) http://dbpedia.org/resource/Clinton_lake_(illinois) http://dbpedia.org/resource/Clinton_Lake_(Illinois)","597 KB"
"Kansas","http://dbpedia.org/resource/Kansas_(state)","Big Hill Lake * (updated 01/23/2006)","http://dbpedia.org/resource/Big_Hill_Lake http://dbpedia.org/resource/Big_Hill_Lake","373 KB"
"Kansas","http://dbpedia.org/resource/Kansas_(state)","Coffey County Lake",,"274 KB"
"Kansas","http://dbpedia.org/resource/Kansas_(state)","Pomona Lake",,"335 KB"
"Kansas","http://dbpedia.org/resource/Kansas_(state)","Tuttle Creek Lake","http://dbpedia.org/resource/Tuttle_Creek_Lake http://dbpedia.org/resource/Tuttle_creek_lake http://dbpedia.org/resource/Tuttle_Creek_Reservoir http://dbpedia.org/resource/Lake_Tuttle_Creek http://dbpedia.org/resource/Tuttle_Creek_Lake http://dbpedia.org/resource/Tuttle_Creek http://dbpedia.org/resource/Tuttle_Creek_Dam","576 KB"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)","Laurel River Lake","http://dbpedia.org/resource/Laurel_River_Lake http://dbpedia.org/resource/Laurel_river_lake http://dbpedia.org/resource/Laurel_River_Lake http://dbpedia.org/resource/Lake_Laurel_River","985 KB"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)","Taylorsville Lake","http://dbpedia.org/resource/Taylorsville_Lake http://dbpedia.org/resource/Taylorsville_Lake http://dbpedia.org/resource/Taylorsville_lake http://dbpedia.org/resource/Lake_Taylorsville http://dbpedia.org/resource/Taylorsville_Lake_Dam","499 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Caney Creek Reservoir *",,"308 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Cotile Lake * Also includes Kincaid Reservoir, LA and Lake Rodemacher, LA",,"519 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","D'Arbonne, Lake","http://dbpedia.org/resource/Lake_D%E2%80%99Arbonne http://dbpedia.org/resource/Lake_D%E2%80%99Arbonne","388 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Kepler Creek Lake *",,"292 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Kincaid Reservoir Also includes Cotile Lake, LA and Lake Rodemacher, LA",,"519 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Rodemacher, Lake * Also includes Cotile Lake, LA and Kincaid Reservoir, LA",,"519 KB"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)","Quabbin Reservoir","http://dbpedia.org/resource/Quabbin_Reservoir http://dbpedia.org/resource/Quabbin_reservoir http://dbpedia.org/resource/Quabbin_Lake http://dbpedia.org/resource/Quabbin_Reservoir","687 KB"
"Minnesota","http://dbpedia.org/resource/Minnesota_(state)","Fourtown Lake",,"216 KB"
"Minnesota","http://dbpedia.org/resource/Minnesota_(state)","Gull Lake","http://dbpedia.org/resource/Gull_Lake_(Cass_County,_Minnesota) http://dbpedia.org/resource/Gull_Lake_(Cass_County,_Minnesota) http://dbpedia.org/resource/Gull_lake_(cass_county,_minnesota) http://dbpedia.org/resource/Gull_Lake_(MN-11030500)","526 KB"
"Minnesota","http://dbpedia.org/resource/Minnesota_(state)","Moose Lake","http://dbpedia.org/resource/Moose_Lake,_Minnesota http://dbpedia.org/resource/History_of_Moose_Lake,_Minnesota http://dbpedia.org/resource/Moose_Lake,_MN http://dbpedia.org/resource/Moose_Lake,_Minnesota","225 KB"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Arkabutla Lake","http://dbpedia.org/resource/Arkabutla_Lake http://dbpedia.org/resource/Arkabutla_lake http://dbpedia.org/resource/Lake_Arkabutla http://dbpedia.org/resource/Arkabutla_Lake","380 KB"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Enid Lake","http://dbpedia.org/resource/Enid_Lake http://dbpedia.org/resource/Lake_Enid http://dbpedia.org/resource/Enid_Dam http://dbpedia.org/resource/Enid_Lake http://dbpedia.org/resource/Enid_lake","532 KB"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Okatibbee Lake *",,"544 KB"
"Missouri","http://dbpedia.org/resource/Missouri_(state)","Truman Reservoir","http://dbpedia.org/resource/Truman_Reservoir http://dbpedia.org/resource/Truman_Lake http://dbpedia.org/resource/Truman_Dam http://dbpedia.org/resource/Harry_S._Truman_Dam http://dbpedia.org/resource/Truman_Reservoir http://dbpedia.org/resource/Harry_S._Truman_Reservoir http://dbpedia.org/resource/Harry_S._Truman_Dam_and_Reservoir http://dbpedia.org/resource/Harry_s._truman_dam_and_reservoir","1,322 KB"
"Montana","http://dbpedia.org/resource/Montana_(state)","Elwell, Lake","http://dbpedia.org/resource/Lake_Elwell http://dbpedia.org/resource/Tiber_Reservoir http://dbpedia.org/resource/Lake_Elwell http://dbpedia.org/resource/Lake_elwell http://dbpedia.org/resource/Tiber_reservoir","571 KB"
"Nebraska","http://dbpedia.org/resource/Nebraska_(state)","Harlan County Lake","http://dbpedia.org/resource/Harlan_County_Reservoir http://dbpedia.org/resource/Harland_County_Reservoir http://dbpedia.org/resource/Harlan_County_Lake http://dbpedia.org/resource/Harlan_County_Reservoir","286 KB"
"Nevada","http://dbpedia.org/resource/Nevada_(state)","Chimney Reservoir",,"71 KB"
"Nevada","http://dbpedia.org/resource/Nevada_(state)","Las Vegas, Lake","http://dbpedia.org/resource/Lake_Las_Vegas http://dbpedia.org/resource/Lake_Las_Vegas,_Nevada http://dbpedia.org/resource/Casino_MonteLago http://dbpedia.org/resource/Lake_las_vegas http://dbpedia.org/resource/Lake_Las_Vegas","483 KB"
"New Jersey","http://dbpedia.org/resource/New_Jersey_(state)","Merrill Creek Reservoir","http://dbpedia.org/resource/Merrill_Creek_Reservoir http://dbpedia.org/resource/Merrill_Creek_Dam http://dbpedia.org/resource/Merrill_creek_reservoir http://dbpedia.org/resource/Merrill_Creek_Reservoir","678 KB"
"New Mexico","http://dbpedia.org/resource/New_Mexico_(state)","Abiquiu Reservoir","http://dbpedia.org/resource/Abiquiu_Lake http://dbpedia.org/resource/Abiquiu_lake http://dbpedia.org/resource/Abiquiu_Lake http://dbpedia.org/resource/Lake_Abiquiu http://dbpedia.org/resource/Abiquiu_Reservoir","298 KB"
"New York","http://dbpedia.org/resource/New_York_(state)","Onondaga Lake","http://dbpedia.org/resource/Onondaga_Lake http://dbpedia.org/resource/Chemical_pollution_in_Onondaga_Lake http://dbpedia.org/resource/Onondaga_Lake http://dbpedia.org/resource/Lake_Onondaga http://dbpedia.org/resource/Pollution_of_Onondaga_Lake http://dbpedia.org/resource/Onondaga_lake","704 KB"
"North Carolina","http://dbpedia.org/resource/North_Carolina_(state)","Falls Lake","http://dbpedia.org/resource/Falls_Lake http://dbpedia.org/resource/Falls_Lake http://dbpedia.org/resource/Falls_lake http://dbpedia.org/resource/Falls_Dam http://dbpedia.org/resource/Lake_Falls http://dbpedia.org/resource/Falls_Lake_(North_Carolina)","1,236 KB"
"North Carolina","http://dbpedia.org/resource/North_Carolina_(state)","James, Lake * NEW","http://dbpedia.org/resource/Lake_James http://dbpedia.org/resource/Lake_James,_North_Carolina http://dbpedia.org/resource/Lake_james http://dbpedia.org/resource/Lake_James","873 KB"
"North Carolina","http://dbpedia.org/resource/North_Carolina_(state)","Wylie, Lake *","http://dbpedia.org/resource/Lake_Wylie http://dbpedia.org/resource/Lake_wylie http://dbpedia.org/resource/Lake_Wylie","1,519 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Acton Lake",,"442 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Alum Creek Lake Also includes Delaware Lake, OH and Hoover Reservoir, OH","http://dbpedia.org/resource/Alum_Creek_Lake http://dbpedia.org/resource/Alum_creek_lake http://dbpedia.org/resource/Alum_Creek_Lake","1,667 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Atwood Lake Also includes Leesville Lake, OH","http://dbpedia.org/resource/Atwood_Lake http://dbpedia.org/resource/Atwood_Lake","518 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Barnesville Lake",,"368 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Belmont Lake","http://dbpedia.org/resource/Belmont_Lake_State_Park http://dbpedia.org/resource/Belmont_Lake_State_Park","411 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Burr Oak Lake","http://dbpedia.org/resource/Burr_Oak_State_Park http://dbpedia.org/resource/Burr_Oak_State_Park","389 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Charles Mill Lake","http://dbpedia.org/resource/Charles_Mill_Lake http://dbpedia.org/resource/Charles_mill_lake http://dbpedia.org/resource/Charles_Mill_Lake","339 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","CJ Brown Reservoir Also includes Clark Lake, OH",,"661 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Clark Lake Also includes CJ Brown Reservoir, OH",,"661 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Deer Creek Lake",,"391 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Delaware Lake Also includes Alum Creek Lake, OH and Hoover Reservoir, OH",,"1,667 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Hoover Reservoir Also includes Alum Creek Lake, OH and Delaware Lake, OH","http://dbpedia.org/resource/Hoover_Dam_(Ohio) http://dbpedia.org/resource/Hoover_Dam_(Ohio) http://dbpedia.org/resource/Hoover_Reservoir","1,667 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Indian Lake","http://dbpedia.org/resource/Indian_Lake_(Ohio) http://dbpedia.org/resource/Indian_lake_(ohio) http://dbpedia.org/resource/Indian_Lake_(Ohio)","557 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Knox Lake",,"346 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","LaDue Reservoir Also includes Punderson Lake, OH","http://dbpedia.org/resource/LaDue_Reservoir http://dbpedia.org/resource/LaDue_Reservoir","383 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","LaSuAn Lake",,"293 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Leesville Lake Also includes Atwood Lake, OH","http://dbpedia.org/resource/Leesville_Lake_(Ohio) http://dbpedia.org/resource/Leesville_Lake_(Ohio)","518 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Paint Creek Lake Also includes Rocky Fork Lake, OH",,"521 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Punderson Lake Also includes LaDue Reservoir, OH",,"383 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Rocky Fork Lake Also includes Paint Creek Lake, OH",,"522 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Ross Lake",,"460 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Snowden, Lake","http://dbpedia.org/resource/Lake_Snowden http://dbpedia.org/resource/Lake_Snowden","558 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Stonelick Lake","http://dbpedia.org/resource/Stonelick_State_Park http://dbpedia.org/resource/Stonelick_lake http://dbpedia.org/resource/Stonelick_State_Park","373 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Michael J Kirwan Reservoir",,"741 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Mosquito Creek Lake",,"668 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Altus Lugert Lake","http://dbpedia.org/resource/Lake_Altus-Lugert http://dbpedia.org/resource/Lake_Lugert_Altus http://dbpedia.org/resource/Lake_Altus http://dbpedia.org/resource/Lake_Altus-Lugert http://dbpedia.org/resource/Lake_Altus_Lugert http://dbpedia.org/resource/Lake_Lugert http://dbpedia.org/resource/Lake_Lugert-Altus http://dbpedia.org/resource/Lake_altus-lugert","333 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Arbuckle Reservoir","http://dbpedia.org/resource/Lake_of_the_Arbuckles http://dbpedia.org/resource/Lake_of_the_Arbuckles http://dbpedia.org/resource/Arbuckle_Reservoir http://dbpedia.org/resource/Arbuckle_Lake http://dbpedia.org/resource/Arbuckle_reservoir","581 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Arcadia Lake","http://dbpedia.org/resource/Arcadia_Lake_(Oklahoma) http://dbpedia.org/resource/Arcadia_lake_(oklahoma) http://dbpedia.org/resource/Arcadia_Lake_(Oklahoma)","628 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Atoka Reservoir * Also includes McGee Creek Reservoir, OK","http://dbpedia.org/resource/Lake_Atoka_Reservoir http://dbpedia.org/resource/Lake_atoka_reservoir http://dbpedia.org/resource/Atoka_Reservoir_Lake http://dbpedia.org/resource/Atoka_Reservoir http://dbpedia.org/resource/Lake_Atoka_Reservior http://dbpedia.org/resource/Lake_Atoka_Reservoir","504 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Birch Lake","http://dbpedia.org/resource/Birch_Lake_(Oklahoma) http://dbpedia.org/resource/Birch_Lake_(Oklahoma)","272 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Broken Bow Lake","http://dbpedia.org/resource/Broken_Bow_Lake http://dbpedia.org/resource/Broken_Bow_Lake http://dbpedia.org/resource/Broken_Bow_Dam http://dbpedia.org/resource/Broken_bow_lake","477 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Canton Lake","http://dbpedia.org/resource/Canton_Lake http://dbpedia.org/resource/Lake_Canton http://dbpedia.org/resource/Canton_Lake_(disambiguation) http://dbpedia.org/resource/Canton_lake http://dbpedia.org/resource/Canton_Lake http://dbpedia.org/resource/Canton_Dam","276 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Copan Lake",,"365 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Dripping Springs Lake",,"260 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Eucha, Lake","http://dbpedia.org/resource/Lake_Eucha http://dbpedia.org/resource/Lake_Eucha http://dbpedia.org/resource/Eucha_Lake","261 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Eufaula Lake","http://dbpedia.org/resource/Eufaula_Lake http://dbpedia.org/resource/Standing_Rock_of_Eufaula http://dbpedia.org/resource/Standing_Rock_of_Eufaula,_OK http://dbpedia.org/resource/Eufaula_lake http://dbpedia.org/resource/Eufaula_Lake","1,744 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Fort Cobb Reservoir","http://dbpedia.org/resource/Fort_Cobb_Reservoir http://dbpedia.org/resource/Fort_Cobb_Reservoir http://dbpedia.org/resource/Fort_cobb_reservoir http://dbpedia.org/resource/Fort_Cobb_Lake","322 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Foss Lake","http://dbpedia.org/resource/Foss_Reservoir http://dbpedia.org/resource/Foss_Reservoir http://dbpedia.org/resource/Foss_Lake","445 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Frederick Lake","http://dbpedia.org/resource/William_Frederick_Lake_Price http://dbpedia.org/resource/William_Frederick_Lake_Price","191 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Hefner, Lake","http://dbpedia.org/resource/Lake_Hefner http://dbpedia.org/resource/Lake_Hefner http://dbpedia.org/resource/Lake_hefner","493 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Hulah Lake","http://dbpedia.org/resource/Hulah_Lake_(Oklahoma) http://dbpedia.org/resource/Hulah_Lake_(Oklahoma)","287 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Hugo Lake","http://dbpedia.org/resource/Hugo_Lake http://dbpedia.org/resource/Hugo_Lake http://dbpedia.org/resource/Hugo_Lake_State_Park","600 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Kaw lake","http://dbpedia.org/resource/Kaw_Lake http://dbpedia.org/resource/Lake_Kaw http://dbpedia.org/resource/Kaw_Lake http://dbpedia.org/resource/Kaw_lake http://dbpedia.org/resource/Kaw_Dam","639 KB"
