"???O","???O__URI","???[?O","?`?[??","?`?[??__URI","????","?N","??"
"Mike Blowers","http://dbpedia.org/resource/Mike_Blowers http://dbpedia.org/resource/Mike_Blowers","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","05-18",1998,"."
"John Olerud","http://dbpedia.org/resource/John_Olerud http://dbpedia.org/resource/Olerud http://dbpedia.org/resource/John_Olerud http://dbpedia.org/resource/John_olerued","?m?k","Mets","http://dbpedia.org/page/New_York_Mets","09-11",1997,"??1"
"Alex Rodriguez","http://dbpedia.org/resource/Alex_Rodriguez http://dbpedia.org/resource/Alex_Rodriguez_(baseball_player) http://dbpedia.org/resource/Alex_Rodriguez_(baseball) http://dbpedia.org/resource/�Ã�lex_Rodr�Ã�­guez http://dbpedia.org/resource/Alex_Rodriguez http://dbpedia.org/resource/Yuri_Sucart http://dbpedia.org/resource/A_rod http://dbpedia.org/resource/Alexander_Emmanuel_Rodriguez http://dbpedia.org/resource/A-Rod http://dbpedia.org/resource/Cynthia_Scurtis http://dbpedia.org/resource/Alex_Rodrigues http://dbpedia.org/resource/A-fraud http://dbpedia.org/resource/A-Fraud http://dbpedia.org/resource/A-rod http://dbpedia.org/resource/Alex_rodriguz http://dbpedia.org/resource/Alex_Rodr�Ã�­guez http://dbpedia.org/resource/Alexander_Emmanuel_%22Alex%22_Rodriguez","?`?k","Mariners","http://dbpedia.org/page/Seattle_Mariners","06-05",1997,"."
"Alex Ochoa","http://dbpedia.org/resource/Alex_Ochoa http://dbpedia.org/resource/Alex_Ochoa","?m?k","Mets","http://dbpedia.org/page/New_York_Mets","07-03",1996,"."
"John Valentin","http://dbpedia.org/resource/John_Valentin http://dbpedia.org/resource/John_Valentin","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","06-06",1996,"."
"John Mabry","http://dbpedia.org/resource/John_Mabry http://dbpedia.org/resource/John_Mabry","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","05-18",1996,"."
"Tony Fernandez","http://dbpedia.org/resource/Tony_Fern%C3%A1ndez http://dbpedia.org/resource/Tony_Fern%C3%A1ndez","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","09-03",1995,"."
"Gregg Jefferies","http://dbpedia.org/resource/Gregg_Jefferies http://dbpedia.org/resource/Gregg_Jeffries http://dbpedia.org/resource/Greg_Jefferies http://dbpedia.org/resource/Gregg_Jefferies","?m?k","Phillies","http://dbpedia.org/page/Philadelphia_Phillies","08-25",1995,"."
"Rondell White","http://dbpedia.org/resource/Rondell_White http://dbpedia.org/resource/Rondell_White","?m?k","Expos","http://dbpedia.org/page/Montreal_Expos","06-11",1995,"."
"Scott Cooper","http://dbpedia.org/resource/Scott_Cooper_(baseball) http://dbpedia.org/resource/Scott_Cooper_(baseball)","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","04-12",1994,"."
"Travis Fryman","http://dbpedia.org/resource/Travis_Fryman http://dbpedia.org/resource/Travis_Fryman","?`?k","Tigers","http://dbpedia.org/page/Detroit_Tigers","07-28",1993,"."
"Jay Buhner","http://dbpedia.org/resource/Jay_Buhner http://dbpedia.org/resource/Jay_Buhner","?`?k","Mariners","http://dbpedia.org/page/Seattle_Mariners","07-23",1993,"."
"Mark Grace","http://dbpedia.org/resource/Mark_Grace http://dbpedia.org/resource/Slump_buster http://dbpedia.org/resource/Mark_Grace http://dbpedia.org/resource/Slumpbuster","?m?k","Cubs","http://dbpedia.org/page/Chicago_Cubs","05-09",1993,"."
"Andujar Cedeno","http://dbpedia.org/resource/And%C3%BAjar_Cede%C3%B1o http://dbpedia.org/resource/And%C3%BAjar_Cede%C3%B1o","?m?k","Astros","http://dbpedia.org/page/Houston_Astros","08-25",1992,"."
"Ray Lankford","http://dbpedia.org/resource/Ray_Lankford http://dbpedia.org/resource/Ray_Lankford","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","09-15",1991,"."
"Dave Winfield","http://dbpedia.org/resource/Dave_Winfield http://dbpedia.org/resource/David_Mark_Winfield http://dbpedia.org/resource/David_Winfield http://dbpedia.org/resource/Dave_Winfield http://dbpedia.org/resource/Winfield_wants_noise","?`?k","Angels","http://dbpedia.org/page/Los_Angeles_Angels_of_Anaheim","06-24",1991,"."
"Paul Molitor","http://dbpedia.org/resource/Paul_Molitor http://dbpedia.org/resource/Paul_Leo_Molitor http://dbpedia.org/resource/Paul_Molitor","?`?k","Brewers","http://dbpedia.org/page/Milwaukee_Brewers","05-15",1991,"."
"Robby Thompson","http://dbpedia.org/resource/Robby_Thompson http://dbpedia.org/resource/Robby_Thompson","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","04-22",1991,"."
"George Brett","http://dbpedia.org/resource/George_Brett http://dbpedia.org/resource/George_Brett_(baseball_player) http://dbpedia.org/resource/George_Howard_Brett_(baseball) http://dbpedia.org/resource/Brett,_George http://dbpedia.org/resource/George_Howar_Brett http://dbpedia.org/resource/George_Brett http://dbpedia.org/resource/George_H._Brett http://dbpedia.org/resource/George_Brett_(baseball) http://dbpedia.org/resource/George_Howard_Brett","?`?k","Royals","http://dbpedia.org/page/Kansas_City_Royals","07-25",1990,2
"Gary Redus","http://dbpedia.org/resource/Gary_Redus http://dbpedia.org/resource/Gary_Redus","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","08-25",1989,"."
"Kevin McReynolds","http://dbpedia.org/resource/Kevin_McReynolds http://dbpedia.org/resource/Kevin_McReynolds http://dbpedia.org/resource/Walter_Kevin_McReynolds","?m?k","Mets","http://dbpedia.org/page/New_York_Mets","08-01",1989,"."
"Eric Davis","http://dbpedia.org/resource/Eric_Davis_(baseball) http://dbpedia.org/resource/Eric_Davis_(baseball)","?m?k","Reds","http://dbpedia.org/page/Cincinnati_Reds","06-02",1989,"."
"Kelly Gruber","http://dbpedia.org/resource/Kelly_Gruber http://dbpedia.org/resource/Kelly_Gruber","?`?k","Blue Jays","http://dbpedia.org/page/Toronto_Blue_Jays","04-16",1989,"."
"Mike Greenwell","http://dbpedia.org/resource/Mike_Greenwell http://dbpedia.org/resource/Mike_Greenwell","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","09-14",1988,"."
"Chris Speier","http://dbpedia.org/resource/Chris_Speier http://dbpedia.org/resource/Chris_Speier","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","07-09",1988,2
"Robin Yount","http://dbpedia.org/resource/Robin_Yount http://dbpedia.org/resource/Robin_Yount","?`?k","Brewers","http://dbpedia.org/page/Milwaukee_Brewers","06-12",1988,"."
"Albert Hall","http://dbpedia.org/resource/Albert_Hall_(baseball) http://dbpedia.org/resource/Albert_Hall_(MLB_outfielder) http://dbpedia.org/resource/Albert_Hall_(baseball)","?m?k","Braves","http://dbpedia.org/page/Atlanta_Braves","09-23",1987,"."
"Tim Raines","http://dbpedia.org/resource/Tim_Raines http://dbpedia.org/resource/Tim_Raines http://dbpedia.org/resource/Rock_Raines http://dbpedia.org/resource/Rock_raines http://dbpedia.org/resource/Tim_Rock_Raines","?m?k","Expos","http://dbpedia.org/page/Montreal_Expos","08-16",1987,"."
"Candy Maldonado","http://dbpedia.org/resource/Candy_Maldonado http://dbpedia.org/resource/Candy_Maldonado","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","05-04",1987,"."
"Andre Dawson","http://dbpedia.org/resource/Andre_Dawson http://dbpedia.org/resource/Andre_Dawson http://dbpedia.org/resource/Andr�Ã�©_Dawson","?m?k","Cubs","http://dbpedia.org/page/Chicago_Cubs","04-29",1987,"."
"Kirby Puckett","http://dbpedia.org/resource/Kirby_Puckett http://dbpedia.org/resource/Kirby_pucket http://dbpedia.org/resource/Kirby_Puckett http://dbpedia.org/resource/Kirby_Puckett_Award","?`?k","Twins","http://dbpedia.org/page/Minnesota_Twins","08-01",1986,"."
"Tony Phillips","http://dbpedia.org/resource/Tony_Phillips http://dbpedia.org/resource/Tony_Phillips http://dbpedia.org/resource/Tony_Phillips_(baseball)","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","05-16",1986,"."
"Rich Gedman","http://dbpedia.org/resource/Rich_Gedman http://dbpedia.org/resource/Rich_Gedman","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","09-18",1985,"."
"Oddibe McDowell","http://dbpedia.org/resource/Oddibe_McDowell http://dbpedia.org/resource/Oddibe_McDowell http://dbpedia.org/resource/Oddibe","?`?k","Rangers","http://dbpedia.org/page/Texas_Rangers_(baseball)","07-23",1985,"."
"Keith Hernandez","http://dbpedia.org/resource/Keith_Hernandez http://dbpedia.org/resource/Keith_Hernandez http://dbpedia.org/resource/Keith_Hern�Ã�¡ndez http://dbpedia.org/resource/Keith_harnandez","?m?k","Mets","http://dbpedia.org/page/New_York_Mets","07-04",1985,"."
"Jeff Leonard","http://dbpedia.org/resource/Jeffrey_Leonard http://dbpedia.org/resource/Jeff_Leonard http://dbpedia.org/resource/Jeffrey_Leonard","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","06-27",1985,"."
"Dwight Evans","http://dbpedia.org/resource/Dwight_Evans http://dbpedia.org/resource/Dwight_Evans http://dbpedia.org/resource/Dewey_Evans","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","06-28",1984,"."
"Willie McGee","http://dbpedia.org/resource/Willie_McGee http://dbpedia.org/resource/Willie_Mcgee http://dbpedia.org/resource/Willie_McGee_(baseball_player) http://dbpedia.org/resource/Willie_McGee","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","06-23",1984,"."
"Carlton Fisk","http://dbpedia.org/resource/Carlton_Fisk http://dbpedia.org/resource/Carlton_Fisk","?`?k","White Sox","http://dbpedia.org/page/Chicago_White_Sox","05-16",1984,"."
"Cal Ripken, Jr.","http://dbpedia.org/resource/Cal_Ripken,_Jr. http://dbpedia.org/resource/Cal_ripkien http://dbpedia.org/resource/Cal_Ripken,_Jr. http://dbpedia.org/resource/Cal_Ripken http://dbpedia.org/resource/Calvin_Edwin_Ripken,_Jr. http://dbpedia.org/resource/Cal_Ripkin_Jr. http://dbpedia.org/resource/Cal_Ripken_Jr http://dbpedia.org/resource/Cal_Ripken,_Jr http://dbpedia.org/resource/Cal,_Jr._Ripken http://dbpedia.org/resource/Calvin_Ripken,_Jr. http://dbpedia.org/resource/Cal_Ripkin_Jr http://dbpedia.org/resource/Ripken,_Cal,_Jr. http://dbpedia.org/resource/Cal_Ripken,_Junior http://dbpedia.org/resource/Ryan_Ripken http://dbpedia.org/resource/Cal_Ripken_Jr. http://dbpedia.org/resource/Cal_ripkin","?`?k","Orioles","http://dbpedia.org/page/Baltimore_Orioles","05-06",1984,"."
"Frank White","http://dbpedia.org/resource/Frank_White_(baseball) http://dbpedia.org/resource/Frank_White_(MLB) http://dbpedia.org/resource/Frank_White_(MLB_player) http://dbpedia.org/resource/Frank_White,_Jr. http://dbpedia.org/resource/Frank_White_(baseball_player) http://dbpedia.org/resource/Frank_White_Jr http://dbpedia.org/resource/Frank_White_(Major_League_Baseball) http://dbpedia.org/resource/Frank_White_(Major_League_Baseball_player) http://dbpedia.org/resource/Frank_White_(baseball)","?`?k","Royals","http://dbpedia.org/page/Kansas_City_Royals","08-03",1982,2
"Charlie Moore","http://dbpedia.org/resource/Charlie_Moore http://dbpedia.org/resource/Charlie_Moore_(disambiguation) http://dbpedia.org/resource/Charlie_Moore_(footballer) http://dbpedia.org/resource/Charlie_Moore","?`?k","Brewers","http://dbpedia.org/page/Milwaukee_Brewers","10-01",1980,"."
"Gary Ward","http://dbpedia.org/resource/Gary_Ward_(outfielder) http://dbpedia.org/resource/Gary_Ward_(outfielder)","?`?k","Twins","http://dbpedia.org/page/Minnesota_Twins","09-18",1980,"."
"Mike Easler","http://dbpedia.org/resource/Mike_Easler http://dbpedia.org/resource/Michael_Easler http://dbpedia.org/resource/Mike_Easler http://dbpedia.org/resource/Michael_Anthony_Easler","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","06-12",1980,"."
"Fred Lynn","http://dbpedia.org/resource/Fred_Lynn http://dbpedia.org/resource/Fred_Lynn","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","05-13",1980,"."
"Ivan DeJesus","http://dbpedia.org/resource/Iv%C3%A1n_DeJes%C3%BAs http://dbpedia.org/resource/Iv%C3%A1n_DeJes%C3%BAs","?m?k","Cubs","http://dbpedia.org/page/Chicago_Cubs","04-22",1980,"."
"Frank White","http://dbpedia.org/resource/Frank_White_(baseball) http://dbpedia.org/resource/Frank_White_(MLB) http://dbpedia.org/resource/Frank_White_(MLB_player) http://dbpedia.org/resource/Frank_White,_Jr. http://dbpedia.org/resource/Frank_White_(baseball_player) http://dbpedia.org/resource/Frank_White_Jr http://dbpedia.org/resource/Frank_White_(Major_League_Baseball) http://dbpedia.org/resource/Frank_White_(Major_League_Baseball_player) http://dbpedia.org/resource/Frank_White_(baseball)","?`?k","Royals","http://dbpedia.org/page/Kansas_City_Royals","09-26",1979,1
"Bob Watson","http://dbpedia.org/resource/Bob_Watson http://dbpedia.org/resource/Bob_Watson","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","09-15",1979,"??2"
"Dan Ford","http://dbpedia.org/resource/Dan_Ford http://dbpedia.org/resource/Dan_Ford","?`?k","Angels","http://dbpedia.org/page/Los_Angeles_Angels_of_Anaheim","08-10",1979,"."
"George Brett","http://dbpedia.org/resource/George_Brett http://dbpedia.org/resource/George_Howard_Brett_(baseball) http://dbpedia.org/resource/George_Brett_(baseball_player) http://dbpedia.org/resource/George_Howard_Brett http://dbpedia.org/resource/Brett,_George http://dbpedia.org/resource/George_Howar_Brett http://dbpedia.org/resource/George_H._Brett http://dbpedia.org/resource/George_Brett_(baseball) http://dbpedia.org/resource/George_Brett","?`?k","Royals","http://dbpedia.org/page/Kansas_City_Royals","05-28",1979,1
"Mike Cubbage","http://dbpedia.org/resource/Mike_Cubbage http://dbpedia.org/resource/Mike_Cubbage","?`?k","Twins","http://dbpedia.org/page/Minnesota_Twins","07-27",1978,"."
"Chris Speier","http://dbpedia.org/resource/Chris_Speier http://dbpedia.org/resource/Chris_Speier","?m?k","Expos","http://dbpedia.org/page/Montreal_Expos","07-20",1978,1
"Andre Thornton","http://dbpedia.org/resource/Andre_Thornton http://dbpedia.org/resource/Andr�Ã�©_Thornton http://dbpedia.org/resource/Andre_Thornton http://dbpedia.org/resource/Andy_Thornton http://dbpedia.org/resource/Andre_%22Thunder%22_Thornton","?`?k","Indians","http://dbpedia.org/page/Cleveland_Indians","04-22",1978,"."
"Jack Brohamer","http://dbpedia.org/resource/Jack_Brohamer http://dbpedia.org/resource/John_Brohamer http://dbpedia.org/resource/John_Anthony_Brohamer,_Jr. http://dbpedia.org/resource/Jack_Brohamer http://dbpedia.org/resource/John_Anthony_Brohamer","?`?k","White Sox","http://dbpedia.org/page/Chicago_White_Sox","09-24",1977,"."
"John Mayberry","http://dbpedia.org/resource/John_Mayberry http://dbpedia.org/resource/John_Mayberry http://dbpedia.org/resource/John_Mayberry,_Sr.","?`?k","Royals","http://dbpedia.org/page/Kansas_City_Royals","08-05",1977,"."
"Bob Watson","http://dbpedia.org/resource/Bob_Watson http://dbpedia.org/resource/Bob_Watson","?m?k","Astros","http://dbpedia.org/page/Houston_Astros","06-24",1977,"??1"
"Mike Hegan","http://dbpedia.org/resource/Mike_Hegan http://dbpedia.org/resource/Mike_Hegan","?`?k","Brewers","http://dbpedia.org/page/Milwaukee_Brewers","09-03",1976,"."
"Cesar Cedeno","http://dbpedia.org/resource/C%C3%A9sar_Cede%C3%B1o http://dbpedia.org/resource/C%C3%A9sar_Cede%C3%B1o","?m?k","Astros","http://dbpedia.org/page/Houston_Astros","08-09",1976,2
"Lyman Bostock","http://dbpedia.org/resource/Lyman_Bostock http://dbpedia.org/resource/Lyman_Bostock http://dbpedia.org/resource/Lyman_Bostock,_Jr. http://dbpedia.org/resource/Lyman_Wesley_Bostock,_Jr. http://dbpedia.org/resource/Lyman_Wesley_Bostock","?`?k","Twins","http://dbpedia.org/page/Minnesota_Twins","07-24",1976,"."
"Mike Phillips","http://dbpedia.org/resource/Mike_Phillips_(baseball) http://dbpedia.org/resource/Mike_Phillips_(baseball) http://dbpedia.org/resource/Mike_Phillips_(baseball_player)","?m?k","Mets","http://dbpedia.org/page/New_York_Mets","06-25",1976,"."
"Larry Hisle","http://dbpedia.org/resource/Larry_Hisle http://dbpedia.org/resource/Larry_Hisle","?`?k","Twins","http://dbpedia.org/page/Minnesota_Twins","06-04",1976,"."
"Tim Foli","http://dbpedia.org/resource/Tim_Foli http://dbpedia.org/resource/Timothy_Foli http://dbpedia.org/resource/Timothy_John_Foli http://dbpedia.org/resource/Tim_Foli","?m?k","Expos","http://dbpedia.org/page/Montreal_Expos","04-22",1976,"."
"Lou Brock","http://dbpedia.org/resource/Lou_Brock http://dbpedia.org/resource/Louis_Clark_Brock http://dbpedia.org/resource/Louis_Brock http://dbpedia.org/resource/Lou_Brock","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","05-27",1975,"."
"Richie Zisk","http://dbpedia.org/resource/Richie_Zisk http://dbpedia.org/resource/Richie_Zisk","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","06-09",1974,"."
"Joe Torre","http://dbpedia.org/resource/Joe_Torre http://dbpedia.org/resource/Joe_torre http://dbpedia.org/resource/Joe_Torre http://dbpedia.org/resource/Joseph_Paul_Torre http://dbpedia.org/resource/Joseph_Torre","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","06-27",1973,"."
"Cesar Tovar","http://dbpedia.org/resource/C%C3%A9sar_Tovar http://dbpedia.org/resource/C%C3%A9sar_Tovar","?`?k","Twins","http://dbpedia.org/page/Minnesota_Twins","09-19",1972,"."
"Bobby Murcer","http://dbpedia.org/resource/Bobby_Murcer http://dbpedia.org/resource/Bobby_Mercer http://dbpedia.org/resource/Bobby_Murcer","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","08-29",1972,"."
"Cesar Cedeno","http://dbpedia.org/resource/C%C3%A9sar_Cede%C3%B1o http://dbpedia.org/resource/C%C3%A9sar_Cede%C3%B1o","?m?k","Astros","http://dbpedia.org/page/Houston_Astros","08-02",1972,1
"Dave Kingman","http://dbpedia.org/resource/Dave_Kingman http://dbpedia.org/resource/Dave_Kingman http://dbpedia.org/resource/David_Arthur_Kingman","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","04-16",1972,"."
"Freddie Patek","http://dbpedia.org/resource/Freddie_Patek http://dbpedia.org/resource/Fred_Patek http://dbpedia.org/resource/Freddy_Patek http://dbpedia.org/resource/Freddie_Patek","?`?k","Royals","http://dbpedia.org/page/Kansas_City_Royals","07-09",1971,"."
"Jim Ray Hart","http://dbpedia.org/resource/Jim_Ray_Hart http://dbpedia.org/resource/Jim_ray_hart http://dbpedia.org/resource/Jim_Ray_Hart","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","07-08",1970,"."
"Tommie Agee","http://dbpedia.org/resource/Tommie_Agee http://dbpedia.org/resource/Tommy_Agee http://dbpedia.org/resource/Tommie_Lee_Agee http://dbpedia.org/resource/Tommie_Agee","?m?k","Mets","http://dbpedia.org/page/New_York_Mets","07-06",1970,"."
"Tony Horton","http://dbpedia.org/resource/Tony_Horton_(baseball) http://dbpedia.org/resource/Tony_Horton_(baseball_player) http://dbpedia.org/resource/Tony_Horton_(baseball)","?`?k","Indians","http://dbpedia.org/page/Cleveland_Indians","07-02",1970,"."
"Rod Carew","http://dbpedia.org/resource/Rod_Carew http://dbpedia.org/resource/Rodney_Carew http://dbpedia.org/resource/Rodney_Cline_Carew http://dbpedia.org/resource/Rod_Carew","?`?k","Twins","http://dbpedia.org/page/Minnesota_Twins","05-20",1970,"."
"Wes Parker","http://dbpedia.org/resource/Wes_Parker http://dbpedia.org/resource/Wes_Parker","?m?k","Dodgers","http://dbpedia.org/page/Los_Angeles_Dodgers","05-07",1970,"."
"Jim Fregosi","http://dbpedia.org/resource/Jim_Fregosi http://dbpedia.org/resource/Jim_Fregosi","?`?k","Angels","http://dbpedia.org/page/Los_Angeles_Angels_of_Anaheim","05-20",1968,2
"Randy Hundley","http://dbpedia.org/resource/Randy_Hundley http://dbpedia.org/resource/Randy_Hundley","?m?k","Cubs","http://dbpedia.org/page/Chicago_Cubs","08-11",1966,2
"Billy Williams","http://dbpedia.org/resource/Billy_Williams_(left_fielder) http://dbpedia.org/resource/Billy_Williams_(left_fielder)","?m?k","Cubs","http://dbpedia.org/page/Chicago_Cubs","07-17",1966,2
"Carl Yastrzemski","http://dbpedia.org/resource/Carl_Yastrzemski http://dbpedia.org/resource/Carl_Yastremski http://dbpedia.org/resource/Carl_Yaztremski http://dbpedia.org/resource/Carl_Yastrzemski http://dbpedia.org/resource/Carl_Yazstremski http://dbpedia.org/resource/Carl_Yaztrzemski http://dbpedia.org/resource/Yastrzemski http://dbpedia.org/resource/Carl_Michael_Yastrzemski","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","05-14",1965,2
"Jim Fregosi","http://dbpedia.org/resource/Jim_Fregosi http://dbpedia.org/resource/Jim_Fregosi","?`?k","Angels","http://dbpedia.org/page/Los_Angeles_Angels_of_Anaheim","07-28",1964,1
"Willie Stargell","http://dbpedia.org/resource/Willie_Stargell http://dbpedia.org/resource/Wilver_Dornel_Stargell http://dbpedia.org/resource/Wilver_Stargell http://dbpedia.org/resource/Wilver_D._Stargell http://dbpedia.org/resource/Willie_Stargell","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","07-22",1964,"."
"Ken Boyer","http://dbpedia.org/resource/Ken_Boyer http://dbpedia.org/resource/Ken_Boyer","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","06-16",1964,2
"Jim King","http://dbpedia.org/resource/Jim_King_(basketball) http://dbpedia.org/resource/Jim_King_(basketball)","?`?k","Senators","https://en.wikipedia.org/wiki/Washington_Senators_(1961-71)","05-26",1964,"."
"Jim Hickman","http://dbpedia.org/resource/Jim_Hickman_(1960s_outfielder) http://dbpedia.org/resource/Jim_Hickman_(1960s_outfielder)","?m?k","Mets","http://dbpedia.org/page/New_York_Mets","08-07",1963,"."
"Johnny Callison","http://dbpedia.org/resource/Johnny_Callison http://dbpedia.org/resource/Johnny_Callison","?m?k","Phillies","http://dbpedia.org/page/Philadelphia_Phillies","06-27",1963,"."
"Lu Clinton","http://dbpedia.org/resource/Lou_Clinton http://dbpedia.org/resource/Lou_Clinton","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","07-13",1962,"."
"Ken Boyer","http://dbpedia.org/resource/Ken_Boyer http://dbpedia.org/resource/Ken_Boyer","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","09-14",1961,1
"Bill White","http://dbpedia.org/resource/Bill_White_(first_baseman) http://dbpedia.org/resource/Bill_White_(first_baseman) http://dbpedia.org/resource/Bill_White_(baseball_first_baseman) http://dbpedia.org/resource/William_De_Kova_White","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","08-14",1960,"."
"Brooks Robinson","http://dbpedia.org/resource/Brooks_Robinson http://dbpedia.org/resource/Brooks_Robinson http://dbpedia.org/resource/Brooks_Robinson,_Jr. http://dbpedia.org/resource/Brooks_Calbert_Robinson,_Jr.","?`?k","Orioles","http://dbpedia.org/page/Baltimore_Orioles","07-15",1960,"."
"Frank Robinson","http://dbpedia.org/resource/Frank_Robinson http://dbpedia.org/resource/Frank_Robinson","?m?k","Reds","http://dbpedia.org/page/Cincinnati_Reds","05-02",1959,"."
"Mickey Mantle","http://dbpedia.org/resource/Mickey_Mantle http://dbpedia.org/resource/Mickeymantle http://dbpedia.org/resource/The_Commerce_Comet http://dbpedia.org/resource/Mickey_Mantle http://dbpedia.org/resource/The_Mick http://dbpedia.org/resource/Mickey_Charles_Mantle http://dbpedia.org/resource/Micky_Mantle","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","07-23",1957,"."
"Lee Walls","http://dbpedia.org/resource/Lee_Walls http://dbpedia.org/resource/Lee_Walls","?m?k","Cubs","http://dbpedia.org/page/Chicago_Cubs","07-02",1957,"."
"Don Mueller","http://dbpedia.org/resource/Don_Mueller http://dbpedia.org/resource/Don_Mueller http://dbpedia.org/resource/Donald_Mueller http://dbpedia.org/resource/Donald_Frederick_Mueller","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","07-11",1954,"."
