"Rank","Brand","Brand__URI","Value","Industry","Industry__URI"
36,"HSBC","http://dbpedia.org/resource/HSBC http://dbpedia.org/resource/HSBC_USA,_Inc. http://dbpedia.org/resource/HSBC_Holding_plc http://dbpedia.org/resource/Hong_Kong_and_Shanghai_Bank http://dbpedia.org/resource/�æ�»��è�±��æ��§�è��¡�æ���é���å��¬�å��¸ http://dbpedia.org/resource/Global_Service_Centres http://dbpedia.org/resource/.hsbc http://dbpedia.org/resource/HSBC_Group http://dbpedia.org/resource/HSBC_HOLDINGS_PLC http://dbpedia.org/resource/HSBC_Holdings_PLC http://dbpedia.org/resource/HSBC_Direct http://dbpedia.org/resource/Orchard_Bank http://dbpedia.org/resource/HSBC_Holdings_plc_(ADR) http://dbpedia.org/resource/HSBC_Holdings_plc http://dbpedia.org/resource/HSBCnet http://dbpedia.org/resource/Global_Service_Centre http://dbpedia.org/resource/HSBC_Bank_International_Limited http://dbpedia.org/resource/HSBC_Holdings,_plc http://dbpedia.org/resource/Hsbc http://dbpedia.org/resource/The_world's_local_bank http://dbpedia.org/resource/HSBC_Investments http://dbpedia.org/resource/Orchard_bank http://dbpedia.org/resource/HSBC_Holdings_Plc http://dbpedia.org/resource/H.S.B.C. http://dbpedia.org/resource/HSBC http://dbpedia.org/resource/Hsbc_holdings_plc http://dbpedia.org/resource/�æ�±��ä�¸�°�æ��§�è��¡�æ���é���å��¬�å��¸ http://dbpedia.org/resource/HSBC_Holdings http://dbpedia.org/resource/Hu�Ã�¬f�Ä�ng_k�Ã�²ngg�Ç�_y�Ç�uxi�Ã� n_g�Å�ngs�Ä�« http://dbpedia.org/resource/HSBC_Holdings_P.L.C http://dbpedia.org/resource/HSBC_Hldgs_plc http://dbpedia.org/resource/Charterhouse_Bank http://dbpedia.org/resource/HSBC_Premier http://dbpedia.org/resource/HSBC_Halbis_Partners http://dbpedia.org/resource/HSBC_Hldgs http://dbpedia.org/resource/HSBC_Holding http://dbpedia.org/resource/Hsbc_holdings",13889,"Bank","http://dbpedia.org/resource/Banking_industry"
37,"Ford","http://dbpedia.org/resource/Ford_Motor_Company http://dbpedia.org/resource/Ford_Motorwerke http://dbpedia.org/resource/Ford_Motor_Co. http://dbpedia.org/resource/Ford_Motor_Comp. http://dbpedia.org/resource/Factoria_Ford http://dbpedia.org/resource/Drive_one http://dbpedia.org/resource/F_Motor http://dbpedia.org/resource/Ford_Motor_Comp http://dbpedia.org/resource/Ford_Motor_Co http://dbpedia.org/resource/Ford_Motors http://dbpedia.org/resource/Ford_Motor http://dbpedia.org/resource/Ford_Advanced_Vehicles http://dbpedia.org/resource/Ford.com http://dbpedia.org/resource/Ford_Group http://dbpedia.org/resource/Fomoco http://dbpedia.org/resource/Ford http://dbpedia.org/resource/The_Ford_Motor_Co. http://dbpedia.org/resource/Www.ford.com http://dbpedia.org/resource/Ford_USA http://dbpedia.org/resource/Ford's http://dbpedia.org/resource/Ford_Motor_Company http://dbpedia.org/resource/Suicide_front_axle http://dbpedia.org/resource/Ford_Motor_Corporation http://dbpedia.org/resource/Ford_trucks http://dbpedia.org/resource/Ford_(vehicles) http://dbpedia.org/resource/Blue_Oval http://dbpedia.org/resource/Ford_bestselling_models http://dbpedia.org/resource/The_Ford_Motor_Company http://dbpedia.org/resource/Ford_Erika_Platform http://dbpedia.org/resource/Ford_(company) http://dbpedia.org/resource/Ford_motors http://dbpedia.org/resource/FoMoCo http://dbpedia.org/resource/Factor�Ã�­a_Ford http://dbpedia.org/resource/Ford_Motor_Works",13844,"Cars","http://dbpedia.org/page/Automotive_industry"
38,"eBay","http://dbpedia.org/resource/EBay http://dbpedia.org/resource/EBay http://dbpedia.org/resource/EBay_Marketplace http://dbpedia.org/resource/Ebay.com.sg http://dbpedia.org/resource/Ebay.com http://dbpedia.org/resource/Ebay.it http://dbpedia.org/resource/Ebaymotors http://dbpedia.org/resource/Ebay.com/ http://dbpedia.org/resource/Ebay_(shop) http://dbpedia.org/resource/AuctionWeb http://dbpedia.org/resource/EBay,_Plc http://dbpedia.org/resource/Ebay.com.au http://dbpedia.org/resource/Ebay.nl http://dbpedia.org/resource/Sekaimon http://dbpedia.org/resource/EBay,_Inc. http://dbpedia.org/resource/Ebay_online_auction http://dbpedia.org/resource/E-bay http://dbpedia.org/resource/EBay_Toolbar http://dbpedia.org/resource/Ebay.be http://dbpedia.org/resource/Ebay.pl http://dbpedia.org/resource/Buy_it_now http://dbpedia.org/resource/EBay_Developers_Program http://dbpedia.org/resource/EachNet http://dbpedia.org/resource/Ebay. http://dbpedia.org/resource/Ebay_fraud http://dbpedia.org/resource/Ebayy http://dbpedia.org/resource/EBay_Motors http://dbpedia.org/resource/Baazee.com http://dbpedia.org/resource/Www.ebay.com http://dbpedia.org/resource/Ebay.ca http://dbpedia.org/resource/Ebay.com.my http://dbpedia.org/resource/EBay.com http://dbpedia.org/resource/Ebay http://dbpedia.org/resource/Ebay_online http://dbpedia.org/resource/Ebay.fr http://dbpedia.org/resource/Www.ebay.co.uk http://dbpedia.org/resource/Ebay.cm http://dbpedia.org/resource/EBay_Inc http://dbpedia.org/resource/EBay_Inc. http://dbpedia.org/resource/My_ebay http://dbpedia.org/resource/Collection_Lot http://dbpedia.org/resource/Ebay.co http://dbpedia.org/resource/EBay.co.uk http://dbpedia.org/resource/Eachnet http://dbpedia.org/resource/Ebay_Inc http://dbpedia.org/resource/BuyItNow http://dbpedia.org/resource/Buy_It_Now http://dbpedia.org/resource/E-Bay http://dbpedia.org/resource/E_bay http://dbpedia.org/resource/Eebay http://dbpedia.org/resource/EBay_store http://dbpedia.org/resource/I_love_eBay http://dbpedia.org/resource/Ebay.ch http://dbpedia.org/resource/L@@K http://dbpedia.org/resource/Ebay.in http://dbpedia.org/resource/Ebay.c http://dbpedia.org/resource/Ebay.de http://dbpedia.org/resource/E_Bay http://dbpedia.org/resource/Ebay_auctioning http://dbpedia.org/resource/Ebay.es http://dbpedia.org/resource/Ebay_site http://dbpedia.org/resource/Ebay.ie http://dbpedia.org/resource/FeeBay http://dbpedia.org/resource/Mobile.de http://dbpedia.org/resource/EBAY http://dbpedia.org/resource/Ebay.com.hk http://dbpedia.org/resource/Ebaycom http://dbpedia.org/resource/Ebay_motors http://dbpedia.org/resource/EBay.ie http://dbpedia.org/resource/EBay_website http://dbpedia.org/resource/Myebay http://dbpedia.org/resource/GittiGidiyor.com http://dbpedia.org/resource/Ebay_auctions http://dbpedia.org/resource/Ebay.co.uk http://dbpedia.org/resource/Ebay_live http://dbpedia.org/resource/Ebay.at http://dbpedia.org/resource/Feebay http://dbpedia.org/resource/EBay! http://dbpedia.org/resource/Ebay.com.cn http://dbpedia.org/resource/Ebaying http://dbpedia.org/resource/Ebay.ph http://dbpedia.org/resource/Ebay_com http://dbpedia.org/resource/Ebay.om http://dbpedia.org/resource/Ebay_website http://dbpedia.org/resource/Gittigidiyor.com",13191,"Software","http://dbpedia.org/resource/Software"
39,"Deutsche Bank","http://dbpedia.org/resource/Deutsche_Bank http://dbpedia.org/resource/Deutsche_Bank_Ag http://dbpedia.org/resource/Deutsche_Bank_NV http://dbpedia.org/resource/Deutschebank http://dbpedia.org/resource/RREEF http://dbpedia.org/resource/Deutsche_Bank_Securities http://dbpedia.org/resource/Deutsche_Bank_AG_(USA) http://dbpedia.org/resource/DEUTSCHE_BANK_AG http://dbpedia.org/resource/Deutsche_Bank http://dbpedia.org/resource/Deutsche_Asset_Management http://dbpedia.org/resource/Deutsche_Bank_AG http://dbpedia.org/resource/Taunus_Corporation",13022,"Bank","http://dbpedia.org/resource/Banking_industry"
40,"Santander","http://dbpedia.org/resource/Santander_Group http://dbpedia.org/resource/Santander_Group http://dbpedia.org/resource/Banco_Santander_Central_Hispano_(BSCH) http://dbpedia.org/resource/Hispamer http://dbpedia.org/resource/Banco_Santander_S.A. http://dbpedia.org/resource/Banco_de_Santander http://dbpedia.org/resource/Grupo_Santander http://dbpedia.org/resource/Banco_Santander,_S.A. http://dbpedia.org/resource/BSCH http://dbpedia.org/resource/RoadLoans.com http://dbpedia.org/resource/Santander_Consumer_USA http://dbpedia.org/resource/Banco_BANIF http://dbpedia.org/resource/Santander_Consumer_Bank http://dbpedia.org/resource/Banco_Santander_SA http://dbpedia.org/resource/Santander_universidades http://dbpedia.org/resource/BANCO_SANTANDER_CENTRAL_HISPANO,_S.A. http://dbpedia.org/resource/Geoban http://dbpedia.org/resource/Banco_Santander_Central_Hispano http://dbpedia.org/resource/Banco_Santander",12537,"Bank","http://dbpedia.org/resource/Banking_industry"
41,"Chevrolet","http://dbpedia.org/resource/Chevrolet http://dbpedia.org/resource/Chevrolet_V8 http://dbpedia.org/resource/Chevrolet http://dbpedia.org/resource/Chevrolet_Motors_Division http://dbpedia.org/resource/Chevrolet_Parts http://dbpedia.org/resource/Chevrolet_Buses http://dbpedia.org/resource/Chevrolet_Motor_Company http://dbpedia.org/resource/Chevolet http://dbpedia.org/resource/Chevrolet_auto_parts http://dbpedia.org/resource/Kroymans http://dbpedia.org/resource/Kroymans_Corporation http://dbpedia.org/resource/Chevey http://dbpedia.org/resource/Chevy http://dbpedia.org/resource/COPO http://dbpedia.org/resource/Chevy_auto_parts http://dbpedia.org/resource/Cheverolet http://dbpedia.org/resource/Chev http://dbpedia.org/resource/Chevrolet_buses http://dbpedia.org/resource/Chevrolets http://dbpedia.org/resource/Chevy_Parts",12458,"Cars","http://dbpedia.org/page/Automotive_industry"
42,"Pfizer","http://dbpedia.org/resource/Pfizer http://dbpedia.org/resource/Pfizer_Inc. http://dbpedia.org/resource/Pizer http://dbpedia.org/resource/Phizer http://dbpedia.org/resource/Pfizer,_Incorporated http://dbpedia.org/resource/Pfizer,_Inc. http://dbpedia.org/resource/Pfizer_Inc http://dbpedia.org/resource/The_Warner-Lambert_Company http://dbpedia.org/resource/Pfizer_Pharmaceuticals http://dbpedia.org/resource/Pfizer_Incorporated http://dbpedia.org/resource/Lambert_Pharmaceutical_Co. http://dbpedia.org/resource/Vicuron_Pharmaceuticals http://dbpedia.org/resource/Fizer http://dbpedia.org/resource/Pfizer http://dbpedia.org/resource/Pfizer,_Inc http://dbpedia.org/resource/Pfizer_litigation http://dbpedia.org/resource/Pfizer_Central_Research http://dbpedia.org/resource/Pfeizer",12372,"Personal Care","http://dbpedia.org/resource/Personal_Care"
43,"Samsung","http://dbpedia.org/resource/Samsung http://dbpedia.org/resource/Samsung_Music http://dbpedia.org/resource/Samsung http://dbpedia.org/resource/Samsung_Group http://dbpedia.org/resource/Samsung_Company http://dbpedia.org/resource/History_of_samsung http://dbpedia.org/resource/S�Î�MSUNG http://dbpedia.org/resource/I9515XXU1ANC2 http://dbpedia.org/resource/�ì��¼�ì��± http://dbpedia.org/resource/MSM6500 http://dbpedia.org/resource/Samsung_LED http://dbpedia.org/resource/SLMSUNG http://dbpedia.org/resource/Samsung_Mexico http://dbpedia.org/resource/ES70 http://dbpedia.org/resource/History_of_Samsung http://dbpedia.org/resource/Samsung_austin_semiconductor http://dbpedia.org/resource/Samsung_Architecture_Multimedia_Interactions http://dbpedia.org/resource/�ä�¸��æ���ê�·�¸�ë�£�¹ http://dbpedia.org/resource/Samsung.com http://dbpedia.org/resource/GT-I9105 http://dbpedia.org/resource/Ssngy http://dbpedia.org/resource/Samsung_Biologics http://dbpedia.org/resource/S/%5CMSUNG http://dbpedia.org/resource/SAMSUNG_WB750 http://dbpedia.org/resource/Telecommunication_Network_Business_in_SAMSUNG_Electronics http://dbpedia.org/resource/SAMSUNG_PL120,PL121_/_VLUU_PL120,PL121 http://dbpedia.org/resource/Samseng http://dbpedia.org/resource/Samsung_Advanced_Institute_of_Technology http://dbpedia.org/resource/�ì��¼�ì��±�ê�·�¸�ë�£�¹ http://dbpedia.org/resource/Samsung_Semiconductor_Inc. http://dbpedia.org/resource/Samsung_Group_-_�ì��¼�ì��±�ê�·�¸�ë�£�¹ http://dbpedia.org/resource/GT-I9515 http://dbpedia.org/resource/Samsung_Research_America http://dbpedia.org/resource/Samesung http://dbpedia.org/resource/SAMSUNG http://dbpedia.org/resource/SGH-A737 http://dbpedia.org/resource/Samsung_(company) http://dbpedia.org/resource/Samsung_Canada http://dbpedia.org/resource/The_Samsung_Group",12028,"Technology","http://dbpedia.org/resource/Technology"
44,"Porsche","http://dbpedia.org/resource/Porsche http://dbpedia.org/resource/Porsche_960 http://dbpedia.org/resource/F._Porsche_AG http://dbpedia.org/resource/Porsche_Automobile_Holding_SE http://dbpedia.org/resource/Porsche_929 http://dbpedia.org/resource/Dr._F._Ing._h.c._F._Porsche_AG http://dbpedia.org/resource/Porsche_AG http://dbpedia.org/resource/Dr._Ing._h.c._Porsche_AG http://dbpedia.org/resource/Dr_Ing._h.c._F._Porsche_AG http://dbpedia.org/resource/Porsche_Roxster http://dbpedia.org/resource/Dr._Ing._h._c._F._Porsche_GmbH http://dbpedia.org/resource/Porshe http://dbpedia.org/resource/Porsche http://dbpedia.org/resource/Dr._Ing._h.c._F._Porsche_AG http://dbpedia.org/resource/Porche",12025,"Cars","http://dbpedia.org/page/Automotive_industry"
45,"T-Mobile","http://dbpedia.org/resource/T-Mobile http://dbpedia.org/resource/T-D1 http://dbpedia.org/resource/Tmobil http://dbpedia.org/resource/Get_More http://dbpedia.org/resource/T-Home http://dbpedia.org/resource/T-Mobile_Slovensko http://dbpedia.org/resource/Tmobile http://dbpedia.org/resource/T-Mobile_Czech_Republic http://dbpedia.org/resource/T-Mobile_Montenegro http://dbpedia.org/resource/T-mobile http://dbpedia.org/resource/MoNet_(mobile) http://dbpedia.org/resource/T-mo.co http://dbpedia.org/resource/MyFaves http://dbpedia.org/resource/T-moble http://dbpedia.org/resource/Telekom_Deutschland http://dbpedia.org/resource/T,_mobile http://dbpedia.org/resource/T-moible http://dbpedia.org/resource/T-Mobile_International_AG http://dbpedia.org/resource/T-Mobile(R) http://dbpedia.org/resource/T-Mobile_International http://dbpedia.org/resource/Monet_GSM http://dbpedia.org/resource/T_Mobile http://dbpedia.org/resource/T-Mobile http://dbpedia.org/resource/Telering http://dbpedia.org/resource/TMobile http://dbpedia.org/resource/Tele.ring http://dbpedia.org/resource/MONET_GSM http://dbpedia.org/resource/T-Mobile_uk",11870,"Telecom","http://dbpedia.org/resource/Telecommunication"
46,"Budweiser","http://dbpedia.org/resource/Anheuser-Busch http://dbpedia.org/resource/Nati_ice http://dbpedia.org/resource/Anheuser-Busch_Companies_Incorporated http://dbpedia.org/resource/Anheuser-Busch_Brewing_Association http://dbpedia.org/resource/Anheuser-Busch,_Inc. http://dbpedia.org/resource/B%5EE http://dbpedia.org/resource/Hurricane_malt_liquor http://dbpedia.org/resource/Anheuser-Busch http://dbpedia.org/resource/Bud_Man http://dbpedia.org/resource/B-to-the-E http://dbpedia.org/resource/Anheuser-Busch_Companies http://dbpedia.org/resource/Inc._Anheuser-Busch_Companies http://dbpedia.org/resource/O'Douls http://dbpedia.org/resource/Anheuser_Bush http://dbpedia.org/resource/Anheuser-Busch_Brewing_Company http://dbpedia.org/resource/Anheiser-busch http://dbpedia.org/resource/Anheuser_Busch_Company http://dbpedia.org/resource/Spykes http://dbpedia.org/resource/Anheuser-Busch_Company http://dbpedia.org/resource/Anheuser�â��Busch http://dbpedia.org/resource/Anheuser-Busch_Companies,_Inc. http://dbpedia.org/resource/Anheuser_Busch http://dbpedia.org/resource/Anheuser-Bush http://dbpedia.org/resource/Anheuser-Busch_Natural_Light",11724,"F&D&T",
47,"Pepsi","http://dbpedia.org/resource/PepsiCo http://dbpedia.org/resource/Pepsi_Cola_Company http://dbpedia.org/resource/Pepsico_Inc. http://dbpedia.org/resource/PepsiCo. http://dbpedia.org/resource/Pepsi-Co http://dbpedia.org/resource/Pepsi_company http://dbpedia.org/resource/PepsiCo,_Inc http://dbpedia.org/resource/Pepsi_Beverages_Company http://dbpedia.org/resource/Pepsico_Inc http://dbpedia.org/resource/Pepsi-Cola_Company http://dbpedia.org/resource/List_of_Pepsico_products http://dbpedia.org/resource/PepsiCo,_Inc. http://dbpedia.org/resource/PepsiCo_Inc. http://dbpedia.org/resource/PepsiCo_International http://dbpedia.org/resource/Pepsico http://dbpedia.org/resource/PepsiCo http://dbpedia.org/resource/Pepsi_Co. http://dbpedia.org/resource/Pepsi_Co http://dbpedia.org/resource/The_Pepsi_Company http://dbpedia.org/resource/Pepsi_co http://dbpedia.org/resource/Frawg http://dbpedia.org/resource/PepsiCo_Incorporated http://dbpedia.org/resource/Stokley-Van_Camp http://dbpedia.org/resource/Pepsico,_Inc. http://dbpedia.org/resource/Pepsi_Cola_Headquarters",11484,"F&D&T",
48,"Starbucks","http://dbpedia.org/resource/Starbucks http://dbpedia.org/resource/Stars_and_Bucks_Cafe http://dbpedia.org/resource/Cup-gate http://dbpedia.org/resource/Cupgate http://dbpedia.org/resource/Starbuck's_Coffee_House http://dbpedia.org/resource/Starbucks_(business) http://dbpedia.org/resource/Trenta_(coffee) http://dbpedia.org/resource/Verisimo http://dbpedia.org/resource/Starbucks_Corp_N1 http://dbpedia.org/resource/Starbucks_Argentina http://dbpedia.org/resource/Starbucks_Coffee_Company http://dbpedia.org/resource/Starbucks_Corp. http://dbpedia.org/resource/Starbucks_Coffee_Co. http://dbpedia.org/resource/Starbucks_Coffee http://dbpedia.org/resource/Starbucks_Australia http://dbpedia.org/resource/Starbuck�â��s http://dbpedia.org/resource/Starby's http://dbpedia.org/resource/SBUX http://dbpedia.org/resource/Verista http://dbpedia.org/resource/Starbucks http://dbpedia.org/resource/Starbucks_Entertainment http://dbpedia.org/resource/Andrew_Winkler http://dbpedia.org/resource/Star_Bucks http://dbpedia.org/resource/Starbucks_Corporation http://dbpedia.org/resource/Criticism_of_Starbucks http://dbpedia.org/resource/Starbucks_(company) http://dbpedia.org/resource/Starbucks_cafe http://dbpedia.org/resource/Starbucks_DoubleShot http://dbpedia.org/resource/Starbuck's_Coffee http://dbpedia.org/resource/Parodies_of_Starbucks http://dbpedia.org/resource/Starbuck's http://dbpedia.org/resource/Starbucks_Corp http://dbpedia.org/resource/Race_Together http://dbpedia.org/resource/Verismi http://dbpedia.org/resource/Veristi http://dbpedia.org/resource/Verismo_by_Starbucks http://dbpedia.org/resource/Starbucks_Mermaid",11077,"F&D&T",
49,"Nissan","http://dbpedia.org/resource/Nissan_Motor_Company http://dbpedia.org/resource/Nissan_Motor_Co._Ltd. http://dbpedia.org/resource/The_Nissan_Motor_Company http://dbpedia.org/resource/Nissan_Red_and_Blue_Stage http://dbpedia.org/resource/Nissan_Motor_Co.,_Ltd. http://dbpedia.org/resource/Nissan_Motors http://dbpedia.org/resource/Cabstar http://dbpedia.org/resource/Nissan_USA http://dbpedia.org/resource/Nissan_180_Plan http://dbpedia.org/resource/Nissan_Cherry_Store http://dbpedia.org/resource/Nissan_Company http://dbpedia.org/resource/Nissan_Revival_Plan http://dbpedia.org/resource/�æ��¥�ç��£ http://dbpedia.org/resource/Nissan_vehicles http://dbpedia.org/resource/Nissan_North_America_Inc. http://dbpedia.org/resource/Nissan_Motor_Company_Ltd http://dbpedia.org/resource/Nissan http://dbpedia.org/resource/Nissan_Motor_Store http://dbpedia.org/resource/Nissan_Motor http://dbpedia.org/resource/Nissan_Foria http://dbpedia.org/resource/Nissan_Motor_Corporation,_U.S.A. http://dbpedia.org/resource/Nissan_Motor_Co_(Australia) http://dbpedia.org/resource/Nissan_Blue_Stage http://dbpedia.org/resource/Tom_Lane_(Nissan) http://dbpedia.org/resource/Nissan_(automobile) http://dbpedia.org/resource/Nissan_Motor_Co. http://dbpedia.org/resource/Nissan_Jidosha_KK http://dbpedia.org/resource/Nissan_car http://dbpedia.org/resource/.datsun http://dbpedia.org/resource/Nissan_Satio_Store http://dbpedia.org/resource/Nissan_Commercial_Vehicles http://dbpedia.org/resource/Nissan_Motor_Corporation_U.S.A. http://dbpedia.org/resource/Nissan_North_America,_Inc. http://dbpedia.org/resource/Nsany http://dbpedia.org/resource/Nissan_cars http://dbpedia.org/resource/Nissan_foria http://dbpedia.org/resource/Nissan_Motor_Corporation http://dbpedia.org/resource/Nissan_Saito_Store http://dbpedia.org/resource/Nissan_Red_Stage http://dbpedia.org/resource/Nissan_Motor_Company http://dbpedia.org/resource/Nissan_North_America http://dbpedia.org/resource/Nissan_Motor_Corporation,_USA http://dbpedia.org/resource/Nissan_Motor_Company,_Ltd. http://dbpedia.org/resource/Nissan_Bluebird_Store http://dbpedia.org/resource/Nissan_Motor_Company,_Limited",10915,"Cars","http://dbpedia.org/page/Automotive_industry"
50,"Carrefour","http://dbpedia.org/resource/Carrefour http://dbpedia.org/resource/Pryca http://dbpedia.org/resource/Carredour http://dbpedia.org/resource/Carrefur http://dbpedia.org/resource/Carrefour_Japan http://dbpedia.org/resource/1Mobile http://dbpedia.org/resource/Carefour http://dbpedia.org/resource/Carrefour http://dbpedia.org/resource/Carrefour_S.A. http://dbpedia.org/resource/Carrefour_(company) http://dbpedia.org/resource/Carrefour_SA http://dbpedia.org/resource/Carrefour_Group",10803,"Retail","http://dbpedia.org/resource/Retail_industry"
51,"Nike","http://dbpedia.org/resource/Nike,_Inc. http://dbpedia.org/resource/Nike_sportswear http://dbpedia.org/resource/Nike_Child_Labor http://dbpedia.org/resource/Nike_Tempo_shorts http://dbpedia.org/resource/Nike_Incorporated http://dbpedia.org/resource/Nike,_inc. http://dbpedia.org/resource/Blue_Ribbon_Sports http://dbpedia.org/resource/Nike_Inc_Class_B http://dbpedia.org/resource/Nike_Tempo http://dbpedia.org/resource/Nike_(company) http://dbpedia.org/resource/Nike,_Inc. http://dbpedia.org/resource/NIKE http://dbpedia.org/resource/Nike_(brand) http://dbpedia.org/resource/Nike_Air_Zoom_Vomero http://dbpedia.org/resource/Nike_Town http://dbpedia.org/resource/Blue_ribbon_sports http://dbpedia.org/resource/Nik�Ã�© http://dbpedia.org/resource/Foamposite http://dbpedia.org/resource/Nike_brand http://dbpedia.org/resource/Air_Zoom http://dbpedia.org/resource/Nike_Elite_socks http://dbpedia.org/resource/Nike_Elite http://dbpedia.org/resource/Niketown http://dbpedia.org/resource/Jordan_Brand http://dbpedia.org/resource/Nike_Elite_sock http://dbpedia.org/resource/Nike_Golf http://dbpedia.org/resource/Nike_clothing http://dbpedia.org/resource/Nike_Factory_Store http://dbpedia.org/resource/Nike_Inc http://dbpedia.org/resource/Nike_Inc. http://dbpedia.org/resource/Nike,_Inc http://dbpedia.org/resource/Nike_inc http://dbpedia.org/resource/Nike_Air_Zoom http://dbpedia.org/resource/Nike_shoe_company http://dbpedia.org/resource/History_of_Nike_athletics http://dbpedia.org/resource/NikeTown http://dbpedia.org/resource/Nike.com http://dbpedia.org/resource/Nike_shoes http://dbpedia.org/resource/Nike_Japan http://dbpedia.org/resource/Nike_football http://dbpedia.org/resource/Nike_pro http://dbpedia.org/resource/Nike_Dunk http://dbpedia.org/resource/Air_zoom_vomero http://dbpedia.org/resource/Nike_Records http://dbpedia.org/resource/Nikes http://dbpedia.org/resource/NIKE_Inc.",10783,"Apparel","http://dbpedia.org/resource/Apparel_industry"
