"Nickname","Nickname__URI","Team","Team__URI","BirthPlace","BirthPlace__URI"
"The Owl without a Vowell","http://dbpedia.org/resource/Bill_Mlkvy","Philadelphia Warriorss","http://dbpedia.org/resource/Philadelphia_Warriors","Palmerton, Pennsylvania","http://dbpedia.org/resource/Palmerton,_Pennsylvania"
"Russs","http://dbpedia.org/resource/Bill_Russell","St. Louis Hawks","http://dbpedia.org/resource/St._Louis_Hawks","Monroe, Louisiana","http://dbpedia.org/resource/Monroe,_Louisiana"
"Kangaroo Kidd","http://dbpedia.org/resource/Billy_Cunningham","Philadeelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"Thee Whopper","http://dbpedia.org/resource/Billy_Paultz","Sann Diego Rockets","http://dbpedia.org/resource/San_Diego_Rockets","River Edge, New Jersey","http://dbpedia.org/resource/River_Edge,_New_Jersey"
"Bimboo","http://dbpedia.org/resource/Bimbo_Coles","Sacramento Kings","http://dbpedia.org/resource/Sacramento_Kings","Covington, Virginia","http://dbpedia.org/resource/Covington,_Virginia"
"Bingo","http://dbpedia.org/resource/Bingo_Smith","San Diego Rocckets","http://dbpedia.org/resource/San_Diego_Rockets","Memphis, Tennessee","http://dbpedia.org/resource/Memphis,_Tennessee"
"BB-88","http://dbpedia.org/resource/Bismack_Biyombo","Orlando Magicc","http://dbpedia.org/resource/Orlando_Magic","Lubumbashi","http://dbpedia.org/resource/Lubumbashi"
"Big Biznness","http://dbpedia.org/resource/Bismack_Biyombo","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Lubumbashi","http://dbpedia.org/resource/Lubumbashi"
"Bizznation","http://dbpedia.org/resource/Bismack_Biyombo","Orlandoo Magic","http://dbpedia.org/resource/Orlando_Magic","Lubumbashi","http://dbpedia.org/resource/Lubumbashi"
"Bizzyy Bo","http://dbpedia.org/resource/Bismack_Biyombo","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Lubumbashi","http://dbpedia.org/resource/Lubumbashi"
"The Acrobatic from the Democratic (Republic of the Congo)","http://dbpedia.org/resource/Bismack_Biyombo","Orlando Magiic","http://dbpedia.org/resource/Orlando_Magic","Lubumbashi","http://dbpedia.org/resource/Lubumbashi"
"BBlue","http://dbpedia.org/resource/Blue_Edwards","Utah Jazzz","http://dbpedia.org/resource/Utah_Jazz","Washington, D.C.","http://dbpedia.org/resource/Washington,_D.C."
"Coozz","http://dbpedia.org/resource/Bob_Cousy","Tri-Cities Blackhawkss","http://dbpedia.org/resource/Tri-Cities_Blackhawks","Manhattan, New York","http://dbpedia.org/resource/Manhattan,_New_York"
"The Houdini of the Hardwood","http://dbpedia.org/resource/Bob_Cousy","Tri-Cities Blacckhawks","http://dbpedia.org/resource/Tri-Cities_Blackhawks","Manhattan, New York","http://dbpedia.org/resource/Manhattan,_New_York"
"Bobby DD","http://dbpedia.org/resource/Bob_Dandridge","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Richmond, Virginia","http://dbpedia.org/resource/Richmond,_Virginia"
"Butterbean","http://dbpedia.org/resource/Bob_Love","Cincinnati Royalss","http://dbpedia.org/resource/Cincinnati_Royals","Bastrop, Louisiana","http://dbpedia.org/resource/Bastrop,_Louisiana"
"Tea Timee","http://dbpedia.org/resource/Boris_Diaw","Utah Jazzz","http://dbpedia.org/resource/Utah_Jazz","Val d’Oise","http://dbpedia.org/resource/Val-d'Oise"
"The Naturall","http://dbpedia.org/resource/Brandon_Roy","Minnesota Timberwolves","http://dbpedia.org/resource/Minnesota_Timberwolves","Seattle, Washington","http://dbpedia.org/resource/Seattle,_Washington"
"Boness","http://dbpedia.org/resource/Brent_Barry","Denver Nuggetss","http://dbpedia.org/resource/Denver_Nuggets","Hempstead (village), New York","http://dbpedia.org/resource/Hempstead_(village),_New_York"
"The Custodiann","http://dbpedia.org/resource/Brian_Cardinal","Detroit Pistons","http://dbpedia.org/resource/Detroit_Pistons","Tolono, Illinois","http://dbpedia.org/resource/Tolono,_Illinois"
"The White Mambaa","http://dbpedia.org/resource/Brian_Scalabrine","New Jersey Netss","http://dbpedia.org/resource/New_Jersey_Nets","Long Beach, California","http://dbpedia.org/resource/Long_Beach,_California"
"Splash Mountainn","http://dbpedia.org/resource/Brook_Lopez","Broooklyn Nets","http://dbpedia.org/resource/Brooklyn_Nets","North Hollywood, Los Angeles","http://dbpedia.org/resource/North_Hollywood,_Los_Angeles"
"Big Countryy","http://dbpedia.org/resource/Bryant_Reeves","Vancouver Grizzlies","http://dbpedia.org/resource/Vancouver_Grizzlies","Fort Smith, Arkansas","http://dbpedia.org/resource/Fort_Smith,_Arkansas"
"BBuddy Love","http://dbpedia.org/resource/Buddy_Hield","New Orleans Pelicanss","http://dbpedia.org/resource/New_Orleans_Pelicans","Freeport, Bahamas","http://dbpedia.org/resource/Freeport,_Bahamas"
"Butchh","http://dbpedia.org/resource/Butch_Beard","Atlanta Hawkss","http://dbpedia.org/resource/Atlanta_Hawks","Hardinsburg, Kentucky","http://dbpedia.org/resource/Hardinsburg,_Kentucky"
"Cadillacc","http://dbpedia.org/resource/Cadillac_Anderson","San Antonio Spurss","http://dbpedia.org/resource/San_Antonio_Spurs","Houston","http://dbpedia.org/resource/Houston"
"Capptain America","http://dbpedia.org/resource/Carmelo_Anthony","Portland Trail Blazerss","http://dbpedia.org/resource/Portland_Trail_Blazers","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"Hoodiee Melo","http://dbpedia.org/resource/Carmelo_Anthony","Portland Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"Meloo","http://dbpedia.org/resource/Carmelo_Anthony","Portland Trail Blazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"The Patriiot","http://dbpedia.org/resource/Carmelo_Anthony","Portland Trail Blazerss","http://dbpedia.org/resource/Portland_Trail_Blazers","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"Cornbreadd","http://dbpedia.org/resource/Cedric_Maxwell","Boston Celticss","http://dbpedia.org/resource/Boston_Celtics","Kinston, North Carolina","http://dbpedia.org/resource/Kinston,_North_Carolina"
"Boy Gorgee","http://dbpedia.org/resource/Charles_Barkley","Houston Rocketss","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Chuck","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Leaning Tower of Pizzaa","http://dbpedia.org/resource/Charles_Barkley","Houston Rocketss","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Pillsbury Dough Boy","http://dbpedia.org/resource/Charles_Barkley","Houston Rocketss","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Prince Charless","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Sir Charles","http://dbpedia.org/resource/Charles_Barkley","Houston  Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"The Criscoo Kid","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"The Flying Coke Machine","http://dbpedia.org/resource/Charles_Barkley","Houston Rocketss","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"The  Human Refrigerator","http://dbpedia.org/resource/Charles_Barkley","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"The Round Mound of Reboundd","http://dbpedia.org/resource/Charles_Barkley","Houston Rocketss","http://dbpedia.org/resource/Houston_Rockets","Leeds, Alabama","http://dbpedia.org/resource/Leeds,_Alabama"
"Mr. Big Shott","http://dbpedia.org/resource/Chauncey_Billups","Boston Celticss","http://dbpedia.org/resource/Boston_Celtics","Denver","http://dbpedia.org/resource/Denver"
"Birddman","http://dbpedia.org/resource/Chris_Andersen","Cleveland Cavaliers","http://dbpedia.org/resource/Cleveland_Cavaliers","Long Beach, California","http://dbpedia.org/resource/Long_Beach,_California"
"CB44","http://dbpedia.org/resource/Chris_Bosh","Miami Heat","http://dbpedia.org/resource/Miami_Heat","Dallas","http://dbpedia.org/resource/Dallas"
"The Boshtrich","http://dbpedia.org/resource/Chris_Bosh","Miammi Heat","http://dbpedia.org/resource/Miami_Heat","Dallas","http://dbpedia.org/resource/Dallas"
"CPP3","http://dbpedia.org/resource/Chris_Paul","New Orleans Hornetts","http://dbpedia.org/resource/New_Orleans_Hornets","Winston-Salem, North Carolina","http://dbpedia.org/resource/Winston-Salem,_North_Carolina"
"C-Webbb","http://dbpedia.org/resource/Chris_Webber","Orllando Magic","http://dbpedia.org/resource/Orlando_Magic","Detroit, Michigan","http://dbpedia.org/resource/Detroit,_Michigan"
"The Rifleman","http://dbpedia.org/resource/Chuck_Person","Indiana Pacerss","http://dbpedia.org/resource/Indiana_Pacers","Brantley, Alabama","http://dbpedia.org/resource/Brantley,_Alabama"
"Clyde  the Glide","http://dbpedia.org/resource/Clyde_Drexler","Portland Trail Blazerss","http://dbpedia.org/resource/Portland_Trail_Blazers","New Orleans","http://dbpedia.org/resource/New_Orleans"
"The Hawwk","http://dbpedia.org/resource/Connie_Hawkins","Atlanta Hawks","http://dbpedia.org/resource/Atlanta_Hawks","Brooklyn","http://dbpedia.org/resource/Brooklyn"
"RRhino","http://dbpedia.org/resource/Craig_Smith_(basketball,_born_1983)","Minnesota Timberwolvess","http://dbpedia.org/resource/Minnesota_Timberwolves","Inglewood, California","http://dbpedia.org/resource/Inglewood,_California"
"Curly","http://dbpedia.org/resource/Curly_Neal","Harlem Globetrotterss","http://dbpedia.org/resource/Harlem_Globetrotters","Greensboro, North Carolina","http://dbpedia.org/resource/Greensboro,_North_Carolina"
"DLoo","http://dbpedia.org/resource/D'Angelo_Russell","Los Angeles Lakerss","http://dbpedia.org/resource/Los_Angeles_Lakers","Louisville, Kentucky","http://dbpedia.org/resource/Louisville,_Kentucky"
"Dame Dollaa","http://dbpedia.org/resource/Damian_Lillard","Portland Trail Blaazers","http://dbpedia.org/resource/Portland_Trail_Blazers","Oakland, California","http://dbpedia.org/resource/Oakland,_California"
"Logo Lilllard","http://dbpedia.org/resource/Damian_Lillard","Portland Trail Blazerss","http://dbpedia.org/resource/Portland_Trail_Blazers","Oakland, California","http://dbpedia.org/resource/Oakland,_California"
"Subb Zero","http://dbpedia.org/resource/Damian_Lillard","Portland Trail Blazerss","http://dbpedia.org/resource/Portland_Trail_Blazers","Oakland, California","http://dbpedia.org/resource/Oakland,_California"
"The World's Greatest Shooterr","http://dbpedia.org/resource/Damon_Jones","Cleveland Cavalierss","http://dbpedia.org/resource/Cleveland_Cavaliers","Galveston, Texas","http://dbpedia.org/resource/Galveston,_Texas"
"The Flying Dutchman","http://dbpedia.org/resource/Dan_Gadzuric","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","The Hague","http://dbpedia.org/resource/The_Hague"
"Thunder Dann","http://dbpedia.org/resource/Dan_Majerle","Phoenix Sunss","http://dbpedia.org/resource/Phoenix_Suns","Traverse City, Michigan","http://dbpedia.org/resource/Traverse_City,_Michigan"
"Boobiee","http://dbpedia.org/resource/Daniel_Gibson","Cleveland Cavalierss","http://dbpedia.org/resource/Cleveland_Cavaliers","Houston","http://dbpedia.org/resource/Houston"
"Il Gallo","http://dbpedia.org/resource/Danilo_Gallinari","New York Kniccks","http://dbpedia.org/resource/New_York_Knicks","Sant'Angelo Lodigiano","http://dbpedia.org/resource/Sant'Angelo_Lodigiano"
"The Rooster","http://dbpedia.org/resource/Danilo_Gallinari","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","Sant'Angelo Lodigiano","http://dbpedia.org/resource/Sant'Angelo_Lodigiano"
"The Human Victory Cigar","http://dbpedia.org/resource/Darko_Miličić","Detroitt Pistons","http://dbpedia.org/resource/Detroit_Pistons","Novi Sad","http://dbpedia.org/resource/Novi_Sad"
"Dr. Dunkk","http://dbpedia.org/resource/Darnell_Hillman","Golden State Warriorrs","http://dbpedia.org/resource/Golden_State_Warriors","Sacramento, California","http://dbpedia.org/resource/Sacramento,_California"
"Dr. Dunkensteein","http://dbpedia.org/resource/Darrell_Griffith","Utah Jazzz","http://dbpedia.org/resource/Utah_Jazz","Louisville, Kentucky","http://dbpedia.org/resource/Louisville,_Kentucky"
"Chocolate Thunderr","http://dbpedia.org/resource/Darryl_Dawkins","Philadelphia 76erss","http://dbpedia.org/resource/Philadelphia_76ers","Orlando, Florida","http://dbpedia.org/resource/Orlando,_Florida"
"The Ravee","http://dbpedia.org/resource/Dave_Stallworth","New York Knickss","http://dbpedia.org/resource/New_York_Knicks","Dallas, Texas","http://dbpedia.org/resource/Dallas,_Texas"
"Thhe Admiral","http://dbpedia.org/resource/David_Robinson_(basketball)","San  Antonio Spurs","http://dbpedia.org/resource/San_Antonio_Spurs","Key West, Florida","http://dbpedia.org/resource/Key_West,_Florida"
"The Skyywalker","http://dbpedia.org/resource/David_Thompson_(basketball)","Atlanta Hawkss","http://dbpedia.org/resource/Atlanta_Hawks","Shelby, North Carolina","http://dbpedia.org/resource/Shelby,_North_Carolina"
"The Dreamm","http://dbpedia.org/resource/Dean_Meminger","New York Knickss","http://dbpedia.org/resource/New_York_Knicks","Walterboro, South Carolina","http://dbpedia.org/resource/Walterboro,_South_Carolina"
"Deebo","http://dbpedia.org/resource/DeMar_DeRozan","Toronto Raptorss","http://dbpedia.org/resource/Toronto_Raptors","Compton, California","http://dbpedia.org/resource/Compton,_California"
"Boogiee","http://dbpedia.org/resource/DeMarcus_Cousins","Sacramento Kingss","http://dbpedia.org/resource/Sacramento_Kings","Mobile, Alabama","http://dbpedia.org/resource/Mobile,_Alabama"
"The Wormm","http://dbpedia.org/resource/Dennis_Rodman","Deetroit Pistons","http://dbpedia.org/resource/Detroit_Pistons","Trenton, New Jersey","http://dbpedia.org/resource/Trenton,_New_Jersey"
"3DD","http://dbpedia.org/resource/Dennis_Scott_(basketball)","Orllando Magic","http://dbpedia.org/resource/Orlando_Magic","Hagerstown, Maryland","http://dbpedia.org/resource/Hagerstown,_Maryland"
"ZZel","http://dbpedia.org/resource/Denzel_Valentine","Chicago Bullss","http://dbpedia.org/resource/Chicago_Bulls","Lansing, Michigan","http://dbpedia.org/resource/Lansing,_Michigan"
"D-Fishh","http://dbpedia.org/resource/Derek_Fisher","Los Angeles Lakerss","http://dbpedia.org/resource/Los_Angeles_Lakers","Little Rock, Arkansas","http://dbpedia.org/resource/Little_Rock,_Arkansas"
"D-Willl","http://dbpedia.org/resource/Deron_Williams","Utah Jazzz","http://dbpedia.org/resource/Utah_Jazz","Parkersburg, West Virginia","http://dbpedia.org/resource/Parkersburg,_West_Virginia"
"Band-Aid","http://dbpedia.org/resource/Derrick_Chievous","Houston Rockets","http://dbpedia.org/resource/Houston_Rockets","New York City, New York","http://dbpedia.org/resource/New_York_City,_New_York"
"D-Rosee","http://dbpedia.org/resource/Derrick_Rose","Detroiit Pistons","http://dbpedia.org/resource/Detroit_Pistons","Chicago","http://dbpedia.org/resource/Chicago"
"Windy City Assassinn","http://dbpedia.org/resource/Derrick_Rose","Detroit Pistons","http://dbpedia.org/resource/Detroit_Pistons","Chicago","http://dbpedia.org/resource/Chicago"
"Fall Back Baby","http://dbpedia.org/resource/Dick_Barnett","Syracuse Nationalss","http://dbpedia.org/resource/Syracuse_Nationals","Gary, Indiana","http://dbpedia.org/resource/Gary,_Indiana"
"Tricky Dick","http://dbpedia.org/resource/Dick_McGuire","New York Knicks","http://dbpedia.org/resource/New_York_Knicks","The Bronx, New York","http://dbpedia.org/resource/The_Bronx,_New_York"
"The Original Sun","http://dbpedia.org/resource/Dick_Van_Arsdale","New York Knickss","http://dbpedia.org/resource/New_York_Knicks","Indianapolis, Indiana","http://dbpedia.org/resource/Indianapolis,_Indiana"
"Mt. Mutombo","http://dbpedia.org/resource/Dikembe_Mutombo","Denver Nuggets","http://dbpedia.org/resource/Denver_Nuggets","Republic of the Congo (Leopoldville)","http://dbpedia.org/resource/Republic_of_the_Congo_(Leopoldville)"
"33D","http://dbpedia.org/resource/Dimitris_Diamantidis","Panathinaikos Athenss","http://dbpedia.org/resource/Panathinaikos_B.C.","Kastoria","http://dbpedia.org/resource/Kastoria"
"Bavarian Bombber","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Buckss","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"Dirk Diggler","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"Dirrk Savage","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Buckss","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"Dirty","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Buckss","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"German Wunderkindd","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee BBucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"Tall Baller From The GG","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"The Berlin Talll","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Buckss","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"The Big Germann","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"The German Racecarr","http://dbpedia.org/resource/Dirk_Nowitzki","Milwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"The Geerminator","http://dbpedia.org/resource/Dirk_Nowitzki","MMilwaukee Bucks","http://dbpedia.org/resource/Milwaukee_Bucks","Würzburg","http://dbpedia.org/resource/Würzburg"
"Docc","http://dbpedia.org/resource/Doc_Rivers","Atlantta Hawks","http://dbpedia.org/resource/Atlanta_Hawks","Chicago","http://dbpedia.org/resource/Chicago"
"Sabas Jr.","http://dbpedia.org/resource/Domantas_Sabonis","Orlando Magicc","http://dbpedia.org/resource/Orlando_Magic","Portland, Oregon","http://dbpedia.org/resource/Portland,_Oregon"
"The Human Highlight Filmm","http://dbpedia.org/resource/Dominique_Wilkins","Utah Jazz","http://dbpedia.org/resource/Utah_Jazz","Paris","http://dbpedia.org/resource/Paris"
"Day-Dayy","http://dbpedia.org/resource/Draymond_Green","Golden State Warriors","http://dbpedia.org/resource/Golden_State_Warriors","Saginaw, Michigan","http://dbpedia.org/resource/Saginaw,_Michigan"
"Drayy","http://dbpedia.org/resource/Draymond_Green","Golden State Warriorss","http://dbpedia.org/resource/Golden_State_Warriors","Saginaw, Michigan","http://dbpedia.org/resource/Saginaw,_Michigan"
"Thee Dancing Bear","http://dbpedia.org/resource/Draymond_Green","Golden State Warriorss","http://dbpedia.org/resource/Golden_State_Warriors","Saginaw, Michigan","http://dbpedia.org/resource/Saginaw,_Michigan"
"D122","http://dbpedia.org/resource/Dwight_Howard","Orlando Maagic","http://dbpedia.org/resource/Orlando_Magic","Atlanta","http://dbpedia.org/resource/Atlanta"
"Foul onn You","http://dbpedia.org/resource/Dwight_Howard","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Atlanta","http://dbpedia.org/resource/Atlanta"
"Supeerman","http://dbpedia.org/resource/Dwight_Howard","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","Atlanta","http://dbpedia.org/resource/Atlanta"
"D-Wade","http://dbpedia.org/resource/Dwyane_Wade","Miami Heatt","http://dbpedia.org/resource/Miami_Heat","Chicago","http://dbpedia.org/resource/Chicago"
"Flashh","http://dbpedia.org/resource/Dwyane_Wade","Miami Heatt","http://dbpedia.org/resource/Miami_Heat","Chicago","http://dbpedia.org/resource/Chicago"
"The Goatt","http://dbpedia.org/resource/Earl_Manigault","","","Charleston, South Carolina","http://dbpedia.org/resource/Charleston,_South_Carolina"
"Black Jesuss","http://dbpedia.org/resource/Earl_Monroe","Baltimore Bullets (1963–773)","http://dbpedia.org/resource/Baltimore_Bullets_(1963–73)","Philadelphia","http://dbpedia.org/resource/Philadelphia"
"Black Magicc","http://dbpedia.org/resource/Earl_Monroe","Baltimore Bullets (1963–73)","http://dbpedia.org/resource/Baltimore_Bullets_(1963–73)","Philadelphia","http://dbpedia.org/resource/Philadelphia"
"Earl the Pearll","http://dbpedia.org/resource/Earl_Monroe","Baltimore Bullets (1963–73)","http://dbpedia.org/resource/Baltimore_Bullets_(1963–73)","Philadelphia","http://dbpedia.org/resource/Philadelphia"
