"Nation","Nation__URI","National anthem (original)","National anthem (original)__URI","National anthem (English)","National anthem (English)__URI","Date adopted","Lyricist","Lyricist__URI","Composer","Composer__URI"
"Barbados","http://dbpedia.org/resource/Barbados","National Anthem of Barbadoss","http://dbpedia.org/resource/National_Anthem_of_Barbados","","","1966","Irving Burgiee","http://dbpedia.org/resource/Irving_Burgie","C. Van Roland Edwards",""
"Belarus","http://dbpedia.org/resource/Belarus","My Belarusyy","http://dbpedia.org/resource/My_Belarusy","We, the Belarusians","http://dbpedia.org/resource/My_Belarusy","1955","Michael Klimovichh","http://dbpedia.org/resource/Michael_Klimovich","Nestar Sakalowski","http://dbpedia.org/resource/Nestar_Sakalowski"
"Belgium","http://dbpedia.org/resource/Belgium","The Brabançonne","http://dbpedia.org/resource/Brabançonne","","","1830","Jennevvall","http://dbpedia.org/resource/Jenneval","François Van Campenhout","http://dbpedia.org/resource/François_Van_Campenhout"
"Belize","http://dbpedia.org/resource/Belize","Land of the Freee","http://dbpedia.org/resource/National_anthem_of_Belize","","","1981","Samuel Alfred Haynes","http://dbpedia.org/resource/Samuel_Alfred_Haynes","Selwyn Walford Young","http://dbpedia.org/resource/Selwyn_Walford_Young"
"Benin","http://dbpedia.org/resource/Benin","L'Aube Nouvelle","http://dbpedia.org/resource/L'Aube_Nouvelle","The Dawn of a New Day","http://dbpedia.org/resource/L'Aube_Nouvelle","1960","Gilbert Jean Dagnonnnn","","Gilbert Jean Dagnon",""
"Bhutan","http://dbpedia.org/resource/Bhutan","Druk tsendhen","http://dbpedia.org/resource/Druk_tsendhen","The Thunder Dragon Kingdom","http://dbpedia.org/resource/Druk_tsendhen","1953","Dasho Gyaldun Thinleyyyy","","Aku Tongmi",""
"Bolivia","http://dbpedia.org/resource/Bolivia","Himno Nacional de Bolivia","http://dbpedia.org/resource/National_Anthem_of_Bolivia","National Anthem of Bolivia","http://dbpedia.org/resource/National_Anthem_of_Bolivia","1852","Joosé Ignacio de Sanjiinéss","http://dbpedia.org/resource/José_Ignacio_de_Sanjinés","Leopoldo Benedetto Vincenti",""
"Bosnia and Herzegovina","http://dbpedia.org/resource/Bosnia_and_Herzegovina","Državna himna Bosne i Hercegovine","http://dbpedia.org/resource/Državna_himna_Bosne_i_Hercegovine","The National Anthem of Bosnia and Herzegovina","http://dbpedia.org/resource/Državna_himna_Bosne_i_Hercegovine","1999","","","Dušan Šestić","http://dbpedia.org/resource/Dušan_Šestić"
"Botswana","http://dbpedia.org/resource/Botswana","Faatshe leno la rona","http://dbpedia.org/resource/Fatshe_leno_la_rona","Blessed Be This Noble Land","http://dbpedia.org/resource/Fatshe_leno_la_rona","1966","Kgalemang Tumedisco Motseteee","","Kgalemang Tumedisco Motsete",""
"Brazil","http://dbpedia.org/resource/Brazil","Hiino Nacional Brasileiro","http://dbpedia.org/resource/Brazilian_National_Anthem","Brazilian National Anthem","http://dbpedia.org/resource/Brazilian_National_Anthem","1831","Joaquim Osórioo Duque Estradaaa","http://dbpedia.org/resource/Joaquim_Osório_Duque_Estrada","Francisco Manuel da Silva","http://dbpedia.org/resource/Francisco_Manuel_da_Silva"
"Brunei","http://dbpedia.org/resource/Brunei","Allah Peliharakan Sultann","http://dbpedia.org/resource/Allah_Peliharakan_Sultan","God Bless the Sultan","http://dbpedia.org/resource/Allah_Peliharakan_Sultan","1951","Pengiran Hajii Mohamed Yusuf bin Abdul Rahimmm","http://dbpedia.org/resource/Yura_Halim","Besar bin Sagap",""
"Bulgaria","http://dbpedia.org/resource/Bulgaria","Mila Rodino","http://dbpedia.org/resource/Mila_Rodino","Dear Motherland","http://dbpedia.org/resource/Mila_Rodino","1964","Tssvetan Radoslavvovv","http://dbpedia.org/resource/Tsvetan_Radoslavov","Tsvetan Radoslavov","http://dbpedia.org/resource/Tsvetan_Radoslavov"
"Burkina Faso","http://dbpedia.org/resource/Burkina_Faso","Une Seule Nuitt","http://dbpedia.org/resource/Une_Seule_Nuit","One Single Night","http://dbpedia.org/resource/Une_Seule_Nuit","1984","Thommas Sankaraa","http://dbpedia.org/resource/Thomas_Sankara","Thomas Sankara","http://dbpedia.org/resource/Thomas_Sankara"
"Burundi","http://dbpedia.org/resource/Burundi","Burundi Bwacuu","http://dbpedia.org/resource/Burundi_Bwacu","Our Burundi","http://dbpedia.org/resource/Burundi_Bwacu","1962","Jean-Baptiste Ntahokajaaaa","","Marc Barengayabo",""
"Cambodia","http://dbpedia.org/resource/Cambodia","Nokorr Reach","http://dbpedia.org/resource/Nokor_Reach","Royal Kingdom","http://dbpedia.org/resource/Nokor_Reach","1941","Saamdach Chuon Naatt","http://dbpedia.org/resource/Chuon_Nat","F. Perruchot",""
"Cambodia","http://dbpedia.org/resource/Cambodia","Nokor Reachh","http://dbpedia.org/resource/Nokor_Reach","Royal Kingdom","http://dbpedia.org/resource/Nokor_Reach","1941","Samdach Chuon Naattt","http://dbpedia.org/resource/Chuon_Nat","J. Jekyll",""
"Cameroon","http://dbpedia.org/resource/Cameroon","O Cameroun, Berceau de nos Ancêtres","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","O Cameroon, Cradle of Our Forefathers","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","René Djam Afameeee","","René Djam Afame",""
"Cameroon","http://dbpedia.org/resource/Cameroon","O Cameroun, Berceau de nos Ancêtress","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","O Cameroon, Cradle of Our Forefathers","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","Samuel Minkio Bambaaaa","","René Djam Afame",""
"Cameroon","http://dbpedia.org/resource/Cameroon","O Cameroun, Berceau de nos Ancêtres","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","O Cameroon, Cradle of Our Forefathers","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","Moïse NNyatte Nko'ooo","","René Djam Afame",""
"Cameroon","http://dbpedia.org/resource/Cameroon","O Cameroun, Berceau de nos Anccêtres","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","O Cameroon, Cradle of Our Forefathers","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","Dr Bernard Fonlonnn","http://dbpedia.org/resource/Bernard_Fonlon","René Djam Afame",""
"Canada","http://dbpedia.org/resource/Canada","Ô Canadaa","http://dbpedia.org/resource/O_Canada","O Canada","http://dbpedia.org/resource/O_Canada","1980","Adolphe-Basile Routhierrr","http://dbpedia.org/resource/Adolphe-Basile_Routhier","Calixa Lavallée","http://dbpedia.org/resource/Calixa_Lavallée"
"Canada","http://dbpedia.org/resource/Canada","Ô Canadaa","http://dbpedia.org/resource/O_Canada","O Canada","http://dbpedia.org/resource/O_Canada","1980","Robert Stanley Weirr","http://dbpedia.org/resource/Robert_Stanley_Weir","Calixa Lavallée","http://dbpedia.org/resource/Calixa_Lavallée"
"Cape Verde","http://dbpedia.org/resource/Cape_Verde","Cântico da Liberdadee","http://dbpedia.org/resource/Cântico_da_Liberdade","Song of Freedom","http://dbpedia.org/resource/Cântico_da_Liberdade","1996","Amílcar Speencerrr Lopes","http://dbpedia.org/resource/Amílcar_Spencer_Lopes","Adalberto Higino Tavares Silva",""
"Central African Republic","http://dbpedia.org/resource/Central_African_Republic","La Renaissancee","http://dbpedia.org/resource/La_Renaissance","The Rebirth","http://dbpedia.org/resource/La_Renaissance","1960","Bartthélémy Bogandaaa","http://dbpedia.org/resource/Barthélémy_Boganda","Herbert Pepper",""
"Chad","http://dbpedia.org/resource/Chad","La Tchadiennee","http://dbpedia.org/resource/La_Tchadienne","People of Chad","http://dbpedia.org/resource/La_Tchadienne","1960","Louis Gidrollll","http://dbpedia.org/resource/Louis_Gidrol","Paul Villard",""
"Chile","http://dbpedia.org/resource/Chile","HHimno Nacional de Chile","http://dbpedia.org/resource/National_Anthem_of_Chile","National Anthem of Chile","http://dbpedia.org/resource/National_Anthem_of_Chile","1941","Eusebio Lilloooo","http://dbpedia.org/resource/Eusebio_Lillo","Ramón Carnicer","http://dbpedia.org/resource/Ramón_Carnicer"
"China","http://dbpedia.org/resource/China","Yìyǒngjūn Jìnxíngqǔ","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","March of the Volunteers","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","1949","Tian Hannn","http://dbpedia.org/resource/Tian_Han","Nie Er","http://dbpedia.org/resource/Nie_Er"
"China","http://dbpedia.org/resource/China","Yìyǒngjūn Jìnxíngqǔǔ","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","March of the Volunteers","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","1982","Tian HHann","http://dbpedia.org/resource/Tian_Han","Nie Er","http://dbpedia.org/resource/Nie_Er"
"China","http://dbpedia.org/resource/China","Yìyǒngjūn Jìnxíngqǔǔ","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","March of the Volunteers","http://dbpedia.org/resource/Yìyǒngjūn_Jìnxíngqǔ","2004","Tian Hann","http://dbpedia.org/resource/Tian_Han","Nie Er","http://dbpedia.org/resource/Nie_Er"
"Colombia","http://dbpedia.org/resource/Colombia","Himno Nacional de la RRepública de Colombia","http://dbpedia.org/resource/National_Anthem_of_Colombia","National Anthem of the Republic of Colombia","http://dbpedia.org/resource/National_Anthem_of_Colombia","1886","Rafael Núñezz","http://dbpedia.org/resource/Rafael_Núñez_(politician)","Oreste Sindici","http://dbpedia.org/resource/Oreste_Sindici"
"Comoros","http://dbpedia.org/resource/Comoros","Udzima wa ya Masiwaa","http://dbpedia.org/resource/Udzima_wa_ya_Masiwa","The Union of the Great Islands","http://dbpedia.org/resource/Udzima_wa_ya_Masiwa","1978","Said HHachhim Sidi Abderemane","","Said Hachim Sidi Abderemane",""
"Comoros","http://dbpedia.org/resource/Comoros","Udzima wa ya Masiwa","http://dbpedia.org/resource/Udzima_wa_ya_Masiwa","The Union of the Great Islands","http://dbpedia.org/resource/Udzima_wa_ya_Masiwa","1978","Said Hachim Sidi Abderemaneeee","","Kamildine Abdallah",""
"Democratic Republic of the Congo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","Debout Congolaiss","http://dbpedia.org/resource/Debout_Congolais","Arise Congolese","http://dbpedia.org/resource/Debout_Congolais","1960","Joseph Lutuumbaaa","http://dbpedia.org/resource/Joseph_Lutumba","Simon-Pierre Boka di Mpasi Londi",""
"Democratic Republic of the Congo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","Debout Congolaiss","http://dbpedia.org/resource/Debout_Congolais","Arise Congolese","http://dbpedia.org/resource/Debout_Congolais","1997","Joseph Lutumbaaaa","http://dbpedia.org/resource/Joseph_Lutumba","Simon-Pierre Boka di Mpasi Londi",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaisee","http://dbpedia.org/resource/La_Congolaise","The Congolese","http://dbpedia.org/resource/La_Congolaise","1959","Jacques Tondraaa","","Jean Royer",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaisee","http://dbpedia.org/resource/La_Congolaise","The Congolese","http://dbpedia.org/resource/La_Congolaise","1991","Jacques Tondraaa","","Jean Royer",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaise","http://dbpedia.org/resource/La_Congolaise","The Congolese","http://dbpedia.org/resource/La_Congolaise","1959","Georges Kiibanghii","","Jean Royer",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaisee","http://dbpedia.org/resource/La_Congolaise","The Congolese","http://dbpedia.org/resource/La_Congolaise","1991","Georges KKibanghii","","Jean Royer",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaaise","http://dbpedia.org/resource/La_Congolaise","The Congolese","http://dbpedia.org/resource/La_Congolaise","1959","Jacquees Tondraaa","","Joseph Spadilière",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La CCongolaise","http://dbpedia.org/resource/La_Congolaise","The Congolese","http://dbpedia.org/resource/La_Congolaise","1991","Jacques  Tondraaa","","Joseph Spadilière",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaisee","http://dbpedia.org/resource/La_Congolaise","The Congolese","http://dbpedia.org/resource/La_Congolaise","1959","Georges Kibanghiii","","Joseph Spadilière",""
"Republic of the Congo","http://dbpedia.org/resource/Republic_of_the_Congo","La Congolaise","http://dbpedia.org/resource/La_Congolaise","The Congolese","http://dbpedia.org/resource/La_Congolaise","1991","Georges Kibanghiiii","","Joseph Spadilière",""
"Costa Rica","http://dbpedia.org/resource/Costa_Rica","Himno Nacional de Costa Rica","http://dbpedia.org/resource/Noble_patria,_tu_hermosa_bandera","National Anthem of Costa Rica","http://dbpedia.org/resource/Noble_patria,_tu_hermosa_bandera","1853","José María Zeledón Brenessss","http://dbpedia.org/resource/José_María_Zeledón_Brenes","Manuel María Gutiérrez",""
"Croatia","http://dbpedia.org/resource/Croatia","Lijeepa naša domovino","http://dbpedia.org/resource/Lijepa_naša_domovino","Our Beautiful Homeland","http://dbpedia.org/resource/Lijepa_naša_domovino","1972","Antun Mihanoviććć","http://dbpedia.org/resource/Antun_Mihanović","Josip Runjanin","http://dbpedia.org/resource/Josip_Runjanin"
"Cuba","http://dbpedia.org/resource/Cuba","El Himno de Bayamo","http://dbpedia.org/resource/La_Bayamesa","The Anthem of Bayamo","http://dbpedia.org/resource/La_Bayamesa","1902","Perucho Figueredooo","http://dbpedia.org/resource/Perucho_Figueredo","Perucho Figueredo","http://dbpedia.org/resource/Perucho_Figueredo"
"Cyprus","http://dbpedia.org/resource/Cyprus","Ýmnos eis tīn Eleutherían","http://dbpedia.org/resource/Hymn_to_Liberty","Hymn to Liberty","http://dbpedia.org/resource/Hymn_to_Liberty","1960","Dionýsios  Solomóss","http://dbpedia.org/resource/Dionýsios_Solomós","Nikolaos Mantzaros","http://dbpedia.org/resource/Nikolaos_Mantzaros"
"Czech Republic","http://dbpedia.org/resource/Czech_Republic","Kde doomov můj","","Where My Home is","","1918","Josef KKajetán  Tyll","http://dbpedia.org/resource/Josef_Kajetán_Tyl","František Škroup","http://dbpedia.org/resource/František_Škroup"
"Denmark","http://dbpedia.org/resource/Denmark","Der er et  yndigt land","http://dbpedia.org/resource/Der_er_et_yndigt_land","There is a lovely country","http://dbpedia.org/resource/Der_er_et_yndigt_land","1835","Adam Oehlenschlägerrr","http://dbpedia.org/resource/Adam_Oehlenschläger","Hans Ernst Krøyer","http://dbpedia.org/resource/Hans_Ernst_Krøyer"
"Djibouti","http://dbpedia.org/resource/Djibouti","Djiboutii","http://dbpedia.org/resource/Djibouti_(song)","","","1977","Aden Elmii","","Abdi Robleh",""
"Dominica","http://dbpedia.org/resource/Dominica","Isle of Beauty, Isle of Splendourr","http://dbpedia.org/resource/Isle_of_Beauty,_Isle_of_Splendour","","","1978","Wilfred Oscar Morgan Ponddd","","Lemuel McPherson Christian",""
"Dominican Republic","http://dbpedia.org/resource/Dominican_Republic","Himno Nacional","http://dbpedia.org/resource/National_Anthem_of_the_Dominican_Republic","National Anthem","http://dbpedia.org/resource/National_Anthem_of_the_Dominican_Republic","1934","Emilio Prud'HHommee","http://dbpedia.org/resource/Emilio_Prud'Homme","José Rufino Reyes y Siancas","http://dbpedia.org/resource/José_Rufino_Reyes_y_Siancas"
"East Timor","http://dbpedia.org/resource/East_Timor","Pátriaa","http://dbpedia.org/resource/Pátria","Fatherland","http://dbpedia.org/resource/Pátria","2002","Francisco Borja da Costaaaa","http://dbpedia.org/resource/Francisco_Borja_da_Costa","Afonso de Araujo",""
"Ecuador","http://dbpedia.org/resource/Ecuador","SSalve, Oh Patria","http://dbpedia.org/resource/Salve,_Oh_Patria","We Salute You, Our Homeland","http://dbpedia.org/resource/Salve,_Oh_Patria","1948","Juan Leónn MMerra","http://dbpedia.org/resource/Juan_León_Mera","Antonio Neumane","http://dbpedia.org/resource/Antonio_Neumane"
"Egypt","http://dbpedia.org/resource/Egypt","Bilady, Bilady, Bilady","http://dbpedia.org/resource/Bilady,_Bilady,_Bilady","My Country, My Country, My Country","http://dbpedia.org/resource/Bilady,_Bilady,_Bilady","1979","Mohamed  Younis Al-Qadyy","","Sayed Darwish","http://dbpedia.org/resource/Sayed_Darwish"
"El Salvador","http://dbpedia.org/resource/El_Salvador","Himno Nacional de El Salvador","http://dbpedia.org/resource/National_Anthem_of_El_Salvador","National Anthem of El Salvador","http://dbpedia.org/resource/National_Anthem_of_El_Salvador","1879","Juan Joséé Cañasss","http://dbpedia.org/resource/Juan_José_Cañas","Juan Aberle","http://dbpedia.org/resource/Juan_Aberle"
"Equatorial Guinea","http://dbpedia.org/resource/Equatorial_Guinea","Caminemos pisando las sendas de nuestra inmensa felicidad","http://dbpedia.org/resource/Caminemos_pisando_las_sendas_de_nuestra_inmensa_felicidad","Let Us Tread the Path of our Immense Happiness","http://dbpedia.org/resource/Caminemos_pisando_las_sendas_de_nuestra_inmensa_felicidad","1968","Atanasio Ndongo Miyoneee","http://dbpedia.org/resource/Atanasio_Ndongo_Miyone","Ramiro Sánchez Lopes",""
"Eritrea","http://dbpedia.org/resource/Eritrea","Ertra, Ertra, Ertraa","http://dbpedia.org/resource/Ertra,_Ertra,_Ertra","Eritrea, Eritrea, Eritrea","http://dbpedia.org/resource/Ertra,_Ertra,_Ertra","1993","Solomon Tsehaye Berakiiii","","Isaac Abraham Meharezghi",""
"Eritrea","http://dbpedia.org/resource/Eritrea","Ertra, Ertraa, Ertra","http://dbpedia.org/resource/Ertra,_Ertra,_Ertra","Eritrea, Eritrea, Eritrea","http://dbpedia.org/resource/Ertra,_Ertra,_Ertra","1993","Solommon Tsehhaye Berakii","","Aron Tekle Tesfatsion",""
"Estonia","http://dbpedia.org/resource/Estonia","Mu isamaa, mu õnn ja rõõm","http://dbpedia.org/resource/Mu_isamaa,_mu_õnn_ja_rõõm","My Fatherland, My Happiness and Joy","http://dbpedia.org/resource/Mu_isamaa,_mu_õnn_ja_rõõm","1920","Johann Voldemar Jannsennn","http://dbpedia.org/resource/Johann_Voldemar_Jannsen","Fredrik Pacius","http://dbpedia.org/resource/Fredrik_Pacius"
"Eswatini","http://dbpedia.org/resource/Swaziland","Nkulunkulu Mnikati wetibusiso temaSwatii","http://dbpedia.org/resource/Nkulunkulu_Mnikati_wetibusiso_temaSwati","O Lord our God of the Swazi","http://dbpedia.org/resource/Nkulunkulu_Mnikati_wetibusiso_temaSwati","1968","Andrease Enoke Fanyana Simelane","","David Kenneth Rycroft",""
"Ethiopia","http://dbpedia.org/resource/Ethiopia","Wodefit GGesgeshi, Widd Innat Ityopp'ya","http://dbpedia.org/resource/Wodefit_Gesgeshi,_Widd_Innat_Ityopp'ya","March Forward, Dear Mother Ethiopia","http://dbpedia.org/resource/Wodefit_Gesgeshi,_Widd_Innat_Ityopp'ya","1992","Dereje Melaku Mengeshaaa","","Solomon Lulu Mitiku",""
"Fiji","http://dbpedia.org/resource/Fiji","Meda Dau Dokaa","http://dbpedia.org/resource/God_Bless_Fiji","God Bless Fiji","http://dbpedia.org/resource/God_Bless_Fiji","1970","Michael Francis Alexander Prescotttt","","Charles Austin Miles","http://dbpedia.org/resource/C._Austin_Miles"
"Finland","http://dbpedia.org/resource/Finland","Swedish: Vårt Lannd","http://dbpedia.org/resource/Maamme","Finnish:Maamme","http://dbpedia.org/resource/Maamme","1917","Johan Ludvig Runeberg (Swedish)
Paavo Cajander (Finnish))))","","Fredrik Pacius","http://dbpedia.org/resource/Fredrik_Pacius"
"France","http://dbpedia.org/resource/France","La Marrseillaise","http://dbpedia.org/resource/La_Marseillaise","The Song of Marseille","http://dbpedia.org/resource/La_Marseillaise","1795","Claude Joseph Rouget de Lisleee","http://dbpedia.org/resource/Claude_Joseph_Rouget_de_Lisle","Claude Joseph Rouget de Lisle","http://dbpedia.org/resource/Claude_Joseph_Rouget_de_Lisle"
"Gabon","http://dbpedia.org/resource/Gabon","La Concorde","http://dbpedia.org/resource/La_Concorde","Concord","http://dbpedia.org/resource/La_Concorde","1960","GGeeorges Aleka Damas","http://dbpedia.org/resource/Georges_Aleka_Damas","Georges Aleka Damas","http://dbpedia.org/resource/Georges_Aleka_Damas"
"The Gambia","http://dbpedia.org/resource/The_Gambia","For The Gambia Our Homeeland","http://dbpedia.org/resource/For_The_Gambia_Our_Homeland","","","1965","Virginia Julie Howeee","","Jeremy Frederick Howe",""
"Georgia","http://dbpedia.org/resource/Georgia_(country)","Tavisuplebaa","http://dbpedia.org/resource/Tavisupleba","Freedom","http://dbpedia.org/resource/Tavisupleba","2004","David Maggraadzee","http://dbpedia.org/resource/David_Magradze","Zakaria Paliashvili","http://dbpedia.org/resource/Zakaria_Paliashvili"
"Germany","http://dbpedia.org/resource/Germany","Lied der Deutschen","http://dbpedia.org/resource/Deutschlandlied","Song of the Germans","http://dbpedia.org/resource/Deutschlandlied","1922","Auggust Heinrich Hoffmann von Fallerslebennn","http://dbpedia.org/resource/August_Heinrich_Hoffmann_von_Fallersleben","Joseph Haydn","http://dbpedia.org/resource/Joseph_Haydn"
"Ghana","http://dbpedia.org/resource/Ghana","God Bless Our Homeland Ghanaa","http://dbpedia.org/resource/God_Bless_Our_Homeland_Ghana","","","1957","Michael Kwame Gbordzoeeee","","Philip Gbeho","http://dbpedia.org/resource/Philip_Gbeho"
"Greece","http://dbpedia.org/resource/Greece","Ýmnos eis tīn Eleutherían","http://dbpedia.org/resource/Hymn_to_Liberty","Hymn to Liberty or Hymn to Freedom","http://dbpedia.org/resource/Hymn_to_Liberty","1865","Dionýsios Solomóss","http://dbpedia.org/resource/Dionýsios_Solomós","Nikolaos Mantzaros","http://dbpedia.org/resource/Nikolaos_Mantzaros"
"Grenada","http://dbpedia.org/resource/Grenada","Hail Grenada","http://dbpedia.org/resource/Hail_Grenada","","","1974","Irva Merle Baptisteee","","Louis Arnold Masanto",""
"Guatemala","http://dbpedia.org/resource/Guatemala","Himno Nacional dde Guatemala","http://dbpedia.org/resource/Himno_Nacional_de_Guatemala","National Anthem of Guatemala","http://dbpedia.org/resource/Himno_Nacional_de_Guatemala","1896","José Joaquín Palmaaa","http://dbpedia.org/resource/José_Joaquín_Palma","Rafael Álvarez Ovalle",""
"Guinea","http://dbpedia.org/resource/Guinea","Liberté","","Liberty","","1958","","","Kodofo Moussa",""
