"publisher","publisher__URI","videogame","videogame__URI","genre","genre__URI","platform","platform__URI","releaseDate"
"OGPlanet","http://dbpedia.org/resource/OGPlanet","Uncharted Waters Onlinee","http://dbpedia.org/resource/Uncharted_Waters_Online","MMORPG","http://dbpedia.org/resource/MMORPG","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2007-01-07"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Uno (video game)","http://dbpedia.org/resource/Uno_(video_game)","Card game","http://dbpedia.org/resource/Card_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2006-05-09"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Uno (video game)","http://dbpedia.org/resource/Uno_(video_game)","Card game","http://dbpedia.org/resource/Card_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2008-11-14"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Uno (videeo game)","http://dbpedia.org/resource/Uno_(video_game)","Card game","http://dbpedia.org/resource/Card_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2009-10-01"
"Sega","http://dbpedia.org/resource/Sega","Phantasy Star Online 22","http://dbpedia.org/resource/Phantasy_Star_Online_2","Massively multiplayer online role-playing game","http://dbpedia.org/resource/Massively_multiplayer_online_role-playing_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1925-04-12"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Assassin's Creed Chronicles","http://dbpedia.org/resource/Assassin's_Creed_Chronicles","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1922-04-15"
"Activision","http://dbpedia.org/resource/Activision","Prototype (video game))","http://dbpedia.org/resource/Prototype_(video_game)","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2009-06-09"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Assassin's Creed III","http://dbpedia.org/resource/Assassin's_Creed_II","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2009-11-17"
"Klei Entertainment","http://dbpedia.org/resource/Klei_Entertainment","Don't Starvee","http://dbpedia.org/resource/Don't_Starve","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1924-06-15"
"Deep Silver","http://dbpedia.org/resource/Deep_Silver","Saints Row IIV","http://dbpedia.org/resource/Saints_Row_IV","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1923-01-15"
"Deep Silver","http://dbpedia.org/resource/Deep_Silver","Saints Row: Gat out of Hell","http://dbpedia.org/resource/Saints_Row:_Gat_out_of_Hell","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1923-01-15"
"Rockstar Games","http://dbpedia.org/resource/Rockstar_Games","Grand Theft Auto: San Andreas","http://dbpedia.org/resource/Grand_Theft_Auto:_San_Andreas","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2004-10-26"
"Beatshapers","http://dbpedia.org/resource/Beatshapers","Jetpack Joyridee","http://dbpedia.org/resource/Jetpack_Joyride","Side-scrolling video game","http://dbpedia.org/resource/Side-scrolling_video_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1921-11-12"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Assassin's Creed Chronicles","http://dbpedia.org/resource/Assassin's_Creed_Chronicles","Stealth game","http://dbpedia.org/resource/Stealth_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1922-04-15"
"Activision","http://dbpedia.org/resource/Activision","Transformers: Fall of Cybertronn","http://dbpedia.org/resource/Transformers:_Fall_of_Cybertron","Third-person shooter","http://dbpedia.org/resource/Third-person_shooter","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1924-08-12"
"Sega","http://dbpedia.org/resource/Sega","Valkyria Chronicles","http://dbpedia.org/resource/Valkyria_Chronicles","Third-person shooter","http://dbpedia.org/resource/Third-person_shooter","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1931-10-08"
"Sega","http://dbpedia.org/resource/Sega","Phantasy Star Online 22","http://dbpedia.org/resource/Phantasy_Star_Online_2","Third-person shooter","http://dbpedia.org/resource/Third-person_shooter","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1925-04-12"
"Zen Studios","http://dbpedia.org/resource/Zen_Studios","Zen Piinball 2","http://dbpedia.org/resource/Zen_Pinball_2","Pinball","http://dbpedia.org/resource/Pinball","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1931-01-13"
"Electronic Arts","http://dbpedia.org/resource/Electronic_Arts","NBA Liive 14","http://dbpedia.org/resource/NBA_Live_14","Sports game","http://dbpedia.org/resource/Sports_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1929-11-13"
"EA Sports","http://dbpedia.org/resource/EA_Sports","FIFA 14","http://dbpedia.org/resource/FIFA_14","Sports game","http://dbpedia.org/resource/Sports_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1924-09-13"
"EA Sports","http://dbpedia.org/resource/EA_Sports","Madden NFL 25","http://dbpedia.org/resource/Madden_NFL_25","Sports video game","http://dbpedia.org/resource/Sports_video_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1929-11-13"
"Namco","http://dbpedia.org/resource/Namco","Ikki (video game)","http://dbpedia.org/resource/Ikki_(video_game)","Action game","http://dbpedia.org/resource/Action_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1985-11-27"
"Activision","http://dbpedia.org/resource/Activision","Call of Duty 4: Modern Warfaree","http://dbpedia.org/resource/Call_of_Duty_4:_Modern_Warfare","First-person shooter","http://dbpedia.org/resource/First-person_shooter","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1928-01-08"
"Activision","http://dbpedia.org/resource/Activision","Call of Duty 4: Modern Warfaree","http://dbpedia.org/resource/Call_of_Duty_4:_Modern_Warfare","First-person shooter","http://dbpedia.org/resource/First-person_shooter","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2007-11-05"
"Activision","http://dbpedia.org/resource/Activision","Call of Duty 4: Modern Warfaree","http://dbpedia.org/resource/Call_of_Duty_4:_Modern_Warfare","First-person shooter","http://dbpedia.org/resource/First-person_shooter","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2009-11-10"
"THQ","http://dbpedia.org/resource/THQ","Metro 2033 (video game))","http://dbpedia.org/resource/Metro_2033_(video_game)","First-person shooter","http://dbpedia.org/resource/First-person_shooter","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1929-08-14"
"Koei Tecmo","http://dbpedia.org/resource/Koei_Tecmo","Berserk and the Band of the Hawkk","http://dbpedia.org/resource/Berserk_and_the_Band_of_the_Hawk","Hack and slash","http://dbpedia.org/resource/Hack_and_slash","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1921-02-16"
"Konami","http://dbpedia.org/resource/Konami","Puddle (video game))","http://dbpedia.org/resource/Puddle_(video_game)","Platform game","http://dbpedia.org/resource/Platform_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1925-01-12"
"Nintendo","http://dbpedia.org/resource/Nintendo","Killer Instinct 22","http://dbpedia.org/resource/Killer_Instinct_2","Fighting game","http://dbpedia.org/resource/Fighting_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1996-11-25"
"Midway Games","http://dbpedia.org/resource/Midway_Games","Killer Instinct 22","http://dbpedia.org/resource/Killer_Instinct_2","Fighting game","http://dbpedia.org/resource/Fighting_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1996-11-25"
"Microsoft Studios","http://dbpedia.org/resource/Microsoft_Studios","Hexicc","http://dbpedia.org/resource/Hexic","Puzzle video game","http://dbpedia.org/resource/Puzzle_video_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2005-11-16"
"Microsoft Studios","http://dbpedia.org/resource/Microsoft_Studios","Hexic","http://dbpedia.org/resource/Hexic","Puzzle video game","http://dbpedia.org/resource/Puzzle_video_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2009-03-27"
"Nicalis","http://dbpedia.org/resource/Nicalis","1001 Spikes","http://dbpedia.org/resource/1001_Spikes","Adventure game","http://dbpedia.org/resource/Adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1925-11-14"
"Loot Interactive","http://dbpedia.org/resource/Loot_Interactive","Whispering Willowss","http://dbpedia.org/resource/Whispering_Willows","Adventure game","http://dbpedia.org/resource/Adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1930-06-15"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Uno (vvideo game)","http://dbpedia.org/resource/Uno_(video_game)","Card game","http://dbpedia.org/resource/Card_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2006-05-09"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Uno (video game)","http://dbpedia.org/resource/Uno_(video_game)","Card game","http://dbpedia.org/resource/Card_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2008-11-14"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Uno (videoo game)","http://dbpedia.org/resource/Uno_(video_game)","Card game","http://dbpedia.org/resource/Card_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2009-10-01"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Assassin's Creed Chronicless","http://dbpedia.org/resource/Assassin's_Creed_Chronicles","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1922-04-15"
"Activision","http://dbpedia.org/resource/Activision","Prototype (video game)","http://dbpedia.org/resource/Prototype_(video_game)","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2009-06-09"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Assassin's Creed III","http://dbpedia.org/resource/Assassin's_Creed_II","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2009-11-17"
"Disney Interactive Studios","http://dbpedia.org/resource/Disney_Interactive_Studios","Diisney Infinity","http://dbpedia.org/resource/Disney_Infinity","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1923-08-13"
"Klei Entertainment","http://dbpedia.org/resource/Klei_Entertainment","Don't Starvee","http://dbpedia.org/resource/Don't_Starve","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1924-06-15"
"Deep Silver","http://dbpedia.org/resource/Deep_Silver","Saints Row IV","http://dbpedia.org/resource/Saints_Row_IV","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1923-01-15"
"Deep Silver","http://dbpedia.org/resource/Deep_Silver","Saints Row: Gat out of Helll","http://dbpedia.org/resource/Saints_Row:_Gat_out_of_Hell","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1923-01-15"
"Activision","http://dbpedia.org/resource/Activision","Prototype 22","http://dbpedia.org/resource/Prototype_2","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1927-07-12"
"Capcom","http://dbpedia.org/resource/Capcom","Devil May Cry 44","http://dbpedia.org/resource/Devil_May_Cry_4","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1923-06-15"
"Capcom","http://dbpedia.org/resource/Capcom","Devil May Cry 44","http://dbpedia.org/resource/Devil_May_Cry_4","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2008-01-31"
"Capcom","http://dbpedia.org/resource/Capcom","Devil May Cry 44","http://dbpedia.org/resource/Devil_May_Cry_4","Action-adventure game","http://dbpedia.org/resource/Action-adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2008-07-08"
"Crave Entertainment","http://dbpedia.org/resource/Crave_Entertainment","Brunswick Pro Bowlingg","http://dbpedia.org/resource/Brunswick_Pro_Bowling","Bowling","http://dbpedia.org/resource/Bowling","Xbox One","http://dbpedia.org/resource/Xbox_One","1921-09-07"
"Crave Entertainment","http://dbpedia.org/resource/Crave_Entertainment","Brunswick Pro Bowling","http://dbpedia.org/resource/Brunswick_Pro_Bowling","Sports","http://dbpedia.org/resource/Sports","Xbox One","http://dbpedia.org/resource/Xbox_One","1921-09-07"
"Focus Home Interactive","http://dbpedia.org/resource/Focus_Home_Interactive","Contrast (video game)","http://dbpedia.org/resource/Contrast_(video_game)","Puzzle game","http://dbpedia.org/resource/Puzzle_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1929-11-13"
"The Behemoth","http://dbpedia.org/resource/The_Behemoth","Castle Crashers","http://dbpedia.org/resource/Castle_Crashers","Beat 'em up","http://dbpedia.org/resource/Beat_'em_up","Xbox One","http://dbpedia.org/resource/Xbox_One","1925-11-10"
"The Behemoth","http://dbpedia.org/resource/The_Behemoth","Castle Crasherss","http://dbpedia.org/resource/Castle_Crashers","Beat 'em up","http://dbpedia.org/resource/Beat_'em_up","Xbox One","http://dbpedia.org/resource/Xbox_One","2008-08-27"
"Microsoft Studios","http://dbpedia.org/resource/Microsoft_Studios","Grabbed by the Ghouliess","http://dbpedia.org/resource/Grabbed_by_the_Ghoulies","Beat 'em up","http://dbpedia.org/resource/Beat_'em_up","Xbox One","http://dbpedia.org/resource/Xbox_One","2009-02-16"
"Capcom","http://dbpedia.org/resource/Capcom","Dead Rising (video game)","http://dbpedia.org/resource/Dead_Rising_(video_game)","Beat 'em up","http://dbpedia.org/resource/Beat_'em_up","Xbox One","http://dbpedia.org/resource/Xbox_One","2006-08-08"
"Kalypso Media","http://dbpedia.org/resource/Kalypso_Media","Tropico 55","http://dbpedia.org/resource/Tropico_5","Government simulation game","http://dbpedia.org/resource/Government_simulation_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1927-05-16"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Assassin's Creed Chronicless","http://dbpedia.org/resource/Assassin's_Creed_Chronicles","Stealth game","http://dbpedia.org/resource/Stealth_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1922-04-15"
"Activision","http://dbpedia.org/resource/Activision","Transformers: Fall of Cybertronn","http://dbpedia.org/resource/Transformers:_Fall_of_Cybertron","Third-person shooter","http://dbpedia.org/resource/Third-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","1924-08-12"
"Capcom","http://dbpedia.org/resource/Capcom","Resident Evil 5","http://dbpedia.org/resource/Resident_Evil_5","Third-person shooter","http://dbpedia.org/resource/Third-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","2009-03-05"
"Electronic Arts","http://dbpedia.org/resource/Electronic_Arts","Plants vs. Zombies: Garden Warfaree","http://dbpedia.org/resource/Plants_vs._Zombies:_Garden_Warfare","Third-person shooter","http://dbpedia.org/resource/Third-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","1927-06-14"
"Electronic Arts","http://dbpedia.org/resource/Electronic_Arts","Plants vs. Zombies: Garden Warfare 2","http://dbpedia.org/resource/Plants_vs._Zombies:_Garden_Warfare_2","Third-person shooter","http://dbpedia.org/resource/Third-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","1925-02-16"
"Electronic Arts","http://dbpedia.org/resource/Electronic_Arts","NBA Live 144","http://dbpedia.org/resource/NBA_Live_14","Sports game","http://dbpedia.org/resource/Sports_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1929-11-13"
"EA Sports","http://dbpedia.org/resource/EA_Sports","FIFA 14","http://dbpedia.org/resource/FIFA_14","Sports game","http://dbpedia.org/resource/Sports_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1924-09-13"
"EA Sports","http://dbpedia.org/resource/EA_Sports","NBA Live 155","http://dbpedia.org/resource/NBA_Live_15","Sports game","http://dbpedia.org/resource/Sports_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1931-10-14"
"Microsoft Studios","http://dbpedia.org/resource/Microsoft_Studios","Grabbed by the Ghouliess","http://dbpedia.org/resource/Grabbed_by_the_Ghoulies","Action adventure game","http://dbpedia.org/resource/Action_adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2009-02-16"
"EA Sports","http://dbpedia.org/resource/EA_Sports","Madden NFL 255","http://dbpedia.org/resource/Madden_NFL_25","Sports video game","http://dbpedia.org/resource/Sports_video_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1929-11-13"
"EA Sports","http://dbpedia.org/resource/EA_Sports","Madden NFL 15","http://dbpedia.org/resource/Madden_NFL_15","Sports video game","http://dbpedia.org/resource/Sports_video_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1929-08-14"
"The Behemoth","http://dbpedia.org/resource/The_Behemoth","Castle Crasherss","http://dbpedia.org/resource/Castle_Crashers","Action game","http://dbpedia.org/resource/Action_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1925-11-10"
"The Behemoth","http://dbpedia.org/resource/The_Behemoth","Castle Crasherss","http://dbpedia.org/resource/Castle_Crashers","Action game","http://dbpedia.org/resource/Action_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2008-08-27"
"Eidos Interactive","http://dbpedia.org/resource/Eidos_Interactive","Battlestations: Midway","http://dbpedia.org/resource/Battlestations:_Midway","Action game","http://dbpedia.org/resource/Action_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2007-01-30"
"Kalypso Media","http://dbpedia.org/resource/Kalypso_Media","Tropico 55","http://dbpedia.org/resource/Tropico_5","Construction and management simulation","http://dbpedia.org/resource/Construction_and_management_simulation","Xbox One","http://dbpedia.org/resource/Xbox_One","1927-05-16"
"Acclaim Entertainment","http://dbpedia.org/resource/Acclaim_Entertainment","Turok: Dinosaur Hunter","http://dbpedia.org/resource/Turok:_Dinosaur_Hunter","First-person shooter","http://dbpedia.org/resource/First-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","1997-03-04"
"Acclaim Entertainment","http://dbpedia.org/resource/Acclaim_Entertainment","Turok 2: Seeds of Evil","http://dbpedia.org/resource/Turok_2:_Seeds_of_Evil","First-person shooter","http://dbpedia.org/resource/First-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","1998-10-21"
"Activision","http://dbpedia.org/resource/Activision","Call of Duty 4: Modern Warfare","http://dbpedia.org/resource/Call_of_Duty_4:_Modern_Warfare","First-person shooter","http://dbpedia.org/resource/First-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","1928-01-08"
"Activision","http://dbpedia.org/resource/Activision","Call of Duty 4: Modern Warfaree","http://dbpedia.org/resource/Call_of_Duty_4:_Modern_Warfare","First-person shooter","http://dbpedia.org/resource/First-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","2007-11-05"
"Activision","http://dbpedia.org/resource/Activision","Call of Duty 4: Modern Warfare","http://dbpedia.org/resource/Call_of_Duty_4:_Modern_Warfare","First-person shooter","http://dbpedia.org/resource/First-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","2009-11-10"
"Microsoft Studios","http://dbpedia.org/resource/Microsoft_Studios","Halo 3: ODSTT","http://dbpedia.org/resource/Halo_3:_ODST","First-person shooter","http://dbpedia.org/resource/First-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","2009-09-22"
"THQ","http://dbpedia.org/resource/THQ","Metro 2033 (video game)","http://dbpedia.org/resource/Metro_2033_(video_game)","First-person shooter","http://dbpedia.org/resource/First-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","1929-08-14"
"Capcom","http://dbpedia.org/resource/Capcom","Devil May Cry 44","http://dbpedia.org/resource/Devil_May_Cry_4","Hack and slash","http://dbpedia.org/resource/Hack_and_slash","Xbox One","http://dbpedia.org/resource/Xbox_One","1923-06-15"
"Capcom","http://dbpedia.org/resource/Capcom","Devil May Cry 44","http://dbpedia.org/resource/Devil_May_Cry_4","Hack and slash","http://dbpedia.org/resource/Hack_and_slash","Xbox One","http://dbpedia.org/resource/Xbox_One","2008-01-31"
"Capcom","http://dbpedia.org/resource/Capcom","Devil May Cry 44","http://dbpedia.org/resource/Devil_May_Cry_4","Hack and slash","http://dbpedia.org/resource/Hack_and_slash","Xbox One","http://dbpedia.org/resource/Xbox_One","2008-07-08"
"Nicalis","http://dbpedia.org/resource/Nicalis","1001 SSpikes","http://dbpedia.org/resource/1001_Spikes","Platform game","http://dbpedia.org/resource/Platform_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1925-11-14"
"Double Fine Productions","http://dbpedia.org/resource/Double_Fine_Productions","Day of the Tentacle","http://dbpedia.org/resource/Day_of_the_Tentacle","Point-and-click adventure game","http://dbpedia.org/resource/Point-and-click_adventure_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1993-06-25"
"Sega","http://dbpedia.org/resource/Sega","RRez (video game)","http://dbpedia.org/resource/Rez_(video_game)","Rail shooter","http://dbpedia.org/resource/Rail_shooter","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1922-02-02"
"Sega","http://dbpedia.org/resource/Sega","Rez (video game))","http://dbpedia.org/resource/Rez_(video_game)","Music video game","http://dbpedia.org/resource/Music_video_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1922-02-02"
"Atlus","http://dbpedia.org/resource/Atlus","Trine 22","http://dbpedia.org/resource/Trine_2","Platform game","http://dbpedia.org/resource/Platform_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1929-11-13"
"Atlus","http://dbpedia.org/resource/Atlus","Trine 2","http://dbpedia.org/resource/Trine_2","Action role-playing game","http://dbpedia.org/resource/Action_role-playing_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1929-11-13"
"Konami","http://dbpedia.org/resource/Konami","Dance Dance Revolution Extremee","http://dbpedia.org/resource/Dance_Dance_Revolution_Extreme","Exergaming","http://dbpedia.org/resource/Exergaming","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1921-09-03"
"Nicalis","http://dbpedia.org/resource/Nicalis","1001 Spikess","http://dbpedia.org/resource/1001_Spikes","Platform game","http://dbpedia.org/resource/Platform_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1925-11-14"
"Sega","http://dbpedia.org/resource/Sega","Phantasy Star Online 22","http://dbpedia.org/resource/Phantasy_Star_Online_2","Action role-playing game","http://dbpedia.org/resource/Action_role-playing_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1925-04-12"
"Ubisoft","http://dbpedia.org/resource/Ubisoft","Assassin's Creed Chronicless","http://dbpedia.org/resource/Assassin's_Creed_Chronicles","Platform game","http://dbpedia.org/resource/Platform_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1922-04-15"
"Capcom","http://dbpedia.org/resource/Capcom","Resident Evil (2002 video game)","http://dbpedia.org/resource/Resident_Evil_(2002_video_game)","Survival horror","http://dbpedia.org/resource/Survival_horror","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1930-04-02"
"Sega","http://dbpedia.org/resource/Sega","Rez (video game))","http://dbpedia.org/resource/Rez_(video_game)","Rail shooter","http://dbpedia.org/resource/Rail_shooter","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2008-01-30"
"Sega","http://dbpedia.org/resource/Sega","Rezz (video game)","http://dbpedia.org/resource/Rez_(video_game)","Music video game","http://dbpedia.org/resource/Music_video_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","2008-01-30"
"LucasArts","http://dbpedia.org/resource/LucasArts","Day of the Tenttacle","http://dbpedia.org/resource/Day_of_the_Tentacle","Point-and-click adventure game","http://dbpedia.org/resource/Point-and-click_adventure_game","PlayStation 4","http://dbpedia.org/resource/PlayStation_4","1993-06-25"
