"actor_misspelled","actor_misspelled__URI","actor","actor__URI","birth_place","birth_place__URI","nationality","nationality__URI"
"Mareska Hargetay","http://dbpedia.org/resource/Mariska_Hargitay","Mariska Hargitay","http://dbpedia.org/resource/Mariska_Hargitay","Santa Moniica","http://dbpedia.org/resource/Santa_Monica,_California","Unitted  States","http://dbpedia.org/resource/United_States"
"Maritska Hargetay","http://dbpedia.org/resource/Mariska_Hargitay","Mariska Hargitay","http://dbpedia.org/resource/Mariska_Hargitay","Santa Monica","http://dbpedia.org/resource/Santa_Monica,_California","United Statess","http://dbpedia.org/resource/United_States"
"Chrissy Teigin","http://dbpedia.org/resource/Chrissy_Teigen","Chrissy Teigen","http://dbpedia.org/resource/Chrissy_Teigen","Deltaa","http://dbpedia.org/resource/Delta,_Utah","United Statess","http://dbpedia.org/resource/United_States"
"Crissy Teigen","http://dbpedia.org/resource/Chrissy_Teigen","Chrissy Teigen","http://dbpedia.org/resource/Chrissy_Teigen","Deltaa","http://dbpedia.org/resource/Delta,_Utah","Uniited Staates","http://dbpedia.org/resource/United_States"
"Chrissy Tegien","http://dbpedia.org/resource/Chrissy_Teigen","Chrissy Teigen","http://dbpedia.org/resource/Chrissy_Teigen","Delta","http://dbpedia.org/resource/Delta,_Utah","United Statesss","http://dbpedia.org/resource/United_States"
"Timothée Chalemet","http://dbpedia.org/resource/Timoth%C3%A9e_Chalamet","Timothée Chalamet","http://dbpedia.org/resource/Timoth%C3%A9e_Chalamet","New Yorrk","http://dbpedia.org/resource/New_York_City","United Statess","http://dbpedia.org/resource/United_States"
"Timothy Chalamet","http://dbpedia.org/resource/Timoth%C3%A9e_Chalamet","Timothée Chalamet","http://dbpedia.org/resource/Timoth%C3%A9e_Chalamet","New York","http://dbpedia.org/resource/New_York_City","United Statess","http://dbpedia.org/resource/United_States"
"Timothé Chalamet","http://dbpedia.org/resource/Timoth%C3%A9e_Chalamet","Timothée Chalamet","http://dbpedia.org/resource/Timoth%C3%A9e_Chalamet","New York","http://dbpedia.org/resource/New_York_City","Unnited Statess","http://dbpedia.org/resource/United_States"
"Charleze Theron","http://dbpedia.org/resource/Charlize_Theron","Charlize Theron","http://dbpedia.org/resource/Charlize_Theron","Benoni","http://dbpedia.org/resource/Benoni,_Gauteng","Soutth Africa","http://dbpedia.org/resource/South_Africa"
"Charlize Therone","http://dbpedia.org/resource/Charlize_Theron","Charlize Theron","http://dbpedia.org/resource/Charlize_Theron","Bennoni","http://dbpedia.org/resource/Benoni,_Gauteng","Southh Africaa","http://dbpedia.org/resource/South_Africa"
"Cherlize Tharon","http://dbpedia.org/resource/Charlize_Theron","Charlize Theron","http://dbpedia.org/resource/Charlize_Theron","Benoni","http://dbpedia.org/resource/Benoni,_Gauteng","South Africaaa","http://dbpedia.org/resource/South_Africa"
"Anna Winture","http://dbpedia.org/resource/Anna_Wintour","Anna Wintour","http://dbpedia.org/resource/Anna_Wintour","Londonn","http://dbpedia.org/resource/London","Enngland","http://dbpedia.org/resource/England"
"Ana Wintour","http://dbpedia.org/resource/Anna_Wintour","Anna Wintour","http://dbpedia.org/resource/Anna_Wintour","London","http://dbpedia.org/resource/London","Englanddd","http://dbpedia.org/resource/England"
"Anna Wintoure","http://dbpedia.org/resource/Anna_Wintour","Anna Wintour","http://dbpedia.org/resource/Anna_Wintour","Londonn","http://dbpedia.org/resource/London","Engllandd","http://dbpedia.org/resource/England"
