"actor","actor__URI","birth_place","birth_place__URI","nationality","nationality__URI"
"Jake Gylenhall","http://dbpedia.org/resource/Jake_Gyllenhaal","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Meriska Hargitay","http://dbpedia.org/resource/Mariska_Hargitay","Santa Monica","http://dbpedia.org/resource/Santa_Monica,_California","United States","http://dbpedia.org/resource/United_States"
"Maritska Hargetay","http://dbpedia.org/resource/Mariska_Hargitay","Santa Monica","http://dbpedia.org/resource/Santa_Monica,_California","United States","http://dbpedia.org/resource/United_States"
"Chrissy Teigin","http://dbpedia.org/resource/Chrissy_Teigen","Delta","http://dbpedia.org/resource/Delta,_Utah","United States","http://dbpedia.org/resource/United_States"
"Crissy Teigen","http://dbpedia.org/resource/Chrissy_Teigen","Delta","http://dbpedia.org/resource/Delta,_Utah","United States","http://dbpedia.org/resource/United_States"
"Chrissy Tegien","http://dbpedia.org/resource/Chrissy_Teigen","Delta","http://dbpedia.org/resource/Delta,_Utah","United States","http://dbpedia.org/resource/United_States"
"Timothée Chalemet","http://dbpedia.org/resource/Timoth%C3%A9e_Chalamet","New York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
"Timothé Chalamet","http://dbpedia.org/resource/Timoth%C3%A9e_Chalamet","New York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
"Charleze Theron","http://dbpedia.org/resource/Charlize_Theron","Benoni","http://dbpedia.org/resource/Benoni,_Gauteng","South Africa","http://dbpedia.org/resource/South_Africa"
"Charlize Therone","http://dbpedia.org/resource/Charlize_Theron","Benoni","http://dbpedia.org/resource/Benoni,_Gauteng","South Africa","http://dbpedia.org/resource/South_Africa"
"Cherlize Tharon","http://dbpedia.org/resource/Charlize_Theron","Benoni","http://dbpedia.org/resource/Benoni,_Gauteng","South Africa","http://dbpedia.org/resource/South_Africa"
"Anna Winture","http://dbpedia.org/resource/Anna_Wintour","London","http://dbpedia.org/resource/London","England","http://dbpedia.org/resource/England"
"Ana Wintour","http://dbpedia.org/resource/Anna_Wintour","London","http://dbpedia.org/resource/London","England","http://dbpedia.org/resource/England"
"Anna Wintoure","http://dbpedia.org/resource/Anna_Wintour","London","http://dbpedia.org/resource/London","England","http://dbpedia.org/resource/England"
"Noah Centineo","http://dbpedia.org/resource/Noah_Centineo","Miami","http://dbpedia.org/resource/Miami","United States","http://dbpedia.org/resource/United_States"
"Saoirse Ronan","http://dbpedia.org/resource/Saoirse_Ronan","New York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
"Barbra Streisand","http://dbpedia.org/resource/Barbra_Streisand","Brooklyn","http://dbpedia.org/resource/Brooklyn","United States","http://dbpedia.org/resource/United_States"
"Idris Elba","http://dbpedia.org/resource/Idris_Elba","London","http://dbpedia.org/resource/London","England","http://dbpedia.org/resource/England"
"Mariska Hargitay","http://dbpedia.org/resource/Mariska_Hargitay","Santa Monica","http://dbpedia.org/resource/Santa_Monica,_California","United States","http://dbpedia.org/resource/United_States"
"Timothée Chalamet","http://dbpedia.org/resource/Timoth%C3%A9e_Chalamet","New York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
